timestamp,value
789062400,77.9
789148800,77.9
789235200,77.9
789321600,81.8
789408000,81.2
789494400,82.4
789580800,84.2
789667200,84.2
789753600,84.2
789840000,78.3
789926400,78.6
790012800,78.6
790099200,78.6
790185600,78.6
790272000,78.9
790358400,78.9
790444800,78.9
790531200,78.9
790617600,83.2
790704000,83.2
790790400,83.2
790876800,83.2
790963200,83.2
791049600,83.2
791136000,83.2
791222400,80.8
791308800,80.8
791395200,80.8
791481600,82.9
791568000,82.9
791654400,82.9
791740800,77.6
791827200,81.5
791913600,81.7
792000000,80.2
792086400,80.2
792172800,80.2
792259200,81.1
792345600,79.2
792432000,79.2
792518400,79.2
792604800,82.2
792691200,80.0
792777600,80.5
792864000,82.3
792950400,81.6
793036800,78.2
793123200,81.8
793209600,81.8
793296000,84.3
793382400,78.0
793468800,83.0
793555200,82.4
793641600,80.1
793728000,80.1
793814400,79.6
793900800,79.2
793987200,81.9
794073600,81.9
794160000,81.9
794246400,81.9
794332800,81.9
794419200,81.9
794505600,81.6
794592000,79.9
794678400,80.6
794764800,80.6
794851200,80.2
794937600,80.2
795024000,82.3
795110400,82.3
795196800,81.4
795283200,82.7
795369600,81.1
795456000,81.1
795542400,83.9
795628800,83.9
795715200,84.9
795801600,77.2
795888000,77.8
795974400,77.8
796060800,83.1
796147200,78.2
796233600,80.4
796320000,81.4
796406400,81.9
796492800,82.4
796579200,80.5
796665600,80.5
796752000,81.6
796838400,81.6
796924800,84.0
797011200,80.7
797097600,82.7
797184000,81.2
797270400,84.2
797356800,83.7
797443200,80.9
797529600,80.2
797616000,84.4
797702400,82.1
797788800,80.2
797875200,79.6
797961600,79.3
798048000,81.8
798134400,83.1
798220800,82.8
798307200,82.9
798393600,81.0
798480000,81.8
798566400,83.1
798652800,81.3
798739200,82.3
798825600,82.2
798912000,81.8
798998400,82.2
799084800,82.4
799171200,83.0
799257600,80.2
799344000,80.3
799430400,80.3
799516800,79.7
799603200,80.0
799689600,81.2
799776000,82.4
799862400,82.1
799948800,81.7
800035200,83.0
800121600,82.3
800208000,81.6
800294400,81.9
800380800,82.6
800467200,81.9
800553600,79.7
800640000,81.8
800726400,83.5
800812800,80.7
800899200,84.3
800985600,82.2
801072000,81.7
801158400,81.8
801244800,80.4
801331200,79.6
801417600,79.3
801504000,80.6
801590400,81.5
801676800,80.7
801763200,81.7
801849600,83.9
801936000,80.0
802022400,80.0
802108800,80.9
802195200,80.9
802281600,79.9
802368000,78.8
802454400,79.6
802540800,77.2
802627200,78.4
802713600,77.8
802800000,77.8
802886400,79.4
802972800,79.7
803059200,79.2
803145600,78.8
803232000,78.8
803318400,79.1
803404800,78.4
803491200,77.7
803577600,77.3
803664000,78.4
803750400,77.3
803836800,78.0
803923200,78.4
804009600,77.1
804096000,77.2
804182400,77.9
804268800,77.6
804355200,79.2
804441600,79.2
804528000,78.4
804614400,80.1
804700800,78.6
804787200,76.9
804873600,76.1
804960000,77.2
805046400,77.2
805132800,75.2
805219200,77.0
805305600,77.8
805392000,78.5
805478400,76.0
805564800,77.9
805651200,76.6
805737600,76.7
805824000,75.3
805910400,76.4
805996800,77.5
806083200,77.5
806169600,77.5
806256000,77.5
806342400,77.4
806428800,77.4
806515200,77.4
