timestamp,value
788889600,9.1
788976000,10.0
789062400,12.4
789148800,-1.0
789235200,7.3
789321600,22.0
789408000,4.7
789494400,18.0
789580800,12.7
789667200,25.1
789753600,34.1
789840000,36.4
789926400,33.4
790012800,27.1
790099200,30.6
790185600,41.8
790272000,35.8
790358400,25.4
790444800,28.8
790531200,23.0
790617600,20.5
790704000,23.0
790790400,26.5
790876800,25.0
790963200,21.9
791049600,25.0
791136000,35.5
791222400,30.9
791308800,26.2
791395200,21.5
791481600,35.7
791568000,38.2
791654400,36.4
791740800,36.7
791827200,28.5
791913600,24.6
792000000,26.4
792086400,25.1
792172800,22.4
792259200,35.2
792345600,33.1
792432000,16.7
792518400,13.6
792604800,19.7
792691200,23.9
792777600,24.8
792864000,23.4
792950400,36.8
793036800,44.8
793123200,40.0
793209600,48.6
793296000,42.0
793382400,49.3
793468800,45.0
793555200,35.6
793641600,52.2
793728000,39.3
793814400,30.8
793900800,20.3
793987200,14.9
794073600,16.6
794160000,22.6
794246400,27.9
794332800,28.6
794419200,22.7
794505600,8.8
794592000,3.4
794678400,22.8
794764800,44.8
794851200,54.2
794937600,59.8
795024000,55.0
795110400,52.3
795196800,52.0
795283200,54.3
795369600,53.2
795456000,52.0
795542400,49.4
795628800,50.1
795715200,49.3
795801600,51.1
795888000,48.0
795974400,47.2
796060800,52.6
796147200,52.5
796233600,38.5
796320000,38.2
796406400,33.7
796492800,31.6
796579200,34.5
796665600,43.3
796752000,54.4
796838400,54.3
796924800,32.9
797011200,46.6
797097600,58.1
797184000,56.7
797270400,49.8
797356800,42.6
797443200,34.0
797529600,35.2
797616000,37.4
797702400,46.0
797788800,60.4
797875200,60.9
797961600,47.3
798048000,43.6
798134400,46.2
798220800,43.7
798307200,44.1
798393600,43.0
798480000,45.7
798566400,49.4
798652800,51.1
798739200,52.6
798825600,47.8
798912000,45.3
798998400,50.2
799084800,53.2
799171200,50.0
799257600,48.6
799344000,45.7
799430400,49.5
799516800,51.7
799603200,49.5
799689600,56.3
799776000,57.6
799862400,61.1
799948800,58.8
800035200,52.9
800121600,51.1
800208000,51.7
800294400,62.1
800380800,57.5
800467200,59.8
800553600,68.4
800640000,58.4
800726400,55.9
800812800,57.6
800899200,60.9
800985600,57.6
801072000,61.9
801158400,52.4
801244800,55.3
801331200,56.5
801417600,58.0
801504000,61.6
801590400,57.1
801676800,58.7
801763200,62.5
801849600,63.9
801936000,62.2
802022400,62.8
802108800,66.9
802195200,67.9
802281600,70.5
802368000,73.7
802454400,74.4
802540800,57.5
802627200,57.6
802713600,59.2
802800000,60.9
802886400,61.7
802972800,66.5
803059200,72.6
803145600,77.7
803232000,80.4
803318400,80.1
803404800,77.5
803491200,76.1
803577600,78.3
803664000,78.0
803750400,80.1
803836800,76.5
803923200,75.3
804009600,70.9
804096000,68.0
804182400,73.0
804268800,74.4
804355200,72.0
804441600,66.5
804528000,62.3
804614400,66.6
804700800,71.1
804787200,71.6
804873600,70.3
804960000,73.1
805046400,76.2
805132800,77.6
805219200,79.8
805305600,80.8
805392000,85.3
805478400,89.4
805564800,90.9
805651200,88.4
805737600,83.5
805824000,78.3
805910400,76.4
805996800,77.5
806083200,78.7
806169600,74.7
806256000,76.7
806342400,80.0
806428800,76.7
806515200,78.3
806601600,77.3
806688000,79.3
806774400,85.3
806860800,79.3
806947200,83.0
807033600,82.9
807120000,75.8
807206400,64.6
807292800,71.3
807379200,77.8
807465600,77.7
807552000,78.9
807638400,75.1
807724800,80.8
807811200,87.6
807897600,81.7
807984000,82.8
808070400,85.1
808156800,86.9
808243200,87.4
808329600,75.0
808416000,69.7
808502400,77.0
808588800,83.4
808675200,84.6
808761600,73.5
808848000,69.9
808934400,74.5
809020800,76.5
809107200,80.3
809193600,80.7
809280000,76.8
809366400,79.0
809452800,80.6
809539200,82.0
809625600,82.2
809712000,80.7
809798400,69.8
809884800,70.5
809971200,74.3
810057600,72.7
810144000,74.2
810230400,75.9
810316800,77.5
810403200,65.4
810489600,56.0
810576000,56.8
810662400,58.5
