timestamp,value
788889600,53.5
788976000,46.9
789062400,45.8
789148800,53.3
789235200,56.2
789321600,56.4
789408000,52.6
789494400,51.8
789580800,54.6
789667200,51.9
789753600,52.7
789840000,56.2
789926400,51.3
790012800,48.6
790099200,47.1
790185600,48.6
790272000,59.4
790358400,53.9
790444800,53.8
790531200,54.2
790617600,51.8
790704000,57.1
790790400,60.2
790876800,60.5
790963200,58.8
791049600,58.3
791136000,54.9
791222400,59.1
791308800,61.0
791395200,60.2
791481600,57.3
791568000,56.9
791654400,54.9
791740800,53.7
791827200,55.6
791913600,54.9
792000000,53.7
792086400,58.8
792172800,58.8
792259200,55.2
792345600,52.6
792432000,55.7
792518400,60.6
792604800,60.1
792691200,61.5
792777600,61.0
792864000,59.7
792950400,58.9
793036800,51.5
793123200,53.1
793209600,54.8
793296000,53.9
793382400,50.3
793468800,51.9
793555200,56.9
793641600,57.3
793728000,47.9
793814400,49.1
793900800,50.1
793987200,53.2
794073600,54.6
794160000,54.3
794246400,53.9
794332800,57.4
794419200,54.5
794505600,51.2
794592000,53.5
794678400,50.6
794764800,53.2
794851200,54.8
794937600,62.1
795024000,62.1
795110400,61.0
795196800,56.3
795283200,55.7
795369600,56.8
795456000,57.9
795542400,56.5
795628800,55.3
795715200,62.6
795801600,63.5
795888000,61.6
795974400,64.6
796060800,65.5
796147200,66.4
796233600,65.8
796320000,63.4
796406400,62.1
796492800,64.6
796579200,63.9
796665600,65.1
796752000,65.3
796838400,61.3
796924800,62.2
797011200,66.0
797097600,69.6
797184000,67.6
797270400,71.2
797356800,70.1
797443200,69.8
797529600,67.2
797616000,66.3
797702400,65.2
797788800,68.5
797875200,69.0
797961600,66.7
798048000,68.1
798134400,62.8
798220800,59.5
798307200,54.1
798393600,49.4
798480000,50.8
798566400,51.2
798652800,51.9
798739200,53.3
798825600,55.0
798912000,59.3
798998400,59.4
799084800,63.8
799171200,66.0
799257600,67.2
799344000,72.8
799430400,74.7
799516800,78.8
799603200,69.8
799689600,63.1
799776000,66.4
799862400,65.5
799948800,62.6
800035200,63.3
800121600,61.9
800208000,60.8
800294400,61.6
800380800,64.4
800467200,65.7
800553600,64.8
800640000,64.6
800726400,65.7
800812800,66.2
800899200,70.0
800985600,72.9
801072000,68.8
801158400,65.2
801244800,65.0
801331200,64.5
801417600,65.8
801504000,68.2
801590400,68.5
801676800,66.1
801763200,67.1
801849600,70.6
801936000,68.0
802022400,68.1
802108800,70.6
802195200,73.4
802281600,74.7
802368000,76.1
802454400,75.0
802540800,70.9
802627200,65.3
802713600,65.4
802800000,65.3
802886400,63.1
802972800,63.3
803059200,64.4
803145600,66.1
803232000,64.0
803318400,67.5
803404800,70.7
803491200,69.3
803577600,67.3
803664000,71.0
803750400,69.1
803836800,67.5
803923200,69.5
804009600,72.2
804096000,71.0
804182400,69.5
804268800,68.2
804355200,68.0
804441600,67.6
804528000,69.3
804614400,68.9
804700800,69.3
804787200,68.4
804873600,71.2
804960000,75.0
805046400,77.5
805132800,76.6
805219200,74.3
805305600,70.1
805392000,70.7
805478400,71.1
