timestamp,value
788889600,42.9
788976000,32.5
789062400,36.6
789148800,28.8
789235200,24.2
789321600,33.3
789408000,38.5
789494400,37.8
789580800,39.7
789667200,46.9
789753600,65.2
789840000,68.8
789926400,61.9
790012800,48.2
790099200,45.1
790185600,40.5
790272000,45.5
790358400,51.7
790444800,42.0
790531200,44.0
790617600,42.5
790704000,33.2
790790400,32.8
790876800,36.4
790963200,47.2
791049600,44.1
791136000,50.7
791222400,52.2
791308800,41.2
791395200,36.6
791481600,37.5
791568000,49.4
791654400,59.7
791740800,58.1
791827200,44.5
791913600,42.0
792000000,37.0
792086400,39.8
792172800,34.9
792259200,33.2
792345600,44.6
792432000,39.5
792518400,27.4
792604800,29.3
792691200,31.8
792777600,48.8
792864000,44.2
792950400,41.0
793036800,41.2
793123200,47.7
793209600,54.3
793296000,58.1
793382400,52.2
793468800,60.8
793555200,54.2
793641600,48.7
793728000,53.4
793814400,57.5
793900800,55.2
793987200,39.4
794073600,35.1
794160000,31.4
794246400,35.9
794332800,47.9
794419200,51.5
794505600,54.0
794592000,35.2
794678400,38.2
794764800,42.9
794851200,54.5
794937600,60.1
795024000,64.6
795110400,58.7
795196800,60.5
795283200,60.1
795369600,64.2
795456000,64.2
795542400,66.8
795628800,69.7
795715200,64.8
795801600,72.0
795888000,76.0
795974400,61.2
796060800,60.7
796147200,68.8
796233600,61.5
796320000,57.0
796406400,55.8
796492800,54.0
796579200,52.1
796665600,51.5
796752000,59.4
796838400,61.6
796924800,60.7
797011200,52.9
797097600,61.3
797184000,65.3
797270400,71.3
797356800,73.6
797443200,71.9
797529600,59.4
797616000,55.5
797702400,58.5
797788800,58.9
797875200,63.7
797961600,70.6
798048000,71.7
798134400,70.5
798220800,63.8
798307200,66.0
798393600,63.0
798480000,58.8
798566400,53.6
798652800,53.8
798739200,58.5
798825600,62.7
798912000,63.7
798998400,57.1
799084800,62.1
799171200,58.8
799257600,59.9
799344000,55.8
799430400,58.1
799516800,65.3
799603200,64.0
799689600,61.7
799776000,62.3
799862400,67.2
799948800,68.5
800035200,70.9
800121600,64.8
800208000,66.1
800294400,79.1
800380800,83.4
800467200,78.6
800553600,77.9
800640000,77.5
800726400,77.8
800812800,61.8
800899200,63.6
800985600,68.7
801072000,73.3
801158400,77.4
801244800,79.0
801331200,75.7
801417600,74.5
801504000,75.1
801590400,77.2
801676800,74.8
801763200,71.8
801849600,68.1
801936000,68.1
802022400,73.3
802108800,77.6
802195200,78.5
802281600,82.2
802368000,78.8
802454400,80.0
802540800,82.8
802627200,83.3
802713600,79.2
802800000,67.3
802886400,66.4
802972800,71.4
803059200,71.3
803145600,75.1
803232000,77.6
803318400,77.2
803404800,77.9
803491200,80.0
803577600,79.1
803664000,77.2
803750400,79.7
803836800,80.8
803923200,78.9
804009600,79.7
804096000,76.9
804182400,78.1
804268800,78.9
804355200,79.6
804441600,77.8
804528000,75.3
804614400,75.0
804700800,78.4
804787200,83.5
804873600,71.6
804960000,76.2
805046400,81.4
805132800,84.0
805219200,87.6
805305600,83.1
805392000,84.5
805478400,85.1
805564800,87.2
805651200,87.3
805737600,86.5
805824000,84.7
805910400,86.0
805996800,81.6
806083200,82.1
806169600,82.6
806256000,80.8
806342400,85.6
806428800,82.7
806515200,81.0
806601600,82.5
806688000,79.6
806774400,84.9
806860800,86.8
806947200,82.2
807033600,83.7
807120000,82.3
807206400,81.5
807292800,84.8
807379200,84.6
807465600,81.7
807552000,83.6
807638400,82.7
807724800,82.7
807811200,85.0
807897600,87.4
807984000,87.3
808070400,86.4
808156800,87.6
808243200,88.1
808329600,84.2
808416000,84.2
808502400,89.1
808588800,90.4
808675200,91.3
808761600,85.9
808848000,88.9
808934400,86.2
809020800,86.7
809107200,83.4
809193600,78.4
809280000,84.0
809366400,86.4
809452800,84.3
809539200,83.2
809625600,83.9
809712000,81.8
809798400,85.2
809884800,86.5
809971200,82.8
810057600,78.4
810144000,71.4
810230400,74.2
810316800,75.9
810403200,78.6
810489600,75.6
810576000,68.5
810662400,72.2
810748800,72.4
810835200,71.2
810921600,72.1
811008000,76.4
811094400,78.1
811180800,76.4
811267200,76.9
811353600,74.7
811440000,69.7
811526400,69.3
811612800,67.8
811699200,56.7
811785600,56.8
811872000,59.9
811958400,61.6
812044800,59.0
812131200,64.7
812217600,70.8
812304000,71.4
812390400,76.3
812476800,73.1
812563200,72.2
812649600,70.3
812736000,67.6
812822400,69.6
812908800,61.4
812995200,58.5
813081600,59.3
813168000,65.8
813254400,67.5
813340800,69.8
813427200,69.5
813513600,68.6
813600000,66.6
813686400,59.9
813772800,66.5
813859200,68.6
813945600,67.9
814032000,67.8
814118400,61.6
814204800,55.6
814291200,62.8
814377600,66.7
814464000,53.9
814550400,50.4
814636800,56.2
814723200,67.8
814809600,57.3
814896000,53.1
814982400,54.7
815068800,59.0
815155200,66.1
815241600,65.4
815328000,44.4
815414400,42.1
815500800,44.3
815587200,47.0
815673600,63.7
815760000,49.9
815846400,46.5
815932800,63.8
816019200,50.4
816105600,41.4
816192000,48.2
816278400,45.1
816364800,45.9
816451200,42.7
816537600,46.9
816624000,50.6
816710400,46.4
816796800,54.7
816883200,52.3
816969600,46.9
817056000,55.4
817142400,43.1
817228800,42.0
817315200,56.0
817401600,64.5
817488000,39.9
817574400,33.4
817660800,40.4
817747200,49.3
817833600,55.0
817920000,65.1
818006400,54.7
818092800,53.9
818179200,44.0
818265600,39.6
818352000,37.1
818438400,27.7
818524800,21.7
818611200,29.2
818697600,41.4
818784000,56.4
818870400,67.0
818956800,59.8
819043200,51.7
819129600,47.0
819216000,49.5
819302400,44.0
819388800,36.0
819475200,33.6
819561600,32.6
819648000,35.4
819734400,30.9
819820800,34.0
819907200,32.5
819993600,35.6
820080000,33.4
820166400,28.2
820252800,30.8
820339200,41.3
820425600,47.3
820512000,39.6
820598400,33.4
820684800,37.4
820771200,39.2
820857600,31.5
820944000,20.4
821030400,23.4
821116800,38.7
821203200,40.9
821289600,43.5
821376000,42.0
821462400,50.5
821548800,57.6
821635200,48.4
821721600,48.9
821808000,64.1
821894400,49.4
821980800,19.3
822067200,26.5
822153600,31.7
822240000,35.1
822326400,54.5
822412800,36.2
822499200,39.4
822585600,46.8
822672000,33.4
822758400,34.2
822844800,50.6
822931200,40.3
823017600,22.2
823104000,21.9
823190400,24.1
823276800,17.0
823363200,14.7
823449600,19.9
823536000,36.7
823622400,48.4
823708800,60.3
823795200,54.7
823881600,59.5
823968000,55.0
824054400,43.1
824140800,45.1
824227200,57.6
824313600,52.5
824400000,34.6
824486400,37.4
824572800,44.8
824659200,51.7
824745600,54.4
824832000,58.0
824918400,57.7
825004800,63.4
825091200,55.1
825177600,56.4
825264000,69.2
825350400,68.6
825436800,42.5
825523200,32.7
825609600,38.7
825696000,45.5
825782400,44.3
825868800,46.7
825955200,66.1
826041600,65.1
826128000,34.7
826214400,26.5
826300800,28.9
826387200,34.9
826473600,38.0
826560000,47.5
826646400,54.5
826732800,62.2
826819200,67.1
826905600,63.1
826992000,59.1
827078400,50.5
827164800,42.0
827251200,39.0
827337600,44.5
827424000,49.7
827510400,53.2
827596800,61.3
827683200,48.3
827769600,40.0
827856000,41.9
827942400,48.2
828028800,49.8
828115200,50.5
828201600,53.9
828288000,50.6
828374400,53.5
828460800,59.9
828547200,60.0
828633600,44.2
828720000,48.3
828806400,50.1
828892800,56.6
828979200,49.1
829065600,52.0
829152000,61.0
829238400,69.0
829324800,61.5
829411200,63.8
829497600,54.5
829584000,56.1
829670400,61.6
829756800,67.2
829843200,73.9
829929600,72.5
830016000,68.4
830102400,67.9
830188800,60.3
830275200,61.9
830361600,69.3
830448000,68.9
830534400,64.0
830620800,72.9
830707200,62.4
830793600,53.1
830880000,62.3
830966400,68.4
831052800,71.5
831139200,73.8
831225600,75.4
831312000,75.9
831398400,71.2
831484800,75.4
831571200,75.8
831657600,75.0
831744000,68.9
831830400,62.6
831916800,63.0
832003200,64.0
832089600,75.4
832176000,75.5
832262400,77.5
832348800,77.4
832435200,77.9
832521600,78.0
832608000,80.2
832694400,73.8
832780800,77.9
832867200,79.6
832953600,81.3
833040000,81.0
833126400,79.1
833212800,78.3
833299200,77.6
833385600,69.6
833472000,70.6
833558400,69.0
833644800,72.2
833731200,74.6
833817600,72.2
833904000,75.4
833990400,79.2
834076800,75.1
834163200,69.7
834249600,66.5
834336000,69.9
834422400,75.4
834508800,78.6
834595200,77.5
834681600,79.7
834768000,81.4
834854400,83.0
834940800,84.4
835027200,82.9
835113600,80.0
835200000,80.4
835286400,85.5
835372800,85.7
835459200,84.5
835545600,82.3
835632000,81.1
835718400,80.0
835804800,79.6
835891200,80.7
835977600,83.2
836064000,84.3
836150400,86.8
836236800,85.7
836323200,85.3
836409600,78.9
836496000,76.2
836582400,81.1
836668800,83.7
836755200,86.3
836841600,80.9
836928000,75.2
837014400,73.6
837100800,76.5
837187200,79.5
837273600,78.7
837360000,79.3
837446400,80.8
837532800,82.8
837619200,83.8
837705600,85.8
837792000,85.9
837878400,88.1
837964800,88.3
838051200,79.2
838137600,81.4
838224000,80.7
838310400,79.5
838396800,74.8
838483200,78.0
838569600,82.7
838656000,73.9
838742400,78.3
838828800,79.0
838915200,79.2
839001600,80.1
839088000,81.9
839174400,84.5
839260800,84.8
839347200,84.3
839433600,82.5
839520000,80.5
839606400,77.2
839692800,75.6
839779200,77.5
839865600,78.5
839952000,78.1
840038400,79.2
840124800,79.4
840211200,79.5
840297600,79.8
840384000,79.8
840470400,81.5
840556800,82.5
840643200,81.8
840729600,81.4
840816000,81.9
840902400,80.8
840988800,79.0
841075200,75.7
841161600,78.4
841248000,78.4
841334400,77.9
841420800,77.0
841507200,74.8
841593600,72.7
841680000,74.5
841766400,78.1
841852800,77.9
841939200,79.6
842025600,80.4
842112000,78.8
842198400,78.4
842284800,77.0
842371200,77.9
842457600,78.9
842544000,71.1
842630400,70.5
842716800,72.4
842803200,75.3
842889600,70.3
842976000,68.2
843062400,69.2
843148800,71.2
843235200,72.6
843321600,70.4
843408000,73.7
843494400,72.6
843580800,70.6
843667200,74.7
843753600,61.2
843840000,59.8
843926400,62.0
844012800,62.8
844099200,64.4
844185600,75.1
844272000,66.5
844358400,60.2
844444800,64.8
844531200,63.5
844617600,66.0
844704000,63.0
844790400,60.7
844876800,63.1
844963200,55.0
845049600,60.0
845136000,62.9
845222400,64.0
845308800,65.3
