timestamp,value
788889600,81.4
788976000,84.2
789062400,83.9
789148800,82.6
789235200,81.5
789321600,82.4
789408000,81.9
789494400,82.4
789580800,80.2
789667200,80.0
789753600,81.8
789840000,79.5
789926400,76.5
790012800,78.9
790099200,81.1
790185600,81.3
790272000,82.8
790358400,81.1
790444800,80.7
790531200,79.8
790617600,81.1
790704000,79.1
790790400,81.7
790876800,82.3
790963200,82.5
791049600,81.2
791136000,81.2
791222400,84.2
791308800,82.5
791395200,83.0
791481600,84.9
791568000,83.5
791654400,83.6
791740800,83.4
791827200,85.0
791913600,85.0
792000000,85.0
792086400,84.4
792172800,83.5
792259200,83.5
792345600,83.5
792432000,83.5
792518400,83.5
792604800,83.5
792691200,83.5
792777600,83.5
792864000,83.5
792950400,83.5
793036800,83.5
793123200,83.5
793209600,83.5
793296000,83.5
793382400,87.8
793468800,85.5
793555200,85.5
793641600,85.4
793728000,85.4
793814400,86.4
793900800,83.1
793987200,83.2
794073600,83.2
794160000,85.1
794246400,84.5
794332800,83.6
794419200,83.5
794505600,83.5
794592000,85.1
794678400,81.9
794764800,81.9
794851200,80.3
794937600,80.3
795024000,85.0
795110400,83.4
795196800,80.8
795283200,83.8
795369600,83.2
795456000,78.4
795542400,82.6
795628800,84.0
795715200,78.7
795801600,81.3
795888000,83.1
795974400,79.6
796060800,83.3
796147200,86.0
796233600,85.2
796320000,82.8
796406400,84.7
796492800,85.7
796579200,84.8
796665600,85.2
796752000,85.3
796838400,83.6
796924800,85.7
797011200,85.0
797097600,85.8
797184000,86.6
797270400,86.4
797356800,85.7
797443200,86.0
797529600,85.4
797616000,85.7
797702400,86.0
797788800,86.1
797875200,83.6
797961600,81.5
798048000,83.3
798134400,86.9
798220800,86.4
798307200,86.1
798393600,79.5
798480000,80.4
798566400,81.4
798652800,79.1
798739200,83.2
798825600,84.1
798912000,84.9
798998400,84.2
799084800,80.1
799171200,83.1
799257600,83.2
799344000,77.9
799430400,81.7
799516800,83.4
799603200,85.2
799689600,83.8
799776000,85.0
799862400,82.5
799948800,81.5
800035200,83.9
800121600,83.1
800208000,81.6
800294400,84.6
800380800,83.2
800467200,81.1
800553600,84.9
800640000,85.9
800726400,84.7
800812800,84.9
800899200,83.3
800985600,85.4
801072000,84.4
801158400,84.5
801244800,77.9
801331200,82.2
801417600,82.0
801504000,80.4
801590400,84.0
801676800,80.9
801763200,80.9
801849600,82.1
801936000,83.7
802022400,84.2
802108800,80.0
802195200,80.0
802281600,80.0
802368000,80.0
802454400,80.0
802540800,80.0
802627200,79.7
802713600,81.0
802800000,83.0
802886400,79.9
802972800,75.4
803059200,79.9
803145600,83.0
803232000,81.4
803318400,78.3
803404800,82.8
803491200,80.4
803577600,74.4
803664000,74.4
803750400,82.0
803836800,80.8
803923200,80.8
804009600,77.4
804096000,77.4
804182400,77.4
804268800,77.4
804355200,77.4
804441600,77.7
804528000,79.3
804614400,80.5
804700800,79.1
804787200,76.7
804873600,79.2
804960000,80.2
805046400,78.7
805132800,79.6
805219200,79.0
805305600,78.8
805392000,78.6
805478400,80.0
805564800,80.6
805651200,79.4
805737600,79.1
805824000,81.3
805910400,79.6
805996800,77.8
806083200,80.8
806169600,77.3
806256000,77.8
806342400,77.9
806428800,77.2
806515200,77.5
806601600,77.7
806688000,76.5
806774400,77.5
806860800,78.6
806947200,78.5
807033600,78.1
807120000,77.2
807206400,78.9
807292800,78.0
807379200,78.7
807465600,78.3
807552000,76.6
807638400,76.7
807724800,79.3
807811200,76.3
807897600,77.4
807984000,77.7
808070400,77.7
808156800,77.6
808243200,78.5
808329600,78.1
808416000,78.2
808502400,79.4
808588800,76.9
808675200,79.9
808761600,80.5
808848000,78.3
808934400,78.2
809020800,79.1
809107200,77.3
809193600,79.9
809280000,80.3
809366400,80.3
809452800,78.7
809539200,79.3
809625600,79.1
809712000,79.3
809798400,79.9
809884800,78.3
809971200,77.5
810057600,79.3
810144000,79.0
810230400,79.8
810316800,80.2
810403200,80.9
810489600,78.3
810576000,78.5
810662400,78.4
810748800,79.2
810835200,77.2
810921600,78.2
811008000,78.4
811094400,77.6
811180800,75.8
811267200,77.8
811353600,78.7
811440000,78.7
811526400,78.2
811612800,78.0
811699200,78.3
811785600,78.6
811872000,79.6
811958400,79.6
812044800,80.0
812131200,79.4
812217600,79.0
812304000,79.1
812390400,79.9
812476800,79.8
812563200,79.8
812649600,79.8
812736000,80.8
812822400,78.6
812908800,78.9
812995200,79.1
813081600,79.3
813168000,78.7
813254400,79.7
813340800,80.6
813427200,82.4
813513600,82.4
813600000,81.0
813686400,81.7
813772800,82.0
813859200,81.7
813945600,80.8
814032000,80.1
814118400,81.1
814204800,80.5
814291200,80.2
814377600,82.1
814464000,81.4
814550400,76.6
814636800,80.0
814723200,82.6
814809600,82.0
814896000,81.0
814982400,80.5
815068800,81.2
815155200,80.7
815241600,80.7
815328000,80.4
815414400,80.7
815500800,79.4
815587200,80.3
815673600,82.7
815760000,82.6
815846400,82.0
815932800,82.5
816019200,80.7
816105600,83.7
816192000,83.6
816278400,85.0
816364800,84.5
816451200,84.8
816537600,84.7
816624000,84.1
816710400,83.9
816796800,85.1
816883200,85.1
816969600,85.1
817056000,85.1
817142400,81.6
817228800,81.6
817315200,81.6
817401600,81.6
817488000,84.4
817574400,84.4
