timestamp,value
788889600,34.2
788976000,32.6
789062400,30.9
789148800,37.7
789235200,39.5
789321600,40.3
789408000,39.0
789494400,46.1
789580800,43.0
789667200,49.1
789753600,39.3
789840000,36.4
789926400,40.1
790012800,47.1
790099200,49.3
790185600,47.3
790272000,48.0
790358400,41.9
790444800,42.5
790531200,45.0
790617600,44.1
790704000,42.6
790790400,42.1
790876800,43.1
790963200,45.8
791049600,43.5
791136000,39.4
791222400,47.8
791308800,48.9
791395200,39.8
791481600,48.2
791568000,50.1
791654400,41.9
791740800,48.9
791827200,49.3
791913600,46.8
792000000,50.6
792086400,49.1
792172800,44.8
792259200,39.6
792345600,46.1
792432000,49.3
792518400,48.3
792604800,48.4
792691200,46.8
792777600,49.8
792864000,46.4
792950400,43.3
793036800,44.0
793123200,47.9
793209600,46.6
793296000,43.9
793382400,43.5
793468800,40.7
793555200,43.5
793641600,43.2
793728000,39.0
793814400,40.9
793900800,51.1
793987200,45.9
794073600,37.8
794160000,36.7
794246400,36.4
794332800,42.9
794419200,40.4
794505600,38.2
794592000,39.5
794678400,41.0
794764800,47.9
794851200,49.9
794937600,48.8
795024000,40.4
795110400,44.5
795196800,39.6
795283200,43.1
795369600,47.8
795456000,46.4
795542400,41.9
795628800,41.4
795715200,42.4
795801600,43.9
795888000,46.9
795974400,49.6
796060800,51.0
796147200,49.5
796233600,41.8
796320000,39.5
796406400,40.7
796492800,43.9
796579200,53.7
796665600,56.2
796752000,53.2
796838400,53.2
796924800,52.7
797011200,53.4
797097600,57.8
797184000,55.5
797270400,47.5
797356800,47.9
797443200,53.9
797529600,54.7
797616000,52.3
797702400,50.9
797788800,54.6
797875200,51.0
797961600,48.8
798048000,51.1
798134400,47.5
798220800,41.2
798307200,42.9
798393600,45.1
798480000,47.5
798566400,51.1
798652800,48.6
798739200,56.1
798825600,47.2
798912000,46.4
798998400,47.1
799084800,49.4
799171200,53.4
799257600,56.0
799344000,61.8
799430400,64.3
799516800,66.2
799603200,67.5
799689600,67.8
799776000,67.9
799862400,57.0
799948800,52.6
800035200,51.2
800121600,47.4
800208000,45.8
800294400,45.9
800380800,48.3
800467200,50.4
800553600,51.3
800640000,47.9
800726400,48.9
800812800,51.8
800899200,52.1
800985600,54.1
801072000,56.8
801158400,61.0
801244800,58.7
801331200,58.8
801417600,59.3
801504000,61.1
801590400,61.6
801676800,58.3
801763200,56.0
801849600,59.1
801936000,56.7
802022400,59.1
802108800,56.5
802195200,56.6
802281600,58.3
802368000,59.2
802454400,59.8
802540800,54.3
802627200,54.2
802713600,53.7
802800000,54.8
802886400,52.3
802972800,52.1
803059200,55.4
803145600,56.6
803232000,58.7
803318400,56.7
803404800,62.5
803491200,64.0
803577600,66.0
803664000,64.6
803750400,63.9
803836800,60.3
803923200,57.0
804009600,62.7
804096000,63.5
804182400,65.2
804268800,70.5
804355200,71.5
804441600,73.2
