timestamp,value
788889600,56.4
788976000,55.1
789062400,54.3
789148800,53.6
789235200,56.6
789321600,54.4
789408000,53.5
789494400,56.8
789580800,59.7
789667200,57.6
789753600,57.9
789840000,56.2
789926400,57.9
790012800,58.2
790099200,57.0
790185600,51.2
790272000,53.9
790358400,53.4
790444800,55.1
790531200,54.5
790617600,53.7
790704000,54.7
790790400,55.5
790876800,55.8
790963200,55.5
791049600,55.2
791136000,55.0
791222400,55.8
791308800,58.4
791395200,62.1
791481600,64.1
791568000,63.9
791654400,65.8
791740800,66.1
791827200,65.4
791913600,57.8
792000000,54.6
792086400,57.0
792172800,56.4
792259200,57.1
792345600,55.7
792432000,57.2
792518400,57.0
792604800,55.1
792691200,58.9
792777600,57.0
792864000,59.1
792950400,60.5
793036800,63.1
793123200,67.5
793209600,73.6
793296000,64.8
793382400,60.8
793468800,58.4
793555200,60.1
793641600,58.9
793728000,58.7
793814400,59.0
793900800,59.8
793987200,58.8
794073600,58.7
794160000,61.0
794246400,58.7
794332800,59.8
794419200,61.7
794505600,59.1
794592000,59.0
794678400,59.9
794764800,60.8
794851200,60.0
794937600,57.5
795024000,58.4
795110400,60.9
795196800,62.9
795283200,60.8
795369600,60.5
795456000,61.6
795542400,60.9
795628800,62.4
795715200,58.6
795801600,53.8
795888000,54.9
795974400,52.9
796060800,56.3
796147200,57.7
796233600,60.5
796320000,61.4
796406400,61.2
796492800,63.3
796579200,62.6
796665600,60.1
796752000,58.8
796838400,61.8
796924800,63.4
797011200,58.3
797097600,58.2
797184000,58.4
797270400,60.5
797356800,63.1
797443200,63.9
797529600,62.8
797616000,62.5
797702400,59.7
797788800,58.0
797875200,57.0
797961600,51.5
798048000,52.9
798134400,54.0
798220800,55.3
798307200,54.6
798393600,56.8
798480000,63.2
798566400,67.3
798652800,67.5
798739200,58.3
798825600,58.9
798912000,59.4
798998400,60.1
799084800,60.2
799171200,60.8
799257600,61.3
799344000,60.9
799430400,60.2
799516800,58.8
799603200,57.2
799689600,55.7
799776000,56.9
799862400,57.8
799948800,58.2
800035200,59.8
800121600,59.9
800208000,60.7
800294400,58.5
800380800,57.6
800467200,57.9
800553600,58.6
800640000,60.6
800726400,59.4
800812800,59.4
800899200,58.0
800985600,58.5
801072000,59.1
801158400,59.6
801244800,59.2
801331200,59.2
801417600,60.2
801504000,60.6
801590400,60.4
801676800,61.7
801763200,60.8
801849600,60.5
801936000,60.7
802022400,61.5
802108800,61.8
802195200,61.1
802281600,62.3
802368000,63.2
802454400,63.3
802540800,60.4
802627200,60.2
802713600,64.9
802800000,67.7
802886400,69.1
802972800,66.1
803059200,63.2
803145600,62.2
803232000,57.4
803318400,59.4
803404800,62.5
803491200,64.4
803577600,64.5
803664000,64.8
803750400,64.9
803836800,62.8
803923200,62.6
804009600,63.3
804096000,65.3
804182400,66.0
804268800,64.4
804355200,64.2
804441600,64.0
804528000,64.7
804614400,65.0
804700800,64.4
804787200,65.6
804873600,64.6
804960000,64.6
805046400,65.2
805132800,65.5
805219200,65.0
805305600,69.5
805392000,69.6
805478400,66.5
805564800,66.8
805651200,67.2
805737600,64.9
805824000,67.1
805910400,68.7
805996800,66.4
806083200,64.4
806169600,66.0
806256000,67.2
806342400,66.9
806428800,67.0
806515200,68.1
806601600,67.4
806688000,66.7
806774400,66.8
806860800,71.0
806947200,73.4
807033600,71.4
807120000,70.1
807206400,68.8
807292800,66.9
807379200,67.2
807465600,66.1
807552000,65.6
807638400,65.6
807724800,67.7
807811200,71.6
807897600,69.5
807984000,67.0
808070400,69.4
808156800,69.7
808243200,64.3
808329600,63.6
808416000,65.9
808502400,64.8
808588800,65.6
808675200,67.7
808761600,68.8
808848000,66.4
808934400,67.8
809020800,68.8
809107200,66.5
809193600,64.9
809280000,65.5
809366400,67.0
809452800,69.8
809539200,71.9
809625600,74.3
809712000,74.5
809798400,70.2
809884800,69.7
809971200,72.3
810057600,72.0
810144000,71.3
810230400,71.9
810316800,76.6
810403200,73.4
810489600,70.1
810576000,66.4
810662400,66.1
810748800,68.3
810835200,71.4
810921600,71.5
811008000,72.4
811094400,70.0
811180800,70.0
811267200,67.5
811353600,66.2
811440000,67.4
811526400,66.4
811612800,66.3
811699200,66.4
811785600,66.5
811872000,67.9
811958400,68.1
812044800,67.5
812131200,67.5
812217600,67.3
812304000,65.8
812390400,68.3
812476800,69.4
812563200,72.0
812649600,71.9
812736000,70.6
812822400,69.4
812908800,67.7
812995200,67.1
813081600,66.6
813168000,65.9
813254400,65.0
813340800,65.6
813427200,67.1
813513600,65.7
813600000,64.0
813686400,64.2
813772800,65.4
813859200,64.3
813945600,65.5
814032000,66.2
814118400,64.4
814204800,63.5
814291200,64.7
814377600,66.4
814464000,64.9
814550400,63.2
814636800,62.5
814723200,65.2
814809600,64.3
814896000,64.4
814982400,64.1
815068800,61.6
815155200,61.1
815241600,61.3
815328000,61.6
815414400,62.4
815500800,62.4
815587200,62.7
815673600,62.7
815760000,63.6
815846400,62.5
815932800,63.8
816019200,64.0
816105600,62.6
816192000,62.7
816278400,61.0
816364800,60.5
816451200,60.5
816537600,61.0
816624000,59.5
816710400,59.1
816796800,57.5
816883200,59.0
816969600,59.0
817056000,60.6
817142400,58.7
817228800,60.2
817315200,58.7
817401600,60.0
817488000,64.5
817574400,64.2
817660800,63.5
817747200,58.7
817833600,59.4
817920000,59.9
818006400,58.8
818092800,61.4
818179200,61.3
818265600,61.0
818352000,60.4
818438400,58.7
818524800,58.4
818611200,57.5
818697600,59.5
818784000,58.8
818870400,58.8
818956800,59.0
819043200,59.2
819129600,56.3
819216000,55.1
819302400,57.5
819388800,55.9
819475200,54.3
819561600,55.1
819648000,53.0
819734400,51.9
819820800,56.1
819907200,58.3
819993600,59.7
820080000,54.9
820166400,57.3
820252800,59.4
820339200,59.0
820425600,61.5
820512000,62.0
820598400,58.8
820684800,55.8
820771200,56.4
