timestamp,value
788889600,42.6
788976000,24.7
789062400,25.9
789148800,19.2
789235200,14.0
789321600,27.4
789408000,33.1
789494400,30.0
789580800,35.0
789667200,37.0
789753600,51.1
789840000,62.0
789926400,62.4
790012800,59.5
790099200,45.2
790185600,37.2
790272000,39.0
790358400,46.3
790444800,50.5
790531200,35.1
790617600,27.3
790704000,27.7
790790400,27.4
790876800,25.3
790963200,29.4
791049600,29.0
791136000,31.2
791222400,36.0
791308800,26.6
791395200,27.7
791481600,28.8
791568000,41.6
791654400,42.2
791740800,36.4
791827200,29.7
791913600,20.9
792000000,15.5
792086400,22.2
792172800,15.8
792259200,21.1
792345600,34.3
792432000,29.3
792518400,13.7
792604800,21.6
792691200,30.7
792777600,43.7
792864000,38.9
792950400,35.8
793036800,39.7
793123200,45.4
793209600,44.2
793296000,41.8
793382400,39.3
793468800,57.7
793555200,41.0
793641600,41.5
793728000,56.9
793814400,58.2
793900800,47.2
793987200,36.4
794073600,28.0
794160000,30.5
794246400,36.0
794332800,49.5
794419200,51.7
794505600,62.2
794592000,34.2
794678400,31.1
794764800,36.6
794851200,51.9
794937600,58.4
795024000,63.1
795110400,63.8
795196800,63.1
795283200,62.4
795369600,61.8
795456000,57.3
795542400,58.0
795628800,62.9
795715200,53.5
795801600,55.2
795888000,54.6
795974400,47.7
796060800,48.9
796147200,53.4
796233600,54.7
796320000,48.8
796406400,46.5
796492800,45.0
796579200,41.6
796665600,40.8
796752000,49.0
796838400,57.4
796924800,53.9
797011200,39.2
797097600,54.1
797184000,63.8
797270400,71.0
797356800,68.1
797443200,56.1
797529600,68.2
797616000,59.2
797702400,50.9
797788800,53.9
797875200,56.9
797961600,66.0
798048000,68.5
798134400,71.3
798220800,68.0
798307200,57.6
798393600,67.4
798480000,57.1
798566400,48.6
798652800,47.7
798739200,53.8
798825600,57.0
798912000,61.2
798998400,51.9
799084800,58.8
799171200,59.7
799257600,49.1
799344000,52.7
799430400,55.1
799516800,58.3
799603200,58.5
799689600,59.8
799776000,65.7
799862400,70.0
799948800,72.8
800035200,70.0
800121600,60.2
800208000,58.2
800294400,59.1
800380800,73.1
800467200,72.0
800553600,63.3
800640000,69.9
800726400,69.3
800812800,61.6
800899200,64.0
800985600,62.8
801072000,64.6
801158400,70.6
801244800,78.1
801331200,71.8
801417600,68.0
801504000,70.6
801590400,74.2
801676800,70.5
801763200,64.3
801849600,68.5
801936000,69.0
802022400,71.3
802108800,72.3
802195200,73.1
802281600,74.1
802368000,77.8
802454400,74.9
802540800,78.2
802627200,78.7
802713600,80.2
802800000,72.1
802886400,64.9
802972800,65.3
803059200,69.1
803145600,73.2
803232000,75.6
803318400,76.3
803404800,77.0
803491200,78.7
803577600,75.6
803664000,76.4
803750400,73.7
803836800,76.9
803923200,76.2
804009600,74.6
804096000,75.8
804182400,75.8
804268800,76.5
804355200,76.5
804441600,76.7
804528000,73.8
804614400,69.4
804700800,70.3
804787200,77.4
804873600,76.5
804960000,74.9
805046400,76.0
805132800,72.7
805219200,74.4
805305600,79.3
805392000,81.6
805478400,82.3
805564800,85.0
805651200,87.4
805737600,84.5
805824000,81.7
805910400,83.8
805996800,80.5
806083200,79.0
806169600,78.4
806256000,80.3
806342400,80.2
806428800,78.0
806515200,76.5
806601600,78.2
806688000,80.5
806774400,81.0
806860800,79.2
806947200,83.5
807033600,85.0
807120000,85.5
807206400,84.3
807292800,82.3
807379200,85.2
807465600,84.0
807552000,78.1
807638400,76.0
807724800,78.9
807811200,75.7
807897600,76.9
807984000,77.8
808070400,83.1
808156800,85.4
808243200,85.0
808329600,83.8
808416000,85.2
808502400,84.7
808588800,85.6
808675200,85.7
808761600,80.5
808848000,81.4
808934400,81.2
809020800,80.0
809107200,75.5
809193600,76.6
809280000,80.0
809366400,79.4
809452800,79.0
809539200,80.1
809625600,79.7
809712000,80.3
809798400,83.8
809884800,79.1
809971200,72.6
810057600,72.9
810144000,73.9
810230400,76.0
810316800,77.4
810403200,73.4
810489600,74.4
810576000,68.9
810662400,68.8
810748800,68.4
810835200,77.2
810921600,76.7
811008000,75.5
811094400,70.9
811180800,67.9
811267200,68.5
811353600,61.9
811440000,64.8
811526400,68.8
811612800,66.6
811699200,56.2
811785600,50.8
811872000,54.3
811958400,55.3
812044800,61.2
812131200,64.0
812217600,65.8
812304000,67.1
812390400,68.6
812476800,68.7
812563200,66.5
812649600,67.5
812736000,62.1
812822400,64.9
812908800,68.7
812995200,60.5
813081600,56.6
813168000,60.4
813254400,61.6
813340800,65.4
813427200,66.9
813513600,64.4
813600000,62.4
813686400,52.2
813772800,53.5
813859200,53.3
813945600,62.6
814032000,63.6
814118400,56.7
814204800,45.7
814291200,50.9
814377600,60.8
814464000,58.6
814550400,47.8
814636800,53.4
814723200,58.6
814809600,51.1
814896000,50.9
814982400,49.5
815068800,57.6
815155200,62.6
815241600,66.8
815328000,42.7
815414400,33.9
815500800,29.7
815587200,35.5
815673600,50.9
815760000,39.1
815846400,33.5
815932800,51.3
816019200,47.7
816105600,27.4
816192000,39.6
816278400,36.9
816364800,33.0
816451200,36.5
816537600,44.0
816624000,48.2
816710400,42.9
816796800,45.8
816883200,44.7
816969600,34.4
817056000,43.6
817142400,34.2
817228800,35.5
817315200,50.0
817401600,58.5
817488000,39.5
817574400,36.5
817660800,35.1
817747200,52.1
817833600,49.7
817920000,55.9
818006400,45.5
818092800,45.5
818179200,36.0
818265600,31.6
818352000,29.4
818438400,20.4
818524800,10.1
818611200,21.9
818697600,33.2
818784000,38.8
818870400,60.2
818956800,51.7
819043200,43.6
819129600,39.6
819216000,41.7
819302400,38.2
819388800,25.6
819475200,26.2
819561600,28.3
819648000,25.5
819734400,25.0
819820800,28.3
819907200,23.8
819993600,30.9
820080000,26.7
820166400,29.3
820252800,34.1
820339200,42.5
820425600,44.7
820512000,40.6
820598400,23.6
820684800,24.4
820771200,29.2
820857600,22.9
820944000,18.8
821030400,16.3
821116800,25.7
821203200,31.9
821289600,28.9
821376000,28.5
821462400,33.1
821548800,40.3
821635200,36.7
821721600,39.9
821808000,58.3
821894400,59.4
821980800,21.6
822067200,18.3
822153600,30.8
822240000,36.2
822326400,44.1
822412800,36.1
822499200,27.0
822585600,39.3
822672000,36.1
822758400,26.5
822844800,41.7
822931200,28.8
823017600,17.3
823104000,15.6
823190400,12.8
823276800,4.7
823363200,1.7
823449600,10.5
823536000,24.5
823622400,36.7
823708800,47.6
823795200,44.4
823881600,49.6
823968000,43.5
824054400,31.2
824140800,32.7
824227200,44.0
824313600,34.8
824400000,29.0
824486400,27.0
824572800,30.2
824659200,37.2
824745600,49.8
824832000,52.5
824918400,53.2
825004800,59.1
825091200,53.1
825177600,51.0
825264000,63.5
825350400,65.5
825436800,41.1
825523200,24.6
825609600,29.2
825696000,38.6
825782400,25.3
825868800,33.4
825955200,56.2
826041600,50.9
826128000,27.9
826214400,16.2
826300800,19.2
826387200,27.5
826473600,33.3
826560000,41.9
826646400,50.5
826732800,61.8
826819200,60.9
826905600,47.8
826992000,48.1
827078400,46.2
827164800,38.9
827251200,32.9
827337600,30.7
827424000,32.5
827510400,37.4
827596800,48.8
827683200,58.2
827769600,32.2
827856000,36.2
827942400,43.6
828028800,45.0
828115200,51.4
828201600,56.1
828288000,43.8
828374400,44.7
828460800,62.1
828547200,53.9
828633600,38.3
828720000,38.3
828806400,38.8
828892800,39.5
828979200,39.8
829065600,45.0
829152000,56.0
829238400,65.8
829324800,57.1
829411200,47.8
829497600,56.9
829584000,42.9
829670400,47.0
829756800,64.2
829843200,67.8
829929600,65.1
830016000,67.0
830102400,68.9
830188800,55.5
830275200,48.6
830361600,48.6
830448000,57.6
830534400,46.3
830620800,53.7
830707200,58.2
830793600,50.9
830880000,57.6
830966400,59.0
831052800,65.2
831139200,69.1
831225600,71.2
831312000,63.5
831398400,62.7
831484800,67.8
831571200,72.0
831657600,76.1
831744000,61.1
831830400,53.9
831916800,50.5
832003200,52.2
832089600,59.9
832176000,75.7
832262400,78.2
832348800,77.8
832435200,81.9
832521600,80.2
832608000,76.8
832694400,71.0
832780800,72.2
832867200,80.6
832953600,68.0
833040000,68.6
833126400,70.4
833212800,71.3
833299200,64.8
833385600,60.5
833472000,70.6
833558400,67.0
833644800,67.5
833731200,70.6
833817600,65.7
833904000,66.0
833990400,69.1
834076800,69.5
834163200,64.8
834249600,65.5
834336000,64.6
834422400,65.6
834508800,67.7
834595200,70.8
834681600,76.4
834768000,76.3
834854400,78.2
834940800,78.2
835027200,80.8
835113600,80.8
835200000,74.9
835286400,79.5
835372800,81.8
835459200,80.7
835545600,85.4
835632000,74.6
835718400,72.1
835804800,74.4
835891200,79.2
835977600,81.0
836064000,83.8
836150400,88.1
836236800,80.7
836323200,72.8
836409600,71.3
836496000,73.6
836582400,78.4
836668800,78.7
836755200,76.1
836841600,73.6
836928000,70.1
837014400,71.9
837100800,76.2
837187200,78.0
837273600,75.7
837360000,73.5
837446400,76.7
837532800,78.7
837619200,83.1
837705600,82.4
837792000,76.8
837878400,74.6
837964800,74.3
838051200,72.4
838137600,77.1
838224000,75.6
838310400,73.0
838396800,74.1
838483200,74.7
838569600,76.6
838656000,73.2
838742400,74.5
838828800,71.8
838915200,72.8
839001600,72.7
839088000,77.9
839174400,80.2
839260800,82.4
839347200,83.4
839433600,80.4
839520000,72.6
839606400,72.9
839692800,72.8
839779200,72.6
839865600,74.3
839952000,77.1
840038400,76.1
840124800,77.5
840211200,75.9
840297600,72.5
840384000,80.8
840470400,80.7
840556800,79.3
840643200,78.6
840729600,82.0
840816000,75.8
840902400,72.7
840988800,73.2
841075200,74.9
841161600,73.6
841248000,76.8
841334400,76.8
841420800,74.2
841507200,84.0
841593600,80.6
841680000,74.7
841766400,74.8
841852800,76.9
841939200,76.4
842025600,75.4
842112000,75.3
842198400,75.5
842284800,74.7
842371200,73.1
842457600,71.0
842544000,60.3
842630400,59.4
842716800,59.9
842803200,67.3
842889600,63.5
842976000,62.8
843062400,64.2
843148800,65.3
843235200,64.9
843321600,64.0
843408000,66.7
843494400,68.1
843580800,62.0
843667200,67.3
843753600,70.9
843840000,58.3
843926400,57.9
844012800,61.3
844099200,65.6
844185600,71.3
844272000,59.3
844358400,52.8
844444800,56.3
844531200,61.9
844617600,60.1
844704000,59.0
844790400,54.4
844876800,53.2
844963200,51.2
845049600,54.2
845136000,61.2
845222400,66.2
845308800,66.7
845395200,65.0
845481600,65.1
845568000,57.2
845654400,47.5
845740800,47.8
845827200,53.8
845913600,65.0
846000000,52.5
846086400,55.3
846172800,52.6
846259200,57.4
846345600,66.3
846432000,65.5
846518400,59.4
846604800,68.1
846691200,47.4
846777600,45.6
846864000,38.4
846950400,33.7
847036800,42.2
847123200,56.3
847209600,58.7
847296000,67.3
847382400,45.5
847468800,39.0
847555200,35.3
847641600,31.4
847728000,32.6
847814400,34.9
847900800,34.1
847987200,34.2
848073600,44.1
848160000,52.7
848246400,46.8
848332800,39.8
848419200,40.7
848505600,39.5
848592000,36.0
848678400,36.6
848764800,49.7
848851200,48.4
848937600,37.4
849024000,29.5
849110400,33.2
849196800,37.1
849283200,49.5
849369600,52.4
849456000,37.5
849542400,42.3
849628800,34.9
849715200,36.5
849801600,39.9
849888000,46.6
849974400,36.7
850060800,31.8
850147200,43.5
850233600,62.4
850320000,54.9
850406400,43.9
850492800,40.3
850579200,45.5
850665600,42.3
850752000,37.8
850838400,27.1
850924800,17.9
851011200,15.8
851097600,25.2
851184000,40.4
851270400,54.0
851356800,39.4
851443200,24.1
851529600,32.5
851616000,41.1
851702400,59.4
851788800,60.9
851875200,40.7
851961600,50.2
852048000,48.6
852134400,54.7
852220800,63.3
852307200,64.2
852393600,52.8
852480000,34.5
852566400,26.5
852652800,26.5
852739200,30.0
852825600,22.4
852912000,5.3
852998400,8.1
853084800,9.7
853171200,13.3
853257600,28.5
853344000,26.4
853430400,10.6
853516800,13.4
853603200,22.5
853689600,34.6
853776000,39.4
853862400,53.0
853948800,38.4
854035200,35.8
854121600,33.6
854208000,22.3
854294400,39.1
854380800,28.0
854467200,22.3
854553600,31.3
854640000,43.4
854726400,45.4
854812800,45.7
854899200,42.5
854985600,50.2
855072000,37.4
855158400,35.1
855244800,37.6
855331200,33.7
855417600,31.6
855504000,32.2
855590400,33.9
855676800,35.9
855763200,30.3
855849600,34.0
855936000,33.3
856022400,36.1
856108800,34.9
856195200,53.1
856281600,57.8
856368000,56.0
856454400,66.1
856540800,43.2
856627200,37.5
856713600,41.2
856800000,39.3
856886400,46.0
856972800,59.4
857059200,49.5
857145600,62.0
857232000,56.2
857318400,40.9
857404800,47.7
857491200,50.7
857577600,39.9
857664000,40.9
857750400,57.0
857836800,51.4
857923200,49.3
858009600,52.6
858096000,49.9
858182400,51.3
858268800,51.3
858355200,31.4
858441600,32.2
858528000,41.8
858614400,48.9
858700800,45.0
858787200,50.8
858873600,58.8
858960000,56.4
859046400,46.6
859132800,46.2
859219200,60.7
859305600,47.8
859392000,53.5
859478400,59.9
859564800,56.2
859651200,49.9
859737600,45.8
859824000,47.6
859910400,52.7
859996800,58.5
860083200,63.8
860169600,65.9
860256000,68.2
860342400,48.3
860428800,47.4
860515200,36.0
860601600,38.7
860688000,55.2
860774400,60.1
860860800,41.0
860947200,43.7
861033600,50.4
861120000,53.3
861206400,43.4
861292800,45.0
861379200,50.2
861465600,51.2
861552000,54.9
861638400,55.9
861724800,53.6
861811200,55.1
861897600,54.8
861984000,57.1
862070400,56.8
862156800,55.9
862243200,57.0
862329600,65.0
862416000,56.9
862502400,58.7
862588800,58.5
862675200,54.2
862761600,58.6
862848000,62.4
862934400,61.7
863020800,61.6
863107200,58.5
863193600,52.8
863280000,58.3
863366400,61.4
863452800,55.3
863539200,58.8
863625600,56.9
863712000,52.1
863798400,62.5
863884800,75.6
863971200,76.3
864057600,63.6
864144000,59.3
864230400,59.0
864316800,63.9
864403200,69.8
864489600,70.1
864576000,64.2
864662400,62.6
864748800,62.9
864835200,60.7
864921600,64.2
865008000,67.2
865094400,63.9
865180800,65.5
865267200,65.4
865353600,61.6
865440000,61.4
865526400,62.2
865612800,62.5
865699200,62.9
865785600,64.9
865872000,67.6
865958400,69.3
866044800,71.6
866131200,72.5
866217600,69.2
866304000,69.0
866390400,71.3
866476800,70.6
866563200,72.4
866649600,76.8
866736000,79.8
866822400,77.9
866908800,76.6
866995200,81.0
867081600,82.2
867168000,83.9
867254400,79.4
867340800,77.3
867427200,77.7
867513600,75.4
867600000,75.7
867686400,77.5
867772800,82.3
867859200,80.4
867945600,72.9
868032000,67.0
868118400,69.3
868204800,73.5
868291200,78.2
868377600,79.4
868464000,71.5
868550400,73.5
868636800,77.9
868723200,79.2
868809600,81.1
868896000,77.1
868982400,80.8
869068800,82.7
869155200,82.9
869241600,82.6
869328000,82.6
869414400,84.2
869500800,78.3
869587200,81.1
869673600,79.1
869760000,80.6
869846400,82.4
869932800,86.2
870019200,85.2
870105600,81.4
870192000,75.6
870278400,74.6
870364800,76.2
870451200,78.1
870537600,81.3
870624000,82.9
870710400,76.9
870796800,70.7
870883200,71.1
870969600,73.1
871056000,68.7
871142400,69.6
871228800,77.5
871315200,78.5
871401600,77.1
871488000,75.1
871574400,80.7
871660800,84.7
871747200,84.0
871833600,76.8
871920000,72.5
872006400,70.9
872092800,69.6
872179200,66.7
872265600,67.0
872352000,67.2
872438400,69.3
872524800,75.3
872611200,78.4
872697600,80.9
872784000,76.4
872870400,72.3
872956800,74.6
873043200,80.3
873129600,81.7
873216000,73.1
873302400,63.0
873388800,65.3
873475200,68.9
873561600,73.1
873648000,74.8
873734400,72.6
873820800,70.7
873907200,66.8
873993600,65.6
874080000,67.2
874166400,71.3
874252800,73.0
874339200,76.5
874425600,75.8
874512000,73.6
874598400,73.8
874684800,78.7
874771200,64.7
874857600,62.5
874944000,62.1
875030400,61.4
875116800,64.5
875203200,67.0
875289600,68.2
875376000,68.9
875462400,65.4
875548800,70.7
875635200,61.8
875721600,58.5
875808000,65.4
875894400,73.0
875980800,73.8
876067200,72.3
876153600,71.1
876240000,73.0
876326400,74.4
876412800,72.5
876499200,69.0
876585600,71.2
876672000,72.0
876758400,54.7
876844800,51.3
876931200,51.2
877017600,51.5
877104000,49.7
877190400,52.4
877276800,55.9
877363200,52.4
877449600,44.8
877536000,42.0
877622400,48.3
877708800,52.0
877795200,54.3
877881600,45.6
877968000,41.0
878054400,47.6
878140800,51.6
878227200,57.7
878313600,57.3
878400000,47.0
878486400,40.8
878572800,38.7
878659200,44.7
878745600,49.8
878832000,47.4
878918400,49.0
879004800,44.7
879091200,45.5
879177600,43.7
879264000,37.5
879350400,35.9
879436800,36.0
879523200,36.0
879609600,32.7
879696000,28.0
879782400,33.0
879868800,41.7
879955200,46.4
880041600,48.1
880128000,45.4
880214400,41.4
880300800,35.5
880387200,42.1
880473600,54.7
880560000,43.4
880646400,58.0
880732800,58.6
880819200,56.8
880905600,44.8
880992000,38.5
881078400,47.8
881164800,42.7
881251200,31.6
881337600,25.0
881424000,29.8
881510400,31.3
881596800,35.5
881683200,42.9
881769600,37.2
881856000,35.4
881942400,33.9
882028800,32.5
882115200,33.9
882201600,38.1
882288000,41.3
882374400,39.1
882460800,45.3
882547200,46.7
882633600,40.2
882720000,46.1
882806400,43.3
882892800,42.9
882979200,42.6
883065600,37.0
883152000,34.3
883238400,29.9
883324800,30.2
883411200,29.6
883497600,25.9
883584000,26.5
883670400,46.2
883756800,54.5
883843200,57.7
883929600,56.4
884016000,61.2
884102400,61.7
884188800,53.5
884275200,41.4
884361600,39.3
884448000,35.7
884534400,44.1
884620800,40.7
884707200,32.4
884793600,41.5
884880000,35.3
884966400,34.6
885052800,35.2
885139200,35.6
885225600,29.9
885312000,37.9
885398400,46.0
885484800,40.1
885571200,34.4
885657600,34.9
885744000,36.3
885830400,45.0
885916800,43.1
886003200,44.7
886089600,37.9
886176000,36.9
886262400,39.0
886348800,50.3
886435200,42.9
886521600,34.4
886608000,29.8
886694400,30.8
886780800,34.4
886867200,32.5
886953600,37.1
887040000,39.9
887126400,45.6
887212800,40.5
887299200,39.2
887385600,39.4
887472000,43.0
887558400,49.2
887644800,53.6
887731200,46.4
887817600,44.0
887904000,44.3
887990400,44.3
888076800,45.3
888163200,45.7
888249600,46.9
888336000,48.4
888422400,56.2
888508800,58.5
888595200,51.0
888681600,42.6
888768000,37.1
888854400,34.4
888940800,38.1
889027200,35.7
889113600,42.2
889200000,48.7
889286400,57.8
889372800,47.2
889459200,27.6
889545600,22.7
889632000,21.3
889718400,29.7
889804800,43.4
889891200,35.1
889977600,43.0
890064000,49.3
890150400,57.4
890236800,56.3
890323200,53.1
890409600,38.9
890496000,40.4
890582400,41.8
890668800,43.2
890755200,51.9
890841600,68.5
890928000,72.4
891014400,72.8
891100800,73.4
891187200,78.1
891273600,74.5
891360000,57.1
891446400,54.0
891532800,53.1
891619200,46.7
891705600,45.3
891792000,51.9
891878400,60.2
891964800,67.3
892051200,54.2
892137600,49.2
892224000,51.5
892310400,57.1
892396800,62.8
892483200,62.8
892569600,60.9
892656000,67.4
892742400,52.9
892828800,50.8
892915200,48.7
893001600,51.0
893088000,53.6
893174400,52.8
893260800,55.1
893347200,61.3
893433600,59.9
893520000,65.5
893606400,56.5
893692800,54.0
893779200,57.8
893865600,60.4
893952000,59.9
894038400,60.8
894124800,59.3
894211200,55.9
894297600,60.1
894384000,64.2
894470400,66.3
894556800,63.3
894643200,64.3
894729600,66.2
894816000,66.0
894902400,67.9
894988800,74.5
895075200,78.5
895161600,78.2
