timestamp,value
788889600,28.3
788976000,28.8
789062400,30.3
789148800,23.5
789235200,24.8
789321600,38.8
789408000,39.0
789494400,49.7
789580800,52.7
789667200,54.7
789753600,52.7
789840000,52.7
789926400,43.1
790012800,43.2
790099200,48.3
790185600,53.4
790272000,44.1
790358400,41.3
790444800,36.3
790531200,41.9
790617600,43.6
790704000,35.7
790790400,31.5
790876800,40.2
790963200,41.8
791049600,49.8
791136000,50.6
791222400,45.6
791308800,37.3
791395200,33.5
791481600,41.2
791568000,45.0
791654400,54.8
791740800,51.4
791827200,44.6
791913600,49.1
792000000,46.0
792086400,44.8
792172800,37.2
792259200,45.6
792345600,50.5
792432000,38.8
792518400,26.2
792604800,30.8
792691200,43.0
792777600,55.7
792864000,37.9
792950400,35.2
793036800,45.3
793123200,50.3
793209600,53.9
793296000,55.7
793382400,60.1
793468800,58.8
793555200,52.5
793641600,51.6
793728000,60.2
793814400,56.8
793900800,41.1
793987200,24.8
794073600,19.8
794160000,28.1
794246400,46.6
794332800,57.7
794419200,57.2
794505600,30.1
794592000,33.8
794678400,45.1
794764800,46.1
794851200,58.7
794937600,63.4
795024000,58.4
795110400,50.2
795196800,51.8
795283200,55.1
795369600,56.4
795456000,60.8
795542400,67.4
795628800,62.2
795715200,67.7
795801600,74.2
795888000,63.0
795974400,67.0
796060800,69.3
796147200,59.2
796233600,48.3
796320000,46.2
796406400,39.0
796492800,42.4
796579200,43.0
796665600,51.2
796752000,58.4
796838400,59.0
796924800,53.7
797011200,54.4
797097600,62.4
797184000,68.2
797270400,69.2
797356800,71.6
797443200,56.6
797529600,42.9
797616000,54.2
797702400,63.0
797788800,69.1
797875200,71.0
797961600,70.9
798048000,68.9
798134400,59.7
798220800,57.4
798307200,54.9
798393600,60.0
798480000,46.7
798566400,43.6
798652800,51.6
798739200,59.0
798825600,64.2
798912000,49.7
798998400,61.6
799084800,69.3
799171200,69.5
799257600,64.7
799344000,58.4
799430400,67.8
799516800,66.0
799603200,60.1
799689600,63.2
799776000,73.2
799862400,63.5
799948800,67.4
800035200,65.1
800121600,66.7
800208000,72.9
800294400,78.8
800380800,74.9
800467200,74.0
800553600,72.3
800640000,71.9
800726400,62.1
800812800,67.1
800899200,72.5
800985600,74.1
801072000,78.3
801158400,79.3
801244800,59.0
801331200,55.4
801417600,63.3
801504000,66.3
801590400,68.3
801676800,60.9
801763200,60.8
801849600,68.8
801936000,69.9
802022400,75.4
802108800,79.0
802195200,75.5
802281600,70.5
802368000,78.3
802454400,85.6
802540800,84.0
802627200,83.1
802713600,76.0
802800000,61.8
802886400,70.4
802972800,76.8
803059200,81.7
803145600,80.0
803232000,77.0
803318400,73.8
803404800,73.5
803491200,75.4
803577600,77.9
803664000,78.2
803750400,73.8
803836800,78.5
803923200,72.6
804009600,72.4
804096000,76.9
804182400,72.8
804268800,80.1
804355200,76.9
804441600,69.0
804528000,71.6
804614400,75.9
804700800,81.0
804787200,80.9
804873600,78.6
804960000,79.6
805046400,79.1
805132800,82.6
805219200,84.7
805305600,87.9
805392000,86.7
805478400,85.4
805564800,84.8
805651200,83.2
805737600,82.5
805824000,76.7
805910400,79.0
805996800,72.8
806083200,76.2
806169600,83.0
806256000,80.1
806342400,83.0
806428800,86.3
806515200,81.9
806601600,83.9
806688000,89.2
806774400,91.3
806860800,88.1
806947200,86.4
807033600,81.3
807120000,77.1
807206400,68.1
807292800,68.4
807379200,72.6
807465600,75.7
807552000,77.6
807638400,81.6
807724800,82.1
807811200,82.0
807897600,83.2
807984000,79.9
808070400,79.8
808156800,81.4
808243200,81.2
808329600,81.6
808416000,72.9
808502400,78.2
808588800,81.5
808675200,79.4
808761600,79.3
808848000,79.2
808934400,79.3
809020800,83.2
809107200,79.9
809193600,76.6
809280000,77.6
809366400,79.1
809452800,79.4
809539200,80.1
809625600,80.9
809712000,78.5
809798400,79.9
809884800,76.7
809971200,80.5
810057600,80.7
810144000,81.6
810230400,83.3
810316800,86.4
810403200,78.5
810489600,69.6
810576000,63.6
810662400,59.8
810748800,67.2
810835200,75.4
810921600,70.9
811008000,68.7
811094400,63.3
811180800,70.2
811267200,73.3
811353600,71.5
811440000,68.2
811526400,59.8
811612800,55.7
811699200,43.5
811785600,55.7
811872000,58.8
811958400,55.9
812044800,57.1
812131200,71.9
812217600,76.5
812304000,70.6
812390400,71.2
812476800,61.8
812563200,62.3
812649600,58.6
812736000,66.6
812822400,59.9
812908800,53.5
812995200,58.9
813081600,67.2
813168000,66.4
813254400,67.4
813340800,64.5
813427200,69.3
813513600,65.9
813600000,52.0
813686400,58.5
813772800,65.9
813859200,66.8
813945600,65.3
814032000,64.1
814118400,51.4
814204800,59.4
814291200,69.6
814377600,56.1
814464000,49.9
814550400,61.1
814636800,63.3
814723200,59.4
814809600,54.7
814896000,57.4
814982400,62.7
815068800,62.3
815155200,62.3
815241600,44.9
815328000,36.4
815414400,39.3
815500800,45.4
815587200,64.0
815673600,58.5
815760000,51.0
815846400,58.1
815932800,66.8
816019200,39.3
816105600,54.5
816192000,56.4
816278400,49.3
816364800,50.5
816451200,50.1
816537600,56.1
816624000,48.8
816710400,56.1
816796800,53.6
816883200,49.1
816969600,58.4
817056000,50.3
817142400,48.2
817228800,51.6
817315200,58.0
817401600,53.9
817488000,35.2
817574400,43.9
817660800,50.0
817747200,54.5
817833600,57.7
817920000,51.5
818006400,45.5
818092800,55.1
818179200,44.8
818265600,40.0
818352000,42.9
818438400,22.8
818524800,28.7
818611200,46.4
818697600,54.0
818784000,62.2
818870400,54.0
818956800,49.7
819043200,42.6
819129600,42.3
819216000,36.3
819302400,34.9
819388800,32.8
819475200,31.9
819561600,30.4
819648000,28.9
819734400,34.0
819820800,34.4
819907200,37.6
819993600,38.9
820080000,32.3
820166400,35.1
820252800,37.1
820339200,41.5
820425600,36.9
820512000,28.0
820598400,27.6
820684800,44.1
820771200,31.1
820857600,25.2
820944000,24.6
821030400,40.6
821116800,45.6
821203200,43.3
821289600,46.7
821376000,43.4
821462400,47.5
821548800,51.7
821635200,46.3
821721600,55.2
821808000,55.6
821894400,26.5
821980800,26.8
822067200,40.9
822153600,39.0
822240000,52.1
822326400,41.4
822412800,36.2
822499200,44.1
822585600,38.8
822672000,32.1
822758400,42.5
822844800,42.0
822931200,36.8
823017600,17.5
823104000,18.9
823190400,17.2
823276800,11.6
823363200,21.1
823449600,38.5
823536000,42.2
823622400,53.2
823708800,56.7
823795200,51.5
823881600,57.4
823968000,42.8
824054400,41.6
824140800,49.4
824227200,57.6
824313600,49.8
824400000,38.4
824486400,45.2
824572800,53.3
824659200,55.0
824745600,61.8
824832000,65.0
824918400,66.1
825004800,61.8
825091200,49.7
825177600,60.5
825264000,63.6
825350400,50.9
825436800,34.0
825523200,27.3
825609600,34.4
825696000,43.7
825782400,51.9
825868800,59.5
825955200,59.8
826041600,44.5
826128000,23.9
826214400,27.3
826300800,32.2
826387200,46.5
826473600,53.2
826560000,60.5
826646400,61.4
826732800,62.6
826819200,48.8
826905600,51.4
826992000,50.1
827078400,45.6
827164800,45.3
827251200,35.6
827337600,54.4
827424000,64.8
827510400,64.8
827596800,59.4
827683200,34.7
827769600,34.7
827856000,32.4
827942400,38.2
828028800,38.2
828115200,58.7
828201600,46.8
828288000,54.5
828374400,61.2
828460800,70.5
828547200,70.5
828633600,37.2
828720000,37.2
828806400,51.5
828892800,55.5
828979200,64.1
829065600,67.5
829152000,76.0
829238400,76.0
829324800,76.0
829411200,61.7
829497600,41.0
829584000,63.1
829670400,67.7
829756800,74.3
829843200,73.0
829929600,57.2
830016000,71.7
830102400,65.5
830188800,58.5
830275200,70.0
830361600,75.7
830448000,65.6
830534400,74.0
830620800,67.8
830707200,51.4
830793600,51.4
830880000,67.2
830966400,72.8
831052800,86.9
831139200,80.2
831225600,78.1
831312000,72.7
831398400,89.3
831484800,78.6
831571200,82.8
831657600,77.1
831744000,63.3
831830400,67.7
831916800,74.5
832003200,79.5
832089600,87.1
832176000,89.2
832262400,89.4
832348800,82.8
832435200,92.8
832521600,83.3
832608000,73.8
832694400,82.5
832780800,88.6
832867200,84.2
832953600,75.1
833040000,66.6
833126400,66.6
833212800,70.0
833299200,67.8
833385600,64.5
833472000,68.2
833558400,71.0
833644800,67.9
833731200,75.3
833817600,74.8
833904000,75.1
833990400,83.4
834076800,70.9
834163200,70.4
834249600,74.7
834336000,77.5
834422400,80.7
834508800,75.2
834595200,75.8
834681600,75.6
834768000,72.6
834854400,78.1
834940800,74.3
835027200,84.0
835113600,87.9
835200000,87.7
835286400,90.4
835372800,83.0
835459200,83.5
835545600,84.4
835632000,76.5
835718400,76.1
835804800,74.4
835891200,74.7
835977600,78.2
836064000,78.6
836150400,82.1
836236800,83.0
836323200,80.5
836409600,80.8
836496000,85.0
836582400,85.5
836668800,86.5
836755200,87.3
836841600,81.3
836928000,71.2
837014400,71.8
837100800,76.7
837187200,77.0
837273600,71.2
837360000,73.7
837446400,77.7
837532800,81.5
837619200,83.5
837705600,84.2
837792000,80.3
837878400,83.4
837964800,83.4
838051200,79.8
838137600,78.4
838224000,74.7
838310400,79.8
838396800,72.9
838483200,75.5
838569600,81.4
838656000,79.7
838742400,77.6
838828800,80.2
838915200,83.9
839001600,83.2
839088000,85.5
839174400,84.2
839260800,84.3
839347200,81.7
839433600,74.5
839520000,73.1
839606400,74.7
839692800,75.4
839779200,75.1
839865600,74.5
839952000,77.7
840038400,80.2
840124800,76.6
840211200,73.7
840297600,76.1
840384000,78.7
840470400,76.6
840556800,75.2
840643200,76.8
840729600,70.7
840816000,67.2
840902400,70.3
840988800,71.1
841075200,70.2
841161600,69.8
841248000,70.7
841334400,70.2
841420800,69.3
841507200,69.4
841593600,73.3
841680000,73.5
841766400,74.8
841852800,70.8
841939200,70.8
842025600,73.9
842112000,71.2
842198400,72.8
842284800,70.2
842371200,70.3
842457600,70.1
842544000,64.3
842630400,65.0
842716800,67.8
842803200,65.2
842889600,71.3
842976000,74.8
843062400,68.2
843148800,66.4
843235200,63.2
843321600,72.7
843408000,77.4
843494400,69.1
843580800,69.5
843667200,66.0
843753600,49.9
843840000,53.1
843926400,60.3
844012800,63.6
844099200,65.8
844185600,66.6
844272000,56.8
844358400,58.3
844444800,61.7
844531200,63.5
844617600,65.9
844704000,62.8
844790400,65.2
844876800,64.0
844963200,65.8
845049600,75.7
845136000,72.8
845222400,70.2
845308800,69.9
845395200,71.0
845481600,64.2
845568000,49.4
845654400,59.5
845740800,67.1
845827200,48.6
845913600,40.9
846000000,46.5
846086400,53.2
846172800,60.8
846259200,58.2
846345600,52.7
846432000,43.1
846518400,53.6
846604800,50.8
846691200,52.4
846777600,41.3
846864000,44.3
846950400,53.5
847036800,57.7
847123200,56.2
847209600,57.8
847296000,44.6
847382400,44.1
847468800,46.6
847555200,51.6
847641600,53.4
847728000,46.8
847814400,51.5
847900800,59.7
847987200,61.7
848073600,63.1
848160000,42.5
848246400,52.3
848332800,61.6
848419200,64.2
848505600,55.6
848592000,43.2
848678400,55.9
848764800,34.1
848851200,33.0
848937600,34.0
849024000,29.7
849110400,37.8
849196800,43.8
849283200,41.5
849369600,35.1
849456000,43.4
849542400,37.2
849628800,43.2
849715200,43.9
849801600,55.7
849888000,47.8
849974400,46.2
850060800,55.0
850147200,61.7
850233600,59.8
850320000,53.7
850406400,51.1
850492800,52.9
850579200,38.5
850665600,31.1
850752000,29.9
850838400,16.4
850924800,18.4
851011200,28.0
851097600,47.9
851184000,50.6
851270400,54.5
851356800,29.8
851443200,34.4
851529600,35.9
