timestamp,value
788889600,48.6
788976000,47.5
789062400,39.2
789148800,37.4
789235200,33.8
789321600,39.9
789408000,56.3
789494400,41.7
789580800,41.6
789667200,47.5
789753600,48.6
789840000,54.7
789926400,59.8
790012800,64.1
790099200,56.7
790185600,51.9
790272000,46.7
790358400,48.4
790444800,55.2
790531200,46.1
790617600,42.0
790704000,42.4
790790400,41.6
790876800,37.2
790963200,39.0
791049600,46.8
791136000,41.4
791222400,54.4
791308800,51.7
791395200,41.7
791481600,36.0
791568000,42.7
791654400,54.3
791740800,56.6
791827200,49.5
791913600,39.6
792000000,33.9
792086400,39.7
792172800,33.3
792259200,26.9
792345600,44.1
792432000,56.5
792518400,41.1
792604800,39.2
792691200,46.2
792777600,49.7
792864000,60.3
792950400,63.6
793036800,50.9
793123200,48.2
793209600,55.3
793296000,52.5
793382400,45.2
793468800,53.8
793555200,56.6
793641600,45.6
793728000,49.0
793814400,61.0
793900800,61.3
793987200,58.5
794073600,54.1
794160000,55.6
794246400,52.8
794332800,50.8
794419200,58.7
794505600,65.8
794592000,62.5
794678400,43.9
794764800,44.8
794851200,47.4
794937600,52.6
795024000,60.1
795110400,61.7
795196800,62.1
795283200,62.4
795369600,61.6
795456000,63.3
795542400,56.4
795628800,58.5
795715200,68.7
795801600,63.0
795888000,73.5
795974400,67.4
796060800,60.4
796147200,62.5
796233600,65.7
796320000,66.4
796406400,60.8
796492800,61.2
796579200,56.1
796665600,55.0
796752000,54.7
796838400,55.6
796924800,62.9
797011200,61.4
797097600,56.8
797184000,59.0
797270400,62.7
797356800,65.8
797443200,68.7
797529600,69.9
797616000,68.6
797702400,64.7
797788800,60.3
797875200,61.0
797961600,64.6
798048000,70.6
798134400,71.8
798220800,73.7
798307200,71.5
798393600,71.9
798480000,69.2
798566400,69.4
798652800,64.9
798739200,54.6
798825600,58.8
798912000,63.4
798998400,65.3
799084800,62.9
799171200,65.9
799257600,70.4
799344000,67.8
799430400,58.7
799516800,65.3
799603200,70.3
799689600,66.2
799776000,67.6
799862400,72.4
799948800,76.4
800035200,74.3
800121600,76.7
800208000,77.1
800294400,76.3
800380800,81.3
800467200,79.6
800553600,74.2
800640000,79.5
800726400,79.2
800812800,79.7
800899200,70.7
800985600,68.4
801072000,71.2
801158400,73.9
801244800,74.3
801331200,75.7
801417600,79.0
801504000,80.2
801590400,78.6
801676800,79.3
801763200,74.0
801849600,74.7
801936000,74.4
802022400,74.5
802108800,75.5
802195200,75.1
802281600,72.2
802368000,77.1
802454400,80.6
802540800,81.4
802627200,84.2
802713600,79.6
802800000,77.9
802886400,78.0
802972800,69.2
803059200,67.1
803145600,69.2
803232000,73.2
803318400,73.1
803404800,72.2
803491200,70.1
803577600,67.2
803664000,70.2
803750400,73.1
803836800,75.4
803923200,78.4
804009600,76.3
804096000,79.8
804182400,80.1
804268800,80.2
804355200,76.3
804441600,79.7
804528000,75.7
804614400,77.1
804700800,78.7
804787200,78.5
804873600,80.3
804960000,82.6
805046400,81.7
805132800,78.9
805219200,77.0
805305600,78.9
805392000,83.6
805478400,82.5
805564800,81.2
805651200,82.1
805737600,85.7
805824000,86.9
805910400,82.3
805996800,81.3
806083200,83.5
806169600,85.4
806256000,83.3
806342400,81.2
806428800,81.0
806515200,83.2
806601600,82.4
806688000,81.2
806774400,76.9
806860800,78.5
806947200,79.1
807033600,79.2
807120000,80.4
807206400,80.0
807292800,77.2
807379200,77.0
807465600,80.5
807552000,79.7
807638400,80.9
807724800,80.0
807811200,78.0
807897600,76.1
807984000,78.1
808070400,78.8
808156800,81.7
808243200,83.7
808329600,85.4
808416000,85.4
808502400,86.7
808588800,84.9
808675200,86.8
808761600,81.2
808848000,79.1
808934400,78.1
809020800,84.4
809107200,81.4
809193600,76.6
809280000,75.7
809366400,75.9
809452800,77.1
809539200,76.5
809625600,76.7
809712000,74.0
809798400,76.0
809884800,77.3
809971200,74.2
810057600,74.0
810144000,70.6
810230400,71.5
810316800,68.7
810403200,71.8
810489600,73.9
810576000,76.0
810662400,74.9
810748800,74.2
810835200,76.2
810921600,77.8
811008000,73.9
811094400,71.8
811180800,75.4
811267200,79.0
811353600,75.4
811440000,72.6
811526400,71.6
811612800,72.9
811699200,74.9
811785600,65.7
811872000,55.8
811958400,61.4
812044800,70.4
812131200,72.8
812217600,68.3
812304000,68.0
812390400,70.4
812476800,69.8
812563200,73.3
812649600,76.2
812736000,76.3
812822400,77.2
812908800,72.0
812995200,69.9
813081600,64.0
813168000,65.9
813254400,69.5
813340800,71.1
813427200,70.0
813513600,72.8
813600000,72.1
813686400,61.2
813772800,58.6
813859200,58.6
813945600,61.7
814032000,65.3
814118400,66.7
814204800,54.6
814291200,53.3
814377600,55.9
814464000,67.1
814550400,66.6
814636800,57.1
814723200,63.8
814809600,62.7
814896000,52.3
814982400,51.4
