timestamp,value
788889600,19.6
788976000,12.6
789062400,13.0
789148800,2.3
789235200,4.7
789321600,21.4
789408000,13.8
789494400,9.0
789580800,4.3
789667200,18.4
789753600,30.8
789840000,36.0
789926400,34.5
790012800,34.4
790099200,30.6
790185600,26.0
790272000,33.6
790358400,29.5
790444800,26.9
790531200,26.6
790617600,23.5
790704000,21.7
790790400,17.3
790876800,14.3
790963200,18.8
791049600,11.8
791136000,16.1
791222400,27.3
791308800,15.4
791395200,24.1
791481600,27.8
791568000,34.6
791654400,30.6
791740800,29.6
791827200,22.3
791913600,8.1
792000000,7.6
792086400,12.5
792172800,8.9
792259200,25.6
792345600,29.0
792432000,3.6
792518400,2.7
792604800,11.1
792691200,11.0
792777600,28.3
792864000,18.9
792950400,22.7
793036800,35.6
793123200,36.8
793209600,36.5
793296000,25.8
793382400,30.7
793468800,33.7
793555200,30.9
793641600,33.3
793728000,26.2
793814400,28.6
793900800,29.9
793987200,13.1
794073600,11.7
794160000,21.5
794246400,27.7
794332800,33.0
794419200,27.1
794505600,24.1
794592000,22.9
794678400,16.6
794764800,34.1
794851200,46.5
794937600,50.7
795024000,58.1
795110400,57.6
795196800,53.6
795283200,49.3
795369600,43.9
795456000,40.8
795542400,41.2
795628800,41.7
795715200,41.3
795801600,39.3
795888000,36.0
795974400,36.5
796060800,41.7
796147200,45.1
796233600,39.7
796320000,35.3
796406400,37.7
796492800,36.4
796579200,36.8
796665600,34.6
796752000,38.9
796838400,54.4
796924800,27.5
797011200,27.5
797097600,48.6
797184000,38.5
797270400,39.0
797356800,36.7
797443200,34.4
797529600,41.6
797616000,41.3
797702400,46.0
797788800,43.9
797875200,45.1
797961600,46.2
798048000,49.8
798134400,51.9
798220800,46.1
798307200,42.3
798393600,41.6
798480000,47.9
798566400,48.0
798652800,45.7
798739200,43.3
798825600,48.8
798912000,45.7
798998400,50.3
799084800,51.6
799171200,47.9
799257600,44.8
799344000,50.2
799430400,51.0
799516800,54.6
799603200,52.8
799689600,56.4
799776000,63.2
799862400,55.6
799948800,50.1
800035200,50.2
800121600,58.0
800208000,61.5
800294400,59.3
800380800,62.2
800467200,60.4
800553600,65.6
800640000,59.2
800726400,53.8
800812800,61.4
800899200,65.2
800985600,60.4
801072000,60.6
801158400,59.8
801244800,54.1
801331200,55.1
801417600,58.4
801504000,56.5
801590400,61.7
801676800,59.3
801763200,67.2
801849600,68.0
801936000,70.0
802022400,67.4
802108800,70.0
802195200,71.1
802281600,71.2
802368000,72.6
802454400,76.6
802540800,52.8
802627200,57.4
802713600,65.4
802800000,63.4
802886400,63.8
802972800,67.0
803059200,69.8
803145600,72.7
803232000,76.0
803318400,78.9
803404800,82.1
803491200,82.1
803577600,80.8
803664000,81.0
803750400,79.5
803836800,80.5
803923200,78.2
804009600,75.9
804096000,73.1
804182400,71.0
804268800,72.5
804355200,73.9
804441600,70.9
804528000,63.1
804614400,61.4
804700800,69.5
804787200,70.8
804873600,72.6
804960000,67.8
805046400,67.7
805132800,67.5
805219200,73.9
805305600,72.4
805392000,77.9
805478400,81.8
805564800,88.9
805651200,90.6
805737600,86.3
805824000,76.3
805910400,74.4
805996800,73.1
806083200,71.4
806169600,72.9
806256000,72.4
806342400,76.0
806428800,73.3
806515200,74.8
806601600,77.9
806688000,73.8
806774400,73.8
806860800,74.7
806947200,80.1
807033600,80.6
807120000,82.9
807206400,68.6
807292800,69.3
807379200,75.6
807465600,77.9
807552000,76.2
807638400,74.2
807724800,77.6
807811200,77.1
807897600,74.7
807984000,79.3
808070400,81.7
808156800,85.5
808243200,85.8
808329600,82.6
808416000,74.2
808502400,76.2
808588800,77.8
808675200,78.5
808761600,76.8
808848000,69.6
808934400,71.1
809020800,76.9
809107200,77.3
809193600,74.5
809280000,74.4
809366400,76.3
809452800,74.7
809539200,73.5
809625600,74.1
809712000,75.5
809798400,77.3
809884800,66.4
809971200,67.3
810057600,70.8
810144000,70.9
810230400,70.5
810316800,73.6
810403200,63.4
810489600,52.0
810576000,53.8
810662400,55.7
810748800,55.2
810835200,63.0
810921600,70.8
811008000,62.4
811094400,57.1
811180800,67.8
811267200,56.3
811353600,51.8
811440000,55.5
811526400,51.4
811612800,46.1
811699200,41.5
811785600,40.7
811872000,44.3
811958400,53.4
812044800,57.8
812131200,57.2
812217600,62.7
812304000,62.3
812390400,69.0
812476800,63.2
812563200,57.1
812649600,56.2
812736000,51.9
812822400,52.9
812908800,54.3
812995200,48.5
813081600,51.1
813168000,55.8
813254400,52.5
813340800,57.8
813427200,65.0
813513600,67.0
813600000,51.1
813686400,44.2
813772800,44.9
813859200,56.5
813945600,55.3
814032000,55.9
814118400,45.7
814204800,38.6
814291200,40.7
814377600,49.9
814464000,45.2
814550400,43.1
814636800,47.0
814723200,50.0
814809600,46.2
814896000,42.3
814982400,38.5
815068800,37.3
815155200,42.9
815241600,43.4
815328000,28.0
815414400,26.1
815500800,31.0
815587200,38.2
815673600,34.4
815760000,26.8
815846400,23.9
815932800,42.2
816019200,26.0
816105600,20.8
816192000,24.0
816278400,23.8
816364800,20.3
816451200,33.7
816537600,32.2
816624000,33.5
816710400,35.4
816796800,37.5
816883200,30.5
816969600,23.1
817056000,24.1
817142400,19.2
817228800,34.4
817315200,34.5
817401600,31.6
817488000,18.1
817574400,8.5
817660800,25.2
817747200,39.0
817833600,29.9
817920000,38.9
818006400,32.6
818092800,35.0
818179200,24.8
818265600,20.2
818352000,18.2
818438400,-0.6
818524800,2.5
818611200,-0.2
818697600,3.5
818784000,18.6
818870400,32.7
818956800,27.4
819043200,17.1
819129600,19.9
819216000,30.3
819302400,28.2
819388800,19.0
819475200,20.3
819561600,22.2
819648000,24.8
819734400,24.4
819820800,21.9
819907200,17.7
819993600,13.4
820080000,10.9
820166400,17.9
820252800,27.5
820339200,30.5
820425600,31.6
820512000,20.3
820598400,9.9
820684800,12.0
820771200,3.1
820857600,2.4
820944000,6.8
821030400,9.1
821116800,24.4
