timestamp,value
788889600,45.9
788976000,40.0
789062400,34.1
789148800,37.0
789235200,43.1
789321600,46.7
789408000,43.7
789494400,40.5
789580800,43.0
789667200,39.1
789753600,39.4
789840000,46.2
789926400,37.7
790012800,36.9
790099200,37.9
790185600,37.7
790272000,39.9
790358400,48.4
790444800,40.8
790531200,45.1
790617600,39.9
790704000,42.2
790790400,47.1
790876800,54.9
790963200,54.9
791049600,51.5
791136000,46.3
791222400,48.2
791308800,45.0
791395200,51.8
791481600,42.3
791568000,42.5
791654400,45.1
791740800,44.3
791827200,42.8
791913600,45.1
792000000,46.1
792086400,41.2
792172800,47.0
792259200,52.3
792345600,46.3
792432000,41.8
792518400,44.9
792604800,51.6
792691200,57.6
792777600,56.5
792864000,52.3
792950400,51.0
793036800,47.7
793123200,44.1
793209600,46.7
793296000,49.1
793382400,44.6
793468800,42.6
793555200,54.7
793641600,54.8
793728000,43.4
793814400,42.3
793900800,42.7
793987200,49.4
794073600,45.6
794160000,46.5
794246400,46.8
794332800,54.8
794419200,51.1
794505600,42.6
794592000,44.4
794678400,44.4
794764800,48.4
794851200,54.0
794937600,57.2
795024000,53.1
795110400,50.6
795196800,50.1
795283200,49.7
795369600,49.0
795456000,51.3
795542400,53.1
795628800,54.2
795715200,53.7
795801600,51.8
795888000,49.2
795974400,53.0
796060800,57.9
796147200,59.6
796233600,57.2
796320000,57.9
796406400,57.8
796492800,54.0
796579200,50.3
796665600,54.3
796752000,57.6
796838400,57.7
796924800,58.1
797011200,60.1
797097600,64.1
797184000,63.6
797270400,64.0
797356800,66.1
797443200,65.8
797529600,64.9
797616000,66.8
797702400,65.1
797788800,58.8
797875200,58.5
797961600,55.3
798048000,58.0
798134400,63.1
798220800,62.5
798307200,53.6
798393600,45.2
798480000,42.9
798566400,41.3
798652800,44.1
798739200,46.1
798825600,51.0
798912000,47.8
798998400,55.7
799084800,62.5
799171200,65.6
799257600,67.7
799344000,64.7
799430400,65.7
799516800,66.9
799603200,68.2
799689600,66.7
799776000,69.7
799862400,68.1
799948800,66.2
800035200,65.9
800121600,60.7
800208000,56.6
800294400,55.4
800380800,62.5
800467200,67.9
800553600,67.1
800640000,68.9
800726400,68.5
800812800,66.3
800899200,66.2
800985600,65.0
801072000,68.0
801158400,69.4
801244800,69.1
801331200,66.6
801417600,66.1
801504000,69.9
801590400,74.8
801676800,73.8
801763200,63.6
801849600,61.6
801936000,64.4
802022400,70.0
802108800,70.5
802195200,74.6
802281600,75.8
802368000,74.0
802454400,71.3
802540800,66.0
802627200,67.6
802713600,65.8
802800000,66.8
802886400,69.0
802972800,69.4
803059200,72.5
803145600,71.9
803232000,73.6
803318400,76.2
803404800,78.1
803491200,81.1
803577600,77.4
803664000,76.2
803750400,79.9
803836800,80.0
803923200,75.4
804009600,68.1
804096000,67.8
804182400,70.8
804268800,71.3
804355200,73.3
804441600,72.5
804528000,74.4
804614400,71.0
804700800,69.0
804787200,69.2
804873600,70.7
804960000,75.3
805046400,79.2
805132800,78.9
805219200,77.2
805305600,74.4
805392000,74.3
805478400,77.4
805564800,76.8
805651200,75.2
805737600,77.5
805824000,83.4
805910400,86.3
805996800,86.9
806083200,88.6
806169600,89.8
806256000,89.4
806342400,87.5
806428800,85.6
806515200,88.7
806601600,83.8
806688000,77.1
806774400,80.3
806860800,84.2
806947200,87.0
807033600,86.1
807120000,83.5
807206400,84.0
807292800,83.1
807379200,80.7
807465600,76.8
807552000,77.9
807638400,77.8
807724800,78.0
807811200,77.3
807897600,78.9
807984000,76.0
808070400,80.6
808156800,83.5
808243200,84.8
808329600,80.2
808416000,80.8
808502400,82.7
808588800,82.9
808675200,79.0
808761600,80.2
808848000,79.0
808934400,73.5
809020800,70.9
809107200,72.2
809193600,74.9
809280000,74.0
809366400,76.6
809452800,78.3
809539200,75.8
809625600,72.4
809712000,75.2
809798400,76.4
809884800,76.8
809971200,79.6
810057600,78.2
810144000,70.7
810230400,63.2
810316800,66.9
810403200,69.2
810489600,66.4
810576000,66.7
810662400,68.2
810748800,70.1
810835200,66.3
810921600,64.2
811008000,67.3
811094400,68.0
811180800,65.4
811267200,59.3
811353600,59.1
811440000,56.0
811526400,60.6
811612800,61.7
811699200,63.9
811785600,60.5
811872000,61.3
811958400,60.6
812044800,58.0
812131200,60.6
812217600,65.3
812304000,69.8
812390400,69.8
812476800,70.5
812563200,69.3
812649600,71.7
812736000,67.2
812822400,65.0
812908800,64.9
812995200,65.3
813081600,65.2
813168000,65.3
813254400,65.9
