timestamp,value
788889600,64.0
788976000,61.8
789062400,62.1
789148800,62.4
789235200,62.4
789321600,62.9
789408000,62.8
789494400,62.5
789580800,63.5
789667200,64.5
789753600,66.6
789840000,67.7
789926400,67.7
790012800,65.8
790099200,64.1
790185600,64.4
790272000,65.7
790358400,66.7
790444800,67.1
790531200,64.6
790617600,62.8
790704000,62.9
790790400,61.2
790876800,62.4
790963200,59.3
791049600,58.3
791136000,60.2
791222400,61.6
791308800,62.3
791395200,61.6
791481600,63.1
791568000,65.0
791654400,66.0
791740800,68.9
791827200,70.3
791913600,72.1
792000000,67.4
792086400,67.9
792172800,66.6
792259200,63.8
792345600,60.9
792432000,60.8
792518400,62.2
792604800,62.6
792691200,62.7
792777600,64.9
792864000,65.3
792950400,65.6
793036800,65.7
793123200,65.4
793209600,64.2
793296000,63.8
793382400,65.0
793468800,67.6
793555200,62.7
793641600,63.5
793728000,63.7
793814400,65.8
793900800,64.4
793987200,64.0
794073600,64.9
794160000,68.5
794246400,67.6
794332800,67.6
794419200,68.8
794505600,68.5
794592000,69.8
794678400,70.7
794764800,72.5
794851200,71.3
794937600,69.7
795024000,65.0
795110400,65.5
795196800,65.7
795283200,69.0
795369600,71.1
795456000,68.8
795542400,68.6
795628800,69.7
795715200,68.2
795801600,67.6
795888000,67.9
795974400,69.6
796060800,72.8
796147200,70.3
796233600,66.9
796320000,64.7
796406400,66.8
796492800,67.8
796579200,70.7
796665600,73.3
796752000,71.9
796838400,75.1
796924800,78.3
797011200,74.0
797097600,66.9
797184000,68.4
797270400,70.1
797356800,71.8
797443200,73.2
797529600,73.6
797616000,73.5
797702400,75.5
797788800,80.3
797875200,80.4
797961600,75.5
798048000,77.1
798134400,78.4
798220800,79.0
798307200,80.1
798393600,80.4
798480000,82.6
798566400,78.8
798652800,74.4
798739200,78.2
798825600,77.7
798912000,78.8
798998400,81.0
799084800,81.8
799171200,82.5
799257600,82.9
799344000,83.9
799430400,86.0
799516800,87.5
799603200,86.2
799689600,90.3
799776000,85.7
799862400,85.7
799948800,80.0
800035200,79.2
800121600,80.4
800208000,81.4
800294400,83.0
800380800,84.5
800467200,84.8
800553600,84.1
800640000,87.1
800726400,87.6
800812800,88.1
800899200,88.6
800985600,89.2
801072000,89.7
801158400,87.6
801244800,86.8
801331200,88.4
801417600,88.0
801504000,88.9
801590400,91.8
801676800,89.2
801763200,90.8
801849600,89.2
801936000,91.4
802022400,93.0
802108800,90.8
802195200,89.9
802281600,91.0
802368000,91.1
802454400,92.6
802540800,93.5
802627200,94.1
802713600,94.9
802800000,93.3
802886400,92.6
802972800,91.9
803059200,90.7
803145600,90.8
803232000,91.7
803318400,92.9
803404800,94.2
803491200,92.7
803577600,91.7
803664000,90.1
803750400,92.7
803836800,92.0
803923200,90.3
804009600,90.7
804096000,90.8
804182400,92.2
804268800,94.0
804355200,94.3
804441600,94.5
804528000,92.8
804614400,92.3
804700800,89.6
