timestamp,value
788889600,78.8
788976000,78.0
789062400,79.1
789148800,77.7
789235200,78.9
789321600,78.1
789408000,79.5
789494400,79.2
789580800,77.8
789667200,76.6
789753600,75.3
789840000,77.0
789926400,78.3
790012800,78.7
790099200,76.3
790185600,77.2
790272000,75.8
790358400,76.0
790444800,76.0
790531200,77.7
790617600,78.5
790704000,79.3
790790400,80.4
790876800,79.6
790963200,79.1
791049600,79.4
791136000,78.9
791222400,80.1
791308800,77.1
791395200,78.2
791481600,78.6
791568000,77.9
791654400,74.5
791740800,74.1
791827200,75.1
791913600,78.1
792000000,76.1
792086400,76.1
792172800,76.8
792259200,76.8
792345600,79.2
792432000,79.0
792518400,79.6
792604800,80.0
792691200,81.3
792777600,80.2
792864000,80.4
792950400,79.0
793036800,79.1
793123200,78.3
793209600,77.7
793296000,79.1
793382400,80.2
793468800,79.5
793555200,78.9
793641600,79.4
793728000,80.1
793814400,80.5
793900800,81.0
793987200,79.7
794073600,82.1
794160000,81.1
794246400,80.2
794332800,78.1
794419200,77.6
794505600,79.2
794592000,79.7
794678400,78.4
794764800,79.6
794851200,80.3
794937600,81.2
795024000,81.6
795110400,82.5
795196800,82.1
795283200,83.7
795369600,82.7
795456000,82.2
795542400,82.4
795628800,81.2
795715200,80.8
795801600,82.2
795888000,82.6
795974400,83.9
796060800,84.0
796147200,81.2
796233600,83.0
796320000,83.8
796406400,82.9
796492800,84.2
796579200,82.7
796665600,84.1
796752000,84.5
796838400,84.4
796924800,80.2
797011200,83.9
797097600,84.4
797184000,84.8
797270400,83.5
797356800,84.4
797443200,84.5
797529600,84.7
797616000,85.0
797702400,85.6
797788800,85.3
797875200,84.1
797961600,85.0
798048000,85.2
798134400,84.8
798220800,85.8
798307200,85.5
798393600,84.7
798480000,84.9
798566400,85.0
798652800,85.7
798739200,83.8
798825600,85.2
798912000,84.9
798998400,86.2
799084800,84.7
799171200,84.7
799257600,86.2
799344000,85.0
799430400,84.5
799516800,86.0
799603200,86.4
799689600,86.9
799776000,87.0
799862400,86.7
799948800,87.6
800035200,85.6
800121600,86.2
800208000,84.3
800294400,81.8
800380800,79.5
800467200,81.3
800553600,78.8
800640000,84.5
800726400,85.1
800812800,85.5
800899200,85.5
800985600,85.3
801072000,84.0
801158400,82.2
801244800,80.8
801331200,82.0
801417600,81.3
