timestamp,value
788889600,42.7
788976000,35.8
789062400,43.8
789148800,44.2
789235200,41.5
789321600,38.3
789408000,49.3
789494400,47.3
789580800,50.3
789667200,47.3
789753600,43.7
789840000,43.6
789926400,46.4
790012800,48.7
790099200,43.1
790185600,37.5
790272000,32.9
790358400,37.3
790444800,40.8
790531200,46.8
790617600,43.7
790704000,51.8
790790400,44.9
790876800,45.3
790963200,45.4
791049600,41.7
791136000,42.0
791222400,44.5
791308800,52.9
791395200,55.2
791481600,53.6
791568000,55.5
791654400,49.5
791740800,47.8
791827200,46.2
791913600,48.4
792000000,44.4
792086400,45.1
792172800,44.8
792259200,42.7
792345600,41.3
792432000,42.1
792518400,44.2
792604800,39.4
792691200,35.6
792777600,34.3
792864000,34.2
792950400,40.5
793036800,48.8
793123200,53.5
793209600,52.6
793296000,51.7
793382400,51.0
793468800,51.3
793555200,53.9
793641600,50.6
793728000,51.2
793814400,51.1
793900800,48.9
793987200,50.6
794073600,48.7
794160000,46.6
794246400,43.2
794332800,42.8
794419200,36.0
794505600,38.7
794592000,50.1
794678400,54.4
794764800,45.5
794851200,46.3
794937600,48.3
795024000,50.7
795110400,54.3
795196800,47.5
795283200,47.8
795369600,52.5
795456000,53.9
795542400,47.7
795628800,48.6
795715200,40.1
795801600,39.6
795888000,38.4
795974400,40.8
796060800,39.5
796147200,43.0
796233600,46.3
796320000,49.0
796406400,51.4
796492800,51.0
796579200,52.2
796665600,49.0
796752000,46.8
796838400,54.2
796924800,56.8
797011200,54.3
797097600,49.0
797184000,52.6
797270400,41.4
797356800,41.8
797443200,45.2
797529600,53.1
797616000,57.8
797702400,45.8
797788800,41.7
797875200,39.9
797961600,44.9
798048000,45.9
798134400,43.6
798220800,43.0
798307200,43.3
798393600,42.6
798480000,51.5
798566400,58.0
798652800,61.4
798739200,59.5
798825600,57.1
798912000,55.5
798998400,50.4
799084800,51.5
799171200,52.3
799257600,57.7
799344000,54.6
799430400,54.0
799516800,52.4
799603200,51.5
799689600,51.3
799776000,51.3
799862400,57.2
799948800,57.2
800035200,53.9
800121600,51.2
800208000,48.9
800294400,53.6
800380800,55.6
800467200,62.4
800553600,58.6
800640000,60.2
800726400,55.1
800812800,58.4
800899200,65.7
800985600,68.1
801072000,61.5
801158400,65.0
801244800,62.4
801331200,60.6
801417600,66.1
801504000,68.8
801590400,67.5
801676800,72.1
801763200,73.7
801849600,71.9
801936000,72.1
802022400,62.8
802108800,65.8
802195200,66.0
802281600,54.1
802368000,49.9
802454400,53.3
802540800,59.1
802627200,64.8
802713600,65.5
802800000,57.5
802886400,59.8
802972800,57.5
803059200,56.3
803145600,54.7
803232000,59.8
803318400,58.2
803404800,54.9
803491200,53.6
803577600,55.2
803664000,58.5
803750400,64.9
803836800,69.6
803923200,73.8
804009600,73.7
