timestamp,value
788889600,73.1
788976000,63.7
789062400,69.0
789148800,73.9
789235200,73.6
789321600,73.6
789408000,67.0
789494400,67.2
789580800,68.6
789667200,71.2
789753600,71.3
789840000,73.9
789926400,72.2
790012800,74.4
790099200,74.1
790185600,75.1
790272000,76.1
790358400,72.7
790444800,72.5
790531200,70.9
790617600,65.1
790704000,65.8
790790400,66.0
790876800,67.6
790963200,69.3
791049600,69.6
791136000,71.4
791222400,69.9
791308800,73.4
791395200,76.1
791481600,68.1
791568000,66.2
791654400,74.0
791740800,80.5
791827200,72.8
791913600,77.1
792000000,67.9
792086400,67.5
792172800,71.1
792259200,73.0
792345600,69.5
792432000,72.1
792518400,72.9
792604800,72.0
792691200,73.1
792777600,71.7
792864000,70.0
792950400,67.4
793036800,68.6
793123200,69.0
793209600,69.1
793296000,69.2
793382400,73.0
793468800,69.5
793555200,69.3
793641600,71.8
793728000,73.9
793814400,74.3
793900800,71.8
793987200,68.7
794073600,68.4
794160000,70.0
794246400,67.5
794332800,71.9
794419200,72.7
794505600,71.5
794592000,74.2
794678400,70.7
794764800,67.1
794851200,66.1
794937600,72.0
795024000,63.3
795110400,71.0
795196800,64.9
795283200,64.9
795369600,73.5
795456000,74.5
795542400,65.7
795628800,68.3
795715200,70.7
795801600,74.5
795888000,71.1
795974400,73.6
796060800,65.0
796147200,69.5
796233600,67.4
796320000,66.1
796406400,65.2
796492800,67.0
796579200,62.9
796665600,63.4
796752000,63.6
796838400,61.2
796924800,63.6
797011200,63.1
797097600,61.8
797184000,58.4
797270400,60.6
797356800,62.9
797443200,59.5
797529600,63.8
797616000,63.3
797702400,65.9
797788800,62.8
797875200,62.6
797961600,67.0
798048000,60.7
798134400,63.4
798220800,65.1
798307200,64.0
798393600,61.1
798480000,62.9
798566400,64.3
798652800,64.8
798739200,60.6
798825600,64.9
798912000,62.8
798998400,65.1
799084800,66.8
799171200,69.3
799257600,69.9
799344000,67.7
799430400,62.3
799516800,57.6
799603200,56.0
799689600,59.5
799776000,61.4
799862400,61.4
799948800,61.5
800035200,64.8
800121600,66.4
800208000,70.7
800294400,69.9
800380800,63.1
800467200,59.0
800553600,62.8
800640000,61.0
800726400,60.1
800812800,61.4
800899200,58.1
800985600,60.8
801072000,60.8
801158400,59.3
801244800,62.9
801331200,61.4
801417600,57.9
801504000,53.2
801590400,57.5
801676800,56.8
801763200,57.7
801849600,56.4
801936000,58.4
802022400,55.9
802108800,55.1
802195200,54.5
802281600,53.0
802368000,56.1
802454400,60.4
802540800,62.4
802627200,66.8
802713600,59.9
802800000,57.9
802886400,54.4
802972800,54.1
803059200,55.3
803145600,55.0
803232000,53.3
803318400,48.0
803404800,53.0
803491200,53.7
803577600,53.4
803664000,50.0
803750400,49.0
803836800,50.1
803923200,53.8
804009600,52.8
804096000,57.9
804182400,60.0
804268800,56.9
804355200,52.7
804441600,57.2
804528000,52.9
804614400,52.1
804700800,56.3
804787200,47.6
804873600,49.3
804960000,51.8
805046400,47.6
805132800,49.1
805219200,49.2
805305600,53.1
805392000,56.4
805478400,55.1
805564800,58.5
805651200,54.2
805737600,53.4
805824000,55.8
805910400,59.8
805996800,55.6
806083200,51.0
806169600,48.4
806256000,54.0
806342400,59.0
806428800,53.5
806515200,52.9
806601600,48.4
806688000,52.0
806774400,53.8
806860800,52.8
806947200,49.9
807033600,48.0
807120000,52.1
807206400,51.5
807292800,55.2
807379200,50.2
807465600,53.7
807552000,51.7
807638400,50.8
807724800,50.0
807811200,50.4
807897600,51.6
807984000,49.1
808070400,52.6
808156800,53.7
808243200,53.6
808329600,55.5
808416000,57.3
808502400,60.2
808588800,67.0
808675200,64.6
808761600,62.0
808848000,67.4
808934400,63.5
809020800,60.4
809107200,68.5
809193600,62.9
809280000,68.4
809366400,74.1
809452800,60.6
809539200,56.8
809625600,60.9
809712000,69.6
809798400,70.8
809884800,60.7
809971200,55.5
810057600,57.2
810144000,64.1
810230400,48.9
810316800,50.1
810403200,50.2
810489600,56.5
810576000,57.7
810662400,61.6
810748800,58.0
810835200,57.4
810921600,60.6
811008000,67.7
811094400,59.4
811180800,59.4
811267200,57.5
811353600,60.2
811440000,68.0
811526400,63.9
811612800,61.8
811699200,61.1
811785600,66.3
811872000,60.2
811958400,54.3
812044800,53.1
812131200,53.0
812217600,56.5
812304000,55.6
812390400,61.4
812476800,65.7
812563200,64.3
812649600,56.7
812736000,56.8
812822400,64.8
812908800,67.6
812995200,66.3
813081600,58.6
813168000,57.2
813254400,64.7
813340800,71.1
813427200,66.9
813513600,67.4
813600000,58.5
813686400,60.0
813772800,62.4
813859200,70.1
813945600,62.5
814032000,70.9
814118400,58.1
814204800,63.2
814291200,63.2
814377600,63.7
814464000,59.3
814550400,62.4
814636800,62.5
814723200,64.2
814809600,66.1
814896000,62.4
814982400,59.9
815068800,58.6
815155200,65.9
815241600,75.0
815328000,70.1
815414400,66.0
815500800,67.0
815587200,69.1
815673600,68.4
