timestamp,value
788889600,44.4
788976000,29.9
789062400,33.5
789148800,28.0
789235200,21.3
789321600,34.7
789408000,36.7
789494400,35.1
789580800,41.4
789667200,49.3
789753600,65.2
789840000,67.8
789926400,63.7
790012800,52.0
790099200,40.7
790185600,39.1
790272000,46.7
790358400,51.1
790444800,45.1
790531200,40.1
790617600,36.6
790704000,30.3
790790400,31.6
790876800,34.4
790963200,44.9
791049600,43.4
791136000,50.8
791222400,55.1
791308800,38.5
791395200,31.6
791481600,35.2
791568000,48.4
791654400,59.5
791740800,57.3
791827200,40.0
791913600,36.3
792000000,27.8
792086400,30.9
792172800,27.6
792259200,27.8
792345600,39.5
792432000,37.1
792518400,24.8
792604800,29.4
792691200,35.7
792777600,55.2
792864000,45.3
792950400,37.4
793036800,43.9
793123200,49.8
793209600,52.8
793296000,51.0
793382400,49.3
793468800,60.2
793555200,50.4
793641600,47.4
793728000,55.6
793814400,55.6
793900800,50.1
793987200,36.7
794073600,33.7
794160000,32.2
794246400,38.1
794332800,52.2
794419200,56.9
794505600,59.6
794592000,34.2
794678400,35.4
794764800,44.2
794851200,53.2
794937600,60.2
795024000,65.4
795110400,66.1
795196800,66.9
795283200,63.2
795369600,64.3
795456000,65.7
795542400,67.1
795628800,67.7
795715200,63.0
795801600,68.7
795888000,74.6
795974400,59.8
796060800,60.2
796147200,68.6
796233600,63.8
796320000,55.3
796406400,55.7
796492800,53.6
796579200,50.8
796665600,49.3
796752000,59.4
796838400,65.0
796924800,62.0
797011200,53.1
797097600,64.0
797184000,67.3
797270400,71.4
797356800,73.8
797443200,75.1
797529600,67.2
797616000,55.0
797702400,57.2
797788800,60.4
797875200,66.3
797961600,72.0
798048000,73.9
798134400,74.2
798220800,67.5
798307200,69.1
798393600,63.8
798480000,60.2
798566400,53.7
798652800,51.6
798739200,58.3
798825600,62.4
798912000,62.2
798998400,56.6
799084800,60.4
799171200,59.2
799257600,58.3
799344000,53.8
799430400,57.1
799516800,61.8
799603200,64.0
799689600,60.8
799776000,63.7
799862400,74.0
799948800,73.0
800035200,74.5
800121600,65.3
800208000,63.8
800294400,75.5
800380800,83.0
800467200,76.9
800553600,77.2
800640000,78.9
800726400,77.7
800812800,61.1
800899200,64.0
800985600,68.8
801072000,73.5
801158400,76.9
801244800,79.3
801331200,79.0
801417600,75.4
801504000,75.1
801590400,76.3
801676800,74.4
801763200,72.3
801849600,68.3
801936000,69.2
802022400,70.3
802108800,75.5
802195200,80.1
802281600,79.7
802368000,76.9
802454400,77.4
802540800,82.5
802627200,83.6
802713600,81.1
802800000,73.3
802886400,65.0
802972800,69.7
803059200,71.2
803145600,73.9
803232000,76.3
803318400,77.5
803404800,76.3
803491200,77.0
803577600,74.3
803664000,75.1
803750400,76.5
803836800,79.6
803923200,77.7
804009600,76.3
804096000,75.6
804182400,78.7
804268800,79.0
804355200,77.8
804441600,74.2
804528000,73.3
804614400,74.0
804700800,74.6
804787200,77.7
804873600,69.7
804960000,71.3
805046400,79.7
805132800,79.7
805219200,80.9
805305600,81.3
805392000,82.1
805478400,85.3
805564800,88.7
805651200,84.1
805737600,84.4
805824000,84.8
805910400,85.6
805996800,81.2
806083200,82.4
806169600,82.1
806256000,78.1
806342400,84.9
806428800,78.3
806515200,78.7
806601600,83.6
806688000,75.4
806774400,80.9
806860800,84.4
806947200,78.2
807033600,84.3
807120000,83.8
807206400,81.9
807292800,85.7
807379200,84.5
807465600,78.6
807552000,77.6
807638400,80.5
807724800,80.8
807811200,82.6
807897600,83.6
807984000,80.9
808070400,84.3
808156800,85.3
808243200,86.3
808329600,83.3
808416000,84.4
