timestamp,value
788889600,57.7
788976000,56.1
789062400,57.6
789148800,57.3
789235200,58.8
789321600,62.2
789408000,59.0
789494400,58.0
789580800,58.1
789667200,57.8
789753600,58.8
789840000,58.9
789926400,60.9
790012800,56.6
790099200,55.7
790185600,56.3
790272000,58.8
790358400,57.6
790444800,56.2
790531200,57.4
790617600,58.1
790704000,59.2
790790400,57.6
790876800,56.6
790963200,55.1
791049600,55.2
791136000,56.3
791222400,59.8
791308800,61.6
791395200,57.9
791481600,52.8
791568000,55.3
791654400,57.7
791740800,57.7
791827200,52.8
791913600,54.9
792000000,55.3
792086400,57.4
792172800,57.7
792259200,56.5
792345600,59.0
792432000,63.4
792518400,62.8
792604800,65.0
792691200,64.2
792777600,65.4
792864000,64.2
792950400,60.9
793036800,61.3
793123200,62.1
793209600,57.3
793296000,58.3
793382400,54.3
793468800,58.3
793555200,60.3
793641600,59.9
793728000,64.9
793814400,62.6
793900800,63.3
793987200,60.5
794073600,58.7
794160000,61.7
794246400,64.2
794332800,58.7
794419200,58.9
794505600,63.6
794592000,58.7
794678400,50.2
794764800,57.6
794851200,61.2
794937600,62.8
795024000,63.5
795110400,61.1
795196800,59.0
795283200,57.3
795369600,58.0
795456000,59.9
795542400,63.1
795628800,67.3
795715200,67.5
795801600,68.8
795888000,67.3
795974400,69.0
796060800,70.3
796147200,69.4
796233600,69.6
796320000,66.7
796406400,66.3
796492800,65.0
796579200,65.9
796665600,67.1
796752000,62.6
796838400,64.4
796924800,66.3
797011200,67.7
797097600,65.4
797184000,66.5
797270400,65.7
797356800,71.7
797443200,69.3
797529600,69.7
797616000,68.0
797702400,64.6
797788800,64.9
797875200,67.9
797961600,68.3
798048000,67.5
798134400,67.3
798220800,68.9
798307200,71.4
798393600,72.1
798480000,73.9
798566400,73.5
798652800,71.8
798739200,69.0
798825600,63.7
798912000,61.5
798998400,65.4
799084800,65.7
799171200,65.9
799257600,66.7
799344000,69.3
799430400,69.1
799516800,66.3
799603200,65.2
799689600,70.7
799776000,72.4
799862400,71.4
799948800,72.9
800035200,74.5
800121600,69.5
800208000,71.1
800294400,72.1
800380800,74.5
800467200,71.1
800553600,71.3
800640000,72.9
800726400,73.0
800812800,72.8
800899200,71.8
800985600,71.5
801072000,70.0
801158400,69.4
801244800,70.2
801331200,69.1
801417600,62.8
801504000,70.5
801590400,66.5
801676800,62.9
801763200,66.7
801849600,65.9
801936000,68.2
802022400,68.4
802108800,69.3
802195200,70.6
802281600,70.5
802368000,71.5
802454400,72.9
802540800,74.3
802627200,71.4
802713600,69.7
802800000,68.8
802886400,67.5
802972800,65.4
803059200,65.8
803145600,67.1
803232000,66.7
803318400,66.3
803404800,66.5
803491200,66.2
803577600,65.9
803664000,66.3
803750400,66.3
803836800,69.4
803923200,66.0
804009600,70.6
804096000,66.2
804182400,67.2
804268800,65.3
804355200,64.3
804441600,59.8
804528000,59.7
804614400,63.8
804700800,65.3
804787200,66.4
804873600,67.3
804960000,66.7
805046400,62.6
805132800,63.9
805219200,64.6
805305600,63.8
805392000,62.9
805478400,60.1
805564800,61.2
805651200,62.5
805737600,63.3
805824000,64.0
805910400,65.0
805996800,65.0
806083200,66.6
806169600,66.6
806256000,65.5
806342400,67.1
806428800,66.0
806515200,67.7
806601600,63.6
806688000,64.1
806774400,64.1
806860800,65.4
806947200,65.7
807033600,65.5
807120000,63.8
807206400,67.0
807292800,68.1
807379200,67.4
807465600,67.3
807552000,66.7
807638400,64.1
807724800,65.8
807811200,66.1
807897600,63.1
807984000,62.9
808070400,64.7
808156800,62.3
808243200,64.2
808329600,64.3
808416000,64.1
808502400,64.2
808588800,61.4
808675200,61.6
808761600,63.4
808848000,62.0
808934400,63.7
809020800,63.6
809107200,64.7
809193600,64.3
809280000,66.0
809366400,64.2
809452800,65.7
809539200,66.5
809625600,66.1
809712000,62.0
809798400,61.9
809884800,62.5
809971200,61.6
810057600,62.3
810144000,62.3
810230400,63.0
810316800,62.8
810403200,63.9
810489600,62.4
810576000,61.7
810662400,64.1
810748800,64.4
810835200,64.9
810921600,65.5
811008000,65.3
811094400,66.8
