timestamp,value
788889600,33.7
788976000,31.4
789062400,34.9
789148800,30.8
789235200,29.8
789321600,43.7
789408000,47.0
789494400,50.7
789580800,51.3
789667200,54.3
789753600,58.4
789840000,57.1
789926400,48.1
790012800,46.8
790099200,51.6
790185600,56.7
790272000,52.5
790358400,43.9
790444800,40.9
790531200,45.3
790617600,46.1
790704000,43.4
790790400,34.7
790876800,38.8
790963200,38.4
791049600,54.3
791136000,52.3
791222400,48.8
791308800,41.7
791395200,37.3
791481600,45.4
791568000,50.7
791654400,57.1
791740800,54.6
791827200,47.1
791913600,50.5
792000000,46.5
792086400,48.5
792172800,38.6
792259200,47.2
792345600,62.8
792432000,48.1
792518400,34.0
792604800,39.2
792691200,52.9
792777600,57.0
792864000,43.2
792950400,38.7
793036800,47.8
793123200,53.1
793209600,54.9
793296000,57.3
793382400,56.6
793468800,57.9
793555200,58.2
793641600,56.6
793728000,61.8
793814400,62.8
793900800,49.3
793987200,30.5
794073600,24.9
794160000,29.8
794246400,49.4
794332800,64.7
794419200,59.8
794505600,41.3
794592000,35.4
794678400,43.1
794764800,48.1
794851200,60.0
794937600,63.4
795024000,57.2
795110400,54.6
795196800,54.8
795283200,56.3
795369600,58.1
795456000,61.7
795542400,67.4
795628800,68.4
795715200,69.9
795801600,72.1
795888000,66.3
795974400,71.5
796060800,72.7
796147200,62.6
796233600,54.2
796320000,54.3
796406400,45.3
796492800,47.5
796579200,48.2
796665600,51.0
796752000,57.5
796838400,63.2
796924800,56.1
797011200,56.4
797097600,64.4
797184000,71.3
797270400,72.1
797356800,73.2
797443200,64.3
797529600,48.3
797616000,61.3
797702400,66.3
797788800,70.9
797875200,73.4
797961600,74.6
798048000,77.2
798134400,63.3
798220800,65.3
798307200,58.6
798393600,62.7
798480000,56.5
798566400,47.1
798652800,54.5
798739200,62.1
798825600,69.6
798912000,54.7
798998400,66.6
799084800,74.0
799171200,75.1
799257600,72.4
799344000,64.2
799430400,70.7
799516800,70.1
799603200,65.5
799689600,68.8
799776000,76.7
799862400,66.3
799948800,70.4
800035200,67.0
800121600,69.0
800208000,74.8
800294400,82.3
800380800,79.3
800467200,79.4
800553600,74.9
800640000,75.9
800726400,67.7
800812800,70.1
800899200,74.6
800985600,77.9
801072000,82.8
801158400,78.9
801244800,72.5
801331200,61.7
801417600,66.8
801504000,67.2
801590400,70.0
801676800,62.5
801763200,62.6
801849600,72.1
801936000,73.2
802022400,79.1
802108800,80.8
802195200,77.9
802281600,77.6
802368000,82.4
802454400,83.7
802540800,84.4
802627200,83.1
802713600,83.4
802800000,67.9
802886400,70.6
802972800,77.2
803059200,78.0
803145600,77.5
803232000,76.5
803318400,75.6
803404800,75.8
803491200,77.1
803577600,78.9
803664000,79.4
803750400,80.5
803836800,79.1
803923200,74.0
804009600,73.1
804096000,75.0
804182400,75.8
804268800,80.6
804355200,78.7
804441600,72.1
804528000,72.6
804614400,79.0
804700800,78.8
804787200,82.3
804873600,82.4
804960000,79.7
805046400,78.4
805132800,79.7
805219200,82.7
805305600,82.8
805392000,82.9
805478400,83.6
805564800,84.5
805651200,83.1
805737600,82.9
805824000,78.5
805910400,76.7
805996800,80.5
806083200,83.1
806169600,85.3
806256000,84.9
806342400,83.2
806428800,88.6
806515200,92.5
806601600,88.9
806688000,90.2
806774400,89.9
806860800,87.0
806947200,90.1
807033600,83.8
807120000,78.3
807206400,73.6
807292800,73.2
807379200,77.5
807465600,77.9
807552000,77.7
807638400,82.4
807724800,82.5
807811200,83.8
807897600,82.5
807984000,81.6
808070400,81.7
808156800,82.6
808243200,81.7
808329600,82.4
808416000,78.6
808502400,80.4
808588800,83.1
808675200,82.5
808761600,79.5
808848000,79.3
808934400,82.3
809020800,86.6
809107200,83.0
809193600,81.7
809280000,81.3
809366400,79.0
809452800,79.4
809539200,80.7
809625600,81.4
809712000,79.6
809798400,81.0
809884800,78.5
809971200,80.9
810057600,81.4
810144000,83.2
810230400,82.4
810316800,84.5
810403200,85.2
810489600,74.1
810576000,68.7
810662400,67.5
810748800,74.7
810835200,78.7
810921600,74.1
811008000,69.6
811094400,69.9
811180800,74.8
811267200,77.5
811353600,73.7
811440000,75.5
811526400,66.5
811612800,62.6
811699200,47.2
811785600,59.1
811872000,69.1
811958400,61.8
812044800,61.1
812131200,75.8
812217600,79.7
812304000,76.4
812390400,77.6
812476800,71.1
812563200,69.0
812649600,61.9
812736000,68.5
812822400,65.8
812908800,58.1
812995200,62.3
813081600,72.0
813168000,74.2
813254400,73.7
813340800,69.7
813427200,71.2
813513600,69.3
813600000,59.3
813686400,62.9
813772800,66.7
813859200,71.4
813945600,68.9
814032000,69.5
814118400,57.4
814204800,60.9
814291200,70.7
814377600,63.3
814464000,56.2
814550400,62.9
814636800,68.5
814723200,68.8
814809600,61.2
