timestamp,value
788889600,42.2
788976000,35.5
789062400,35.1
789148800,32.5
789235200,22.7
789321600,22.2
789408000,21.5
789494400,25.7
789580800,23.8
789667200,31.3
789753600,41.9
789840000,36.2
789926400,36.4
790012800,26.0
790099200,25.3
790185600,27.4
790272000,24.8
790358400,32.8
790444800,34.1
790531200,32.1
790617600,34.9
790704000,33.8
790790400,34.9
790876800,37.7
790963200,37.7
791049600,35.2
791136000,38.6
791222400,33.3
791308800,33.5
791395200,40.6
791481600,44.8
791568000,35.1
791654400,32.2
791740800,35.2
791827200,33.3
791913600,39.9
792000000,44.2
792086400,43.6
792172800,39.3
792259200,41.8
792345600,41.9
792432000,42.2
792518400,41.6
792604800,43.0
792691200,43.1
792777600,40.3
792864000,40.2
792950400,43.9
793036800,46.8
793123200,42.4
793209600,39.8
793296000,40.2
793382400,44.1
793468800,41.1
793555200,35.5
793641600,36.9
793728000,37.9
793814400,45.6
793900800,38.2
793987200,38.3
794073600,39.8
794160000,39.5
794246400,38.7
794332800,39.9
794419200,45.3
794505600,39.4
794592000,33.8
794678400,41.5
794764800,40.2
794851200,39.6
794937600,42.7
795024000,44.9
795110400,41.7
795196800,41.2
795283200,42.7
795369600,43.9
795456000,46.2
795542400,48.0
795628800,47.7
795715200,42.2
795801600,47.1
795888000,43.3
795974400,48.5
796060800,49.2
796147200,48.8
796233600,51.2
796320000,44.4
796406400,43.2
796492800,44.7
796579200,41.2
796665600,46.7
796752000,54.6
796838400,55.1
796924800,53.6
797011200,53.8
797097600,57.5
797184000,58.7
797270400,60.6
797356800,52.0
797443200,46.7
797529600,48.6
797616000,52.5
797702400,55.2
797788800,43.2
797875200,42.8
797961600,48.8
798048000,54.0
798134400,51.6
798220800,53.5
798307200,54.2
798393600,56.0
798480000,52.4
798566400,49.5
798652800,51.4
798739200,51.6
798825600,51.4
798912000,54.4
798998400,53.5
799084800,56.6
799171200,57.7
799257600,60.5
799344000,60.6
799430400,63.0
799516800,61.7
799603200,61.9
799689600,63.5
799776000,61.5
799862400,62.3
799948800,60.1
800035200,59.3
800121600,55.3
800208000,52.6
800294400,56.7
800380800,56.4
800467200,48.9
800553600,51.7
800640000,54.7
800726400,56.5
800812800,60.1
800899200,56.6
800985600,57.6
801072000,58.3
801158400,58.9
801244800,59.0
801331200,63.5
801417600,60.6
801504000,62.2
801590400,66.4
801676800,70.4
801763200,65.0
801849600,60.1
801936000,59.4
802022400,61.2
802108800,59.4
802195200,60.5
802281600,57.4
802368000,58.0
802454400,63.0
802540800,63.1
802627200,64.3
802713600,60.5
802800000,56.0
802886400,53.2
802972800,56.7
803059200,60.6
803145600,59.5
803232000,61.5
803318400,62.6
803404800,67.0
803491200,69.9
803577600,72.6
803664000,73.8
803750400,75.5
803836800,60.5
803923200,55.7
804009600,60.8
804096000,68.4
804182400,72.0
804268800,73.0
804355200,74.7
804441600,74.7
804528000,73.9
804614400,73.9
804700800,66.7
