timestamp,value
788889600,23.8
788976000,14.5
789062400,15.5
789148800,3.9
789235200,6.1
789321600,22.3
789408000,21.6
789494400,13.9
789580800,11.3
789667200,23.6
789753600,33.5
789840000,38.8
789926400,35.8
790012800,36.7
790099200,33.8
790185600,32.5
790272000,35.6
790358400,35.3
790444800,33.1
790531200,30.7
790617600,27.3
790704000,23.6
790790400,23.4
790876800,21.1
790963200,22.6
791049600,21.9
791136000,23.3
791222400,31.0
791308800,25.4
791395200,24.8
791481600,28.2
791568000,36.1
791654400,31.9
791740800,32.4
791827200,24.4
791913600,11.2
792000000,10.6
792086400,14.9
792172800,12.7
792259200,25.1
792345600,32.2
792432000,7.8
792518400,4.8
792604800,14.1
792691200,14.4
792777600,31.0
792864000,25.5
792950400,25.7
793036800,38.1
793123200,39.3
793209600,35.7
793296000,27.8
793382400,31.8
793468800,36.6
793555200,33.0
793641600,34.2
793728000,27.4
793814400,29.5
793900800,31.5
793987200,17.7
794073600,16.5
794160000,22.8
794246400,29.3
794332800,34.7
794419200,30.3
794505600,31.2
794592000,25.7
794678400,22.7
794764800,34.5
794851200,48.5
794937600,55.2
795024000,60.2
795110400,60.1
795196800,53.5
795283200,47.0
795369600,37.4
795456000,38.0
795542400,42.8
795628800,42.9
795715200,41.9
795801600,39.7
795888000,36.8
795974400,36.4
796060800,39.0
796147200,41.4
796233600,39.1
796320000,35.6
796406400,37.3
796492800,38.5
796579200,37.3
796665600,36.0
796752000,39.9
796838400,53.0
796924800,33.1
797011200,27.8
797097600,49.1
797184000,37.9
797270400,38.0
797356800,35.5
797443200,37.9
797529600,41.7
797616000,43.7
797702400,47.2
797788800,41.4
797875200,39.8
797961600,44.8
798048000,45.4
798134400,47.7
798220800,48.6
798307200,40.5
798393600,41.2
798480000,49.0
798566400,48.0
798652800,48.5
798739200,47.2
798825600,47.1
798912000,45.2
798998400,51.2
799084800,48.8
799171200,45.5
799257600,44.3
799344000,48.6
799430400,51.7
799516800,52.3
799603200,51.1
799689600,53.0
799776000,54.1
799862400,52.0
799948800,47.3
800035200,46.6
800121600,57.0
800208000,61.6
800294400,57.4
800380800,63.1
800467200,64.5
800553600,68.6
800640000,61.0
800726400,52.0
800812800,65.5
800899200,67.9
800985600,62.3
801072000,60.7
801158400,62.8
801244800,51.6
801331200,51.6
801417600,53.3
801504000,53.7
801590400,61.5
801676800,60.6
801763200,66.2
801849600,71.0
801936000,70.8
802022400,64.1
802108800,64.4
802195200,64.9
802281600,68.9
802368000,71.2
802454400,73.9
802540800,49.6
802627200,53.3
802713600,60.7
802800000,62.4
802886400,61.1
802972800,67.7
803059200,72.1
803145600,68.5
803232000,75.6
803318400,78.9
803404800,82.5
803491200,85.1
803577600,83.4
803664000,75.2
803750400,75.6
803836800,76.0
803923200,75.9
804009600,75.6
804096000,72.6
804182400,70.8
804268800,72.6
804355200,75.6
804441600,75.9
804528000,66.0
804614400,64.8
804700800,68.5
804787200,70.1
804873600,72.9
804960000,70.6
805046400,67.5
805132800,67.4
805219200,69.3
805305600,70.9
805392000,74.6
805478400,78.6
805564800,88.3
805651200,92.2
805737600,82.3
805824000,76.4
805910400,74.8
805996800,74.7
806083200,75.1
806169600,70.7
806256000,70.5
806342400,73.6
806428800,70.3
806515200,71.3
806601600,77.3
806688000,72.4
806774400,70.3
806860800,75.0
806947200,78.6
807033600,78.4
807120000,83.2
807206400,71.0
807292800,67.7
807379200,74.0
807465600,77.6
807552000,74.2
807638400,72.9
807724800,75.2
807811200,75.0
807897600,73.3
807984000,77.2
808070400,81.2
808156800,82.1
808243200,82.6
808329600,83.3
808416000,75.4
808502400,73.9
808588800,76.6
808675200,77.1
808761600,74.2
808848000,73.0
808934400,71.3
809020800,73.8
809107200,72.4
809193600,75.1
809280000,71.8
809366400,74.8
809452800,72.3
809539200,72.8
809625600,74.8
809712000,72.0
809798400,78.5
809884800,68.8
809971200,68.9
810057600,71.0
810144000,70.5
810230400,72.6
810316800,73.4
810403200,64.0
810489600,57.2
810576000,56.7
810662400,57.7
810748800,55.0
810835200,63.0
810921600,71.0
811008000,65.9
811094400,58.6
811180800,68.2
811267200,60.3
811353600,54.3
811440000,59.5
811526400,54.9
811612800,48.0
811699200,42.8
811785600,43.1
811872000,49.4
811958400,54.8
812044800,58.9
812131200,62.2
812217600,63.5
812304000,64.0
812390400,71.8
812476800,65.2
812563200,57.9
812649600,58.5
812736000,55.2
812822400,55.8
812908800,55.7
812995200,50.3
813081600,51.5
813168000,58.9
813254400,57.3
813340800,61.0
813427200,67.5
813513600,68.5
813600000,53.2
813686400,46.3
813772800,47.5
813859200,57.1
813945600,56.9
814032000,59.3
814118400,48.7
814204800,40.6
814291200,42.1
814377600,53.1
814464000,47.4
814550400,44.7
814636800,49.0
814723200,50.6
814809600,47.5
814896000,43.5
814982400,42.1
815068800,40.1
815155200,47.6
815241600,49.3
815328000,30.8
815414400,27.7
815500800,30.2
815587200,38.6
815673600,34.9
815760000,28.8
815846400,25.8
815932800,44.9
816019200,28.7
816105600,21.3
816192000,27.1
816278400,24.8
816364800,26.0
816451200,32.1
816537600,30.8
816624000,34.7
816710400,33.5
816796800,40.5
816883200,31.1
816969600,25.3
817056000,26.8
817142400,22.1
817228800,34.8
817315200,36.5
817401600,34.8
817488000,22.6
817574400,17.2
817660800,26.9
817747200,40.7
817833600,33.0
817920000,41.2
818006400,35.2
818092800,37.1
818179200,25.8
818265600,21.2
818352000,21.9
818438400,5.0
818524800,3.9
818611200,1.9
818697600,8.4
818784000,22.9
818870400,34.7
818956800,31.5
819043200,21.9
819129600,26.2
819216000,33.3
819302400,30.4
819388800,23.6
819475200,23.3
819561600,23.6
819648000,26.4
819734400,25.5
819820800,24.5
819907200,18.3
819993600,18.9
820080000,18.7
820166400,20.1
820252800,29.4
820339200,31.4
820425600,33.7
820512000,27.6
820598400,18.9
820684800,19.8
820771200,12.8
820857600,14.2
820944000,14.9
821030400,13.1
821116800,24.9
821203200,20.1
821289600,26.4
821376000,28.3
821462400,33.4
821548800,35.0
821635200,19.9
821721600,28.5
821808000,35.4
821894400,47.8
821980800,13.7
822067200,10.2
822153600,20.9
822240000,32.8
822326400,30.6
822412800,19.0
822499200,12.0
822585600,30.0
822672000,22.8
822758400,12.8
822844800,21.0
822931200,-1.2
823017600,-6.5
823104000,-4.1
823190400,-12.0
823276800,-16.6
823363200,-10.3
823449600,4.6
823536000,10.3
823622400,34.0
823708800,39.1
823795200,38.0
823881600,43.4
823968000,34.2
824054400,22.1
824140800,25.4
824227200,30.3
824313600,23.8
824400000,20.6
824486400,23.6
824572800,16.9
824659200,31.0
824745600,38.2
824832000,30.3
824918400,33.0
825004800,36.4
825091200,43.4
825177600,40.9
825264000,34.4
825350400,36.8
825436800,21.6
825523200,15.5
825609600,23.0
825696000,22.9
825782400,8.5
825868800,20.9
825955200,30.2
826041600,21.5
826128000,10.0
826214400,8.2
826300800,17.0
826387200,24.1
826473600,35.3
826560000,42.8
826646400,44.7
826732800,46.1
826819200,36.8
826905600,32.9
826992000,32.8
827078400,35.1
827164800,35.3
827251200,31.8
827337600,26.3
827424000,32.8
827510400,34.8
827596800,39.3
827683200,41.9
827769600,16.0
827856000,19.8
827942400,19.8
828028800,19.8
828115200,19.8
828201600,40.4
828288000,33.9
828374400,32.5
828460800,38.6
828547200,32.4
828633600,32.4
828720000,32.4
828806400,32.4
828892800,29.2
828979200,29.2
829065600,29.2
829152000,29.2
829238400,42.3
829324800,38.0
829411200,38.0
829497600,35.5
829584000,40.8
829670400,40.8
829756800,40.8
829843200,58.9
829929600,52.4
830016000,52.4
830102400,52.4
830188800,52.4
830275200,52.4
830361600,52.4
830448000,39.2
830534400,39.2
830620800,39.2
830707200,38.0
830793600,39.7
830880000,39.7
830966400,39.7
831052800,53.4
831139200,53.4
831225600,44.6
831312000,40.8
831398400,40.8
831484800,46.2
831571200,47.8
831657600,45.3
831744000,39.5
831830400,39.5
831916800,39.9
832003200,39.9
832089600,45.7
832176000,47.4
832262400,50.2
832348800,50.2
832435200,50.2
832521600,60.2
832608000,66.1
832694400,66.1
832780800,51.6
832867200,46.6
832953600,46.6
833040000,46.6
833126400,46.6
833212800,46.6
833299200,46.6
833385600,46.6
833472000,46.6
833558400,60.1
833644800,64.7
833731200,62.7
833817600,56.5
833904000,56.5
833990400,56.7
834076800,52.9
834163200,52.9
834249600,52.5
834336000,56.9
834422400,55.2
834508800,54.6
834595200,54.6
834681600,54.6
834768000,70.2
834854400,60.9
834940800,62.0
835027200,58.7
835113600,58.5
835200000,68.2
835286400,69.1
835372800,75.7
835459200,75.7
835545600,59.6
835632000,61.4
835718400,67.8
835804800,74.8
835891200,81.0
835977600,84.0
836064000,83.4
836150400,78.3
836236800,71.0
836323200,63.9
836409600,65.0
836496000,70.2
836582400,77.7
836668800,81.1
836755200,74.5
836841600,64.5
836928000,62.1
837014400,66.4
837100800,69.1
837187200,71.6
837273600,67.5
837360000,68.6
837446400,75.3
837532800,74.0
837619200,74.5
837705600,71.8
837792000,62.0
837878400,62.2
837964800,66.1
838051200,72.0
838137600,71.0
838224000,68.7
838310400,67.0
838396800,65.2
838483200,67.2
838569600,70.0
838656000,67.6
838742400,63.7
838828800,66.7
838915200,68.3
839001600,69.4
839088000,72.4
839174400,79.3
839260800,80.1
839347200,84.9
839433600,78.1
839520000,70.6
839606400,65.9
839692800,67.3
839779200,71.4
839865600,76.8
839952000,77.1
840038400,71.0
840124800,68.7
840211200,67.6
840297600,70.1
840384000,74.4
840470400,76.2
840556800,75.2
840643200,78.9
840729600,73.5
840816000,71.0
840902400,72.5
840988800,70.7
841075200,66.3
841161600,66.7
841248000,68.6
841334400,69.2
841420800,69.7
841507200,71.8
841593600,72.2
841680000,72.7
841766400,74.0
841852800,73.5
841939200,74.1
842025600,74.8
842112000,71.9
842198400,69.7
842284800,68.4
842371200,72.0
842457600,59.8
842544000,55.2
842630400,54.5
842716800,59.8
842803200,60.6
842889600,61.6
842976000,59.5
843062400,60.8
843148800,60.9
843235200,62.6
843321600,62.2
843408000,59.4
843494400,60.2
843580800,56.1
843667200,60.0
843753600,60.8
843840000,55.0
843926400,57.0
844012800,60.9
844099200,66.1
844185600,61.7
844272000,45.8
844358400,49.4
844444800,52.3
844531200,62.1
844617600,54.4
844704000,47.5
