timestamp,value
788889600,9.7
788976000,12.0
789062400,3.3
789148800,-4.4
789235200,8.9
789321600,24.0
789408000,6.1
789494400,9.9
789580800,8.2
789667200,15.7
789753600,26.4
789840000,33.9
789926400,31.5
790012800,24.5
790099200,19.8
790185600,27.7
790272000,32.4
790358400,21.8
790444800,20.0
790531200,17.8
790617600,17.5
790704000,16.2
790790400,11.7
790876800,9.5
790963200,17.5
791049600,15.4
791136000,25.7
791222400,28.8
791308800,23.3
791395200,21.5
791481600,31.1
791568000,31.1
791654400,27.5
791740800,31.6
791827200,15.6
791913600,6.2
792000000,6.1
792086400,12.7
792172800,9.1
792259200,30.3
792345600,21.1
792432000,-3.1
792518400,2.4
792604800,3.2
792691200,7.2
792777600,21.4
792864000,7.0
792950400,26.6
793036800,34.2
793123200,27.6
793209600,34.9
793296000,23.7
793382400,31.4
793468800,32.0
793555200,27.1
793641600,31.0
793728000,22.3
793814400,26.2
793900800,12.2
793987200,3.6
794073600,7.2
794160000,24.9
794246400,26.8
794332800,29.0
794419200,26.1
794505600,22.0
794592000,7.2
794678400,8.5
794764800,31.4
794851200,43.3
794937600,51.0
795024000,55.5
795110400,49.0
795196800,44.8
795283200,45.7
795369600,49.6
795456000,43.2
795542400,38.9
795628800,40.9
795715200,41.2
795801600,40.9
795888000,43.0
795974400,41.9
796060800,41.7
796147200,39.8
796233600,40.1
796320000,36.4
796406400,37.0
796492800,35.4
796579200,33.0
796665600,35.7
796752000,40.8
796838400,46.3
796924800,15.1
797011200,30.9
797097600,42.2
797184000,37.5
797270400,38.2
797356800,36.7
797443200,35.2
797529600,34.9
797616000,37.0
797702400,43.6
797788800,49.0
797875200,48.0
797961600,46.0
798048000,42.3
798134400,42.2
798220800,42.1
798307200,43.2
798393600,39.1
798480000,47.2
798566400,50.7
798652800,47.8
798739200,48.6
798825600,46.2
798912000,43.0
798998400,49.8
799084800,52.8
799171200,52.0
799257600,48.0
799344000,50.5
799430400,53.7
799516800,55.0
799603200,55.8
799689600,57.1
799776000,60.7
799862400,59.1
799948800,46.7
800035200,50.1
800121600,55.6
800208000,60.0
800294400,58.8
800380800,55.4
800467200,59.8
800553600,67.5
800640000,54.0
800726400,58.5
800812800,63.4
800899200,60.2
800985600,58.4
801072000,60.6
801158400,51.9
801244800,54.6
801331200,59.9
801417600,60.3
801504000,58.1
801590400,51.2
801676800,58.5
801763200,66.2
801849600,69.5
801936000,66.6
802022400,69.7
802108800,71.7
802195200,73.8
802281600,73.3
802368000,70.6
802454400,64.4
802540800,47.7
802627200,57.6
802713600,57.9
802800000,58.8
802886400,63.9
802972800,68.6
803059200,73.8
803145600,75.8
803232000,79.1
803318400,83.1
803404800,83.1
803491200,81.1
803577600,82.2
803664000,83.6
803750400,82.7
803836800,78.8
803923200,77.3
804009600,72.8
804096000,70.1
804182400,68.2
804268800,71.1
804355200,71.3
804441600,63.5
804528000,60.1
804614400,64.6
804700800,72.6
804787200,72.2
804873600,68.5
804960000,63.7
805046400,67.1
805132800,69.1
805219200,73.3
805305600,76.1
805392000,80.1
805478400,82.2
805564800,88.3
805651200,87.2
805737600,73.1
805824000,68.0
805910400,71.0
805996800,70.9
806083200,71.1
806169600,72.3
806256000,71.9
806342400,74.5
806428800,73.0
806515200,74.1
806601600,74.3
806688000,72.8
806774400,73.2
806860800,73.9
806947200,76.4
807033600,81.7
807120000,73.6
807206400,66.4
807292800,70.4
807379200,75.4
807465600,72.4
807552000,73.7
807638400,73.5
807724800,72.6
807811200,77.3
807897600,79.7
807984000,73.1
808070400,76.5
808156800,77.8
808243200,77.0
808329600,72.5
808416000,70.9
808502400,73.7
808588800,77.1
808675200,81.1
808761600,75.8
808848000,69.5
808934400,73.5
809020800,77.0
809107200,76.8
809193600,75.4
809280000,77.0
809366400,75.3
809452800,69.8
809539200,74.8
809625600,72.6
809712000,79.0
809798400,72.3
809884800,67.3
809971200,70.7
810057600,74.8
810144000,75.2
810230400,73.6
810316800,76.8
810403200,60.1
810489600,53.9
810576000,57.1
810662400,60.7
810748800,63.2
810835200,66.6
810921600,69.3
811008000,61.9
811094400,59.0
811180800,69.8
811267200,55.2
811353600,59.1
811440000,52.7
811526400,45.5
811612800,41.5
811699200,39.1
811785600,45.7
811872000,47.9
811958400,49.8
812044800,59.0
812131200,59.3
812217600,65.0
812304000,66.2
812390400,67.9
812476800,60.0
812563200,55.6
812649600,51.2
812736000,51.0
812822400,55.1
812908800,49.4
812995200,46.3
813081600,47.4
813168000,53.4
813254400,54.4
813340800,62.5
813427200,71.1
813513600,64.8
813600000,46.5
813686400,43.6
813772800,44.8
813859200,58.6
813945600,48.5
814032000,53.6
814118400,42.3
814204800,37.7
814291200,38.9
814377600,40.0
814464000,42.0
814550400,43.4
814636800,47.8
814723200,48.1
814809600,44.5
814896000,40.2
814982400,35.3
815068800,37.2
815155200,35.1
815241600,32.0
815328000,25.0
815414400,21.8
815500800,34.8
815587200,38.5
815673600,32.2
815760000,22.5
815846400,26.6
815932800,31.3
816019200,18.5
816105600,23.0
816192000,25.3
816278400,29.0
816364800,29.7
816451200,32.0
816537600,34.2
816624000,33.9
816710400,34.1
816796800,35.1
816883200,27.3
816969600,26.1
817056000,16.8
817142400,18.9
817228800,31.7
817315200,29.4
817401600,24.7
817488000,9.5
817574400,13.2
817660800,28.2
817747200,31.5
817833600,31.2
817920000,32.8
818006400,23.8
818092800,28.6
818179200,19.0
818265600,14.9
818352000,18.0
818438400,-6.0
818524800,-3.5
818611200,-6.5
818697600,-1.7
818784000,13.8
818870400,29.7
818956800,14.5
819043200,15.3
819129600,23.1
819216000,27.7
819302400,30.8
819388800,19.7
819475200,18.8
819561600,18.4
819648000,23.0
819734400,23.7
819820800,19.1
819907200,24.7
819993600,22.6
820080000,15.4
820166400,22.5
820252800,27.5
820339200,30.8
820425600,31.2
820512000,23.6
820598400,5.7
820684800,13.0
820771200,1.2
820857600,-5.2
820944000,-5.6
821030400,12.6
821116800,25.8
821203200,20.7
821289600,24.9
821376000,29.1
821462400,32.2
821548800,26.0
821635200,8.1
821721600,28.7
821808000,24.8
821894400,15.8
821980800,-7.7
822067200,-6.3
822153600,11.8
822240000,16.9
822326400,0.6
822412800,5.0
822499200,0.9
822585600,1.6
822672000,7.5
822758400,0.8
822844800,5.6
822931200,-12.8
823017600,-13.6
823104000,-15.6
823190400,-23.8
823276800,-20.3
823363200,-13.0
823449600,2.7
823536000,10.1
823622400,34.0
823708800,37.6
823795200,30.3
823881600,36.0
823968000,28.6
824054400,22.8
824140800,26.8
824227200,29.0
824313600,17.9
824400000,9.4
824486400,21.4
824572800,11.4
824659200,28.2
824745600,35.1
824832000,23.9
824918400,30.2
825004800,36.0
825091200,38.1
825177600,33.5
825264000,24.6
825350400,19.8
825436800,7.2
825523200,4.2
825609600,15.1
825696000,8.8
825782400,4.4
825868800,17.0
825955200,19.0
826041600,11.8
826128000,0.7
826214400,2.9
826300800,12.3
826387200,26.9
826473600,39.1
826560000,42.6
826646400,44.4
826732800,39.1
826819200,37.4
826905600,36.0
826992000,35.7
827078400,29.6
827164800,27.9
827251200,31.0
827337600,25.5
827424000,30.4
827510400,31.9
827596800,33.7
827683200,18.7
827769600,1.7
827856000,20.9
827942400,30.5
828028800,37.8
828115200,38.8
828201600,30.0
828288000,31.3
828374400,39.2
828460800,36.1
828547200,30.2
828633600,32.5
828720000,33.2
828806400,31.5
828892800,34.6
828979200,38.4
829065600,47.5
829152000,58.6
829238400,37.5
829324800,30.6
829411200,33.8
829497600,37.1
829584000,41.0
829670400,47.1
829756800,57.1
829843200,53.4
829929600,43.9
830016000,43.5
830102400,41.1
830188800,41.8
830275200,47.4
830361600,56.1
830448000,38.3
830534400,40.9
830620800,46.0
830707200,49.9
830793600,44.9
830880000,47.1
830966400,48.7
831052800,47.4
831139200,52.8
831225600,45.1
831312000,40.2
831398400,50.8
831484800,55.7
831571200,52.5
831657600,51.8
831744000,49.4
831830400,45.3
831916800,44.9
832003200,51.7
832089600,49.7
832176000,62.7
832262400,62.7
832348800,71.4
832435200,69.7
832521600,66.4
832608000,61.0
832694400,62.6
832780800,59.9
832867200,57.1
832953600,53.6
833040000,53.8
833126400,53.8
833212800,63.2
833299200,61.0
833385600,62.4
833472000,64.2
833558400,63.9
833644800,62.0
833731200,54.1
833817600,54.6
833904000,57.6
833990400,61.7
834076800,56.6
834163200,56.6
834249600,66.2
834336000,68.6
834422400,68.8
834508800,74.8
834595200,78.0
834681600,78.0
834768000,74.7
834854400,71.1
834940800,65.4
835027200,61.6
835113600,64.3
835200000,68.2
835286400,69.8
835372800,64.3
835459200,61.2
835545600,64.8
835632000,69.2
835718400,76.3
835804800,82.3
835891200,84.8
835977600,87.3
836064000,76.6
836150400,76.0
836236800,72.1
836323200,73.9
836409600,74.9
836496000,76.2
836582400,76.8
836668800,71.8
836755200,68.3
836841600,64.5
836928000,65.5
837014400,68.8
837100800,69.2
837187200,67.6
837273600,67.2
837360000,69.6
837446400,74.4
837532800,77.1
837619200,81.4
837705600,74.5
837792000,68.2
837878400,72.3
837964800,73.8
838051200,70.0
838137600,67.4
838224000,67.4
838310400,68.5
838396800,70.7
838483200,67.7
838569600,64.3
838656000,64.2
838742400,66.8
838828800,70.4
838915200,74.0
839001600,72.7
839088000,75.3
839174400,75.1
839260800,79.6
839347200,75.7
839433600,71.6
839520000,67.3
839606400,66.2
839692800,71.3
839779200,71.2
839865600,74.6
839952000,71.4
840038400,69.4
840124800,69.1
840211200,70.2
840297600,71.3
840384000,71.7
840470400,69.2
840556800,74.6
840643200,75.5
840729600,68.3
840816000,70.0
840902400,73.9
840988800,71.8
841075200,65.2
841161600,66.1
841248000,70.1
841334400,70.8
841420800,70.9
841507200,71.5
841593600,75.1
841680000,74.9
841766400,76.6
841852800,77.5
841939200,75.1
842025600,72.8
842112000,65.8
842198400,62.8
842284800,72.5
842371200,64.7
842457600,58.9
842544000,54.4
842630400,52.8
842716800,62.0
842803200,60.8
842889600,56.5
842976000,59.8
843062400,60.6
843148800,59.3
843235200,57.1
843321600,57.6
843408000,58.4
843494400,54.0
843580800,56.2
843667200,53.0
843753600,50.2
843840000,53.6
843926400,50.5
844012800,55.1
844099200,66.5
844185600,55.0
844272000,40.7
844358400,47.4
844444800,60.0
844531200,62.2
844617600,48.9
844704000,44.7
844790400,48.3
844876800,42.3
844963200,47.2
845049600,57.3
845136000,61.7
845222400,58.4
845308800,61.4
845395200,56.9
845481600,53.8
845568000,43.2
845654400,45.4
845740800,52.0
845827200,51.2
845913600,39.6
846000000,41.8
846086400,40.3
846172800,47.5
846259200,57.4
846345600,52.0
846432000,40.8
846518400,45.0
846604800,35.8
846691200,24.9
846777600,25.3
846864000,24.7
846950400,35.6
847036800,42.3
847123200,42.2
847209600,43.9
847296000,36.7
847382400,36.2
847468800,30.2
847555200,25.9
847641600,22.9
847728000,16.9
847814400,21.0
847900800,20.5
847987200,29.2
848073600,41.3
848160000,34.1
848246400,19.5
848332800,19.5
848419200,24.0
848505600,25.6
848592000,21.7
848678400,24.4
848764800,18.0
848851200,5.7
848937600,4.6
849024000,2.7
849110400,22.0
849196800,30.3
849283200,32.4
849369600,22.7
849456000,12.1
849542400,15.5
849628800,17.7
849715200,26.3
849801600,27.1
849888000,22.8
849974400,25.6
850060800,23.9
850147200,26.4
850233600,31.6
850320000,32.8
850406400,25.3
850492800,18.1
850579200,24.9
850665600,12.7
850752000,8.8
850838400,7.4
850924800,5.6
851011200,-4.6
851097600,23.5
851184000,12.6
851270400,19.7
851356800,2.0
851443200,-12.0
851529600,-12.2
851616000,-0.8
851702400,12.9
851788800,7.5
851875200,10.8
851961600,17.4
852048000,26.2
852134400,32.1
852220800,34.5
852307200,35.0
852393600,15.4
852480000,4.9
852566400,-2.0
852652800,20.5
852739200,24.6
852825600,11.0
852912000,-4.5
852998400,-6.5
853084800,0.9
853171200,-1.6
853257600,15.8
853344000,-1.2
853430400,-7.3
853516800,-4.3
853603200,20.3
853689600,21.7
853776000,30.7
853862400,26.8
853948800,11.5
854035200,19.3
854121600,0.1
854208000,-7.3
854294400,2.1
854380800,-7.3
854467200,2.9
854553600,8.3
854640000,30.1
854726400,24.0
854812800,27.6
854899200,18.5
854985600,25.8
855072000,26.4
855158400,23.5
855244800,24.7
855331200,17.2
855417600,14.7
855504000,22.8
855590400,13.7
855676800,8.7
855763200,10.3
855849600,20.6
855936000,9.3
856022400,11.4
856108800,24.9
856195200,36.9
856281600,24.9
856368000,32.1
856454400,30.7
856540800,21.0
856627200,13.0
856713600,6.4
856800000,18.3
856886400,31.7
856972800,28.5
857059200,28.9
857145600,34.1
857232000,21.7
857318400,27.7
857404800,30.3
857491200,17.4
857577600,11.0
857664000,13.4
857750400,20.5
857836800,37.9
857923200,34.7
858009600,34.4
858096000,30.9
858182400,26.7
858268800,18.5
858355200,5.5
858441600,16.5
858528000,34.9
858614400,33.6
858700800,29.8
858787200,35.9
858873600,39.9
858960000,36.2
859046400,33.0
859132800,30.3
859219200,34.1
859305600,36.4
859392000,47.0
859478400,49.0
859564800,41.9
859651200,38.3
859737600,36.7
859824000,52.4
859910400,53.6
859996800,43.5
860083200,55.3
860169600,54.8
860256000,34.6
860342400,18.9
860428800,18.3
860515200,26.1
860601600,30.7
860688000,31.5
860774400,38.3
860860800,38.6
860947200,41.6
861033600,46.4
861120000,34.0
861206400,37.8
861292800,46.6
861379200,51.1
861465600,52.9
861552000,53.4
861638400,48.6
861724800,49.2
861811200,47.4
861897600,51.0
861984000,52.8
862070400,52.4
862156800,51.4
862243200,59.1
862329600,45.1
862416000,44.4
862502400,50.8
862588800,50.1
862675200,53.0
862761600,60.6
862848000,53.7
862934400,55.7
863020800,50.2
863107200,48.7
863193600,54.8
863280000,58.1
863366400,45.9
863452800,40.6
863539200,43.4
863625600,43.1
863712000,52.5
863798400,58.9
863884800,66.5
863971200,51.7
864057600,48.3
864144000,50.9
864230400,60.3
864316800,65.1
864403200,61.5
864489600,58.5
864576000,55.7
864662400,58.2
864748800,58.9
864835200,54.5
864921600,57.7
865008000,66.8
865094400,71.6
865180800,72.0
865267200,71.2
865353600,73.5
865440000,66.1
865526400,66.1
865612800,66.2
865699200,66.0
865785600,68.8
865872000,71.3
865958400,71.4
866044800,71.3
866131200,74.4
866217600,69.8
866304000,73.2
866390400,66.8
866476800,64.8
866563200,65.5
866649600,64.1
866736000,69.9
866822400,74.7
866908800,74.3
866995200,79.8
867081600,79.2
867168000,73.5
867254400,71.4
867340800,76.9
867427200,74.9
867513600,67.3
867600000,72.7
867686400,77.3
867772800,66.3
867859200,61.2
867945600,59.5
868032000,64.5
868118400,61.8
868204800,59.4
868291200,60.6
868377600,62.9
868464000,67.2
868550400,73.0
868636800,77.5
868723200,79.8
868809600,72.7
868896000,75.8
868982400,81.8
869068800,79.5
869155200,79.4
869241600,72.8
869328000,72.5
869414400,73.7
869500800,66.3
869587200,68.2
869673600,72.7
869760000,76.1
869846400,79.2
869932800,80.4
870019200,74.3
870105600,69.0
870192000,69.1
870278400,67.9
870364800,72.5
870451200,77.7
870537600,75.6
870624000,72.8
870710400,68.1
