timestamp,value
788889600,34.4
788976000,30.0
789062400,26.8
789148800,15.3
789235200,8.5
789321600,14.7
789408000,21.7
789494400,23.8
789580800,23.6
789667200,25.3
789753600,26.4
789840000,23.4
789926400,21.8
790012800,21.1
790099200,24.0
790185600,26.0
790272000,18.1
790358400,13.7
790444800,10.4
790531200,8.6
790617600,6.5
790704000,10.5
790790400,21.6
790876800,33.5
790963200,33.9
791049600,32.7
791136000,37.6
791222400,31.3
791308800,34.8
791395200,36.8
791481600,26.7
791568000,25.9
791654400,35.6
791740800,30.2
791827200,29.2
791913600,33.8
792000000,32.5
792086400,38.1
792172800,29.9
792259200,27.3
792345600,26.6
792432000,27.4
792518400,28.7
792604800,36.9
792691200,37.3
792777600,32.4
792864000,34.5
792950400,36.4
793036800,37.5
793123200,34.1
793209600,32.0
793296000,34.3
793382400,36.6
793468800,38.8
793555200,36.1
793641600,31.4
793728000,32.2
793814400,29.8
793900800,32.6
793987200,42.3
794073600,44.3
794160000,40.3
794246400,39.4
794332800,44.7
794419200,46.5
794505600,46.5
794592000,38.6
794678400,40.7
794764800,38.7
794851200,39.0
794937600,29.9
795024000,22.0
795110400,23.3
795196800,30.5
795283200,28.8
795369600,29.9
795456000,33.2
795542400,38.6
795628800,35.0
795715200,35.4
795801600,32.7
795888000,35.1
795974400,36.2
796060800,41.9
796147200,35.2
796233600,35.3
796320000,30.2
796406400,30.2
796492800,31.1
796579200,31.8
796665600,32.4
796752000,34.0
796838400,36.4
796924800,35.6
797011200,34.4
797097600,35.1
797184000,34.9
797270400,36.6
797356800,34.5
797443200,33.8
797529600,33.1
797616000,35.3
797702400,39.7
797788800,44.8
797875200,43.4
797961600,41.1
798048000,47.7
798134400,43.2
798220800,49.8
798307200,53.5
798393600,56.9
798480000,62.4
798566400,62.5
798652800,60.0
798739200,61.3
798825600,61.2
798912000,54.4
798998400,52.0
799084800,43.1
799171200,44.6
799257600,37.9
799344000,33.4
799430400,41.1
799516800,49.5
799603200,49.5
799689600,51.7
799776000,50.4
799862400,50.9
799948800,45.7
800035200,42.5
800121600,41.3
800208000,50.0
800294400,57.8
800380800,59.4
800467200,45.6
800553600,48.5
800640000,55.7
800726400,60.6
800812800,61.0
800899200,62.6
800985600,62.6
801072000,53.9
801158400,53.7
801244800,59.4
801331200,61.9
801417600,59.3
801504000,69.1
801590400,75.9
801676800,70.3
801763200,71.7
801849600,70.0
801936000,68.7
802022400,73.1
802108800,75.8
802195200,66.8
802281600,62.7
802368000,62.4
802454400,63.3
802540800,70.7
802627200,70.9
802713600,69.9
802800000,69.4
802886400,67.2
802972800,73.8
803059200,74.8
803145600,69.6
803232000,68.1
803318400,64.2
803404800,67.3
803491200,61.8
803577600,56.9
803664000,60.6
803750400,63.4
803836800,56.6
803923200,60.3
804009600,62.3
804096000,70.6
804182400,72.4
804268800,65.1
804355200,64.9
804441600,61.0
804528000,63.9
804614400,55.1
804700800,62.0
804787200,66.3
804873600,60.2
804960000,58.6
805046400,62.3
805132800,70.2
805219200,73.3
805305600,71.9
805392000,58.5
805478400,64.5
805564800,66.5
805651200,72.6
805737600,69.7
805824000,64.9
805910400,64.4
805996800,61.2
806083200,65.6
806169600,61.4
806256000,66.6
806342400,76.1
806428800,64.3
806515200,64.9
806601600,64.3
806688000,64.5
806774400,64.1
806860800,67.6
806947200,70.4
807033600,70.0
807120000,62.8
807206400,61.7
807292800,62.4
807379200,63.8
807465600,63.4
807552000,62.3
807638400,60.2
807724800,65.4
807811200,62.2
807897600,56.4
807984000,58.7
808070400,58.5
808156800,61.4
808243200,62.9
808329600,65.3
808416000,64.5
808502400,66.6
808588800,66.7
808675200,67.7
808761600,72.3
808848000,71.4
808934400,64.8
809020800,60.2
809107200,65.4
809193600,71.2
809280000,71.7
809366400,66.5
809452800,62.1
809539200,60.0
809625600,62.4
809712000,54.2
809798400,57.5
809884800,56.2
809971200,62.5
810057600,57.4
810144000,60.1
810230400,60.9
810316800,55.0
810403200,58.5
810489600,58.3
810576000,59.7
810662400,63.2
810748800,59.1
810835200,59.5
810921600,60.3
811008000,60.3
811094400,59.8
811180800,47.6
811267200,42.9
811353600,41.5
811440000,43.5
811526400,46.9
811612800,48.2
811699200,47.8
811785600,48.3
811872000,53.7
811958400,52.1
812044800,53.9
812131200,51.7
812217600,50.7
812304000,44.3
812390400,40.4
812476800,41.1
812563200,44.2
812649600,43.3
812736000,42.7
812822400,44.1
812908800,49.1
812995200,52.2
813081600,52.9
813168000,53.1
813254400,57.8
813340800,59.4
813427200,52.1
813513600,55.2
813600000,51.7
813686400,42.2
813772800,43.3
813859200,46.3
813945600,49.8
814032000,49.5
814118400,48.5
814204800,42.8
814291200,35.6
814377600,34.7
814464000,38.2
814550400,38.5
814636800,36.1
814723200,41.7
814809600,44.4
814896000,42.3
814982400,40.1
815068800,39.4
815155200,35.9
815241600,34.2
815328000,29.4
815414400,25.6
815500800,27.6
815587200,25.3
815673600,26.2
815760000,26.6
815846400,22.2
815932800,13.3
816019200,29.8
816105600,29.1
816192000,31.3
816278400,34.6
816364800,33.0
816451200,37.8
816537600,40.7
816624000,33.0
816710400,29.7
816796800,26.7
816883200,20.8
816969600,22.5
817056000,25.3
817142400,25.0
817228800,33.0
817315200,33.9
817401600,29.0
817488000,30.2
817574400,22.4
817660800,24.6
817747200,29.2
817833600,31.5
817920000,25.2
818006400,15.2
818092800,10.8
818179200,5.9
818265600,7.4
818352000,11.2
818438400,19.4
818524800,22.4
818611200,28.2
818697600,23.1
818784000,22.5
818870400,19.3
818956800,23.8
819043200,21.9
819129600,29.0
819216000,26.9
819302400,20.8
819388800,24.6
819475200,18.9
819561600,14.0
819648000,15.5
819734400,26.6
819820800,8.0
819907200,17.0
819993600,6.9
820080000,-0.2
820166400,0.5
820252800,-3.5
820339200,-5.8
820425600,-1.5
820512000,12.2
820598400,16.4
820684800,21.8
820771200,23.1
820857600,23.2
820944000,18.1
821030400,13.2
821116800,12.8
821203200,19.4
821289600,19.4
821376000,24.2
821462400,22.8
821548800,7.3
821635200,-0.1
821721600,9.9
821808000,14.3
821894400,17.9
821980800,16.0
822067200,22.2
822153600,19.1
822240000,15.6
822326400,11.5
822412800,3.2
822499200,7.7
822585600,9.0
822672000,-1.1
822758400,9.8
822844800,22.0
822931200,23.3
823017600,20.5
823104000,18.1
823190400,22.5
823276800,21.1
823363200,17.2
823449600,13.0
823536000,9.5
823622400,-5.7
823708800,-5.8
823795200,-1.4
823881600,-1.8
823968000,2.1
824054400,9.2
824140800,11.5
