timestamp,value
788889600,59.3
788976000,45.4
789062400,42.8
789148800,44.1
789235200,35.9
789321600,54.3
789408000,55.1
789494400,42.4
789580800,53.5
789667200,55.8
789753600,62.6
789840000,64.4
789926400,62.6
790012800,55.5
790099200,48.7
790185600,47.5
790272000,48.6
790358400,60.1
790444800,57.1
790531200,45.1
790617600,44.9
790704000,48.1
790790400,48.0
790876800,39.4
790963200,45.2
791049600,50.9
791136000,54.3
791222400,64.9
791308800,53.6
791395200,47.1
791481600,40.9
791568000,45.7
791654400,58.1
791740800,60.5
791827200,52.1
791913600,49.7
792000000,42.3
792086400,47.9
792172800,38.6
792259200,34.7
792345600,60.0
792432000,63.4
792518400,39.9
792604800,41.3
792691200,49.7
792777600,63.6
792864000,71.4
792950400,60.6
793036800,56.1
793123200,58.2
793209600,59.0
793296000,59.2
793382400,54.9
793468800,57.7
793555200,61.7
793641600,50.8
793728000,54.1
793814400,62.3
793900800,63.6
793987200,52.7
794073600,47.9
794160000,50.7
794246400,54.5
794332800,63.3
794419200,66.9
794505600,67.2
794592000,49.7
794678400,45.7
794764800,47.5
794851200,52.5
794937600,59.8
795024000,62.7
795110400,63.5
795196800,64.0
795283200,60.3
795369600,62.3
795456000,63.2
795542400,63.6
795628800,66.3
795715200,67.6
795801600,69.9
795888000,72.3
795974400,72.6
796060800,68.3
796147200,69.6
796233600,72.4
796320000,62.4
796406400,57.0
796492800,58.2
796579200,56.9
796665600,56.5
796752000,56.6
796838400,61.9
796924800,61.6
797011200,63.3
797097600,62.4
797184000,62.2
797270400,64.3
797356800,67.3
797443200,69.7
797529600,68.5
797616000,68.5
797702400,64.5
797788800,62.8
797875200,64.6
797961600,67.2
798048000,70.7
798134400,73.1
798220800,76.1
798307200,75.3
798393600,73.6
798480000,75.7
798566400,74.5
798652800,62.0
798739200,59.3
798825600,61.7
798912000,65.0
798998400,67.0
799084800,67.8
799171200,69.0
799257600,71.8
799344000,68.0
799430400,61.3
799516800,69.3
799603200,76.0
799689600,74.1
799776000,74.6
799862400,74.5
799948800,75.5
800035200,71.4
800121600,78.3
800208000,71.4
800294400,77.8
800380800,80.1
800467200,79.7
800553600,78.7
800640000,78.2
800726400,79.6
800812800,78.2
800899200,68.8
800985600,72.4
801072000,75.6
801158400,77.2
801244800,76.9
801331200,77.7
801417600,78.5
801504000,79.2
801590400,79.7
801676800,76.7
801763200,72.9
801849600,75.9
801936000,72.9
802022400,75.4
802108800,78.4
802195200,79.7
802281600,80.1
802368000,80.6
802454400,81.3
802540800,83.3
802627200,84.0
802713600,83.5
802800000,82.7
802886400,73.2
802972800,68.1
803059200,70.9
803145600,72.6
