timestamp,value
788889600,64.8
788976000,45.8
789062400,46.8
789148800,46.0
789235200,42.8
789321600,52.4
789408000,61.1
789494400,66.7
789580800,64.6
789667200,73.9
789753600,73.8
789840000,75.7
789926400,71.0
790012800,68.1
790099200,69.5
790185600,69.4
790272000,71.9
790358400,67.9
790444800,59.3
790531200,60.7
790617600,63.8
790704000,69.3
790790400,59.3
790876800,49.3
790963200,53.6
791049600,61.0
791136000,73.7
791222400,71.6
791308800,64.4
791395200,55.6
791481600,59.4
791568000,69.9
791654400,73.5
791740800,73.5
791827200,64.0
791913600,70.9
792000000,70.1
792086400,75.4
792172800,56.2
792259200,55.7
792345600,73.1
792432000,80.9
792518400,58.1
792604800,62.5
792691200,65.4
792777600,73.9
792864000,75.6
792950400,58.0
793036800,56.6
793123200,65.4
793209600,68.3
793296000,69.2
793382400,70.8
793468800,77.7
793555200,73.4
793641600,73.0
793728000,76.0
793814400,76.5
793900800,78.8
793987200,58.4
794073600,52.8
794160000,51.9
794246400,55.7
794332800,64.4
794419200,73.1
794505600,69.8
794592000,54.8
794678400,56.4
794764800,64.4
794851200,68.0
794937600,75.0
795024000,78.9
795110400,77.5
795196800,73.7
795283200,73.5
795369600,73.7
795456000,76.3
795542400,81.1
795628800,86.8
795715200,86.8
795801600,92.2
795888000,86.9
795974400,87.4
796060800,87.2
796147200,84.4
796233600,72.3
796320000,65.0
796406400,61.9
796492800,56.7
796579200,63.0
796665600,60.6
796752000,59.9
796838400,71.0
796924800,79.3
797011200,76.6
797097600,82.0
797184000,79.8
797270400,82.3
797356800,85.9
797443200,93.0
797529600,86.5
797616000,76.9
797702400,79.5
797788800,79.4
797875200,86.6
797961600,90.0
798048000,92.0
798134400,85.7
798220800,87.3
798307200,87.8
798393600,87.6
798480000,93.2
798566400,75.9
798652800,69.8
798739200,68.7
798825600,75.1
798912000,80.7
798998400,81.7
799084800,84.0
799171200,89.0
799257600,94.3
799344000,73.8
799430400,76.3
799516800,84.8
799603200,83.4
799689600,83.2
799776000,84.6
799862400,85.8
799948800,85.9
800035200,89.8
800121600,87.0
800208000,90.4
800294400,103.4
800380800,94.7
800467200,92.5
800553600,94.2
800640000,93.2
800726400,93.6
800812800,87.7
800899200,88.1
800985600,84.2
801072000,87.8
801158400,88.6
801244800,86.8
801331200,81.5
801417600,83.8
801504000,85.2
801590400,87.2
801676800,85.6
801763200,84.7
801849600,84.8
801936000,87.3
802022400,89.5
802108800,89.5
802195200,84.0
802281600,85.6
802368000,86.2
802454400,93.1
802540800,92.4
802627200,91.8
802713600,90.8
802800000,80.4
802886400,83.2
802972800,80.4
803059200,83.9
803145600,84.1
803232000,83.7
803318400,84.6
803404800,85.7
803491200,88.0
803577600,81.4
803664000,78.1
803750400,83.3
803836800,88.6
803923200,91.7
804009600,92.0
804096000,93.0
804182400,91.7
804268800,90.6
804355200,90.4
804441600,90.4
804528000,91.0
804614400,90.3
804700800,88.4
804787200,90.7
804873600,94.1
804960000,85.0
805046400,81.8
805132800,87.1
805219200,89.8
805305600,89.8
805392000,92.5
805478400,92.9
805564800,89.2
805651200,88.0
805737600,89.2
805824000,86.9
805910400,83.9
805996800,87.5
806083200,88.5
806169600,92.7
806256000,95.1
806342400,92.5
806428800,93.8
806515200,91.5
806601600,92.5
806688000,92.8
806774400,92.6
806860800,94.2
806947200,96.2
807033600,90.4
807120000,88.9
807206400,90.2
807292800,86.3
807379200,86.0
807465600,87.5
807552000,91.5
