timestamp,value
788889600,79.7
788976000,73.7
789062400,72.3
789148800,76.5
789235200,77.2
789321600,70.8
789408000,68.7
789494400,74.9
789580800,68.4
789667200,63.7
789753600,63.9
789840000,66.9
789926400,71.9
790012800,71.4
790099200,70.8
790185600,71.7
790272000,68.0
790358400,68.2
790444800,68.8
790531200,71.8
790617600,71.9
790704000,74.1
790790400,78.5
790876800,72.0
790963200,70.4
791049600,72.3
791136000,73.0
791222400,67.5
791308800,68.0
791395200,68.0
791481600,72.1
791568000,69.7
791654400,64.4
791740800,69.0
791827200,67.1
791913600,66.1
792000000,66.0
792086400,69.9
792172800,73.4
792259200,71.8
792345600,69.3
792432000,70.9
792518400,71.0
792604800,71.6
792691200,71.2
792777600,71.7
792864000,71.2
792950400,68.3
793036800,64.2
793123200,65.4
793209600,71.7
793296000,72.2
793382400,67.5
793468800,69.3
793555200,66.9
793641600,65.9
793728000,65.3
793814400,72.4
793900800,68.3
793987200,70.6
794073600,69.1
794160000,69.3
794246400,66.0
794332800,65.3
794419200,65.6
794505600,65.4
794592000,64.6
794678400,64.2
794764800,66.2
794851200,65.8
794937600,66.8
795024000,68.2
795110400,66.0
795196800,68.7
795283200,69.2
795369600,65.3
795456000,70.1
795542400,68.0
795628800,71.0
795715200,73.3
795801600,70.2
795888000,68.3
795974400,67.8
796060800,64.2
796147200,66.8
796233600,70.0
796320000,72.4
796406400,63.8
796492800,58.0
796579200,61.3
796665600,63.0
796752000,63.4
796838400,61.1
796924800,66.7
797011200,70.5
797097600,72.0
797184000,69.6
797270400,74.0
797356800,66.1
797443200,61.8
797529600,58.9
797616000,60.5
797702400,55.2
797788800,59.9
797875200,63.6
797961600,64.5
798048000,63.1
798134400,63.5
798220800,58.1
798307200,56.0
798393600,53.6
798480000,55.5
798566400,56.1
798652800,57.7
798739200,59.1
798825600,58.3
798912000,61.2
798998400,61.4
799084800,60.0
799171200,58.9
799257600,61.5
799344000,58.0
799430400,57.7
799516800,63.2
799603200,57.0
799689600,54.0
799776000,52.1
799862400,62.0
799948800,60.5
800035200,55.7
800121600,56.0
800208000,58.1
800294400,63.8
800380800,62.9
800467200,61.3
800553600,61.0
800640000,57.6
800726400,53.6
800812800,50.9
800899200,48.3
800985600,51.6
801072000,54.5
801158400,47.0
801244800,46.6
801331200,52.3
801417600,49.6
801504000,47.4
801590400,46.2
801676800,50.4
801763200,51.7
801849600,53.8
801936000,54.3
802022400,51.0
802108800,48.9
802195200,50.0
802281600,63.7
802368000,59.2
802454400,48.6
802540800,45.9
802627200,50.0
802713600,56.6
802800000,47.0
802886400,56.9
802972800,48.2
803059200,41.4
803145600,40.8
803232000,48.1
803318400,47.5
803404800,44.1
803491200,42.1
803577600,40.9
803664000,46.6
803750400,51.2
803836800,56.4
803923200,54.5
804009600,43.8
804096000,40.0
804182400,46.3
804268800,45.8
804355200,38.7
804441600,41.7
804528000,49.7
804614400,51.9
804700800,50.8
804787200,46.5
804873600,56.0
804960000,47.5
805046400,47.9
805132800,50.9
805219200,51.1
805305600,48.0
805392000,56.4
805478400,51.4
805564800,50.5
805651200,51.0
805737600,48.7
805824000,44.1
805910400,39.4
805996800,40.8
806083200,46.6
806169600,41.7
806256000,38.6
806342400,44.6
806428800,53.8
806515200,59.5
806601600,52.8
806688000,49.7
806774400,52.2
806860800,52.5
806947200,50.5
807033600,45.1
807120000,42.4
807206400,49.3
807292800,48.2
807379200,41.9
807465600,41.4
807552000,41.4
807638400,45.3
807724800,45.7
807811200,45.6
807897600,45.0
807984000,40.0
808070400,44.4
808156800,52.4
808243200,57.2
808329600,51.1
808416000,47.0
808502400,44.0
808588800,47.2
808675200,44.2
808761600,43.5
808848000,41.8
808934400,45.6
809020800,50.3
809107200,59.7
809193600,65.5
809280000,55.3
809366400,55.9
809452800,53.9
809539200,53.1
809625600,52.7
809712000,49.4
809798400,52.5
809884800,54.9
809971200,46.3
810057600,45.3
810144000,56.6
810230400,68.6
810316800,72.8
810403200,70.3
810489600,52.6
810576000,51.1
810662400,52.3
810748800,53.6
810835200,45.6
810921600,48.2
811008000,53.0
811094400,52.0
811180800,57.8
811267200,62.1
811353600,57.1
811440000,48.7
811526400,45.6
811612800,47.5
811699200,55.1
811785600,54.8
811872000,53.7
811958400,58.3
812044800,57.2
812131200,51.6
812217600,50.5
812304000,54.5
812390400,53.3
812476800,55.1
812563200,55.2
812649600,60.0
812736000,61.6
812822400,61.0
812908800,58.2
812995200,58.6
813081600,57.8
813168000,52.3
813254400,52.4
813340800,51.8
813427200,54.6
813513600,52.5
813600000,56.6
813686400,56.7
813772800,53.7
813859200,52.3
813945600,55.0
814032000,58.7
814118400,58.8
814204800,61.4
814291200,64.5
814377600,68.5
814464000,73.3
814550400,67.4
814636800,55.8
814723200,51.3
814809600,51.9
814896000,50.5
814982400,51.2
815068800,62.0
815155200,67.7
815241600,72.6
815328000,74.0
815414400,76.8
815500800,77.1
815587200,69.1
815673600,64.7
815760000,66.5
815846400,60.6
815932800,59.5
816019200,58.3
816105600,56.7
816192000,60.5
816278400,64.0
816364800,63.9
816451200,61.4
816537600,61.4
816624000,60.4
816710400,61.7
816796800,64.3
816883200,67.4
816969600,63.2
817056000,60.9
817142400,61.2
817228800,63.5
817315200,66.6
817401600,60.1
817488000,60.9
817574400,69.6
817660800,71.6
817747200,69.5
817833600,67.9
817920000,68.1
818006400,72.3
818092800,74.9
818179200,78.3
818265600,74.3
818352000,60.2
818438400,58.3
818524800,66.7
818611200,67.5
818697600,63.4
818784000,66.0
818870400,64.2
818956800,70.4
819043200,78.3
819129600,70.1
819216000,81.9
819302400,66.5
819388800,67.0
819475200,76.3
819561600,70.0
819648000,69.8
819734400,70.2
819820800,69.8
819907200,68.2
819993600,67.5
820080000,68.1
820166400,70.0
820252800,68.6
820339200,68.8
820425600,68.6
820512000,71.4
820598400,77.4
820684800,73.0
820771200,70.0
820857600,65.9
820944000,69.1
821030400,70.4
821116800,70.3
821203200,74.5
821289600,71.4
821376000,68.1
821462400,66.8
821548800,65.1
821635200,65.0
821721600,69.2
821808000,69.9
821894400,69.7
821980800,67.4
822067200,67.0
822153600,69.7
822240000,71.5
822326400,68.4
822412800,68.0
822499200,71.4
822585600,73.2
822672000,73.6
822758400,70.8
822844800,74.9
822931200,73.3
823017600,72.9
823104000,68.6
823190400,68.9
823276800,70.0
823363200,70.1
823449600,71.6
823536000,65.7
823622400,72.7
823708800,70.4
823795200,70.7
823881600,65.2
823968000,59.9
824054400,62.7
824140800,66.9
824227200,69.1
824313600,72.3
824400000,73.7
824486400,73.9
824572800,72.8
824659200,76.4
824745600,72.5
824832000,68.8
824918400,75.2
825004800,73.8
825091200,66.9
825177600,68.0
825264000,73.2
825350400,73.7
825436800,71.8
825523200,69.6
825609600,66.1
825696000,67.1
825782400,68.8
825868800,68.6
825955200,70.4
826041600,69.0
826128000,70.0
826214400,72.3
826300800,69.9
826387200,71.0
826473600,71.8
826560000,69.4
826646400,70.8
826732800,69.5
826819200,68.5
826905600,69.5
826992000,70.4
827078400,72.2
827164800,71.1
827251200,70.6
827337600,72.6
827424000,71.3
827510400,66.0
827596800,63.7
827683200,65.2
827769600,66.7
827856000,62.9
827942400,66.5
828028800,70.6
828115200,66.0
828201600,69.3
828288000,70.8
828374400,69.1
828460800,65.9
828547200,67.5
828633600,69.3
828720000,68.2
828806400,59.7
828892800,62.2
828979200,65.9
829065600,61.7
829152000,63.2
829238400,66.4
829324800,64.4
829411200,66.5
829497600,64.0
829584000,57.5
829670400,55.0
829756800,55.7
829843200,53.2
829929600,57.1
830016000,61.3
830102400,62.1
830188800,60.0
830275200,62.4
830361600,62.0
830448000,59.2
830534400,57.2
830620800,60.2
830707200,64.2
830793600,62.9
830880000,60.5
830966400,61.4
831052800,59.0
831139200,60.6
831225600,63.9
831312000,64.7
831398400,63.3
831484800,60.8
831571200,53.7
831657600,57.2
831744000,50.8
831830400,57.3
831916800,57.4
832003200,55.2
832089600,51.7
