timestamp,value
788889600,32.3
788976000,31.7
789062400,26.8
789148800,15.9
789235200,23.8
789321600,15.3
789408000,15.1
789494400,18.1
789580800,16.0
789667200,9.1
789753600,20.3
789840000,23.9
789926400,25.0
790012800,22.4
790099200,17.4
790185600,15.3
790272000,9.7
790358400,7.6
790444800,8.7
790531200,8.1
790617600,4.8
790704000,4.0
790790400,11.3
790876800,21.6
790963200,27.7
791049600,28.1
791136000,32.7
791222400,28.6
791308800,27.1
791395200,33.6
791481600,31.7
791568000,16.9
791654400,27.3
791740800,27.4
791827200,18.3
791913600,27.0
792000000,29.5
792086400,31.9
792172800,22.5
792259200,21.6
792345600,20.4
792432000,26.2
792518400,24.1
792604800,28.9
792691200,34.0
792777600,33.5
792864000,32.6
792950400,32.1
793036800,33.4
793123200,33.6
793209600,29.4
793296000,26.6
793382400,32.0
793468800,34.9
793555200,33.6
793641600,33.9
793728000,33.7
793814400,32.1
793900800,28.9
793987200,34.9
794073600,38.3
794160000,37.0
794246400,36.8
794332800,39.7
794419200,38.0
794505600,35.4
794592000,32.6
794678400,34.8
794764800,35.9
794851200,28.9
794937600,17.0
795024000,15.3
795110400,23.6
795196800,25.4
795283200,22.7
795369600,27.6
795456000,28.2
795542400,31.7
795628800,32.8
795715200,36.3
795801600,32.4
795888000,31.3
795974400,36.1
796060800,37.3
796147200,34.6
796233600,31.7
796320000,33.4
796406400,28.1
796492800,31.0
796579200,33.6
796665600,31.1
796752000,30.6
796838400,32.6
796924800,32.2
797011200,33.4
797097600,32.7
797184000,33.3
797270400,35.4
797356800,35.9
797443200,37.7
797529600,52.7
797616000,45.9
797702400,42.3
797788800,37.9
797875200,43.7
797961600,46.3
798048000,48.9
798134400,57.5
798220800,62.0
798307200,62.5
798393600,59.8
798480000,62.3
798566400,63.3
798652800,64.3
798739200,64.9
798825600,57.9
798912000,54.7
798998400,56.1
799084800,49.9
799171200,39.4
799257600,36.6
799344000,31.3
799430400,39.6
799516800,47.3
799603200,47.6
799689600,45.9
799776000,51.4
799862400,51.9
799948800,51.9
800035200,44.5
800121600,38.4
800208000,45.0
800294400,54.1
800380800,63.9
800467200,65.1
800553600,44.8
800640000,50.2
800726400,57.1
800812800,61.3
800899200,60.6
800985600,67.1
801072000,65.8
801158400,60.0
801244800,66.2
801331200,72.3
801417600,72.2
801504000,72.3
801590400,72.8
801676800,73.7
801763200,70.6
801849600,71.5
801936000,72.6
802022400,70.3
802108800,72.5
802195200,69.5
802281600,64.8
802368000,54.6
802454400,61.3
802540800,65.2
802627200,68.5
802713600,69.9
802800000,73.3
802886400,69.4
802972800,70.5
803059200,72.5
803145600,69.6
803232000,72.8
803318400,71.6
803404800,68.9
803491200,64.2
803577600,60.7
803664000,53.9
803750400,57.0
803836800,57.6
803923200,58.2
804009600,61.8
804096000,66.6
804182400,68.2
804268800,62.0
804355200,63.1
804441600,62.1
804528000,61.1
804614400,55.7
804700800,56.8
804787200,66.5
804873600,66.9
804960000,61.6
805046400,59.9
805132800,66.5
805219200,71.4
805305600,63.4
805392000,57.7
805478400,60.0
805564800,61.4
805651200,66.6
805737600,59.0
805824000,54.1
805910400,57.4
805996800,64.3
806083200,64.8
806169600,60.3
806256000,62.9
806342400,68.2
806428800,70.1
806515200,63.3
806601600,60.5
806688000,64.2
806774400,62.5
806860800,56.6
806947200,60.7
807033600,67.1
807120000,61.5
807206400,63.8
807292800,65.3
807379200,66.7
807465600,69.3
807552000,62.4
807638400,59.8
807724800,60.4
807811200,62.1
807897600,53.0
807984000,55.4
808070400,52.5
808156800,50.6
808243200,49.8
808329600,52.0
808416000,55.1
808502400,58.2
808588800,60.2
808675200,64.1
808761600,68.1
808848000,64.8
808934400,56.0
809020800,53.5
809107200,62.2
809193600,66.7
809280000,69.1
809366400,70.0
809452800,67.1
809539200,62.8
809625600,60.8
809712000,63.9
809798400,68.2
809884800,64.4
809971200,72.5
810057600,70.7
810144000,66.4
810230400,64.6
810316800,60.6
810403200,59.3
810489600,64.2
810576000,59.1
810662400,62.2
810748800,62.9
810835200,56.4
810921600,52.9
811008000,48.4
811094400,45.8
811180800,43.7
811267200,39.9
811353600,42.2
811440000,43.2
811526400,44.4
811612800,43.5
811699200,42.8
811785600,44.5
811872000,41.2
811958400,47.3
812044800,49.8
812131200,54.0
812217600,52.3
812304000,49.7
812390400,55.8
812476800,45.1
812563200,45.5
812649600,41.5
812736000,44.5
812822400,44.5
812908800,44.8
812995200,47.4
813081600,48.8
813168000,49.9
813254400,50.1
813340800,50.8
813427200,45.9
813513600,45.7
813600000,44.6
813686400,31.8
813772800,30.6
813859200,42.0
813945600,47.5
814032000,48.7
814118400,44.0
814204800,37.4
814291200,30.1
814377600,30.9
814464000,38.9
814550400,40.5
814636800,41.5
814723200,39.4
814809600,42.1
814896000,40.6
814982400,31.6
815068800,35.0
815155200,22.8
815241600,28.5
815328000,31.9
815414400,24.5
815500800,22.7
815587200,23.2
815673600,27.1
815760000,28.1
815846400,25.6
815932800,23.3
816019200,13.6
816105600,18.2
816192000,20.3
816278400,29.9
816364800,31.0
816451200,33.3
816537600,34.9
816624000,37.8
816710400,28.7
816796800,22.3
816883200,16.0
816969600,12.6
817056000,20.7
817142400,19.6
817228800,28.9
817315200,34.3
817401600,33.0
817488000,25.5
817574400,10.6
817660800,15.2
817747200,24.3
817833600,26.2
817920000,14.4
818006400,9.3
818092800,0.0
818179200,16.5
818265600,22.7
818352000,19.9
818438400,17.8
818524800,21.1
818611200,22.6
818697600,19.9
818784000,22.8
818870400,20.3
818956800,15.2
819043200,9.4
819129600,26.1
819216000,22.7
819302400,5.8
819388800,3.4
819475200,14.7
819561600,11.8
819648000,5.7
819734400,20.8
819820800,2.0
819907200,5.8
819993600,1.5
820080000,-5.5
820166400,-0.2
