timestamp,value
788889600,46.7
788976000,28.7
789062400,27.9
789148800,27.0
789235200,18.5
789321600,31.0
789408000,36.6
789494400,34.5
789580800,42.4
789667200,42.9
789753600,54.4
789840000,64.2
789926400,61.3
790012800,59.5
790099200,44.4
790185600,38.5
790272000,39.2
790358400,45.8
790444800,50.4
790531200,35.0
790617600,31.2
790704000,30.3
790790400,32.1
790876800,30.1
790963200,36.1
791049600,37.2
791136000,36.7
791222400,51.4
791308800,35.3
791395200,30.0
791481600,30.7
791568000,43.4
791654400,53.7
791740800,48.3
791827200,35.0
791913600,26.6
792000000,19.5
792086400,27.6
792172800,20.1
792259200,22.5
792345600,36.3
792432000,34.1
792518400,20.7
792604800,24.4
792691200,33.8
792777600,48.8
792864000,45.5
792950400,39.9
793036800,44.9
793123200,51.9
793209600,47.5
793296000,46.2
793382400,41.9
793468800,61.4
793555200,46.5
793641600,42.0
793728000,57.8
793814400,57.8
793900800,53.3
793987200,39.2
794073600,34.7
794160000,34.8
794246400,42.7
794332800,52.3
794419200,58.7
794505600,62.8
794592000,34.4
794678400,32.3
794764800,37.0
794851200,50.8
794937600,53.4
795024000,62.1
795110400,66.3
795196800,61.0
795283200,62.5
795369600,63.1
795456000,61.2
795542400,59.6
795628800,64.4
795715200,59.0
795801600,68.9
795888000,71.6
795974400,54.5
796060800,52.2
796147200,64.3
796233600,66.7
796320000,54.7
796406400,49.9
796492800,50.0
796579200,48.2
796665600,45.6
796752000,52.3
796838400,58.3
796924800,63.0
797011200,46.8
797097600,55.9
797184000,63.2
797270400,69.3
797356800,72.2
797443200,76.3
797529600,71.3
797616000,60.8
797702400,56.8
797788800,55.9
797875200,62.1
797961600,72.5
798048000,68.3
798134400,70.6
798220800,72.9
798307200,67.5
798393600,68.4
798480000,60.9
798566400,54.4
798652800,49.7
798739200,54.9
798825600,57.7
798912000,58.0
798998400,53.2
799084800,57.7
799171200,61.9
799257600,58.7
799344000,54.2
799430400,56.2
799516800,59.8
799603200,62.5
799689600,59.9
799776000,65.3
799862400,72.7
799948800,75.3
800035200,73.7
800121600,66.4
800208000,62.7
800294400,69.2
800380800,77.3
800467200,73.3
800553600,67.6
800640000,76.2
800726400,74.7
800812800,64.1
800899200,64.4
800985600,65.6
801072000,70.6
801158400,71.8
801244800,76.3
801331200,77.0
801417600,74.7
801504000,74.3
801590400,76.4
801676800,73.9
801763200,67.8
801849600,67.1
801936000,71.3
802022400,72.2
802108800,74.1
802195200,76.9
802281600,76.2
802368000,78.1
802454400,74.1
802540800,79.1
802627200,81.7
802713600,82.3
802800000,76.2
802886400,65.5
802972800,65.4
803059200,66.6
803145600,71.6
803232000,74.9
803318400,75.5
803404800,74.0
803491200,73.6
803577600,70.4
803664000,73.9
803750400,75.0
803836800,74.9
803923200,73.4
804009600,75.0
804096000,75.2
804182400,76.2
804268800,77.1
804355200,75.4
804441600,75.0
804528000,73.7
804614400,73.2
804700800,74.0
804787200,77.3
804873600,76.6
804960000,76.1
805046400,77.6
805132800,78.9
805219200,77.1
805305600,80.4
805392000,82.3
805478400,85.1
805564800,86.5
805651200,85.5
805737600,81.7
805824000,82.4
805910400,84.2
805996800,82.3
806083200,80.6
806169600,80.6
806256000,81.6
806342400,80.3
806428800,78.4
806515200,75.7
806601600,79.7
806688000,82.4
806774400,75.3
806860800,76.4
806947200,82.1
807033600,84.4
807120000,85.1
807206400,84.0
807292800,80.3
807379200,81.9
807465600,82.9
807552000,77.3
807638400,77.8
807724800,78.5
807811200,76.7
807897600,76.7
807984000,81.6
808070400,81.4
808156800,84.1
808243200,84.7
808329600,84.6
808416000,84.8
808502400,85.9
808588800,86.8
808675200,84.6
808761600,82.9
808848000,83.1
808934400,78.4
809020800,83.8
809107200,78.2
809193600,79.9
809280000,81.9
809366400,83.1
809452800,82.6
809539200,82.5
809625600,82.7
809712000,80.3
809798400,84.3
809884800,84.0
809971200,75.9
810057600,73.0
810144000,75.6
810230400,74.6
810316800,76.6
810403200,75.9
810489600,78.2
810576000,71.0
810662400,71.3
810748800,74.8
810835200,76.9
810921600,71.5
811008000,73.4
811094400,74.9
811180800,73.8
811267200,72.7
811353600,68.3
811440000,66.8
811526400,72.5
811612800,69.0
811699200,58.4
811785600,55.8
811872000,59.9
811958400,61.3
812044800,59.8
812131200,59.0
812217600,64.2
812304000,66.7
812390400,68.3
812476800,69.6
812563200,73.5
812649600,69.3
812736000,66.3
812822400,69.6
812908800,68.3
812995200,59.9
813081600,58.3
813168000,60.0
813254400,62.5
813340800,65.5
813427200,65.6
813513600,67.8
813600000,63.1
813686400,53.3
813772800,55.3
813859200,55.9
813945600,61.7
814032000,62.8
814118400,58.3
814204800,51.1
814291200,52.9
814377600,61.7
814464000,60.9
814550400,50.1
814636800,54.0
814723200,58.5
814809600,56.2
814896000,49.0
814982400,48.9
815068800,57.7
815155200,63.0
815241600,68.7
815328000,47.1
815414400,37.9
815500800,34.4
815587200,41.1
815673600,53.6
815760000,42.1
815846400,37.3
815932800,52.1
816019200,50.0
816105600,33.0
816192000,44.9
816278400,37.6
816364800,33.0
816451200,37.3
816537600,43.0
816624000,52.7
816710400,43.2
816796800,46.6
816883200,48.8
816969600,39.5
817056000,47.3
817142400,37.4
817228800,35.2
817315200,49.9
817401600,58.9
817488000,45.2
817574400,35.2
817660800,35.8
817747200,51.3
817833600,50.6
817920000,56.2
818006400,50.1
818092800,49.4
818179200,42.9
818265600,35.6
818352000,34.0
818438400,29.0
818524800,15.6
818611200,24.7
818697600,38.3
818784000,48.4
818870400,60.5
818956800,62.6
819043200,50.3
819129600,46.6
819216000,52.3
819302400,52.0
819388800,31.1
819475200,28.0
819561600,28.8
819648000,28.5
819734400,27.8
819820800,28.1
819907200,30.5
819993600,32.9
820080000,26.7
820166400,29.7
820252800,35.4
820339200,44.7
820425600,47.0
820512000,48.5
820598400,31.3
820684800,30.2
820771200,36.8
820857600,31.1
820944000,19.8
821030400,18.2
821116800,28.0
821203200,37.8
821289600,34.3
821376000,34.5
821462400,37.8
821548800,47.9
821635200,50.3
821721600,49.5
821808000,57.2
821894400,58.6
821980800,22.0
822067200,20.6
822153600,34.5
822240000,35.2
822326400,48.6
822412800,43.1
822499200,30.3
822585600,41.4
822672000,38.1
822758400,28.6
822844800,42.2
822931200,38.4
823017600,22.2
823104000,23.3
823190400,19.1
823276800,9.6
823363200,4.4
823449600,9.4
823536000,27.4
823622400,36.4
823708800,49.1
823795200,50.5
823881600,48.2
823968000,49.4
824054400,35.1
824140800,34.1
824227200,53.0
824313600,41.1
824400000,30.2
824486400,28.4
824572800,37.1
824659200,43.0
824745600,53.6
824832000,52.5
824918400,57.9
825004800,63.8
825091200,56.8
825177600,53.3
825264000,65.3
825350400,66.3
825436800,48.2
825523200,29.8
825609600,35.5
825696000,41.9
825782400,35.6
825868800,39.5
825955200,57.7
826041600,60.5
826128000,34.4
826214400,18.0
826300800,20.5
826387200,29.1
826473600,33.9
826560000,41.8
826646400,51.1
826732800,58.9
826819200,63.8
826905600,56.2
826992000,53.6
827078400,50.5
827164800,37.8
827251200,32.1
827337600,35.4
827424000,36.7
827510400,41.2
827596800,56.2
827683200,59.6
827769600,39.3
827856000,41.9
827942400,48.2
828028800,51.4
828115200,56.7
828201600,58.6
828288000,47.4
828374400,48.2
828460800,57.5
828547200,61.6
828633600,40.7
828720000,42.8
828806400,43.0
828892800,42.3
828979200,42.8
829065600,44.9
829152000,54.1
829238400,66.9
829324800,63.1
829411200,55.8
829497600,62.9
829584000,51.9
829670400,58.6
829756800,64.0
829843200,67.3
829929600,68.1
830016000,67.8
830102400,69.2
830188800,60.9
830275200,53.6
830361600,66.3
830448000,66.4
830534400,53.1
830620800,56.8
830707200,75.1
830793600,52.7
830880000,60.2
830966400,66.8
831052800,65.1
831139200,74.0
831225600,79.2
831312000,69.1
831398400,66.5
831484800,70.7
831571200,78.7
831657600,75.0
831744000,75.0
831830400,56.7
831916800,56.3
832003200,48.5
832089600,67.2
832176000,77.5
832262400,75.0
832348800,78.6
832435200,80.0
832521600,80.8
832608000,79.0
832694400,72.5
832780800,72.0
832867200,81.6
832953600,81.8
833040000,81.7
833126400,81.7
833212800,77.5
833299200,73.9
833385600,67.4
833472000,67.2
833558400,69.1
833644800,67.3
833731200,65.4
833817600,68.5
833904000,68.1
833990400,73.6
834076800,75.0
834163200,67.7
834249600,66.6
834336000,64.8
834422400,67.3
834508800,72.2
834595200,75.8
834681600,81.2
834768000,78.7
834854400,79.0
834940800,79.0
835027200,79.2
835113600,80.0
835200000,76.4
835286400,82.0
835372800,81.6
835459200,82.4
835545600,84.8
835632000,79.4
835718400,74.1
835804800,75.5
835891200,79.3
835977600,81.4
836064000,82.7
836150400,88.4
836236800,85.4
836323200,79.7
836409600,72.5
836496000,75.3
836582400,78.8
836668800,81.1
836755200,75.3
836841600,76.0
836928000,73.6
837014400,72.2
837100800,77.0
837187200,80.5
837273600,79.9
837360000,75.9
837446400,77.1
837532800,82.0
837619200,83.7
837705600,85.1
837792000,79.2
837878400,79.4
837964800,79.0
838051200,75.2
838137600,77.5
838224000,78.1
838310400,75.7
838396800,75.0
838483200,74.7
838569600,73.2
838656000,71.7
838742400,73.3
838828800,73.5
838915200,73.2
839001600,75.7
839088000,78.3
839174400,80.4
839260800,80.2
839347200,80.8
839433600,80.0
839520000,76.1
839606400,74.0
839692800,74.5
839779200,73.3
839865600,73.7
839952000,74.6
840038400,76.7
840124800,78.3
840211200,78.8
840297600,77.1
840384000,77.2
840470400,80.5
840556800,80.0
840643200,79.6
840729600,80.4
840816000,79.1
840902400,77.3
840988800,76.8
841075200,74.6
841161600,76.5
841248000,77.8
841334400,76.7
841420800,76.3
841507200,74.4
841593600,72.8
841680000,70.4
841766400,72.6
841852800,74.1
841939200,76.6
842025600,76.6
842112000,75.0
842198400,77.7
842284800,78.1
842371200,76.4
842457600,73.8
842544000,63.6
842630400,61.9
842716800,65.2
842803200,72.0
842889600,64.7
842976000,63.5
843062400,63.9
843148800,65.6
843235200,65.6
843321600,66.5
843408000,70.4
843494400,69.1
843580800,67.6
843667200,72.0
843753600,73.1
843840000,61.3
843926400,57.4
844012800,61.3
844099200,66.8
844185600,69.9
844272000,63.7
844358400,57.1
844444800,60.5
844531200,60.5
844617600,60.7
844704000,60.1
844790400,55.3
844876800,54.7
844963200,51.7
845049600,54.4
845136000,58.4
845222400,61.1
845308800,62.5
845395200,64.9
845481600,67.8
845568000,60.5
845654400,49.9
