timestamp,value
788889600,75.7
788976000,74.8
789062400,75.1
789148800,74.2
789235200,75.5
789321600,75.2
789408000,78.6
789494400,74.7
789580800,70.8
789667200,70.8
789753600,72.4
789840000,71.3
789926400,72.7
790012800,76.0
790099200,73.6
790185600,72.9
790272000,70.1
790358400,72.0
790444800,73.0
790531200,69.6
790617600,67.4
790704000,68.9
790790400,63.9
790876800,70.0
790963200,66.0
791049600,64.8
791136000,61.5
791222400,66.6
791308800,74.3
791395200,73.5
791481600,70.9
791568000,67.8
791654400,68.0
791740800,67.5
791827200,67.2
791913600,65.3
792000000,67.3
792086400,63.6
792172800,68.4
792259200,62.2
792345600,61.1
792432000,69.6
792518400,77.7
792604800,76.5
792691200,75.8
792777600,73.8
792864000,74.3
792950400,75.8
793036800,76.5
793123200,77.5
793209600,75.6
793296000,71.3
793382400,70.5
793468800,68.7
793555200,72.0
793641600,71.7
793728000,71.7
793814400,73.2
793900800,73.5
793987200,74.1
794073600,76.0
794160000,73.3
794246400,72.7
794332800,74.5
794419200,73.9
794505600,75.0
794592000,78.1
794678400,72.7
794764800,70.5
794851200,69.7
794937600,70.1
795024000,71.9
795110400,71.6
795196800,69.6
795283200,69.6
795369600,73.3
795456000,72.7
795542400,74.3
795628800,72.9
795715200,71.7
795801600,73.8
795888000,74.0
795974400,77.5
796060800,75.8
796147200,73.3
796233600,69.6
796320000,70.4
796406400,76.3
796492800,78.1
796579200,77.7
796665600,79.2
796752000,75.9
796838400,72.2
796924800,73.1
797011200,75.5
797097600,78.7
797184000,78.0
797270400,75.4
797356800,77.9
797443200,75.7
797529600,77.7
797616000,75.5
797702400,74.4
797788800,75.0
797875200,75.8
797961600,75.9
798048000,74.3
798134400,75.6
798220800,76.0
798307200,78.1
798393600,78.2
798480000,78.2
798566400,77.0
798652800,80.8
798739200,79.4
798825600,76.8
798912000,77.1
798998400,79.6
799084800,75.6
799171200,74.3
799257600,74.3
799344000,79.8
799430400,82.7
799516800,81.3
799603200,80.8
799689600,78.4
799776000,80.2
799862400,76.3
799948800,78.8
800035200,78.8
800121600,80.2
800208000,80.5
800294400,80.5
800380800,81.6
800467200,81.0
800553600,83.6
800640000,79.3
800726400,86.8
800812800,83.6
800899200,83.8
800985600,81.4
801072000,78.1
801158400,79.9
801244800,79.8
801331200,82.1
801417600,80.7
801504000,80.4
801590400,81.1
801676800,80.3
801763200,80.2
801849600,82.4
801936000,83.1
802022400,83.2
802108800,84.0
802195200,83.8
802281600,81.4
802368000,83.5
802454400,81.7
802540800,81.5
802627200,81.6
802713600,80.2
802800000,80.3
802886400,80.4
802972800,84.4
803059200,80.1
803145600,77.3
803232000,80.1
803318400,78.9
803404800,77.3
803491200,80.4
803577600,77.1
803664000,76.0
803750400,78.1
803836800,81.3
803923200,82.5
804009600,82.3
804096000,83.5
804182400,82.5
804268800,82.7
804355200,81.6
804441600,80.5
804528000,82.2
804614400,84.8
804700800,84.8
804787200,82.9
804873600,82.7
804960000,83.0
805046400,81.7
805132800,81.9
805219200,81.5
805305600,81.5
805392000,82.7
805478400,81.0
805564800,83.3
805651200,84.6
805737600,83.8
805824000,83.9
805910400,83.1
805996800,83.6
806083200,84.9
806169600,84.7
806256000,86.4
806342400,85.8
806428800,85.4
806515200,84.9
806601600,83.8
806688000,80.4
806774400,80.7
806860800,81.5
806947200,84.1
807033600,83.9
807120000,83.7
807206400,79.9
807292800,79.3
807379200,82.4
807465600,83.5
807552000,83.7
807638400,83.4
807724800,83.6
807811200,81.9
807897600,80.8
807984000,81.9
808070400,84.1
808156800,83.9
808243200,83.7
808329600,83.5
808416000,83.5
808502400,84.7
808588800,85.4
808675200,85.2
808761600,83.3
808848000,82.5
808934400,80.6
809020800,77.7
809107200,77.5
809193600,78.4
809280000,79.2
809366400,81.5
809452800,82.9
809539200,81.9
809625600,81.9
809712000,82.9
809798400,81.2
809884800,83.8
809971200,82.4
810057600,80.5
810144000,81.0
810230400,78.3
810316800,80.4
810403200,79.9
810489600,80.3
810576000,81.0
810662400,81.8
810748800,81.3
810835200,80.7
810921600,79.6
811008000,81.3
811094400,80.7
811180800,81.7
811267200,82.6
811353600,81.0
811440000,79.5
811526400,80.4
811612800,78.2
811699200,80.9
811785600,83.0
811872000,82.6
811958400,81.3
812044800,82.1
812131200,84.4
812217600,82.3
812304000,80.6
812390400,80.2
812476800,78.7
812563200,80.9
812649600,80.7
812736000,83.8
812822400,83.8
812908800,83.1
812995200,78.9
813081600,77.0
813168000,80.1
813254400,82.1
813340800,80.7
813427200,80.7
813513600,78.8
813600000,84.5
813686400,77.3
813772800,81.1
813859200,77.9
813945600,77.3
814032000,76.9
814118400,78.0
814204800,79.2
814291200,80.2
814377600,80.4
814464000,81.4
814550400,81.1
814636800,80.3
814723200,79.4
814809600,79.7
814896000,78.3
814982400,79.4
815068800,80.8
815155200,80.7
815241600,77.8
815328000,78.2
815414400,75.8
815500800,78.0
815587200,77.9
815673600,74.8
815760000,72.2
815846400,74.9
815932800,75.1
816019200,76.4
816105600,74.8
816192000,73.9
816278400,73.4
816364800,70.7
816451200,69.0
816537600,71.5
816624000,72.6
816710400,72.8
816796800,74.7
816883200,73.3
816969600,73.4
817056000,71.1
817142400,73.2
817228800,72.2
817315200,72.4
817401600,71.2
817488000,73.7
817574400,75.7
817660800,76.1
817747200,74.3
817833600,68.4
817920000,72.0
818006400,71.1
818092800,72.8
818179200,74.6
818265600,69.0
818352000,68.0
818438400,70.8
818524800,73.3
818611200,72.0
818697600,70.8
818784000,71.7
818870400,73.5
818956800,72.4
819043200,69.1
819129600,69.1
819216000,72.5
819302400,74.3
819388800,74.7
819475200,68.4
819561600,67.0
819648000,69.8
819734400,69.8
819820800,62.3
819907200,60.9
819993600,62.9
820080000,63.0
820166400,64.6
820252800,67.1
820339200,71.9
820425600,75.0
820512000,75.9
820598400,74.9
820684800,70.5
820771200,66.3
820857600,69.7
820944000,72.2
821030400,61.5
821116800,60.4
821203200,60.3
821289600,62.9
821376000,62.5
821462400,62.4
821548800,65.7
821635200,66.5
821721600,69.6
821808000,68.8
821894400,70.4
821980800,73.8
822067200,73.0
822153600,72.7
822240000,69.9
822326400,71.4
822412800,72.5
822499200,69.2
822585600,70.5
822672000,72.3
822758400,67.2
822844800,72.7
822931200,69.5
823017600,69.2
823104000,69.9
823190400,74.3
823276800,74.5
