timestamp,value
788889600,60.1
788976000,46.6
789062400,45.5
789148800,46.8
789235200,40.1
789321600,60.5
789408000,55.4
789494400,48.1
789580800,59.2
789667200,58.7
789753600,66.8
789840000,68.7
789926400,63.0
790012800,54.9
790099200,49.2
790185600,45.2
790272000,52.6
790358400,65.0
790444800,55.7
790531200,49.9
790617600,47.0
790704000,49.6
790790400,50.6
790876800,45.0
790963200,47.1
791049600,53.0
791136000,60.0
791222400,69.6
791308800,54.2
791395200,47.5
791481600,44.4
791568000,49.0
791654400,60.9
791740800,64.3
791827200,55.1
791913600,51.4
792000000,48.4
792086400,49.1
792172800,43.9
792259200,42.2
792345600,63.8
792432000,67.2
792518400,42.2
792604800,45.1
792691200,52.2
792777600,66.9
792864000,71.5
792950400,57.9
793036800,51.8
793123200,54.5
793209600,57.3
793296000,60.4
793382400,55.6
793468800,62.7
793555200,61.8
793641600,55.6
793728000,57.1
793814400,66.7
793900800,66.1
793987200,52.8
794073600,48.2
794160000,54.1
794246400,57.0
794332800,64.0
794419200,69.7
794505600,69.0
794592000,48.9
794678400,46.9
794764800,51.5
794851200,58.9
794937600,63.9
795024000,66.7
795110400,65.6
795196800,63.8
795283200,63.6
795369600,59.9
795456000,63.5
795542400,66.2
795628800,68.7
795715200,69.1
795801600,71.0
795888000,72.9
795974400,73.1
796060800,70.4
796147200,72.8
796233600,72.4
796320000,65.3
796406400,57.8
796492800,59.8
796579200,59.5
796665600,59.2
796752000,57.8
796838400,60.5
796924800,64.9
797011200,63.7
797097600,66.8
797184000,66.0
797270400,66.9
797356800,71.6
797443200,73.0
797529600,72.3
797616000,70.4
797702400,65.9
797788800,67.8
797875200,64.7
797961600,70.2
798048000,74.5
798134400,77.4
798220800,78.0
798307200,78.7
798393600,77.7
798480000,79.4
798566400,76.7
798652800,61.6
798739200,64.3
798825600,62.2
798912000,68.4
798998400,69.6
799084800,69.7
799171200,73.9
799257600,76.1
799344000,70.7
799430400,68.2
799516800,75.6
799603200,74.5
799689600,78.5
799776000,78.1
799862400,77.3
799948800,78.7
800035200,76.5
800121600,78.5
800208000,72.8
800294400,81.1
800380800,82.0
800467200,80.8
800553600,80.7
800640000,81.1
800726400,82.0
800812800,76.7
800899200,70.5
800985600,74.2
801072000,75.1
801158400,76.7
801244800,76.7
801331200,79.7
801417600,81.0
801504000,81.7
801590400,82.9
801676800,81.0
801763200,74.6
801849600,76.2
801936000,74.4
802022400,77.4
802108800,79.7
802195200,80.4
802281600,83.8
802368000,82.5
802454400,82.3
802540800,84.6
802627200,84.9
802713600,84.2
802800000,82.8
802886400,75.5
802972800,75.2
803059200,76.8
803145600,75.1
803232000,74.9
803318400,78.6
803404800,77.8
803491200,78.2
803577600,77.1
803664000,80.5
803750400,80.9
803836800,80.7
803923200,81.0
804009600,78.8
804096000,81.5
804182400,82.0
804268800,78.6
804355200,75.3
804441600,78.2
804528000,73.6
804614400,80.0
804700800,82.2
804787200,84.3
804873600,84.8
804960000,81.8
805046400,82.6
805132800,86.3
805219200,86.7
805305600,86.0
805392000,85.9
805478400,86.3
805564800,86.3
805651200,79.2
805737600,80.8
805824000,82.5
805910400,84.2
805996800,85.8
806083200,82.7
806169600,83.7
806256000,84.2
806342400,85.5
806428800,85.9
806515200,85.0
806601600,85.0
806688000,83.8
806774400,85.9
806860800,83.3
806947200,81.6
807033600,79.9
807120000,78.7
807206400,80.1
807292800,82.8
807379200,82.0
807465600,80.3
807552000,82.6
807638400,83.1
807724800,84.2
807811200,84.2
807897600,83.9
807984000,80.8
808070400,81.1
808156800,82.1
808243200,80.8
808329600,80.7
808416000,84.4
808502400,86.1
808588800,85.6
808675200,84.3
808761600,84.5
808848000,85.3
808934400,82.5
809020800,82.9
809107200,84.6
809193600,85.2
809280000,85.4
809366400,86.8
809452800,86.8
809539200,85.8
809625600,85.3
809712000,83.6
809798400,82.9
809884800,82.4
809971200,85.3
810057600,85.8
810144000,80.4
810230400,80.4
810316800,78.8
810403200,77.6
810489600,80.4
810576000,81.1
810662400,81.8
810748800,79.8
810835200,76.1
810921600,78.1
811008000,82.6
811094400,81.6
811180800,82.8
811267200,82.4
811353600,80.6
811440000,78.3
811526400,80.9
811612800,81.3
811699200,74.1
811785600,66.9
811872000,74.7
811958400,74.1
812044800,77.9
812131200,76.6
812217600,75.2
812304000,75.7
812390400,78.7
812476800,79.8
812563200,79.2
812649600,77.5
812736000,72.6
812822400,74.1
812908800,74.5
812995200,69.1
813081600,69.4
813168000,65.6
813254400,68.6
813340800,76.9
813427200,76.9
813513600,76.9
813600000,73.1
813686400,66.4
813772800,63.6
813859200,68.3
813945600,72.7
814032000,73.1
814118400,70.5
814204800,63.3
814291200,59.7
814377600,73.6
814464000,74.2
814550400,71.5
814636800,69.6
814723200,77.0
814809600,71.8
814896000,66.5
814982400,62.1
815068800,67.0
815155200,74.2
815241600,73.8
815328000,63.6
815414400,51.6
815500800,54.5
815587200,62.5
815673600,73.8
815760000,62.5
815846400,58.1
815932800,65.9
816019200,67.8
816105600,50.3
816192000,49.3
816278400,57.7
816364800,52.5
816451200,57.7
816537600,58.1
816624000,62.9
816710400,63.3
816796800,64.5
816883200,63.1
816969600,55.1
817056000,59.8
817142400,59.8
817228800,53.0
817315200,52.5
817401600,66.6
817488000,67.5
817574400,50.8
817660800,51.5
817747200,50.8
817833600,58.1
817920000,67.9
818006400,71.5
818092800,73.2
818179200,72.9
818265600,63.8
818352000,59.0
818438400,55.8
818524800,36.8
818611200,40.2
818697600,51.2
818784000,61.7
818870400,66.4
818956800,67.6
819043200,69.6
819129600,69.8
819216000,66.1
819302400,56.0
819388800,43.8
819475200,41.1
819561600,41.5
819648000,39.0
819734400,39.7
819820800,41.4
819907200,42.4
819993600,44.7
820080000,41.6
820166400,41.1
820252800,47.9
820339200,58.8
820425600,63.7
820512000,58.9
820598400,42.4
820684800,41.7
820771200,57.3
820857600,54.7
820944000,35.8
821030400,32.1
821116800,40.2
821203200,48.7
821289600,56.1
821376000,53.2
821462400,50.4
821548800,55.6
821635200,63.6
821721600,65.9
821808000,66.2
821894400,66.5
821980800,35.2
822067200,38.5
822153600,52.9
822240000,53.9
822326400,59.4
822412800,58.7
822499200,48.8
822585600,64.0
822672000,53.6
822758400,46.5
822844800,57.3
822931200,65.4
823017600,55.6
823104000,44.2
823190400,42.1
823276800,29.8
823363200,26.1
823449600,28.6
823536000,43.8
823622400,53.6
823708800,60.3
823795200,62.0
823881600,66.3
823968000,65.3
824054400,51.5
824140800,49.1
824227200,55.9
824313600,64.3
824400000,48.6
824486400,42.0
824572800,53.0
824659200,63.1
824745600,66.2
824832000,64.7
824918400,68.9
825004800,68.6
825091200,69.6
825177600,69.4
825264000,72.4
825350400,72.3
825436800,68.3
825523200,50.4
825609600,45.4
825696000,51.6
825782400,53.9
825868800,58.6
825955200,66.8
826041600,72.9
826128000,55.7
826214400,37.6
826300800,35.8
826387200,42.6
826473600,46.6
826560000,50.5
826646400,60.4
826732800,67.0
826819200,68.5
826905600,71.7
826992000,71.0
827078400,68.6
827164800,53.3
827251200,49.4
827337600,48.4
827424000,53.1
827510400,57.0
827596800,65.9
827683200,72.1
827769600,57.5
827856000,53.7
827942400,60.9
828028800,61.9
828115200,65.1
828201600,68.5
828288000,60.4
828374400,60.8
828460800,59.5
828547200,66.5
828633600,63.8
828720000,53.9
828806400,55.0
828892800,58.6
828979200,61.4
829065600,61.8
829152000,63.9
829238400,65.8
829324800,72.8
829411200,72.8
829497600,67.6
829584000,62.4
829670400,59.5
829756800,69.0
829843200,74.5
829929600,79.2
830016000,74.5
830102400,75.8
830188800,73.6
830275200,66.0
830361600,66.0
830448000,76.4
830534400,76.4
830620800,76.5
830707200,76.5
830793600,76.5
830880000,64.0
830966400,71.9
831052800,66.4
831139200,73.9
831225600,76.8
831312000,75.8
831398400,74.2
831484800,77.0
831571200,76.9
831657600,77.5
831744000,74.5
831830400,74.2
831916800,70.7
832003200,77.2
832089600,77.2
832176000,78.2
832262400,79.3
832348800,76.8
832435200,79.1
832521600,78.8
832608000,77.6
832694400,80.0
832780800,84.6
832867200,82.0
832953600,81.4
833040000,83.2
833126400,83.2
833212800,84.0
833299200,77.8
833385600,75.2
833472000,83.5
833558400,80.0
833644800,78.1
833731200,72.5
833817600,81.7
833904000,79.0
833990400,80.2
834076800,76.9
834163200,72.4
834249600,74.5
834336000,74.8
834422400,80.0
834508800,81.0
834595200,79.2
834681600,78.6
834768000,77.0
834854400,81.9
834940800,80.8
835027200,80.8
835113600,79.6
835200000,77.2
835286400,81.0
835372800,77.7
835459200,77.7
835545600,82.8
835632000,81.1
835718400,84.8
835804800,82.2
835891200,77.7
835977600,81.7
836064000,83.4
836150400,84.4
836236800,82.1
836323200,84.6
836409600,83.5
836496000,84.5
836582400,85.9
836668800,82.9
836755200,78.4
836841600,81.4
836928000,82.8
837014400,84.1
837100800,85.6
837187200,85.5
837273600,81.2
837360000,81.8
837446400,81.8
837532800,82.9
837619200,82.7
837705600,83.9
837792000,84.0
837878400,84.4
837964800,84.8
838051200,84.9
838137600,81.6
838224000,78.7
838310400,75.2
838396800,78.5
838483200,80.5
838569600,79.2
838656000,81.4
838742400,80.2
838828800,78.4
838915200,79.8
839001600,81.1
839088000,81.3
839174400,81.9
839260800,80.5
839347200,80.9
839433600,80.8
839520000,82.6
839606400,80.5
839692800,76.9
839779200,77.7
839865600,77.0
839952000,81.3
840038400,82.0
840124800,81.2
840211200,80.5
840297600,80.0
840384000,81.3
840470400,83.2
840556800,80.5
840643200,81.5
840729600,83.2
840816000,81.3
840902400,79.4
840988800,78.5
841075200,79.8
841161600,80.0
841248000,78.3
841334400,76.9
841420800,76.5
841507200,77.7
841593600,79.7
841680000,80.2
841766400,80.0
841852800,80.9
841939200,79.0
842025600,80.5
842112000,80.9
842198400,79.6
842284800,79.4
842371200,81.6
842457600,83.5
842544000,82.7
842630400,81.4
842716800,79.7
842803200,82.3
842889600,83.6
842976000,79.6
843062400,78.8
843148800,76.1
843235200,76.1
843321600,77.3
843408000,75.1
843494400,76.1
843580800,76.7
843667200,78.1
843753600,78.7
843840000,70.2
843926400,67.5
844012800,71.8
844099200,78.1
844185600,77.3
844272000,75.5
844358400,75.8
844444800,73.0
844531200,65.7
844617600,67.1
844704000,70.5
844790400,68.6
844876800,68.6
844963200,66.6
845049600,65.1
845136000,70.3
845222400,70.4
845308800,68.4
845395200,72.7
845481600,76.6
845568000,70.3
845654400,63.0
845740800,62.8
845827200,68.2
845913600,70.0
846000000,58.2
846086400,59.7
846172800,67.7
846259200,77.3
846345600,78.0
846432000,74.3
846518400,73.7
846604800,74.5
846691200,71.2
846777600,75.2
846864000,63.8
846950400,54.8
847036800,59.1
847123200,67.2
847209600,71.5
847296000,76.5
847382400,61.7
847468800,55.3
847555200,55.6
847641600,58.7
847728000,59.5
847814400,60.2
847900800,61.4
847987200,63.2
848073600,62.8
848160000,68.4
848246400,69.1
848332800,68.8
848419200,68.1
848505600,74.2
848592000,64.3
848678400,60.9
848764800,68.2
848851200,60.2
848937600,46.6
849024000,45.9
849110400,54.5
849196800,63.9
849283200,71.7
849369600,60.9
849456000,47.9
849542400,51.1
849628800,54.9
849715200,59.2
849801600,63.8
849888000,71.5
849974400,58.1
850060800,54.6
850147200,59.4
850233600,67.7
850320000,69.1
850406400,66.4
850492800,60.2
850579200,62.0
850665600,64.9
850752000,45.8
850838400,43.5
850924800,33.5
851011200,34.6
851097600,46.5
851184000,59.9
851270400,63.3
851356800,61.7
851443200,43.9
851529600,52.7
851616000,64.8
851702400,65.6
851788800,66.6
851875200,64.5
851961600,67.4
852048000,64.8
852134400,63.3
852220800,69.4
852307200,71.7
852393600,71.2
852480000,61.9
852566400,49.4
852652800,48.0
852739200,44.1
852825600,44.9
852912000,40.0
852998400,38.5
853084800,39.1
853171200,41.2
853257600,55.3
853344000,48.1
853430400,34.0
853516800,37.4
853603200,43.1
853689600,52.4
853776000,55.8
853862400,65.4
853948800,64.9
854035200,66.8
854121600,62.3
854208000,56.2
854294400,67.5
854380800,58.1
854467200,43.6
854553600,50.1
854640000,51.7
854726400,62.2
854812800,67.0
854899200,66.7
854985600,66.2
855072000,59.7
855158400,50.6
855244800,57.6
855331200,49.5
855417600,44.2
855504000,44.5
855590400,42.9
855676800,45.7
855763200,51.0
855849600,48.4
855936000,47.3
856022400,49.8
856108800,55.1
856195200,57.5
856281600,64.7
856368000,69.8
856454400,72.0
856540800,59.5
856627200,54.4
856713600,53.0
856800000,53.6
856886400,67.1
856972800,62.8
857059200,67.7
857145600,73.7
857232000,73.7
857318400,62.5
857404800,63.1
857491200,73.0
857577600,59.5
857664000,59.0
857750400,60.8
857836800,67.2
857923200,69.3
858009600,69.9
858096000,71.0
858182400,69.8
858268800,69.5
858355200,59.0
858441600,56.5
858528000,60.5
858614400,68.5
858700800,68.8
858787200,56.2
858873600,61.0
858960000,66.3
859046400,68.4
859132800,66.7
859219200,70.1
859305600,71.8
859392000,69.3
859478400,74.4
859564800,73.2
859651200,70.3
859737600,61.3
859824000,62.6
859910400,63.0
859996800,67.1
860083200,71.5
860169600,71.9
860256000,69.8
860342400,67.1
860428800,64.8
860515200,66.2
860601600,66.1
860688000,67.1
860774400,65.6
860860800,54.8
860947200,54.1
861033600,58.2
861120000,62.3
861206400,63.7
861292800,60.5
861379200,62.5
861465600,67.8
861552000,72.0
861638400,75.0
861724800,66.8
861811200,65.6
861897600,65.4
861984000,64.2
862070400,70.9
862156800,65.1
862243200,63.4
862329600,69.2
862416000,72.0
862502400,75.0
862588800,74.8
862675200,68.8
862761600,67.8
862848000,67.6
862934400,70.7
863020800,72.8
863107200,74.8
863193600,70.0
863280000,68.3
863366400,70.2
863452800,70.6
863539200,74.6
863625600,74.8
863712000,73.3
863798400,74.3
863884800,76.9
863971200,76.1
864057600,77.1
864144000,77.2
864230400,73.5
864316800,76.2
864403200,76.7
864489600,73.9
864576000,80.5
864662400,80.9
