timestamp,value
788889600,44.0
788976000,41.8
789062400,28.1
789148800,31.7
789235200,21.3
789321600,27.9
789408000,42.8
789494400,35.5
789580800,34.4
789667200,29.9
789753600,30.7
789840000,35.5
789926400,47.2
790012800,52.4
790099200,56.9
790185600,55.2
790272000,50.3
790358400,42.6
790444800,39.3
790531200,43.1
790617600,43.2
790704000,36.0
790790400,33.3
790876800,35.8
790963200,38.3
791049600,36.6
791136000,34.3
791222400,28.2
791308800,26.0
791395200,33.8
791481600,36.6
791568000,40.5
791654400,40.6
791740800,25.6
791827200,31.3
791913600,24.7
792000000,11.1
792086400,19.0
792172800,23.7
792259200,22.3
792345600,33.0
792432000,39.6
792518400,23.1
792604800,19.1
792691200,27.5
792777600,29.8
792864000,39.9
792950400,39.4
793036800,40.5
793123200,40.6
793209600,43.1
793296000,38.1
793382400,35.3
793468800,40.2
793555200,43.3
793641600,31.2
793728000,28.4
793814400,29.8
793900800,34.9
793987200,39.7
794073600,35.0
794160000,32.6
794246400,35.4
794332800,39.0
794419200,44.0
794505600,45.8
794592000,52.6
794678400,35.3
794764800,27.6
794851200,37.5
794937600,40.0
795024000,51.2
795110400,51.8
795196800,51.2
795283200,49.7
795369600,49.0
795456000,47.6
795542400,46.3
795628800,45.6
795715200,51.4
795801600,49.2
795888000,46.0
795974400,43.6
796060800,41.6
796147200,49.9
796233600,48.0
796320000,46.7
796406400,47.9
796492800,46.7
796579200,47.6
796665600,45.8
796752000,44.1
796838400,44.2
796924800,52.2
797011200,32.2
797097600,35.3
797184000,49.6
797270400,43.8
797356800,48.1
797443200,44.6
797529600,48.1
797616000,46.5
797702400,55.1
797788800,48.7
797875200,48.3
797961600,50.9
798048000,50.3
798134400,53.1
798220800,58.1
798307200,59.5
798393600,58.4
798480000,59.5
798566400,54.3
798652800,52.3
798739200,54.5
798825600,56.6
798912000,61.7
798998400,63.4
799084800,59.4
799171200,51.5
799257600,50.7
799344000,50.6
799430400,57.2
799516800,62.9
799603200,58.0
799689600,58.9
799776000,57.9
799862400,55.6
799948800,61.0
800035200,54.7
800121600,52.0
800208000,56.8
800294400,62.3
800380800,58.9
800467200,56.1
800553600,62.8
800640000,63.7
800726400,67.1
800812800,58.3
800899200,63.5
800985600,70.3
801072000,69.5
801158400,66.3
801244800,74.1
801331200,69.3
801417600,58.6
801504000,63.3
801590400,60.4
801676800,64.7
801763200,68.5
801849600,73.4
801936000,77.5
802022400,71.4
802108800,74.6
802195200,72.3
802281600,71.9
802368000,73.8
802454400,72.6
802540800,78.7
802627200,67.3
802713600,68.1
802800000,70.2
802886400,68.7
802972800,62.9
803059200,66.0
803145600,70.0
803232000,73.5
803318400,76.8
803404800,80.4
803491200,84.6
803577600,86.4
803664000,70.1
803750400,67.8
803836800,67.8
803923200,67.1
804009600,69.4
804096000,72.5
804182400,69.2
804268800,63.0
804355200,67.0
804441600,73.0
804528000,73.4
804614400,73.0
804700800,71.0
804787200,74.9
804873600,74.8
804960000,75.5
805046400,75.0
805132800,76.8
805219200,69.3
805305600,74.1
805392000,73.7
805478400,74.0
805564800,79.8
805651200,87.5
805737600,93.7
805824000,82.6
805910400,77.6
805996800,77.7
806083200,81.7
806169600,82.3
806256000,80.9
806342400,78.8
806428800,78.8
806515200,82.3
806601600,81.2
806688000,83.9
806774400,86.7
806860800,81.2
806947200,87.4
807033600,85.1
807120000,82.5
807206400,84.8
807292800,86.3
807379200,80.6
807465600,85.7
807552000,81.6
807638400,73.2
