timestamp,value
788889600,43.1
788976000,40.4
789062400,26.9
789148800,30.6
789235200,20.4
789321600,25.3
789408000,38.7
789494400,34.7
789580800,32.1
789667200,28.9
789753600,30.0
789840000,34.5
789926400,46.8
790012800,53.5
790099200,56.6
790185600,56.6
790272000,51.7
790358400,43.8
790444800,40.1
790531200,43.7
790617600,42.0
790704000,34.8
790790400,32.6
790876800,35.1
790963200,38.3
791049600,35.4
791136000,33.8
791222400,28.3
791308800,26.0
791395200,31.3
791481600,35.2
791568000,38.9
791654400,39.4
791740800,24.4
791827200,31.3
791913600,23.9
792000000,10.8
792086400,17.1
792172800,20.9
792259200,20.2
792345600,29.4
792432000,36.5
792518400,22.4
792604800,18.1
792691200,24.4
792777600,27.6
792864000,39.1
792950400,39.2
793036800,38.9
793123200,39.4
793209600,43.2
793296000,39.0
793382400,35.5
793468800,38.7
793555200,43.0
793641600,30.9
793728000,27.8
793814400,30.3
793900800,35.2
793987200,40.2
794073600,34.9
794160000,32.7
794246400,36.0
794332800,38.4
794419200,44.5
794505600,47.5
794592000,56.7
794678400,34.1
794764800,27.9
794851200,35.5
794937600,41.9
795024000,50.9
795110400,54.5
795196800,50.9
795283200,50.2
795369600,53.1
795456000,49.1
795542400,47.5
795628800,45.6
795715200,51.7
795801600,48.7
795888000,46.4
795974400,43.7
796060800,42.5
796147200,49.5
796233600,48.7
796320000,47.5
796406400,46.5
796492800,46.5
796579200,48.0
796665600,46.3
796752000,43.5
796838400,43.2
796924800,52.3
797011200,32.2
797097600,35.0
797184000,50.5
797270400,44.3
797356800,47.4
797443200,44.9
797529600,47.3
797616000,49.0
797702400,55.7
797788800,49.8
797875200,49.2
797961600,51.4
798048000,51.3
798134400,54.0
798220800,61.2
798307200,62.4
798393600,58.4
798480000,61.1
798566400,55.2
798652800,53.2
798739200,55.3
798825600,58.0
798912000,62.8
798998400,65.2
799084800,60.6
799171200,52.5
799257600,51.8
799344000,51.0
799430400,57.9
799516800,62.8
799603200,58.8
799689600,59.5
799776000,58.3
799862400,57.1
799948800,61.8
800035200,54.2
800121600,52.9
800208000,57.7
800294400,63.5
800380800,57.6
800467200,60.1
800553600,62.4
800640000,65.0
800726400,69.5
800812800,58.5
800899200,63.1
800985600,70.5
801072000,70.1
801158400,67.5
801244800,74.2
801331200,71.6
801417600,59.5
801504000,63.2
801590400,60.7
801676800,66.4
801763200,68.2
801849600,73.1
801936000,76.6
802022400,72.5
802108800,75.9
802195200,72.5
802281600,72.9
802368000,72.9
802454400,75.9
802540800,81.3
802627200,68.8
802713600,67.5
802800000,70.2
802886400,69.0
802972800,64.6
803059200,65.8
803145600,70.4
803232000,72.6
803318400,76.5
803404800,80.2
803491200,84.1
803577600,84.9
803664000,75.2
803750400,68.1
803836800,70.7
803923200,71.0
804009600,74.2
804096000,75.6
804182400,70.0
804268800,64.5
804355200,67.2
804441600,72.8
804528000,73.6
804614400,73.3
804700800,71.3
804787200,74.9
804873600,75.9
804960000,76.0
805046400,74.4
805132800,76.7
805219200,68.6
805305600,73.3
805392000,74.2
805478400,74.4
805564800,80.2
805651200,86.8
805737600,92.8
805824000,83.9
805910400,78.1
805996800,77.5
806083200,80.2
806169600,79.4
806256000,79.3
806342400,79.1
806428800,79.4
806515200,82.9
806601600,82.4
806688000,84.0
806774400,85.5
806860800,81.2
806947200,86.4
807033600,85.1
807120000,82.7
807206400,83.3
807292800,85.4
807379200,84.6
807465600,85.3
807552000,81.8
807638400,73.0
807724800,71.7
807811200,72.1
807897600,72.4
807984000,74.4
808070400,77.5
808156800,81.1
808243200,81.7
808329600,80.2
808416000,78.0
808502400,79.8
808588800,83.0
