timestamp,value
788889600,74.0
788976000,74.6
789062400,65.3
789148800,73.0
789235200,71.1
789321600,74.0
789408000,68.4
789494400,69.0
789580800,73.5
789667200,68.8
789753600,72.2
789840000,66.2
789926400,67.1
790012800,71.5
790099200,74.5
790185600,76.6
790272000,74.2
790358400,72.1
790444800,71.3
790531200,72.9
790617600,73.1
790704000,77.5
790790400,72.6
790876800,72.5
790963200,71.2
791049600,69.9
791136000,71.1
791222400,76.2
791308800,76.6
791395200,76.0
791481600,75.6
791568000,76.0
791654400,75.7
791740800,73.9
791827200,76.2
791913600,77.3
792000000,75.5
792086400,75.9
792172800,74.5
792259200,77.0
792345600,78.4
792432000,78.8
792518400,73.7
792604800,72.3
792691200,74.3
792777600,77.7
792864000,77.4
792950400,77.7
793036800,78.1
793123200,78.4
793209600,79.2
793296000,79.4
793382400,81.0
793468800,78.7
793555200,78.7
793641600,81.2
793728000,82.0
793814400,84.1
793900800,84.7
793987200,87.3
794073600,85.9
794160000,85.8
794246400,82.9
794332800,93.4
794419200,90.4
794505600,86.5
794592000,90.8
794678400,90.3
794764800,90.5
794851200,91.3
794937600,90.9
795024000,93.9
795110400,92.2
795196800,93.7
795283200,90.7
795369600,94.0
795456000,91.9
795542400,91.9
795628800,91.9
795715200,91.9
795801600,97.6
795888000,90.4
795974400,90.5
796060800,90.1
796147200,88.4
796233600,89.4
796320000,87.6
796406400,89.0
796492800,93.2
796579200,92.4
796665600,92.4
796752000,95.0
796838400,94.1
796924800,94.8
797011200,93.9
797097600,93.7
797184000,94.6
797270400,90.5
797356800,91.2
797443200,95.4
797529600,94.3
797616000,94.8
797702400,95.9
797788800,92.9
797875200,95.3
797961600,88.6
798048000,86.4
798134400,91.9
798220800,96.8
798307200,96.8
798393600,94.0
798480000,88.4
798566400,86.3
798652800,91.5
798739200,92.5
798825600,95.1
798912000,96.0
798998400,95.0
799084800,95.9
799171200,94.6
799257600,96.1
799344000,94.3
799430400,94.2
799516800,94.9
799603200,94.9
799689600,91.4
799776000,93.2
799862400,92.9
799948800,94.7
800035200,93.7
800121600,90.2
800208000,94.0
800294400,99.3
800380800,98.2
800467200,97.5
800553600,96.9
800640000,95.8
800726400,97.6
800812800,97.9
800899200,97.5
800985600,99.8
801072000,96.7
801158400,95.8
801244800,97.1
801331200,92.1
801417600,96.1
801504000,93.3
801590400,91.6
801676800,88.8
801763200,90.8
801849600,94.3
801936000,92.3
802022400,95.3
802108800,96.8
802195200,96.4
802281600,93.1
802368000,92.9
802454400,92.5
802540800,87.1
802627200,90.4
802713600,94.3
802800000,97.3
802886400,95.2
802972800,91.7
803059200,93.3
803145600,88.2
803232000,94.0
803318400,86.2
803404800,88.9
803491200,93.3
803577600,81.9
803664000,85.3
803750400,88.0
803836800,89.5
803923200,90.9
804009600,82.2
804096000,82.0
804182400,86.1
804268800,90.3
804355200,89.8
804441600,87.9
804528000,85.9
804614400,89.7
804700800,89.9
804787200,87.0
804873600,86.7
804960000,88.2
805046400,92.2
805132800,82.7
805219200,86.3
805305600,88.7
805392000,83.3
805478400,86.5
805564800,85.0
805651200,88.4
805737600,88.7
805824000,84.9
805910400,85.0
805996800,82.5
806083200,84.7
806169600,88.8
806256000,84.9
806342400,78.4
806428800,82.2
806515200,83.2
806601600,84.8
806688000,84.4
806774400,83.8
806860800,84.6
806947200,85.1
807033600,83.9
807120000,88.2
807206400,79.1
807292800,81.3
807379200,85.5
807465600,81.6
807552000,81.2
807638400,87.1
807724800,88.7
807811200,76.9
807897600,78.9
807984000,84.2
808070400,79.6
808156800,83.5
808243200,82.8
808329600,83.5
808416000,82.6
808502400,84.3
808588800,80.1
808675200,83.8
808761600,82.7
808848000,86.3
808934400,78.2
809020800,83.6
809107200,80.1
809193600,83.4
809280000,78.4
809366400,78.4
809452800,83.3
809539200,87.0
809625600,87.8
809712000,76.1
809798400,81.9
809884800,83.0
809971200,84.2
810057600,83.3
810144000,84.6
810230400,87.4
810316800,87.7
810403200,85.2
810489600,85.8
810576000,86.0
810662400,84.6
810748800,86.3
810835200,84.2
810921600,84.2
811008000,82.2
811094400,83.1
811180800,84.1
811267200,82.7
811353600,84.1
811440000,88.8
811526400,89.8
811612800,88.5
811699200,86.7
811785600,81.7
811872000,84.9
811958400,85.1
812044800,81.8
812131200,88.1
812217600,89.6
812304000,87.6
812390400,87.3
812476800,89.8
812563200,86.8
812649600,85.1
812736000,89.6
812822400,88.9
812908800,88.2
812995200,90.7
813081600,86.5
813168000,88.5
813254400,89.9
813340800,89.4
813427200,90.8
813513600,91.9
813600000,89.6
813686400,87.6
813772800,88.7
813859200,89.5
813945600,91.6
814032000,91.4
814118400,90.1
814204800,89.2
814291200,92.1
814377600,92.6
814464000,90.8
814550400,88.7
814636800,89.6
814723200,87.7
814809600,88.0
814896000,85.1
814982400,86.1
815068800,88.7
815155200,89.9
815241600,86.3
815328000,82.3
815414400,85.5
815500800,89.4
815587200,90.3
815673600,87.3
815760000,86.9
815846400,87.2
815932800,86.4
816019200,82.8
816105600,84.9
816192000,81.3
816278400,85.2
816364800,80.2
816451200,80.0
816537600,80.1
816624000,80.1
816710400,80.2
816796800,78.6
816883200,76.7
816969600,79.3
817056000,79.5
817142400,79.9
817228800,79.6
817315200,81.9
817401600,80.4
817488000,81.9
817574400,79.6
817660800,82.1
817747200,78.6
817833600,90.1
817920000,85.2
818006400,80.9
818092800,79.2
818179200,82.0
818265600,82.9
818352000,83.5
818438400,81.2
818524800,80.3
818611200,80.9
818697600,81.7
818784000,81.9
818870400,81.0
818956800,82.0
819043200,82.9
819129600,80.9
819216000,81.5
819302400,77.8
819388800,80.5
819475200,83.0
819561600,81.0
819648000,82.1
819734400,80.4
819820800,74.6
819907200,72.3
819993600,73.2
820080000,73.5
820166400,73.2
820252800,73.6
820339200,74.4
820425600,74.2
820512000,77.3
820598400,78.8
820684800,77.1
820771200,78.2
820857600,78.2
820944000,77.2
821030400,76.3
821116800,76.1
821203200,77.1
821289600,76.7
821376000,75.1
821462400,75.6
821548800,78.2
821635200,75.2
821721600,75.7
821808000,74.6
821894400,76.5
821980800,74.9
822067200,78.8
822153600,79.6
822240000,81.3
822326400,80.8
822412800,81.5
822499200,80.8
822585600,83.1
822672000,83.4
822758400,88.8
822844800,82.6
822931200,83.4
823017600,81.9
823104000,83.3
823190400,83.5
823276800,85.2
823363200,85.9
823449600,86.1
823536000,83.9
823622400,82.5
823708800,77.9
823795200,80.1
823881600,82.2
823968000,84.0
824054400,83.8
824140800,82.8
824227200,85.6
824313600,85.5
824400000,84.8
824486400,87.5
824572800,84.1
824659200,79.8
824745600,78.9
824832000,79.6
824918400,79.4
825004800,82.9
825091200,86.1
825177600,88.1
825264000,87.6
825350400,89.4
825436800,85.8
825523200,83.4
825609600,84.8
825696000,84.1
825782400,89.9
825868800,90.1
825955200,92.6
