timestamp,value
788889600,56.6
788976000,49.4
789062400,36.9
789148800,38.7
789235200,29.5
789321600,32.3
789408000,56.8
789494400,41.7
789580800,39.4
789667200,41.6
789753600,47.1
789840000,54.7
789926400,60.0
790012800,65.0
790099200,65.7
790185600,57.3
790272000,47.4
790358400,48.6
790444800,47.0
790531200,49.9
790617600,45.6
790704000,39.8
790790400,38.9
790876800,38.7
790963200,39.3
791049600,36.9
791136000,36.9
791222400,40.8
791308800,36.7
791395200,41.3
791481600,40.0
791568000,45.7
791654400,49.0
791740800,39.6
791827200,42.6
791913600,34.9
792000000,23.6
792086400,27.9
792172800,30.7
792259200,27.6
792345600,38.9
792432000,42.5
792518400,36.4
792604800,28.5
792691200,31.5
792777600,36.5
792864000,46.7
792950400,40.8
793036800,40.5
793123200,43.4
793209600,50.1
793296000,48.9
793382400,40.7
793468800,50.9
793555200,55.3
793641600,41.1
793728000,47.5
793814400,44.8
793900800,58.2
793987200,47.1
794073600,41.2
794160000,39.0
794246400,41.0
794332800,43.3
794419200,46.9
794505600,57.1
794592000,65.0
794678400,43.5
794764800,35.0
794851200,43.2
794937600,52.2
795024000,56.3
795110400,57.7
795196800,51.9
795283200,61.9
795369600,67.7
795456000,53.1
795542400,46.8
795628800,53.6
795715200,63.8
795801600,62.6
795888000,48.7
795974400,50.9
796060800,49.8
796147200,54.4
796233600,54.0
796320000,50.4
796406400,48.9
796492800,53.2
796579200,52.7
796665600,48.5
796752000,48.7
796838400,49.9
796924800,61.6
797011200,48.5
797097600,49.4
797184000,57.1
797270400,66.0
797356800,73.8
797443200,58.2
797529600,53.3
797616000,63.8
797702400,69.9
797788800,55.4
797875200,54.0
797961600,58.4
798048000,58.1
798134400,57.4
798220800,73.8
798307200,69.5
798393600,72.8
798480000,77.4
798566400,59.3
798652800,51.1
798739200,56.2
798825600,58.9
798912000,63.5
798998400,65.8
799084800,62.1
799171200,62.2
799257600,57.3
799344000,53.3
799430400,56.0
799516800,59.7
799603200,63.2
799689600,64.3
799776000,61.2
799862400,59.9
799948800,60.4
800035200,70.4
800121600,74.8
800208000,68.8
800294400,67.7
800380800,65.5
800467200,66.6
800553600,66.4
800640000,73.4
800726400,81.8
800812800,77.9
800899200,68.7
800985600,73.8
801072000,72.3
801158400,69.3
801244800,72.8
801331200,77.8
801417600,73.4
801504000,65.2
801590400,65.4
801676800,74.5
801763200,76.3
801849600,71.8
801936000,71.0
802022400,77.3
802108800,76.0
802195200,77.6
802281600,74.2
802368000,72.9
802454400,77.3
802540800,82.6
802627200,74.2
802713600,71.8
802800000,79.3
802886400,77.3
802972800,66.2
803059200,70.3
803145600,71.0
803232000,69.1
803318400,69.1
803404800,73.5
803491200,75.1
803577600,78.8
803664000,77.9
803750400,76.2
803836800,75.8
803923200,77.6
804009600,77.0
804096000,77.4
804182400,79.1
804268800,75.7
804355200,75.3
804441600,77.2
804528000,78.3
804614400,76.2
804700800,75.9
804787200,80.0
804873600,82.3
804960000,79.6
805046400,79.5
805132800,81.4
805219200,78.0
805305600,76.1
805392000,79.0
805478400,80.0
805564800,81.7
805651200,83.7
805737600,88.0
805824000,86.6
805910400,85.6
805996800,85.2
806083200,85.3
806169600,82.1
806256000,84.4
806342400,80.9
806428800,85.3
806515200,88.4
806601600,85.4
806688000,85.1
806774400,85.9
806860800,85.6
806947200,86.9
807033600,85.8
807120000,83.7
807206400,81.8
807292800,85.2
807379200,84.4
807465600,86.3
807552000,88.0
807638400,84.4
807724800,75.0
807811200,72.3
807897600,75.7
807984000,76.2
808070400,77.7
808156800,82.4
808243200,86.2
808329600,83.0
808416000,79.0
808502400,79.8
808588800,84.1
808675200,85.0
808761600,77.1
808848000,73.1
808934400,74.2
809020800,82.3
809107200,78.4
809193600,77.3
809280000,79.3
809366400,75.1
809452800,78.2
809539200,76.8
809625600,75.8
809712000,73.1
809798400,77.8
809884800,82.1
809971200,74.0
810057600,73.0
810144000,71.5
810230400,70.6
810316800,73.6
810403200,74.4
810489600,74.1
810576000,75.8
810662400,74.1
810748800,71.5
810835200,70.5
810921600,76.0
811008000,80.4
811094400,77.3
811180800,73.7
811267200,72.5
811353600,72.0
811440000,72.9
811526400,72.3
811612800,70.1
811699200,76.7
811785600,63.1
811872000,64.6
811958400,71.3
812044800,68.7
812131200,67.9
812217600,66.1
812304000,69.7
812390400,69.6
812476800,67.8
812563200,68.6
812649600,74.0
812736000,72.3
812822400,79.0
812908800,80.1
812995200,76.3
