timestamp,value
788889600,4.9
788976000,7.9
789062400,11.1
789148800,-2.2
789235200,12.5
789321600,19.4
789408000,8.4
789494400,25.5
789580800,22.6
789667200,29.5
789753600,31.9
789840000,38.0
789926400,32.5
790012800,31.8
790099200,35.5
790185600,32.9
790272000,26.2
790358400,26.2
790444800,26.6
790531200,36.1
790617600,25.4
790704000,27.4
790790400,23.3
790876800,29.7
790963200,27.6
791049600,32.4
791136000,37.2
791222400,30.9
791308800,30.1
791395200,30.3
791481600,37.9
791568000,43.2
791654400,40.2
791740800,38.7
791827200,35.0
791913600,35.6
792000000,30.4
792086400,26.4
792172800,23.9
792259200,30.8
792345600,32.0
792432000,15.8
792518400,12.5
792604800,14.1
792691200,20.2
792777600,18.9
792864000,27.9
792950400,40.3
793036800,41.7
793123200,39.0
793209600,47.8
793296000,48.7
793382400,45.9
793468800,39.9
793555200,39.3
793641600,49.2
793728000,44.7
793814400,30.5
793900800,15.4
793987200,13.0
794073600,12.7
794160000,20.4
794246400,27.0
794332800,23.9
794419200,18.1
794505600,3.7
794592000,8.3
794678400,22.9
794764800,39.8
794851200,50.6
794937600,58.8
795024000,52.3
795110400,50.8
795196800,46.7
795283200,54.0
795369600,50.3
795456000,49.5
795542400,52.1
795628800,46.8
795715200,52.1
795801600,59.4
795888000,48.0
795974400,49.1
796060800,49.2
796147200,36.0
796233600,32.6
796320000,31.5
796406400,29.1
796492800,28.1
796579200,34.3
796665600,43.5
796752000,51.4
796838400,47.2
796924800,36.8
797011200,52.9
797097600,52.0
797184000,59.4
797270400,48.4
797356800,36.9
797443200,26.4
797529600,24.5
797616000,35.6
797702400,48.2
797788800,54.7
797875200,50.9
797961600,42.9
798048000,35.4
798134400,34.4
798220800,36.6
798307200,40.0
798393600,39.8
798480000,41.0
798566400,42.7
798652800,43.2
798739200,50.3
798825600,44.1
798912000,41.4
798998400,52.5
799084800,48.2
799171200,42.4
799257600,42.2
799344000,44.1
799430400,45.4
799516800,49.6
799603200,48.3
799689600,52.5
799776000,58.0
799862400,57.8
799948800,50.6
800035200,48.2
800121600,52.3
800208000,54.6
800294400,54.1
800380800,48.6
800467200,59.7
800553600,63.6
800640000,52.2
800726400,50.9
800812800,58.4
800899200,53.2
800985600,53.0
801072000,53.9
801158400,45.4
801244800,49.5
801331200,50.2
801417600,54.2
801504000,54.7
801590400,53.8
801676800,54.9
801763200,55.1
801849600,57.6
801936000,59.6
802022400,64.0
802108800,64.1
802195200,64.6
802281600,66.4
802368000,69.7
802454400,68.2
802540800,52.7
802627200,50.0
802713600,51.8
802800000,55.5
802886400,63.6
802972800,70.7
803059200,75.1
803145600,76.3
803232000,78.6
803318400,77.8
803404800,73.8
803491200,74.9
803577600,77.2
803664000,77.9
803750400,74.6
803836800,69.3
803923200,65.9
804009600,62.9
804096000,62.7
804182400,68.5
804268800,67.5
804355200,61.3
804441600,59.9
804528000,59.1
804614400,59.6
804700800,68.4
804787200,67.5
804873600,65.8
804960000,69.6
805046400,76.7
805132800,80.3
805219200,77.2
805305600,82.3
805392000,83.4
805478400,86.7
805564800,88.4
805651200,79.7
805737600,74.3
805824000,72.0
805910400,66.6
805996800,70.0
806083200,73.6
806169600,71.0
806256000,72.6
806342400,73.0
806428800,71.6
806515200,74.4
806601600,73.5
806688000,76.8
806774400,80.6
806860800,77.2
806947200,82.2
807033600,82.9
807120000,67.3
807206400,59.0
807292800,69.9
807379200,76.2
807465600,76.5
807552000,78.3
807638400,72.8
807724800,80.7
807811200,85.1
807897600,77.5
807984000,80.5
808070400,84.3
808156800,85.1
808243200,81.3
808329600,70.1
808416000,68.9
808502400,80.1
808588800,80.7
808675200,84.4
808761600,69.6
808848000,73.1
808934400,78.2
809020800,86.1
809107200,85.4
809193600,82.2
809280000,80.9
809366400,74.1
809452800,76.2
809539200,81.9
809625600,83.9
809712000,79.2
809798400,71.5
809884800,68.6
809971200,83.3
810057600,75.9
810144000,77.6
810230400,78.4
810316800,75.0
810403200,62.8
810489600,55.6
810576000,61.9
810662400,58.2
810748800,63.5
810835200,65.1
810921600,67.3
811008000,67.9
811094400,73.0
811180800,72.0
811267200,60.7
811353600,67.4
811440000,53.8
811526400,41.8
811612800,39.2
811699200,38.7
811785600,52.0
811872000,54.0
811958400,49.2
812044800,54.2
812131200,62.6
812217600,67.6
812304000,67.2
812390400,59.0
812476800,53.9
812563200,55.5
812649600,50.2
812736000,57.0
812822400,44.6
812908800,45.6
812995200,44.6
813081600,52.5
813168000,51.0
813254400,51.4
813340800,60.5
813427200,66.6
813513600,56.3
813600000,43.6
813686400,53.7
813772800,60.4
813859200,58.9
813945600,54.7
814032000,51.7
814118400,44.0
814204800,40.6
814291200,48.4
814377600,35.9
814464000,33.6
814550400,37.0
814636800,42.9
814723200,45.3
814809600,40.1
814896000,40.7
814982400,36.2
815068800,34.0
815155200,35.2
815241600,23.4
815328000,20.6
815414400,23.4
815500800,38.7
815587200,43.8
815673600,35.8
815760000,35.2
815846400,48.6
815932800,33.8
816019200,21.5
816105600,38.0
816192000,43.2
816278400,39.3
816364800,45.4
816451200,47.9
816537600,48.0
816624000,45.2
816710400,46.9
816796800,37.9
816883200,30.6
816969600,40.3
817056000,36.4
817142400,43.0
817228800,40.3
817315200,45.8
817401600,26.7
817488000,18.9
817574400,32.3
817660800,44.7
817747200,44.2
817833600,50.1
817920000,37.9
818006400,37.6
818092800,37.8
818179200,30.1
818265600,24.8
818352000,16.4
818438400,5.9
818524800,20.1
818611200,20.1
818697600,20.9
818784000,33.1
818870400,38.0
818956800,31.3
819043200,37.4
819129600,33.8
819216000,21.1
819302400,27.6
819388800,22.7
819475200,23.5
819561600,20.5
819648000,20.4
819734400,21.2
819820800,24.5
819907200,29.0
819993600,24.7
820080000,18.9
820166400,27.2
820252800,23.1
820339200,24.7
820425600,30.9
820512000,20.0
820598400,21.0
820684800,23.4
820771200,9.3
820857600,5.0
820944000,3.7
821030400,24.6
821116800,36.2
821203200,37.5
821289600,39.1
821376000,41.5
821462400,39.8
821548800,33.4
821635200,24.7
821721600,40.7
821808000,29.2
821894400,-0.8
821980800,0.8
822067200,10.1
822153600,24.1
822240000,19.0
822326400,13.5
822412800,18.7
822499200,16.9
822585600,7.6
822672000,11.2
822758400,21.7
822844800,0.8
822931200,-4.1
823017600,-1.2
823104000,3.8
823190400,-9.0
823276800,-7.2
823363200,5.3
823449600,30.0
823536000,38.0
823622400,40.2
823708800,42.0
823795200,43.8
823881600,42.4
823968000,29.1
824054400,32.1
824140800,39.1
824227200,40.2
824313600,28.5
824400000,21.5
824486400,35.6
824572800,37.9
824659200,39.3
824745600,47.0
824832000,46.5
824918400,40.1
825004800,41.6
