timestamp,value
788889600,27.4
788976000,27.0
789062400,30.8
789148800,21.6
789235200,22.9
789321600,35.8
789408000,24.8
789494400,35.5
789580800,37.9
789667200,46.8
789753600,47.2
789840000,53.6
789926400,47.8
790012800,42.2
790099200,41.6
790185600,50.6
790272000,48.2
790358400,38.1
790444800,36.9
790531200,39.0
790617600,37.1
790704000,32.3
790790400,26.9
790876800,34.6
790963200,43.0
791049600,44.1
791136000,52.1
791222400,41.3
791308800,33.4
791395200,34.8
791481600,40.3
791568000,48.6
791654400,56.2
791740800,51.1
791827200,43.7
791913600,45.2
792000000,42.1
792086400,43.2
792172800,32.6
792259200,43.3
792345600,45.0
792432000,36.5
792518400,24.1
792604800,28.4
792691200,31.6
792777600,41.2
792864000,30.5
792950400,36.4
793036800,41.6
793123200,47.3
793209600,51.2
793296000,53.8
793382400,55.9
793468800,58.3
793555200,52.8
793641600,53.5
793728000,59.2
793814400,56.9
793900800,36.6
793987200,25.5
794073600,21.4
794160000,24.7
794246400,33.7
794332800,40.2
794419200,44.5
794505600,27.1
794592000,23.4
794678400,39.3
794764800,47.7
794851200,51.7
794937600,58.8
795024000,56.3
795110400,55.0
795196800,58.9
795283200,59.4
795369600,60.5
795456000,61.9
795542400,64.3
795628800,62.1
795715200,61.3
795801600,72.8
795888000,64.8
795974400,63.3
796060800,62.6
796147200,61.0
796233600,47.2
796320000,45.3
796406400,43.9
796492800,42.9
796579200,46.3
796665600,51.6
796752000,58.1
796838400,57.2
796924800,53.4
797011200,55.4
797097600,56.4
797184000,62.6
797270400,70.2
797356800,66.3
797443200,51.1
797529600,41.3
797616000,48.8
797702400,56.3
797788800,62.7
797875200,66.6
797961600,70.7
798048000,59.8
798134400,58.3
798220800,53.5
798307200,55.1
798393600,56.6
798480000,46.5
798566400,46.4
798652800,49.1
798739200,53.5
798825600,60.2
798912000,48.9
798998400,54.9
799084800,63.2
799171200,59.9
799257600,55.8
799344000,50.3
799430400,54.4
799516800,59.1
799603200,57.4
799689600,59.6
799776000,65.3
799862400,63.1
799948800,63.1
800035200,60.7
800121600,60.3
800208000,62.3
800294400,76.7
800380800,69.5
800467200,71.4
800553600,75.1
800640000,75.1
800726400,61.2
800812800,60.5
800899200,64.1
800985600,68.5
801072000,70.2
801158400,71.9
801244800,58.1
801331200,55.8
801417600,62.7
801504000,69.6
801590400,67.8
801676800,64.1
801763200,64.0
801849600,67.8
801936000,69.5
802022400,68.9
802108800,70.1
802195200,69.1
802281600,67.2
802368000,73.8
802454400,80.1
802540800,78.7
802627200,71.3
802713600,69.8
802800000,63.2
802886400,65.7
802972800,69.1
803059200,73.2
803145600,75.0
803232000,74.2
803318400,73.8
803404800,72.8
803491200,73.1
803577600,74.3
803664000,75.5
803750400,77.2
803836800,76.9
803923200,72.8
804009600,72.8
804096000,74.6
804182400,75.3
804268800,76.8
804355200,75.7
804441600,67.7
804528000,70.2
804614400,70.6
804700800,76.9
804787200,83.9
804873600,78.9
804960000,80.8
805046400,82.4
805132800,82.2
805219200,85.3
805305600,84.1
805392000,85.6
805478400,84.4
805564800,84.8
805651200,82.9
805737600,81.8
805824000,79.2
805910400,79.2
805996800,82.1
806083200,79.6
806169600,80.3
806256000,81.5
806342400,82.2
806428800,79.0
806515200,76.4
806601600,79.6
806688000,81.4
806774400,85.3
806860800,82.9
806947200,85.7
807033600,81.0
807120000,79.0
807206400,74.8
807292800,75.1
807379200,75.3
807465600,78.3
807552000,79.8
807638400,80.9
807724800,82.2
807811200,81.9
807897600,82.2
807984000,77.7
808070400,79.5
808156800,81.1
808243200,81.5
808329600,81.4
808416000,79.4
808502400,82.0
808588800,82.4
808675200,80.8
808761600,80.4
808848000,81.1
808934400,83.0
809020800,86.2
809107200,82.9
809193600,78.4
809280000,79.1
809366400,81.8
809452800,81.9
809539200,82.7
809625600,81.5
809712000,79.8
809798400,80.2
809884800,83.4
809971200,85.3
810057600,86.1
810144000,86.7
810230400,79.7
810316800,85.4
810403200,80.7
810489600,66.0
810576000,65.1
810662400,69.2
810748800,67.4
810835200,70.5
810921600,73.9
811008000,75.4
811094400,72.2
811180800,73.2
811267200,76.5
811353600,73.1
811440000,71.5
811526400,61.0
811612800,52.7
811699200,47.3
811785600,50.1
811872000,55.1
811958400,56.6
812044800,53.5
812131200,64.3
812217600,74.6
812304000,77.9
812390400,76.2
812476800,66.2
812563200,60.6
812649600,61.8
812736000,61.7
812822400,63.0
812908800,57.7
812995200,56.2
813081600,62.7
813168000,66.3
813254400,68.1
813340800,70.5
813427200,69.0
813513600,65.0
813600000,54.9
813686400,61.4
813772800,67.1
813859200,65.9
813945600,66.0
814032000,67.1
814118400,56.0
814204800,55.1
814291200,66.4
814377600,64.3
814464000,49.2
814550400,60.1
814636800,62.9
814723200,61.5
814809600,54.7
814896000,55.4
814982400,58.8
815068800,56.9
815155200,64.0
815241600,44.1
815328000,39.0
815414400,39.0
815500800,48.7
815587200,52.2
815673600,57.0
815760000,47.0
815846400,52.3
815932800,64.9
816019200,31.0
816105600,44.5
816192000,52.5
816278400,48.6
816364800,52.4
816451200,45.2
816537600,52.3
816624000,49.7
816710400,52.0
816796800,54.7
816883200,50.4
816969600,53.4
817056000,47.5
817142400,43.4
817228800,51.6
817315200,56.8
817401600,53.9
817488000,30.9
817574400,35.1
817660800,48.2
817747200,52.2
817833600,55.9
817920000,53.1
818006400,49.9
818092800,50.2
818179200,45.6
818265600,37.6
818352000,39.6
818438400,19.3
818524800,24.3
818611200,36.4
818697600,43.8
818784000,53.1
818870400,51.0
818956800,47.4
819043200,45.4
819129600,47.7
819216000,39.6
819302400,31.4
819388800,31.0
819475200,30.7
819561600,32.3
819648000,28.2
819734400,32.7
819820800,30.6
819907200,35.5
819993600,37.5
820080000,29.5
820166400,32.1
820252800,39.1
820339200,42.6
820425600,39.9
820512000,32.0
820598400,31.7
820684800,35.3
820771200,30.2
820857600,23.3
820944000,16.9
821030400,26.2
821116800,41.2
821203200,43.1
821289600,48.5
821376000,47.4
821462400,52.2
821548800,50.1
821635200,38.8
821721600,45.8
821808000,54.1
821894400,24.3
821980800,17.4
822067200,30.5
822153600,34.8
822240000,45.9
822326400,35.7
822412800,32.0
822499200,43.3
822585600,34.3
822672000,28.1
822758400,40.5
822844800,33.9
822931200,23.5
823017600,13.4
823104000,14.9
823190400,17.4
823276800,7.2
823363200,10.0
823449600,28.5
823536000,33.3
823622400,52.5
823708800,54.1
823795200,53.8
823881600,54.9
823968000,44.7
824054400,42.7
824140800,49.7
824227200,55.9
824313600,50.1
824400000,30.0
824486400,40.9
824572800,47.4
824659200,54.4
824745600,58.6
824832000,61.4
824918400,66.1
825004800,64.7
825091200,48.0
825177600,59.1
825264000,65.2
825350400,44.8
825436800,30.5
825523200,27.9
825609600,32.9
825696000,45.4
825782400,48.5
825868800,56.6
825955200,58.0
826041600,40.8
826128000,22.8
826214400,21.3
826300800,25.2
826387200,37.1
826473600,46.1
826560000,53.5
826646400,62.9
826732800,66.5
826819200,52.7
826905600,51.9
826992000,53.0
827078400,48.9
827164800,41.2
827251200,36.2
827337600,43.3
827424000,52.9
827510400,62.8
