timestamp,value
788889600,9.5
788976000,11.5
789062400,10.5
789148800,-0.5
789235200,4.3
789321600,22.8
789408000,3.7
789494400,14.6
789580800,14.1
789667200,23.7
789753600,34.3
789840000,35.3
789926400,33.8
790012800,25.8
790099200,27.6
790185600,38.5
790272000,36.9
790358400,26.8
790444800,28.8
790531200,23.5
790617600,18.7
790704000,20.2
790790400,22.2
790876800,23.0
790963200,22.6
791049600,25.3
791136000,35.4
791222400,32.1
791308800,26.6
791395200,20.0
791481600,35.2
791568000,37.9
791654400,36.7
791740800,35.3
791827200,24.9
791913600,21.9
792000000,25.5
792086400,22.3
792172800,17.6
792259200,33.9
792345600,31.8
792432000,12.2
792518400,12.3
792604800,20.7
792691200,24.8
792777600,25.0
792864000,22.1
792950400,36.1
793036800,43.6
793123200,39.6
793209600,45.3
793296000,39.4
793382400,48.2
793468800,41.6
793555200,34.2
793641600,48.0
793728000,38.5
793814400,31.2
793900800,20.2
793987200,15.1
794073600,16.3
794160000,23.5
794246400,28.2
794332800,28.4
794419200,22.7
794505600,9.5
794592000,3.1
794678400,19.0
794764800,43.5
794851200,51.8
794937600,58.4
795024000,57.6
795110400,52.2
795196800,52.6
795283200,57.5
795369600,54.8
795456000,52.8
795542400,49.6
795628800,47.1
795715200,44.7
795801600,49.1
795888000,45.7
795974400,48.1
796060800,51.1
796147200,52.4
796233600,40.8
796320000,38.8
796406400,34.9
796492800,31.5
796579200,30.6
796665600,43.0
796752000,53.4
796838400,55.4
796924800,32.3
797011200,44.6
797097600,56.2
797184000,55.1
797270400,49.0
797356800,42.5
797443200,34.9
797529600,36.5
797616000,37.5
797702400,45.2
797788800,60.2
797875200,61.7
797961600,47.3
798048000,44.6
798134400,48.4
798220800,45.8
798307200,47.5
798393600,41.9
798480000,45.4
798566400,51.4
798652800,51.1
798739200,49.1
798825600,47.4
798912000,46.0
798998400,50.9
799084800,52.7
799171200,50.1
799257600,49.9
799344000,47.2
799430400,50.3
799516800,52.1
799603200,51.8
799689600,56.4
799776000,58.6
799862400,63.4
799948800,58.3
800035200,53.7
800121600,52.8
800208000,52.4
800294400,62.2
800380800,59.1
800467200,60.1
800553600,67.1
800640000,58.5
800726400,59.0
800812800,60.2
800899200,61.5
800985600,60.1
801072000,62.4
801158400,53.9
801244800,57.1
801331200,59.5
801417600,58.4
801504000,60.9
801590400,58.5
801676800,58.6
801763200,65.4
801849600,66.3
801936000,64.8
802022400,64.2
802108800,69.1
802195200,69.9
802281600,71.0
802368000,72.9
802454400,76.3
802540800,59.0
802627200,60.0
802713600,60.2
802800000,60.5
802886400,62.8
802972800,66.2
803059200,72.1
803145600,78.0
803232000,80.6
803318400,82.1
803404800,79.3
803491200,78.3
803577600,78.7
803664000,80.6
803750400,81.7
803836800,79.2
803923200,77.0
804009600,69.7
804096000,67.1
804182400,71.5
804268800,73.3
804355200,71.6
804441600,65.5
804528000,64.2
804614400,67.2
804700800,73.1
804787200,73.4
804873600,71.0
804960000,69.9
805046400,75.1
805132800,75.8
805219200,78.3
805305600,79.1
805392000,86.6
805478400,90.3
805564800,91.5
805651200,88.2
805737600,84.4
805824000,79.3
805910400,76.0
805996800,77.5
806083200,78.4
806169600,75.3
806256000,75.9
