timestamp,value
788889600,66.7
788976000,63.9
789062400,60.3
789148800,55.9
789235200,52.1
789321600,59.1
789408000,70.4
789494400,54.4
789580800,51.0
789667200,55.4
789753600,60.5
789840000,63.3
789926400,68.1
790012800,68.1
790099200,61.8
790185600,54.6
790272000,52.4
790358400,57.6
790444800,62.5
790531200,56.5
790617600,51.9
790704000,54.6
790790400,56.4
790876800,48.7
790963200,48.3
791049600,52.2
791136000,56.6
791222400,63.6
791308800,68.7
791395200,60.1
791481600,49.7
791568000,48.5
791654400,54.8
791740800,60.3
791827200,58.2
791913600,51.5
792000000,50.0
792086400,48.6
792172800,52.1
792259200,41.2
792345600,52.6
792432000,63.8
792518400,64.3
792604800,59.1
792691200,63.8
792777600,70.0
792864000,71.6
792950400,72.5
793036800,73.4
793123200,68.7
793209600,63.2
793296000,60.7
793382400,55.4
793468800,57.3
793555200,64.3
793641600,64.1
793728000,62.7
793814400,66.4
793900800,68.3
793987200,69.6
794073600,62.2
794160000,61.8
794246400,66.3
794332800,68.4
794419200,68.0
794505600,71.1
794592000,69.8
794678400,59.5
794764800,54.1
794851200,59.0
794937600,64.6
795024000,65.1
795110400,67.1
795196800,66.3
795283200,68.6
795369600,67.5
795456000,65.5
795542400,64.8
795628800,63.8
795715200,67.7
795801600,69.4
795888000,71.6
795974400,73.7
796060800,70.7
796147200,67.9
796233600,69.4
796320000,73.0
796406400,71.6
796492800,71.5
796579200,69.6
796665600,64.0
796752000,63.3
796838400,61.6
796924800,66.7
797011200,68.4
797097600,70.2
797184000,67.1
797270400,68.6
797356800,70.9
797443200,72.0
797529600,74.3
797616000,74.0
797702400,74.3
797788800,70.4
797875200,69.3
797961600,70.5
798048000,74.1
798134400,76.3
798220800,78.0
798307200,76.9
798393600,77.4
798480000,78.0
798566400,78.4
798652800,76.5
798739200,68.1
798825600,67.4
798912000,73.0
798998400,72.6
799084800,73.2
799171200,72.4
799257600,75.7
799344000,77.9
799430400,77.0
799516800,76.5
799603200,76.0
799689600,78.8
799776000,76.2
799862400,76.5
799948800,77.3
800035200,78.9
800121600,77.4
800208000,76.9
800294400,81.1
800380800,84.1
800467200,82.9
800553600,82.4
800640000,81.9
800726400,82.8
800812800,82.5
800899200,77.3
800985600,77.8
801072000,78.3
801158400,76.9
801244800,78.1
801331200,77.4
801417600,78.6
801504000,78.0
801590400,78.9
801676800,78.9
801763200,80.5
801849600,81.7
801936000,81.8
802022400,78.1
802108800,77.5
802195200,77.8
802281600,79.6
802368000,81.4
802454400,80.8
802540800,82.2
802627200,84.0
802713600,81.3
802800000,80.6
802886400,77.6
802972800,76.5
803059200,75.8
803145600,75.9
803232000,77.7
803318400,77.1
803404800,76.0
803491200,76.5
803577600,77.5
803664000,77.0
803750400,76.8
803836800,75.5
803923200,71.8
804009600,76.1
804096000,75.1
804182400,80.0
804268800,81.3
804355200,81.1
804441600,80.1
804528000,80.8
804614400,82.7
804700800,80.9
804787200,85.4
804873600,84.1
804960000,82.8
805046400,83.0
805132800,81.4
805219200,82.7
805305600,82.9
805392000,78.1
805478400,78.2
805564800,78.0
805651200,79.6
805737600,81.9
805824000,82.6
805910400,75.7
805996800,76.5
806083200,80.8
806169600,82.7
806256000,79.9
806342400,82.0
806428800,83.5
806515200,82.9
806601600,78.1
806688000,77.8
806774400,77.8
806860800,77.8
806947200,78.6
807033600,81.0
807120000,81.2
807206400,80.1
807292800,76.0
807379200,78.3
807465600,79.0
807552000,82.1
807638400,82.1
807724800,82.9
807811200,82.3
807897600,81.5
807984000,81.6
808070400,83.0
808156800,80.2
808243200,82.6
808329600,84.2
808416000,85.6
808502400,84.2
808588800,84.0
808675200,86.2
808761600,81.8
808848000,77.4
808934400,76.9
809020800,83.7
809107200,79.8
809193600,76.8
809280000,79.3
809366400,79.8
809452800,81.0
809539200,82.3
809625600,79.3
809712000,78.4
809798400,80.8
809884800,79.2
809971200,81.3
810057600,80.8
810144000,80.1
810230400,78.2
810316800,77.5
810403200,77.3
810489600,77.6
810576000,76.0
810662400,75.8
810748800,77.5
810835200,80.0
810921600,81.5
811008000,81.9
811094400,82.4
811180800,81.1
811267200,80.9
811353600,82.2
811440000,81.6
811526400,79.3
811612800,79.7
811699200,80.8
811785600,82.1
811872000,81.0
811958400,79.5
812044800,80.4
812131200,81.6
812217600,76.3
812304000,77.3
812390400,80.6
812476800,80.0
812563200,80.3
812649600,80.4
812736000,82.6
812822400,78.8
812908800,77.7
812995200,78.2
813081600,77.3
813168000,79.9
813254400,78.1
813340800,79.1
813427200,79.8
813513600,79.7
813600000,78.4
813686400,74.0
813772800,70.1
813859200,73.5
813945600,74.7
814032000,76.7
814118400,75.5
814204800,71.6
814291200,66.2
814377600,71.9
814464000,75.9
