timestamp,value
788889600,42.1
788976000,37.6
789062400,43.2
789148800,46.1
789235200,40.9
789321600,38.2
789408000,42.9
789494400,43.2
789580800,52.0
789667200,40.2
789753600,40.7
789840000,39.7
789926400,38.2
790012800,34.3
790099200,37.5
790185600,37.9
790272000,36.4
790358400,41.2
790444800,36.6
790531200,41.5
790617600,46.6
790704000,49.6
790790400,46.5
790876800,40.3
790963200,39.3
791049600,40.1
791136000,38.5
791222400,38.4
791308800,37.8
791395200,34.3
791481600,34.2
791568000,35.2
791654400,36.6
791740800,37.9
791827200,38.8
791913600,38.0
792000000,38.8
792086400,39.6
792172800,44.1
792259200,43.6
792345600,38.9
792432000,41.2
792518400,46.9
792604800,47.4
792691200,42.9
792777600,43.3
792864000,38.7
792950400,37.6
793036800,41.0
793123200,42.7
793209600,39.9
793296000,37.4
793382400,37.8
793468800,42.7
793555200,40.8
793641600,44.4
793728000,45.4
793814400,40.2
793900800,44.6
793987200,43.3
794073600,39.6
794160000,42.1
794246400,38.6
794332800,39.9
794419200,43.5
794505600,44.3
794592000,44.2
794678400,49.3
794764800,48.9
794851200,47.0
794937600,45.9
795024000,44.9
795110400,44.1
795196800,53.7
795283200,55.5
795369600,51.8
795456000,43.6
795542400,41.5
795628800,46.5
795715200,54.9
795801600,53.8
795888000,58.5
795974400,58.9
796060800,45.0
796147200,44.1
796233600,51.4
796320000,45.6
796406400,53.4
796492800,55.2
796579200,56.1
796665600,45.6
796752000,45.2
796838400,44.4
796924800,49.6
797011200,58.6
797097600,58.5
797184000,55.1
797270400,61.5
797356800,55.1
797443200,52.7
797529600,54.3
797616000,49.2
797702400,56.5
797788800,54.8
797875200,59.2
797961600,58.4
798048000,62.2
798134400,62.8
798220800,51.4
798307200,52.9
798393600,61.0
798480000,65.5
798566400,61.7
798652800,62.1
798739200,57.4
798825600,57.1
798912000,64.0
798998400,63.0
799084800,63.6
799171200,65.7
799257600,66.1
799344000,66.7
799430400,62.6
799516800,59.2
799603200,58.3
799689600,63.5
799776000,66.4
799862400,67.5
799948800,70.0
800035200,70.1
800121600,60.0
800208000,57.6
800294400,61.5
800380800,60.4
800467200,61.8
