timestamp,value
788889600,42.5
788976000,24.5
789062400,29.7
789148800,20.3
789235200,14.4
789321600,31.2
789408000,33.2
789494400,30.3
789580800,35.9
789667200,37.7
789753600,58.5
789840000,65.1
789926400,62.8
790012800,49.7
790099200,38.7
790185600,34.6
790272000,39.0
790358400,47.9
790444800,45.4
790531200,35.0
790617600,27.9
790704000,28.3
790790400,26.8
790876800,27.2
790963200,35.2
791049600,31.8
791136000,38.5
791222400,47.4
791308800,33.2
791395200,29.0
791481600,30.8
791568000,43.8
791654400,47.8
791740800,43.1
791827200,33.4
791913600,26.4
792000000,19.2
792086400,24.6
792172800,18.3
792259200,24.7
792345600,37.1
792432000,33.2
792518400,17.6
792604800,25.2
792691200,32.4
792777600,45.6
792864000,37.2
792950400,33.6
793036800,38.1
793123200,43.1
793209600,46.3
793296000,43.5
793382400,43.2
793468800,59.3
793555200,43.5
793641600,41.1
793728000,55.5
793814400,52.1
793900800,42.4
793987200,33.6
794073600,27.0
794160000,27.7
794246400,37.9
794332800,48.9
794419200,48.0
794505600,55.7
794592000,31.0
794678400,31.8
794764800,39.4
794851200,50.3
794937600,56.8
795024000,61.7
795110400,64.4
795196800,61.1
795283200,61.4
795369600,62.0
795456000,60.3
795542400,64.4
795628800,66.6
795715200,58.5
795801600,65.2
795888000,65.6
795974400,51.8
796060800,52.9
796147200,64.0
796233600,63.0
796320000,50.5
796406400,48.3
796492800,45.4
796579200,44.4
796665600,41.7
796752000,48.8
796838400,60.7
796924800,55.8
797011200,44.7
797097600,55.2
797184000,64.0
797270400,71.1
797356800,73.7
797443200,72.9
797529600,68.7
797616000,53.4
797702400,53.5
797788800,55.2
797875200,65.3
797961600,73.0
798048000,72.8
798134400,73.4
798220800,65.1
798307200,63.0
798393600,64.1
798480000,55.9
798566400,49.0
798652800,49.9
798739200,56.2
798825600,59.3
798912000,60.2
798998400,52.7
799084800,54.8
799171200,56.3
799257600,51.8
799344000,52.5
799430400,52.6
799516800,55.8
799603200,60.4
799689600,57.7
799776000,64.1
799862400,74.0
799948800,72.3
800035200,70.2
800121600,60.7
800208000,61.6
800294400,69.9
800380800,81.0
800467200,74.5
800553600,69.2
800640000,76.4
800726400,73.8
800812800,62.9
800899200,63.8
800985600,65.8
801072000,68.8
801158400,74.3
801244800,79.6
801331200,74.3
801417600,68.0
801504000,72.6
801590400,77.1
