timestamp,value
788889600,82.0
788976000,80.6
789062400,79.6
789148800,81.3
789235200,81.3
789321600,80.2
789408000,79.7
789494400,80.6
789580800,81.0
789667200,81.2
789753600,78.6
789840000,78.6
789926400,80.2
790012800,78.6
790099200,78.9
790185600,81.1
790272000,81.3
790358400,81.4
790444800,81.7
790531200,82.0
790617600,81.6
790704000,81.5
790790400,82.0
790876800,82.0
790963200,82.0
791049600,82.7
791136000,81.8
791222400,81.2
791308800,78.3
791395200,80.0
791481600,81.3
791568000,81.8
791654400,78.7
791740800,79.8
791827200,79.9
791913600,79.8
792000000,80.8
792086400,80.2
792172800,80.2
792259200,79.7
792345600,78.7
792432000,81.9
792518400,78.8
792604800,81.2
792691200,80.6
792777600,80.9
792864000,81.1
792950400,83.5
793036800,80.7
793123200,82.4
793209600,83.7
793296000,79.4
793382400,79.7
793468800,79.2
793555200,79.0
793641600,82.6
793728000,81.3
793814400,81.3
793900800,80.7
793987200,80.0
794073600,81.8
794160000,83.1
794246400,83.3
794332800,83.2
794419200,83.8
794505600,80.9
794592000,78.0
794678400,80.1
794764800,86.0
794851200,79.5
794937600,79.6
795024000,80.1
795110400,78.3
795196800,77.8
795283200,78.7
795369600,79.0
795456000,80.7
795542400,80.6
795628800,79.7
795715200,80.6
795801600,79.2
795888000,78.9
795974400,77.6
796060800,79.6
796147200,80.1
796233600,83.3
796320000,84.4
796406400,83.1
796492800,82.9
796579200,83.2
796665600,80.6
796752000,78.9
796838400,80.3
796924800,82.8
797011200,82.1
797097600,80.8
797184000,81.2
797270400,81.8
797356800,80.9
797443200,81.0
797529600,81.4
797616000,82.6
797702400,82.6
797788800,81.2
797875200,80.7
797961600,81.7
798048000,80.3
798134400,78.9
798220800,80.3
798307200,80.2
798393600,81.1
798480000,80.6
798566400,82.1
798652800,82.7
798739200,81.8
798825600,81.9
798912000,82.9
798998400,81.2
799084800,77.8
799171200,78.8
799257600,80.1
799344000,81.2
799430400,81.0
799516800,83.2
799603200,79.7
799689600,78.3
799776000,78.6
799862400,79.7
799948800,81.8
800035200,81.4
800121600,81.8
800208000,82.3
800294400,80.4
800380800,78.4
800467200,77.0
800553600,76.9
800640000,79.2
800726400,80.3
800812800,80.7
800899200,80.3
800985600,78.9
801072000,79.4
801158400,80.9
801244800,78.5
801331200,77.8
801417600,79.5
801504000,79.5
801590400,79.1
801676800,78.4
801763200,79.0
801849600,81.3
801936000,80.1
802022400,79.9
802108800,79.2
802195200,81.1
802281600,81.6
802368000,80.5
802454400,80.0
802540800,80.6
802627200,80.9
802713600,81.9
802800000,81.3
802886400,80.6
802972800,78.2
803059200,80.1
803145600,78.9
803232000,80.3
803318400,80.7
803404800,81.0
803491200,79.0
803577600,78.3
803664000,81.0
