timestamp,value
788889600,77.2
788976000,77.5
789062400,78.2
789148800,78.8
789235200,77.5
789321600,77.1
789408000,75.4
789494400,75.1
789580800,76.9
789667200,78.6
789753600,74.3
789840000,75.3
789926400,75.6
790012800,78.0
790099200,78.9
790185600,78.4
790272000,76.8
790358400,78.0
790444800,79.3
790531200,80.2
790617600,79.8
790704000,77.9
790790400,80.3
790876800,78.7
790963200,76.5
791049600,76.6
791136000,76.2
791222400,78.8
791308800,78.8
791395200,77.8
791481600,78.0
791568000,79.0
791654400,80.0
791740800,78.6
791827200,77.7
791913600,78.4
792000000,81.9
792086400,78.7
792172800,78.4
792259200,79.5
792345600,81.2
792432000,79.2
792518400,77.7
792604800,77.6
792691200,76.5
792777600,77.9
792864000,78.8
792950400,78.0
793036800,78.0
793123200,76.9
793209600,76.9
793296000,79.8
793382400,77.1
793468800,76.2
793555200,76.9
793641600,76.9
793728000,80.0
793814400,80.5
793900800,80.5
793987200,77.9
794073600,77.9
794160000,72.3
794246400,79.3
794332800,78.3
794419200,77.4
794505600,77.6
794592000,80.8
794678400,79.6
794764800,79.3
794851200,77.2
794937600,77.0
795024000,77.8
795110400,77.4
795196800,79.3
795283200,79.9
795369600,78.8
795456000,78.8
795542400,81.6
795628800,81.9
795715200,84.5
795801600,81.1
795888000,80.9
795974400,77.7
796060800,81.1
796147200,80.9
796233600,80.7
796320000,80.8
796406400,79.6
796492800,79.7
796579200,79.4
796665600,79.0
796752000,81.4
796838400,83.4
796924800,79.4
797011200,78.8
797097600,77.7
797184000,78.1
797270400,80.1
797356800,78.6
797443200,78.1
797529600,79.4
797616000,79.4
797702400,80.1
797788800,78.8
797875200,81.5
797961600,79.0
798048000,81.6
798134400,79.9
798220800,80.4
798307200,81.5
798393600,82.4
798480000,81.4
798566400,82.2
798652800,78.6
798739200,80.9
798825600,80.4
798912000,79.9
798998400,80.8
799084800,81.7
799171200,77.6
799257600,79.7
799344000,79.3
799430400,80.9
799516800,79.6
799603200,78.0
799689600,81.0
799776000,80.8
799862400,80.7
799948800,82.0
800035200,77.9
800121600,79.9
800208000,79.7
800294400,80.3
800380800,80.4
800467200,78.8
800553600,78.9
800640000,79.4
800726400,79.6
800812800,79.4
800899200,79.0
800985600,79.4
801072000,78.9
801158400,78.0
801244800,77.6
801331200,78.9
801417600,78.0
801504000,77.7
801590400,79.5
801676800,80.0
801763200,79.1
801849600,79.2
801936000,80.5
802022400,79.2
802108800,79.2
802195200,79.2
802281600,78.0
802368000,77.6
802454400,80.8
802540800,81.2
802627200,79.5
802713600,79.7
802800000,80.6
802886400,81.3
802972800,78.8
803059200,78.9
803145600,78.7
803232000,78.1
803318400,78.8
803404800,77.7
803491200,78.6
803577600,77.9
803664000,77.3
803750400,77.3
803836800,78.1
803923200,77.1
804009600,79.7
804096000,80.7
804182400,79.2
804268800,77.2
804355200,78.3
804441600,75.4
804528000,73.1
804614400,78.5
804700800,79.9
804787200,76.2
804873600,77.9
804960000,78.9
805046400,77.7
805132800,77.5
805219200,79.6
805305600,79.4
805392000,78.6
805478400,80.5
805564800,80.1
805651200,78.7
805737600,78.7
805824000,78.7
805910400,78.7
805996800,78.7
806083200,78.7
806169600,79.3
806256000,79.9
806342400,78.0
806428800,79.4
806515200,78.3
806601600,81.8
806688000,84.2
806774400,81.9
806860800,81.5
806947200,78.4
807033600,79.9
807120000,76.5
807206400,79.9
807292800,82.4
807379200,81.0
807465600,76.6
807552000,76.6
807638400,76.6
807724800,76.6
807811200,76.6
807897600,79.0
807984000,82.5
808070400,82.0
808156800,82.3
808243200,81.1
808329600,80.8
808416000,81.6
808502400,82.1
808588800,79.3
808675200,80.3
808761600,80.1
808848000,80.7
808934400,78.8
809020800,78.8
809107200,78.8
809193600,80.6
809280000,78.6
809366400,81.0
809452800,83.6
809539200,83.2
809625600,82.5
809712000,85.5
809798400,83.6
809884800,83.1
809971200,86.0
810057600,81.6
810144000,81.0
810230400,83.4
810316800,81.8
810403200,80.1
810489600,81.3
810576000,81.0
810662400,81.0
810748800,84.4
810835200,83.0
810921600,85.4
811008000,85.4
811094400,83.5
811180800,81.8
811267200,81.3
811353600,83.3
811440000,81.1
811526400,80.8
811612800,80.7
811699200,80.2
811785600,83.4
811872000,80.5
811958400,83.2
812044800,81.1
812131200,79.8
812217600,80.1
812304000,82.0
812390400,82.7
812476800,82.8
812563200,82.0
812649600,83.9
812736000,83.8
812822400,81.0
812908800,82.1
812995200,84.9
813081600,85.1
813168000,82.5
813254400,82.3
813340800,82.3
813427200,82.3
813513600,82.3
813600000,82.3
813686400,82.3
813772800,82.3
813859200,82.3
813945600,82.3
814032000,82.3
814118400,82.3
814204800,82.3
814291200,82.3
814377600,82.3
814464000,82.3
814550400,82.3
814636800,82.3
814723200,82.3
814809600,82.3
814896000,82.3
814982400,82.3
815068800,82.3
815155200,82.3
815241600,82.3
815328000,82.3
815414400,82.3
815500800,82.3
815587200,82.3
815673600,82.3
815760000,82.3
815846400,80.2
815932800,80.2
816019200,82.6
816105600,79.9
816192000,86.4
816278400,78.0
816364800,77.8
816451200,74.7
816537600,77.9
816624000,81.3
816710400,81.8
816796800,81.8
816883200,80.8
816969600,77.5
817056000,79.7
817142400,81.4
817228800,80.9
817315200,83.2
817401600,80.8
817488000,79.3
817574400,77.0
817660800,78.2
817747200,80.6
817833600,81.9
817920000,79.3
818006400,77.6
818092800,78.8
818179200,79.5
818265600,82.1
818352000,81.5
818438400,77.9
818524800,77.0
818611200,78.8
818697600,79.9
818784000,79.5
818870400,80.1
818956800,79.8
819043200,81.3
819129600,81.5
819216000,79.9
819302400,79.0
819388800,78.7
819475200,78.3
819561600,77.0
819648000,75.8
819734400,80.2
819820800,78.2
819907200,79.1
819993600,77.9
820080000,79.2
820166400,77.9
820252800,78.7
820339200,80.1
820425600,79.2
820512000,79.4
820598400,78.0
820684800,80.1
820771200,79.2
820857600,77.9
820944000,80.9
821030400,79.0
821116800,77.3
821203200,76.2
821289600,78.8
821376000,77.7
821462400,78.0
821548800,76.4
821635200,83.8
821721600,78.3
821808000,77.7
821894400,79.8
821980800,79.5
822067200,79.5
822153600,79.6
822240000,78.5
822326400,76.9
822412800,79.3
822499200,77.7
822585600,74.5
822672000,76.8
822758400,78.5
822844800,76.0
822931200,76.3
823017600,74.0
823104000,76.1
823190400,76.1
823276800,76.9
823363200,79.1
823449600,77.9
823536000,77.1
823622400,75.8
823708800,76.7
823795200,77.9
823881600,76.3
823968000,79.0
824054400,78.5
824140800,77.9
824227200,79.6
824313600,77.4
824400000,80.0
824486400,78.4
824572800,77.7
824659200,78.5
824745600,78.1
824832000,79.7
824918400,80.2
825004800,77.6
825091200,77.2
825177600,76.0
825264000,75.8
825350400,77.7
825436800,77.1
825523200,78.0
825609600,78.5
825696000,79.6
825782400,78.1
825868800,77.8
825955200,77.9
826041600,78.3
826128000,76.7
826214400,76.7
826300800,76.7
826387200,76.7
826473600,83.4
826560000,80.5
826646400,79.3
826732800,78.7
826819200,78.4
826905600,77.5
826992000,79.5
827078400,78.6
827164800,78.7
827251200,80.6
827337600,79.9
827424000,78.9
827510400,78.6
827596800,77.6
827683200,80.4
827769600,77.2
827856000,78.7
827942400,78.2
828028800,75.8
828115200,79.8
828201600,79.8
828288000,78.6
828374400,80.1
828460800,77.5
828547200,79.1
828633600,79.5
828720000,80.8
828806400,79.5
828892800,78.3
828979200,80.7
829065600,80.7
829152000,80.7
829238400,80.7
829324800,80.7
829411200,80.7
829497600,80.7
829584000,80.7
829670400,80.7
829756800,80.7
829843200,80.7
829929600,79.8
830016000,80.3
830102400,81.1
830188800,82.4
830275200,79.9
830361600,79.9
830448000,80.0
830534400,80.3
830620800,82.4
830707200,81.5
830793600,80.1
830880000,79.0
830966400,78.0
831052800,76.8
831139200,75.6
831225600,77.3
831312000,79.5
831398400,81.5
831484800,78.5
831571200,80.5
831657600,79.0
831744000,79.5
831830400,79.4
831916800,79.7
832003200,79.0
832089600,78.7
832176000,79.0
832262400,77.4
832348800,76.9
832435200,78.6
832521600,80.7
832608000,80.0
832694400,78.4
832780800,77.5
832867200,78.4
832953600,81.7
833040000,81.2
833126400,79.5
833212800,80.6
833299200,78.9
833385600,79.3
833472000,79.5
833558400,78.7
833644800,77.6
833731200,77.4
833817600,76.7
833904000,81.1
833990400,76.9
834076800,80.0
834163200,78.8
834249600,76.8
834336000,76.8
834422400,78.9
834508800,80.8
834595200,78.1
834681600,79.2
834768000,83.3
834854400,79.7
834940800,78.2
835027200,79.1
835113600,79.5
835200000,77.0
835286400,79.7
835372800,79.0
835459200,78.8
835545600,78.7
835632000,77.3
835718400,78.7
835804800,79.8
835891200,77.7
835977600,77.7
836064000,79.8
836150400,78.1
836236800,81.4
836323200,77.2
836409600,77.2
836496000,76.9
836582400,78.4
836668800,77.1
836755200,79.0
836841600,78.6
836928000,75.4
837014400,75.4
837100800,78.4
837187200,78.8
837273600,82.1
837360000,80.7
837446400,79.6
837532800,78.8
837619200,77.9
837705600,80.9
837792000,80.0
837878400,77.7
837964800,77.0
838051200,77.2
838137600,81.2
838224000,78.2
838310400,78.2
838396800,83.8
838483200,78.4
838569600,78.8
838656000,76.3
838742400,81.8
838828800,79.3
838915200,80.7
839001600,80.5
839088000,83.0
839174400,83.5
839260800,82.0
839347200,80.1
839433600,78.0
839520000,78.1
839606400,79.8
839692800,80.8
839779200,79.0
839865600,80.0
839952000,78.8
840038400,79.9
840124800,80.7
840211200,81.3
840297600,79.7
840384000,80.4
840470400,79.5
840556800,78.0
840643200,79.6
840729600,78.8
840816000,80.9
840902400,80.6
840988800,80.0
841075200,78.9
841161600,81.4
841248000,84.2
841334400,82.4
841420800,80.8
841507200,79.1
841593600,81.6
841680000,80.7
841766400,84.8
841852800,80.2
841939200,82.7
842025600,80.0
842112000,80.0
842198400,84.4
842284800,80.6
842371200,87.1
842457600,80.6
842544000,77.1
842630400,78.2
842716800,84.3
842803200,82.7
842889600,80.0
842976000,80.0
843062400,75.9
843148800,79.9
843235200,82.5
843321600,78.5
843408000,78.7
843494400,78.7
843580800,80.3
843667200,82.1
843753600,79.9
843840000,80.2
843926400,79.9
844012800,83.9
844099200,78.6
844185600,79.3
844272000,80.5
844358400,80.0
844444800,79.0
844531200,78.2
844617600,81.7
844704000,82.2
844790400,81.6
844876800,82.3
844963200,82.8
845049600,82.9
845136000,82.6
845222400,82.9
845308800,82.3
845395200,81.5
845481600,81.7
845568000,81.8
845654400,82.2
845740800,84.1
845827200,85.1
845913600,82.8
846000000,81.7
846086400,80.7
846172800,84.6
846259200,82.7
846345600,82.2
846432000,82.3
846518400,81.3
846604800,77.9
846691200,80.4
846777600,80.8
846864000,75.9
846950400,80.6
847036800,78.6
847123200,77.5
847209600,78.0
847296000,79.5
847382400,79.5
847468800,81.1
847555200,82.7
847641600,77.9
847728000,76.5
847814400,79.1
847900800,83.4
847987200,79.2
848073600,79.9
848160000,81.2
848246400,80.5
848332800,79.8
848419200,80.0
848505600,78.4
848592000,78.4
848678400,77.6
848764800,78.2
848851200,78.1
848937600,79.4
849024000,84.2
849110400,78.8
849196800,79.7
849283200,77.4
849369600,77.2
849456000,77.9
849542400,78.7
849628800,75.8
849715200,75.8
849801600,75.8
849888000,80.1
849974400,81.2
850060800,81.2
850147200,81.2
850233600,81.2
850320000,81.2
850406400,81.2
850492800,81.2
850579200,81.2
850665600,81.2
850752000,81.2
850838400,81.2
850924800,81.2
851011200,81.2
851097600,81.2
851184000,81.2
851270400,81.2
851356800,81.2
851443200,81.2
851529600,81.2
851616000,81.2
851702400,81.2
851788800,81.2
851875200,81.2
851961600,81.2
852048000,81.2
852134400,81.2
852220800,81.2
852307200,81.2
852393600,81.2
852480000,81.2
852566400,81.2
852652800,81.2
852739200,78.3
852825600,78.8
852912000,76.4
852998400,76.3
853084800,77.1
853171200,77.4
853257600,76.8
853344000,75.7
853430400,77.6
853516800,80.2
853603200,78.6
853689600,76.6
853776000,75.4
853862400,75.4
853948800,75.0
854035200,77.8
854121600,79.6
854208000,78.5
854294400,77.3
854380800,78.5
854467200,77.2
854553600,74.2
854640000,76.5
854726400,76.7
854812800,78.8
854899200,77.0
854985600,77.1
855072000,75.7
855158400,76.1
855244800,77.0
855331200,77.6
855417600,75.0
855504000,76.0
855590400,75.7
855676800,76.2
855763200,77.6
855849600,78.6
855936000,76.3
856022400,76.3
856108800,78.6
856195200,76.0
856281600,77.0
856368000,79.8
856454400,79.2
856540800,78.4
856627200,77.1
856713600,75.5
856800000,78.8
856886400,78.0
856972800,79.3
857059200,79.1
857145600,78.1
857232000,77.8
857318400,75.8
857404800,77.7
857491200,77.3
857577600,78.4
857664000,77.3
857750400,78.9
857836800,77.6
857923200,76.6
858009600,76.3
858096000,76.3
858182400,78.1
858268800,80.2
858355200,77.8
858441600,78.1
858528000,79.5
858614400,77.5
858700800,75.9
858787200,77.3
858873600,77.2
858960000,77.2
859046400,75.7
859132800,78.4
