timestamp,value
788889600,37.4
788976000,35.2
789062400,36.0
789148800,30.7
789235200,27.0
789321600,33.8
789408000,37.9
789494400,38.3
789580800,42.0
789667200,48.2
789753600,41.2
789840000,38.1
789926400,40.0
790012800,43.6
790099200,43.6
790185600,36.8
790272000,46.2
790358400,42.5
790444800,42.9
790531200,47.6
790617600,43.6
790704000,54.9
790790400,46.2
790876800,43.8
790963200,56.8
791049600,47.1
791136000,39.2
791222400,51.1
791308800,51.4
791395200,42.7
791481600,41.1
791568000,53.5
791654400,45.4
791740800,44.6
791827200,49.8
791913600,49.9
792000000,50.6
792086400,45.9
792172800,50.4
792259200,42.0
792345600,48.2
792432000,51.1
792518400,51.2
792604800,51.3
792691200,49.8
792777600,56.0
792864000,50.1
792950400,47.9
793036800,46.5
793123200,49.5
793209600,51.9
793296000,46.0
793382400,43.3
793468800,42.9
793555200,47.7
793641600,48.9
793728000,41.0
793814400,42.4
793900800,50.7
793987200,48.0
794073600,45.0
794160000,41.3
794246400,38.1
794332800,40.5
794419200,41.0
794505600,42.6
794592000,42.8
794678400,43.3
794764800,48.9
794851200,55.3
794937600,52.2
795024000,50.7
795110400,43.3
795196800,43.9
795283200,45.8
795369600,52.4
795456000,49.0
795542400,46.9
795628800,42.8
795715200,43.8
795801600,45.4
795888000,52.5
795974400,53.0
796060800,50.6
796147200,52.7
796233600,43.2
796320000,37.4
796406400,41.7
796492800,44.5
796579200,45.5
796665600,53.7
796752000,57.1
796838400,60.0
796924800,53.1
797011200,56.2
797097600,53.0
797184000,58.2
797270400,49.0
797356800,46.5
797443200,51.2
797529600,54.4
797616000,55.5
797702400,51.3
797788800,51.4
797875200,49.4
797961600,47.5
798048000,50.8
798134400,50.5
798220800,43.2
798307200,42.3
798393600,43.9
798480000,51.9
798566400,47.7
798652800,47.5
798739200,51.0
798825600,54.3
798912000,48.7
798998400,49.5
799084800,53.1
799171200,54.9
799257600,56.2
799344000,63.8
799430400,65.2
799516800,68.6
799603200,72.4
799689600,72.2
799776000,71.0
799862400,66.7
799948800,58.0
800035200,58.3
800121600,56.5
800208000,53.1
800294400,46.6
800380800,49.5
800467200,53.2
800553600,54.3
800640000,56.8
800726400,50.0
800812800,52.0
800899200,53.6
800985600,56.8
801072000,60.3
801158400,67.2
801244800,64.4
801331200,58.2
801417600,63.9
801504000,67.9
801590400,64.0
801676800,63.0
801763200,59.0
801849600,58.6
801936000,58.4
802022400,60.9
802108800,58.2
802195200,60.2
802281600,56.8
802368000,60.2
802454400,61.9
802540800,58.3
802627200,58.3
802713600,56.8
802800000,56.6
802886400,56.5
802972800,53.5
803059200,57.1
803145600,57.9
803232000,62.7
803318400,61.0
803404800,64.5
803491200,69.3
803577600,73.8
803664000,70.9
803750400,60.4
803836800,60.2
803923200,62.2
804009600,67.5
804096000,71.2
804182400,77.1
804268800,79.5
804355200,79.2
804441600,81.1
804528000,79.5
804614400,68.5
804700800,62.1
804787200,65.0
804873600,65.0
804960000,68.0
805046400,70.4
805132800,76.4
805219200,82.0
805305600,83.6
805392000,77.8
805478400,76.3
805564800,78.7
805651200,71.7
805737600,68.2
805824000,67.9
805910400,69.6
805996800,73.0
806083200,74.0
806169600,83.0
806256000,87.3
806342400,66.3
806428800,68.1
806515200,73.0
806601600,78.7
806688000,78.6
806774400,66.7
806860800,72.4
806947200,74.0
807033600,77.8
807120000,81.2
807206400,82.4
807292800,85.6
807379200,80.5
807465600,78.5
807552000,80.2
807638400,71.9
807724800,63.8
807811200,64.0
807897600,72.9
807984000,75.2
808070400,78.4
808156800,79.6
808243200,70.4
808329600,67.5
808416000,69.6
808502400,73.3
808588800,74.2
808675200,75.2
808761600,78.1
808848000,79.0
808934400,76.8
809020800,77.1
809107200,73.9
809193600,69.6
809280000,70.8
809366400,67.2
809452800,69.7
809539200,60.2
809625600,62.2
809712000,61.4
809798400,63.1
809884800,62.7
809971200,64.3
810057600,61.3
810144000,59.2
810230400,61.5
810316800,65.2
810403200,62.8
810489600,64.7
810576000,65.0
810662400,64.9
810748800,64.2
810835200,59.8
810921600,60.2
811008000,60.5
811094400,57.1
811180800,58.6
811267200,59.0
811353600,62.6
811440000,64.9
811526400,60.5
811612800,60.2
811699200,60.9
811785600,59.2
811872000,59.2
811958400,56.0
812044800,58.7
812131200,60.6
812217600,52.6
812304000,53.8
812390400,55.4
812476800,63.9
812563200,62.8
812649600,66.1
812736000,65.6
812822400,60.2
812908800,61.8
812995200,64.9
813081600,66.7
813168000,67.5
813254400,68.6
813340800,68.6
813427200,62.6
813513600,61.4
813600000,63.2
813686400,60.6
813772800,58.9
813859200,62.0
813945600,63.0
814032000,57.0
814118400,56.8
814204800,53.2
814291200,49.8
814377600,56.8
814464000,63.9
814550400,60.0
814636800,60.0
814723200,62.6
814809600,58.0
814896000,54.1
814982400,48.6
815068800,46.0
815155200,45.4
815241600,50.3
815328000,49.3
815414400,42.5
815500800,35.1
815587200,37.2
815673600,39.3
815760000,47.6
815846400,49.9
815932800,51.4
816019200,60.5
816105600,59.4
816192000,50.1
816278400,48.3
816364800,51.5
816451200,56.0
816537600,43.2
816624000,39.3
816710400,41.7
816796800,42.4
816883200,40.2
816969600,49.0
817056000,51.1
817142400,51.1
817228800,51.3
817315200,49.3
817401600,47.3
817488000,47.3
817574400,36.6
817660800,43.0
817747200,40.4
817833600,47.8
817920000,46.9
818006400,38.7
818092800,29.4
818179200,30.1
818265600,30.1
818352000,32.6
818438400,41.2
818524800,36.4
818611200,34.0
818697600,38.8
818784000,34.3
818870400,33.4
818956800,30.9
819043200,36.0
819129600,41.5
819216000,44.0
819302400,40.5
819388800,44.2
819475200,44.0
819561600,52.8
819648000,53.4
819734400,45.9
819820800,41.4
819907200,33.2
819993600,32.0
820080000,27.4
820166400,27.6
820252800,34.2
820339200,41.6
820425600,43.9
820512000,37.3
820598400,36.8
820684800,37.5
820771200,41.0
820857600,41.0
820944000,50.7
821030400,49.5
821116800,49.1
821203200,48.8
821289600,47.4
821376000,48.6
821462400,46.6
821548800,46.9
821635200,44.9
821721600,40.4
821808000,34.2
821894400,35.8
821980800,38.3
822067200,31.6
822153600,35.1
822240000,38.7
822326400,39.3
822412800,38.7
822499200,31.5
822585600,25.0
822672000,28.5
822758400,32.5
822844800,33.4
822931200,32.6
823017600,32.3
823104000,34.9
823190400,36.2
823276800,33.8
823363200,32.1
823449600,30.9
823536000,30.4
823622400,33.4
823708800,35.5
823795200,37.5
823881600,44.7
823968000,43.4
824054400,42.7
824140800,39.2
824227200,34.9
824313600,34.8
824400000,44.0
824486400,47.0
824572800,43.2
824659200,34.5
824745600,28.8
824832000,25.8
824918400,30.8
825004800,35.1
825091200,43.9
825177600,50.8
825264000,41.6
825350400,43.3
825436800,39.8
825523200,42.6
825609600,42.6
825696000,36.9
825782400,38.2
825868800,38.7
825955200,42.2
826041600,40.5
826128000,37.9
826214400,45.4
826300800,48.2
826387200,42.0
826473600,40.0
826560000,33.8
826646400,34.7
826732800,42.2
826819200,50.7
826905600,49.6
826992000,47.9
827078400,51.5
827164800,48.4
827251200,48.0
827337600,51.3
827424000,49.9
827510400,58.5
827596800,59.5
827683200,57.1
827769600,49.0
827856000,39.9
827942400,40.9
828028800,43.4
828115200,42.0
828201600,39.2
828288000,41.1
828374400,39.1
828460800,40.3
828547200,43.0
828633600,42.9
828720000,48.4
828806400,46.9
828892800,51.9
828979200,54.7
829065600,53.2
829152000,54.9
829238400,52.0
829324800,47.5
829411200,49.4
829497600,55.0
829584000,57.6
829670400,54.8
829756800,56.0
829843200,61.8
829929600,66.6
830016000,67.8
830102400,68.5
830188800,58.6
830275200,54.2
830361600,54.0
830448000,56.8
830534400,62.1
830620800,61.6
830707200,52.6
830793600,53.8
830880000,55.6
830966400,53.8
831052800,48.4
831139200,49.4
831225600,51.4
831312000,54.0
831398400,58.3
831484800,49.4
831571200,51.1
831657600,49.5
831744000,49.1
831830400,50.7
831916800,52.0
832003200,49.8
832089600,49.4
832176000,47.2
832262400,56.6
832348800,60.8
832435200,54.9
832521600,54.1
832608000,53.6
832694400,56.5
832780800,62.0
832867200,65.4
832953600,57.2
833040000,57.8
833126400,56.8
833212800,57.2
833299200,68.1
833385600,76.1
833472000,65.6
833558400,60.8
833644800,60.3
833731200,64.2
833817600,69.2
833904000,75.0
833990400,81.6
834076800,84.6
834163200,72.3
834249600,68.4
834336000,77.4
834422400,75.2
834508800,65.3
834595200,64.4
834681600,65.4
834768000,68.0
834854400,70.5
834940800,73.1
835027200,73.6
835113600,68.1
835200000,63.6
835286400,58.6
835372800,58.4
835459200,56.8
835545600,55.9
835632000,61.2
835718400,67.2
835804800,70.4
835891200,70.8
835977600,62.5
836064000,60.1
836150400,62.3
836236800,62.5
836323200,64.3
836409600,68.6
836496000,58.2
836582400,59.2
836668800,59.9
836755200,60.8
836841600,61.9
836928000,66.4
837014400,70.2
837100800,65.7
837187200,71.2
837273600,68.1
837360000,73.0
837446400,67.5
837532800,68.9
837619200,69.8
837705600,70.3
837792000,74.2
837878400,76.0
837964800,79.0
838051200,80.6
838137600,68.4
838224000,67.5
838310400,71.9
838396800,75.2
838483200,73.3
838569600,72.3
838656000,69.8
838742400,72.4
838828800,70.8
838915200,69.3
839001600,70.8
839088000,71.8
839174400,74.1
839260800,70.4
839347200,67.0
839433600,69.8
839520000,74.4
839606400,66.9
839692800,66.4
839779200,62.3
839865600,61.8
839952000,67.3
840038400,69.6
840124800,70.8
840211200,73.9
840297600,75.1
840384000,76.5
840470400,71.0
840556800,69.9
840643200,66.1
840729600,70.3
840816000,65.6
840902400,66.7
840988800,65.2
841075200,62.8
841161600,62.5
841248000,58.6
841334400,62.8
841420800,62.5
841507200,60.6
841593600,62.2
841680000,63.7
841766400,67.5
841852800,64.5
841939200,63.6
842025600,62.0
842112000,59.6
842198400,61.4
842284800,60.6
842371200,59.4
842457600,56.3
842544000,55.0
842630400,58.3
842716800,57.7
842803200,60.1
842889600,59.0
842976000,55.5
843062400,53.6
843148800,55.9
843235200,54.4
843321600,52.1
843408000,55.2
843494400,56.8
843580800,57.7
843667200,60.7
843753600,61.8
843840000,58.8
843926400,64.5
844012800,64.5
844099200,52.6
844185600,55.3
844272000,56.7
844358400,57.4
844444800,53.0
844531200,51.9
844617600,51.7
844704000,54.7
844790400,56.2
844876800,54.3
844963200,55.8
845049600,55.4
845136000,61.0
845222400,59.6
845308800,58.2
845395200,51.6
845481600,49.2
845568000,49.9
845654400,57.1
845740800,56.5
845827200,61.8
845913600,55.5
846000000,54.6
846086400,54.4
846172800,56.8
846259200,55.6
846345600,56.7
846432000,58.8
846518400,51.9
846604800,49.0
846691200,47.8
846777600,57.4
846864000,57.2
846950400,55.7
847036800,55.4
847123200,51.8
847209600,55.9
847296000,53.0
847382400,48.8
847468800,47.4
847555200,47.1
847641600,46.2
847728000,48.0
847814400,46.9
847900800,42.2
847987200,38.6
848073600,39.4
848160000,36.5
848246400,42.4
848332800,40.3
848419200,43.4
848505600,39.2
848592000,37.2
848678400,37.5
848764800,38.4
848851200,47.2
848937600,44.0
849024000,37.4
849110400,36.1
849196800,46.2
849283200,46.2
849369600,45.1
849456000,46.6
849542400,47.5
849628800,45.9
849715200,44.1
849801600,44.6
849888000,40.9
849974400,33.2
850060800,32.0
850147200,32.0
850233600,31.8
850320000,35.1
850406400,38.2
850492800,34.8
850579200,38.2
850665600,39.9
850752000,41.5
850838400,48.6
850924800,50.4
851011200,50.2
851097600,41.0
851184000,39.1
851270400,32.4
851356800,29.2
851443200,27.3
851529600,26.4
851616000,24.6
851702400,20.1
851788800,21.6
851875200,32.2
851961600,20.0
852048000,13.8
852134400,21.7
852220800,20.4
852307200,25.0
852393600,27.0
852480000,26.1
852566400,23.5
852652800,27.3
852739200,34.3
852825600,25.8
852912000,33.8
852998400,33.9
853084800,32.7
853171200,32.0
853257600,35.5
853344000,37.0
853430400,42.1
853516800,41.0
853603200,44.1
853689600,38.4
853776000,40.0
853862400,50.6
853948800,41.0
854035200,45.6
854121600,42.2
854208000,34.2
854294400,34.2
854380800,35.4
854467200,33.0
854553600,33.4
854640000,32.0
854726400,33.3
854812800,33.9
854899200,38.0
854985600,43.0
855072000,45.4
855158400,43.3
855244800,44.0
855331200,47.5
855417600,46.3
855504000,50.0
855590400,45.3
855676800,54.6
855763200,45.6
855849600,44.2
855936000,42.6
856022400,41.6
856108800,50.1
856195200,48.7
856281600,46.9
856368000,51.1
856454400,52.3
856540800,53.5
856627200,50.8
856713600,54.0
856800000,53.2
856886400,49.1
856972800,49.1
857059200,54.6
857145600,52.9
857232000,53.6
857318400,49.5
857404800,56.7
857491200,48.2
857577600,52.0
857664000,52.5
857750400,52.2
857836800,51.9
857923200,54.0
858009600,56.3
858096000,56.4
858182400,54.3
858268800,51.0
858355200,51.0
858441600,54.3
858528000,54.1
858614400,49.9
858700800,48.8
858787200,47.1
858873600,48.0
858960000,45.8
859046400,49.4
859132800,50.3
859219200,51.7
859305600,56.0
859392000,58.4
859478400,50.4
859564800,47.8
859651200,51.3
859737600,53.2
859824000,58.4
859910400,57.3
859996800,51.6
860083200,49.2
860169600,51.7
860256000,54.9
860342400,49.5
860428800,52.6
860515200,58.9
860601600,60.7
860688000,55.5
860774400,46.0
860860800,47.7
860947200,53.2
861033600,49.8
861120000,50.1
861206400,50.7
861292800,53.0
861379200,48.2
861465600,45.6
861552000,47.7
861638400,47.7
861724800,50.1
861811200,56.4
861897600,53.5
861984000,55.2
862070400,55.4
862156800,58.9
862243200,55.9
862329600,57.2
862416000,61.8
862502400,65.8
862588800,70.5
862675200,65.6
862761600,59.6
862848000,47.3
862934400,42.7
863020800,49.8
863107200,51.7
863193600,56.7
863280000,56.0
863366400,58.4
863452800,62.8
863539200,58.2
863625600,65.7
863712000,72.8
863798400,72.2
863884800,63.1
863971200,64.4
864057600,59.0
864144000,56.8
864230400,57.8
864316800,58.2
864403200,58.8
864489600,61.3
864576000,63.6
864662400,61.4
864748800,57.9
864835200,63.9
864921600,68.2
865008000,64.4
865094400,58.7
865180800,62.5
865267200,63.7
