timestamp,value
788889600,24.9
788976000,15.4
789062400,15.0
789148800,4.0
789235200,4.3
789321600,23.7
789408000,23.0
789494400,13.2
789580800,18.2
789667200,24.4
789753600,31.7
789840000,44.3
789926400,35.4
790012800,35.7
790099200,31.6
790185600,30.6
790272000,35.6
790358400,35.0
790444800,31.9
790531200,26.0
790617600,19.4
790704000,19.0
790790400,18.3
790876800,12.9
790963200,17.9
791049600,17.8
791136000,28.8
791222400,31.2
791308800,23.0
791395200,20.2
791481600,30.3
791568000,36.4
791654400,34.8
791740800,32.9
791827200,24.5
791913600,14.4
792000000,9.2
792086400,17.2
792172800,8.8
792259200,25.6
792345600,31.7
792432000,12.5
792518400,6.3
792604800,19.5
792691200,21.1
792777600,32.3
792864000,22.3
792950400,28.9
793036800,38.2
793123200,40.1
793209600,40.8
793296000,32.0
793382400,38.9
793468800,41.2
793555200,33.8
793641600,42.1
793728000,37.2
793814400,34.2
793900800,31.3
793987200,19.6
794073600,20.0
794160000,23.1
794246400,30.9
794332800,38.8
794419200,34.6
794505600,31.9
794592000,18.4
794678400,20.9
794764800,37.5
794851200,49.0
794937600,55.0
795024000,60.4
795110400,61.5
795196800,60.1
795283200,58.9
795369600,58.8
795456000,58.2
795542400,53.3
795628800,55.1
795715200,42.6
795801600,44.6
795888000,42.8
795974400,40.6
796060800,47.9
796147200,51.6
796233600,45.9
796320000,42.9
796406400,40.4
796492800,38.4
796579200,36.0
796665600,37.4
796752000,44.7
796838400,54.0
796924800,35.6
797011200,35.1
797097600,56.9
797184000,55.5
797270400,56.8
797356800,43.3
797443200,37.2
797529600,48.0
797616000,40.3
797702400,45.9
797788800,49.3
797875200,58.0
797961600,59.5
798048000,59.9
798134400,64.4
798220800,48.9
798307200,47.3
798393600,48.7
798480000,48.3
798566400,47.9
798652800,47.8
798739200,47.4
798825600,53.5
798912000,50.3
798998400,50.2
799084800,54.2
799171200,47.2
799257600,46.4
799344000,49.5
799430400,50.3
799516800,50.2
799603200,53.7
799689600,59.8
799776000,64.7
799862400,63.2
799948800,65.1
800035200,56.9
800121600,53.9
800208000,55.5
800294400,60.5
800380800,64.5
800467200,60.9
800553600,64.8
800640000,61.9
800726400,49.4
800812800,55.1
800899200,61.5
800985600,61.1
801072000,63.3
801158400,67.1
801244800,54.3
801331200,53.5
801417600,56.9
801504000,61.6
801590400,65.2
801676800,58.6
801763200,65.1
801849600,68.7
801936000,68.4
802022400,68.7
802108800,66.7
802195200,70.5
802281600,73.0
802368000,74.7
802454400,77.6
802540800,65.4
802627200,60.9
802713600,71.9
802800000,63.3
802886400,61.6
802972800,65.6
803059200,69.4
803145600,71.6
803232000,76.2
803318400,76.8
803404800,77.1
803491200,78.2
803577600,81.8
803664000,78.7
803750400,75.6
803836800,78.5
803923200,77.1
804009600,75.6
804096000,71.5
804182400,69.0
804268800,69.8
804355200,70.1
804441600,70.2
804528000,64.0
804614400,65.0
804700800,68.7
804787200,71.7
804873600,74.4
804960000,72.3
805046400,69.1
805132800,69.4
805219200,75.5
805305600,73.6
805392000,78.9
805478400,83.3
805564800,87.8
805651200,87.1
805737600,85.8
805824000,81.5
805910400,76.0
805996800,73.7
806083200,75.1
806169600,73.6
806256000,74.6
806342400,75.8
806428800,75.4
806515200,76.3
806601600,76.1
806688000,75.9
806774400,78.1
806860800,79.4
806947200,80.9
807033600,81.6
807120000,82.6
807206400,78.6
807292800,73.6
807379200,74.3
807465600,75.6
807552000,76.1
807638400,76.8
807724800,78.2
807811200,75.6
807897600,77.2
807984000,76.9
808070400,80.6
808156800,82.9
808243200,84.2
808329600,83.3
808416000,80.3
808502400,79.0
808588800,81.3
808675200,83.1
808761600,81.5
808848000,78.1
808934400,72.6
809020800,80.6
809107200,76.6
809193600,73.4
809280000,76.7
809366400,77.1
809452800,78.9
809539200,79.3
809625600,79.1
809712000,76.7
809798400,78.8
809884800,72.5
809971200,67.1
810057600,69.7
810144000,74.7
810230400,73.6
810316800,74.0
810403200,65.6
810489600,57.6
810576000,58.9
810662400,59.5
