timestamp,value
788889600,81.7
788976000,82.2
789062400,79.5
789148800,72.5
789235200,73.7
789321600,79.7
789408000,82.7
789494400,73.2
789580800,69.6
789667200,73.0
789753600,82.3
789840000,84.4
789926400,78.1
790012800,80.7
790099200,84.8
790185600,84.7
790272000,85.3
790358400,81.7
790444800,78.0
790531200,77.1
790617600,77.2
790704000,74.1
790790400,69.5
790876800,74.7
790963200,76.7
791049600,82.0
791136000,78.6
791222400,69.8
791308800,67.2
791395200,70.7
791481600,74.0
791568000,70.1
791654400,69.8
791740800,69.0
791827200,66.1
791913600,69.8
792000000,77.9
792086400,85.6
792172800,84.1
792259200,82.8
792345600,82.4
792432000,74.3
792518400,73.8
792604800,74.3
792691200,68.6
792777600,74.1
792864000,76.0
792950400,83.7
793036800,90.1
793123200,90.3
793209600,88.0
793296000,86.1
793382400,90.5
793468800,82.4
793555200,67.7
793641600,70.1
793728000,69.7
793814400,71.4
793900800,74.6
793987200,76.4
794073600,74.2
794160000,71.3
794246400,66.4
794332800,67.9
794419200,67.8
794505600,69.6
794592000,72.3
794678400,72.0
794764800,73.4
794851200,74.6
794937600,76.9
795024000,78.8
795110400,82.3
795196800,81.6
795283200,74.0
795369600,73.2
795456000,75.1
795542400,80.4
795628800,81.6
795715200,77.1
795801600,77.7
795888000,77.6
795974400,79.6
796060800,79.1
796147200,78.0
796233600,77.8
796320000,75.9
796406400,70.1
796492800,72.2
796579200,68.0
796665600,68.9
796752000,68.5
796838400,64.1
796924800,66.9
797011200,72.5
797097600,75.0
797184000,73.6
797270400,65.6
797356800,68.9
797443200,72.6
797529600,72.1
797616000,75.9
797702400,74.0
797788800,62.1
797875200,58.5
797961600,59.5
798048000,60.3
798134400,61.6
798220800,62.6
798307200,64.5
798393600,66.8
798480000,63.7
798566400,61.9
798652800,63.8
798739200,66.5
798825600,69.3
798912000,62.7
798998400,59.8
799084800,59.7
799171200,55.2
799257600,59.8
799344000,61.2
799430400,59.4
799516800,61.8
799603200,61.3
799689600,61.4
799776000,62.0
799862400,66.7
799948800,70.1
800035200,68.7
800121600,63.5
800208000,59.7
800294400,58.2
800380800,59.7
800467200,59.3
800553600,63.6
800640000,59.9
800726400,56.9
800812800,57.9
800899200,61.8
800985600,62.1
801072000,61.2
801158400,48.4
801244800,52.5
801331200,54.5
801417600,56.1
801504000,55.4
801590400,53.5
801676800,53.3
801763200,55.7
801849600,55.0
801936000,56.1
802022400,56.3
802108800,57.0
802195200,62.6
802281600,62.2
802368000,62.0
802454400,57.6
802540800,50.2
802627200,47.0
802713600,46.2
802800000,49.5
802886400,52.1
802972800,52.4
803059200,52.0
803145600,52.6
803232000,53.5
803318400,55.1
803404800,57.5
803491200,56.9
803577600,55.4
803664000,59.9
803750400,56.7
803836800,58.8
803923200,59.4
804009600,51.0
804096000,53.0
804182400,50.9
804268800,50.0
804355200,54.2
804441600,52.8
804528000,54.3
804614400,56.6
804700800,54.5
804787200,59.1
804873600,56.1
804960000,54.4
805046400,58.3
805132800,53.7
805219200,55.7
805305600,58.0
805392000,62.9
805478400,57.7
805564800,56.1
805651200,55.1
805737600,49.9
805824000,50.0
805910400,53.7
805996800,56.6
806083200,55.1
806169600,54.8
806256000,54.5
806342400,52.1
806428800,54.9
806515200,53.6
806601600,55.7
806688000,58.4
806774400,58.8
806860800,60.1
806947200,53.1
807033600,55.3
807120000,54.3
807206400,53.4
807292800,52.5
807379200,53.5
807465600,56.4
807552000,56.6
807638400,58.1
807724800,60.5
807811200,56.0
807897600,59.0
807984000,60.8
808070400,58.6
808156800,57.2
808243200,53.0
808329600,55.9
808416000,59.8
808502400,62.9
808588800,57.1
808675200,56.2
808761600,50.9
808848000,55.8
808934400,59.5
809020800,60.3
809107200,60.8
809193600,49.8
809280000,56.0
809366400,57.0
809452800,60.6
809539200,59.5
809625600,56.5
809712000,48.6
809798400,54.3
809884800,54.0
809971200,57.6
810057600,58.4
810144000,61.5
810230400,64.1
810316800,61.0
810403200,59.0
810489600,59.4
810576000,54.1
810662400,56.0
810748800,60.5
810835200,54.5
810921600,53.8
811008000,56.3
811094400,57.2
811180800,62.5
811267200,61.8
811353600,59.1
811440000,60.3
811526400,55.7
811612800,57.1
811699200,57.8
811785600,59.9
811872000,63.3
811958400,59.1
812044800,62.7
812131200,61.3
812217600,58.0
812304000,56.5
812390400,55.7
812476800,58.0
812563200,59.9
812649600,62.2
812736000,59.4
812822400,58.5
812908800,58.1
812995200,59.3
813081600,62.1
813168000,57.0
813254400,60.6
813340800,56.6
813427200,58.3
813513600,66.4
813600000,69.7
813686400,66.3
813772800,72.3
813859200,63.3
813945600,63.7
814032000,57.7
814118400,59.4
814204800,61.0
814291200,61.6
814377600,66.2
814464000,67.1
814550400,65.1
814636800,67.9
814723200,67.0
814809600,67.6
814896000,68.4
814982400,64.8
815068800,63.5
815155200,60.8
815241600,60.6
815328000,63.9
815414400,72.5
815500800,69.7
815587200,65.8
815673600,61.3
815760000,52.5
815846400,57.2
815932800,62.1
816019200,62.3
816105600,61.3
816192000,66.1
816278400,72.4
816364800,66.2
816451200,65.8
816537600,66.6
816624000,69.0
816710400,65.8
816796800,68.7
816883200,72.5
816969600,70.7
817056000,71.6
817142400,68.7
817228800,66.1
817315200,65.2
817401600,62.1
817488000,62.4
817574400,65.3
817660800,65.1
817747200,70.1
817833600,70.0
817920000,63.3
818006400,67.4
818092800,74.8
818179200,72.9
818265600,68.2
818352000,65.5
818438400,68.6
818524800,71.1
818611200,76.7
818697600,76.1
818784000,72.5
818870400,70.6
818956800,65.8
819043200,67.8
819129600,69.2
819216000,73.2
819302400,66.9
819388800,66.0
819475200,69.4
819561600,71.6
819648000,73.2
819734400,73.9
819820800,73.8
819907200,73.7
819993600,78.1
820080000,74.1
820166400,73.0
820252800,73.7
820339200,74.5
820425600,80.6
820512000,84.7
820598400,71.3
820684800,68.4
820771200,72.3
820857600,78.4
820944000,81.0
821030400,78.7
821116800,72.5
