timestamp,value
788889600,41.3
788976000,37.8
789062400,26.8
789148800,31.0
789235200,19.8
789321600,26.9
789408000,38.2
789494400,34.9
789580800,33.3
789667200,30.6
789753600,32.9
789840000,40.5
789926400,51.4
790012800,59.8
790099200,65.0
790185600,57.5
790272000,49.2
790358400,45.6
790444800,41.6
790531200,48.2
790617600,40.4
790704000,34.4
790790400,31.3
790876800,34.5
790963200,38.8
791049600,32.9
791136000,32.0
791222400,29.9
791308800,28.0
791395200,32.3
791481600,34.3
791568000,38.3
791654400,40.4
791740800,25.8
791827200,30.6
791913600,22.7
792000000,11.4
792086400,17.6
792172800,20.1
792259200,20.3
792345600,30.3
792432000,36.6
792518400,22.4
792604800,18.4
792691200,26.2
792777600,27.5
792864000,37.9
792950400,40.6
793036800,37.3
793123200,39.3
793209600,43.7
793296000,39.9
793382400,36.1
793468800,39.7
793555200,42.6
793641600,32.1
793728000,31.6
793814400,33.0
793900800,39.0
793987200,42.8
794073600,35.2
794160000,34.8
794246400,35.9
794332800,41.1
794419200,44.2
794505600,48.6
794592000,59.3
794678400,33.1
794764800,28.6
794851200,37.3
794937600,45.7
795024000,50.1
795110400,55.9
795196800,52.3
795283200,57.5
795369600,56.9
795456000,50.9
795542400,50.3
795628800,47.6
795715200,56.2
795801600,49.6
795888000,47.4
795974400,46.9
796060800,44.0
796147200,51.0
796233600,52.9
796320000,49.0
796406400,49.1
796492800,49.8
796579200,48.3
796665600,45.2
796752000,45.9
796838400,46.6
796924800,55.8
797011200,36.4
797097600,40.9
797184000,52.8
797270400,51.5
797356800,57.1
797443200,49.7
797529600,50.5
797616000,56.2
797702400,56.5
797788800,50.0
797875200,49.6
797961600,53.1
798048000,55.1
798134400,56.2
798220800,66.1
798307200,67.8
798393600,60.5
798480000,63.8
798566400,55.6
798652800,52.8
798739200,56.9
798825600,57.5
798912000,62.2
798998400,64.5
799084800,60.3
799171200,55.1
799257600,52.6
799344000,50.1
799430400,57.5
799516800,61.4
799603200,61.1
799689600,62.4
799776000,61.2
799862400,59.5
799948800,62.2
800035200,56.3
800121600,59.2
800208000,63.0
800294400,66.4
800380800,58.1
800467200,63.9
800553600,67.4
800640000,66.6
800726400,72.2
800812800,63.9
800899200,64.7
800985600,70.7
801072000,70.4
801158400,69.3
801244800,73.4
801331200,77.1
801417600,62.8
801504000,66.2
801590400,62.2
801676800,69.1
801763200,71.3
801849600,71.3
801936000,73.5
802022400,74.6
802108800,75.8
802195200,73.8
802281600,73.6
802368000,70.9
802454400,77.7
802540800,80.3
802627200,73.2
802713600,68.9
802800000,73.6
802886400,72.8
802972800,65.1
803059200,68.5
803145600,71.2
803232000,72.8
803318400,74.1
803404800,76.0
803491200,79.5
803577600,83.1
803664000,78.5
803750400,70.5
803836800,70.1
803923200,71.6
804009600,78.4
804096000,78.6
804182400,70.3
804268800,68.2
804355200,69.2
804441600,74.4
804528000,77.2
804614400,76.6
804700800,73.2
804787200,75.5
804873600,78.4
804960000,79.8
805046400,75.3
805132800,78.5
805219200,68.6
805305600,73.6
805392000,75.4
805478400,80.7
805564800,83.0
805651200,86.2
805737600,90.5
805824000,85.2
805910400,81.5
805996800,82.1
806083200,82.1
806169600,81.2
806256000,81.2
806342400,81.7
806428800,81.4
806515200,84.7
806601600,84.3
