timestamp,value
788889600,50.6
788976000,53.0
789062400,52.0
789148800,52.5
789235200,55.7
789321600,51.2
789408000,51.0
789494400,55.3
789580800,57.0
789667200,57.3
789753600,58.8
789840000,55.6
789926400,56.6
790012800,55.8
790099200,55.0
790185600,52.1
790272000,47.7
790358400,46.2
790444800,48.9
790531200,54.7
790617600,51.5
790704000,50.4
790790400,51.7
790876800,58.6
790963200,60.6
791049600,55.1
791136000,52.7
791222400,51.4
791308800,53.2
791395200,59.1
791481600,55.7
791568000,57.9
791654400,61.6
791740800,63.8
791827200,67.7
791913600,63.8
792000000,61.9
792086400,61.0
792172800,62.3
792259200,59.6
792345600,57.8
792432000,56.4
792518400,57.7
792604800,58.9
792691200,60.6
792777600,60.7
792864000,57.7
792950400,60.9
793036800,64.8
793123200,67.7
793209600,70.6
793296000,70.6
793382400,64.0
793468800,62.0
793555200,66.5
793641600,64.2
793728000,64.7
793814400,65.5
793900800,66.3
793987200,62.4
794073600,62.9
794160000,64.0
794246400,67.2
794332800,65.0
794419200,62.9
794505600,61.5
794592000,61.5
794678400,64.1
794764800,65.6
794851200,67.1
794937600,57.9
795024000,60.8
795110400,65.2
795196800,69.7
795283200,72.4
795369600,73.5
795456000,73.5
795542400,70.7
795628800,70.6
795715200,72.3
795801600,66.5
795888000,63.3
795974400,60.8
796060800,55.7
796147200,56.1
796233600,59.2
796320000,61.3
796406400,60.3
796492800,62.1
796579200,65.4
796665600,66.9
796752000,68.0
796838400,68.7
796924800,73.1
797011200,73.5
797097600,73.6
797184000,72.6
797270400,73.0
797356800,68.2
797443200,62.2
797529600,65.8
797616000,68.6
797702400,73.8
797788800,73.1
797875200,67.9
797961600,61.2
798048000,51.1
798134400,57.4
798220800,52.7
798307200,55.0
798393600,62.1
798480000,62.5
798566400,69.2
798652800,73.3
798739200,75.3
798825600,76.8
798912000,78.1
798998400,78.6
799084800,78.0
799171200,82.6
799257600,83.2
799344000,81.8
799430400,76.2
799516800,78.1
799603200,71.9
799689600,63.6
799776000,60.0
799862400,65.1
799948800,71.0
800035200,75.5
800121600,77.8
800208000,80.1
800294400,77.3
800380800,76.7
800467200,75.4
800553600,75.9
800640000,69.0
800726400,75.6
800812800,80.8
800899200,84.1
800985600,84.0
801072000,82.4
801158400,75.7
801244800,75.2
801331200,77.7
801417600,76.4
801504000,80.1
801590400,84.6
801676800,83.0
801763200,84.1
801849600,86.8
801936000,88.7
802022400,83.7
802108800,81.7
802195200,84.9
802281600,87.9
802368000,87.1
802454400,82.1
802540800,75.4
802627200,75.1
802713600,81.1
802800000,88.6
802886400,93.7
802972800,94.7
803059200,93.1
803145600,90.0
803232000,80.9
803318400,73.6
803404800,77.6
803491200,83.3
803577600,87.0
803664000,88.0
803750400,86.7
803836800,88.6
803923200,91.8
804009600,93.6
804096000,94.7
804182400,96.2
804268800,95.9
804355200,96.6
804441600,94.4
804528000,94.2
804614400,94.4
804700800,89.1
804787200,89.1
804873600,92.8
804960000,94.2
805046400,98.0
805132800,99.4
805219200,99.1
805305600,98.6
805392000,97.3
805478400,94.0
805564800,89.4
805651200,92.4
805737600,92.8
805824000,86.9
805910400,88.7
805996800,94.0
806083200,92.2
806169600,95.4
806256000,96.7
806342400,92.3
806428800,90.1
806515200,93.1
806601600,94.8
806688000,97.1
806774400,102.3
806860800,102.0
806947200,102.9
807033600,100.8
807120000,98.5
807206400,100.4
807292800,99.2
807379200,100.4
807465600,100.9
807552000,100.9
807638400,101.0
807724800,100.6
807811200,101.1
807897600,100.9
807984000,102.4
808070400,100.0
808156800,88.6
808243200,96.2
808329600,95.2
808416000,84.8
808502400,86.8
808588800,89.9
808675200,93.0
808761600,92.4
808848000,86.0
808934400,84.7
809020800,93.1
809107200,94.2
809193600,89.6
809280000,89.0
809366400,92.2
809452800,92.4
809539200,95.3
809625600,97.1
809712000,97.0
809798400,97.3
809884800,99.4
809971200,99.2
810057600,97.0
810144000,96.6
810230400,95.1
810316800,94.7
810403200,88.9
810489600,90.7
810576000,90.2
810662400,87.6
810748800,90.0
810835200,91.7
810921600,92.2
811008000,93.6
811094400,90.0
811180800,85.5
811267200,87.6
811353600,88.9
811440000,87.1
811526400,87.9
811612800,89.2
811699200,88.6
811785600,87.0
811872000,87.3
811958400,87.3
812044800,86.8
812131200,86.7
812217600,80.3
812304000,81.2
812390400,77.0
812476800,77.2
812563200,78.9
812649600,80.0
812736000,78.9
812822400,77.6
812908800,75.7
812995200,75.7
813081600,75.7
813168000,77.2
813254400,79.3
813340800,81.8
813427200,84.6
813513600,82.1
813600000,82.9
813686400,83.5
813772800,81.3
813859200,78.3
813945600,77.5
814032000,76.5
814118400,77.8
814204800,77.6
814291200,75.9
814377600,68.2
814464000,68.4
814550400,66.0
814636800,66.5
814723200,69.4
814809600,71.4
814896000,72.3
814982400,71.3
815068800,69.1
815155200,67.8
815241600,63.0
815328000,66.2
815414400,67.8
815500800,65.4
815587200,63.3
815673600,65.1
815760000,66.7
815846400,67.9
815932800,67.4
816019200,68.1
816105600,66.2
816192000,65.5
816278400,66.6
816364800,67.4
816451200,69.7
816537600,67.9
816624000,68.3
816710400,67.0
816796800,66.1
816883200,65.8
816969600,65.7
817056000,64.5
817142400,66.3
817228800,69.0
817315200,67.4
817401600,62.5
817488000,58.1
817574400,55.6
817660800,59.7
817747200,61.3
817833600,61.5
817920000,60.6
818006400,60.8
818092800,61.0
818179200,63.2
818265600,62.8
818352000,59.4
818438400,58.2
818524800,60.0
818611200,59.3
818697600,60.3
818784000,61.2
818870400,62.5
818956800,55.5
819043200,52.5
819129600,50.2
819216000,51.4
819302400,51.3
819388800,49.9
819475200,50.1
819561600,48.2
819648000,47.9
819734400,53.8
819820800,56.2
819907200,58.9
819993600,54.9
820080000,53.9
820166400,52.8
820252800,52.3
820339200,51.9
820425600,54.0
820512000,55.8
820598400,50.4
820684800,50.7
820771200,51.6
820857600,53.1
820944000,59.4
821030400,63.4
821116800,61.0
821203200,59.8
821289600,60.7
821376000,62.5
821462400,61.1
821548800,58.6
821635200,57.7
821721600,59.5
821808000,66.8
821894400,55.1
821980800,53.0
822067200,53.7
822153600,51.3
822240000,52.4
822326400,45.7
822412800,46.9
822499200,46.6
822585600,52.3
822672000,53.5
822758400,53.8
822844800,54.8
822931200,57.7
823017600,61.0
823104000,58.6
823190400,56.6
823276800,56.7
823363200,58.5
823449600,61.6
823536000,65.4
823622400,66.3
823708800,67.2
823795200,67.4
823881600,66.4
823968000,67.4
824054400,69.7
824140800,66.3
824227200,63.3
824313600,65.0
824400000,66.5
824486400,66.3
824572800,66.3
824659200,65.9
824745600,69.7
824832000,70.8
824918400,67.4
825004800,58.9
825091200,57.7
825177600,56.0
825264000,51.5
825350400,46.4
825436800,50.7
825523200,52.1
825609600,56.0
825696000,56.6
825782400,59.4
825868800,64.2
825955200,66.8
826041600,62.9
826128000,61.8
826214400,65.8
826300800,70.1
826387200,71.5
826473600,66.8
826560000,68.9
826646400,63.3
826732800,53.4
826819200,57.6
826905600,60.9
826992000,65.0
827078400,69.5
827164800,71.1
827251200,73.2
827337600,72.3
827424000,72.4
827510400,70.0
827596800,59.7
827683200,63.0
827769600,65.6
827856000,66.6
827942400,66.6
828028800,67.0
828115200,62.5
828201600,67.4
828288000,71.4
828374400,73.6
828460800,68.9
828547200,70.1
828633600,70.2
828720000,65.6
828806400,70.5
828892800,74.7
828979200,78.2
829065600,78.5
829152000,69.4
829238400,69.7
829324800,72.6
829411200,69.0
829497600,70.5
829584000,74.0
829670400,74.8
829756800,76.3
829843200,71.8
829929600,70.2
830016000,71.0
830102400,72.8
830188800,77.0
830275200,81.3
830361600,83.6
830448000,85.2
830534400,86.1
830620800,86.8
830707200,78.5
830793600,76.6
830880000,81.8
830966400,85.1
831052800,83.9
831139200,83.8
831225600,83.6
831312000,84.4
831398400,84.6
831484800,85.1
831571200,85.3
831657600,83.1
831744000,87.0
831830400,90.8
831916800,91.1
832003200,89.0
832089600,88.2
832176000,88.9
832262400,86.3
832348800,88.0
832435200,90.4
832521600,87.7
832608000,84.9
832694400,86.2
832780800,81.4
832867200,77.7
832953600,71.5
833040000,69.7
833126400,76.9
833212800,82.8
833299200,83.9
833385600,83.0
833472000,82.7
833558400,84.1
833644800,88.4
833731200,93.7
833817600,95.3
833904000,95.8
833990400,94.1
834076800,95.6
834163200,96.3
834249600,97.0
834336000,94.8
834422400,93.6
834508800,94.0
834595200,93.5
834681600,91.4
834768000,91.3
834854400,95.8
834940800,94.7
835027200,99.3
835113600,97.5
835200000,97.8
835286400,96.5
835372800,92.8
835459200,89.5
835545600,93.8
835632000,91.0
835718400,90.4
835804800,85.7
835891200,84.9
835977600,88.2
836064000,96.6
836150400,100.2
836236800,99.2
836323200,96.7
836409600,95.9
836496000,100.6
836582400,101.2
836668800,97.1
836755200,98.3
836841600,89.0
836928000,89.6
837014400,94.8
837100800,94.0
837187200,96.6
837273600,93.6
837360000,84.4
837446400,89.8
837532800,92.5
837619200,95.4
837705600,96.1
837792000,98.0
837878400,97.5
837964800,99.0
838051200,97.2
838137600,97.7
838224000,99.0
838310400,83.7
838396800,91.7
838483200,92.1
838569600,97.2
838656000,100.1
838742400,101.7
838828800,97.9
838915200,92.3
839001600,93.0
839088000,93.5
839174400,90.9
839260800,92.1
839347200,93.9
839433600,96.9
839520000,91.8
839606400,94.6
839692800,97.5
839779200,99.3
839865600,99.2
839952000,97.6
840038400,91.4
840124800,96.1
840211200,94.2
840297600,94.2
840384000,88.2
840470400,93.8
840556800,95.9
840643200,94.8
840729600,94.2
840816000,96.5
840902400,97.1
840988800,92.7
841075200,92.9
841161600,90.7
841248000,94.2
841334400,90.8
841420800,93.7
841507200,93.8
841593600,87.9
841680000,91.8
841766400,84.1
841852800,84.1
841939200,87.4
842025600,83.7
842112000,90.0
842198400,90.2
842284800,87.3
842371200,80.7
842457600,82.9
842544000,86.2
842630400,79.6
842716800,77.4
842803200,80.3
842889600,81.2
842976000,81.5
843062400,82.5
843148800,82.0
843235200,83.3
843321600,85.2
843408000,84.8
843494400,82.6
843580800,78.6
843667200,82.9
843753600,83.8
843840000,81.7
843926400,83.3
844012800,86.4
844099200,84.6
844185600,84.6
844272000,84.4
844358400,84.1
844444800,88.3
844531200,89.3
844617600,88.5
844704000,87.2
844790400,86.1
844876800,86.1
844963200,86.0
845049600,85.4
845136000,82.6
845222400,80.8
845308800,76.6
845395200,78.8
845481600,78.6
845568000,77.3
845654400,77.4
845740800,73.1
845827200,64.1
845913600,61.0
846000000,62.6
846086400,62.7
846172800,63.4
846259200,58.5
846345600,52.6
846432000,57.4
846518400,55.3
846604800,59.7
846691200,64.1
846777600,60.6
846864000,70.5
846950400,67.6
847036800,63.1
847123200,62.4
847209600,63.3
847296000,61.3
847382400,66.2
847468800,72.5
847555200,72.3
847641600,70.1
847728000,68.3
847814400,69.1
847900800,68.1
847987200,68.3
848073600,60.4
848160000,57.1
848246400,61.7
848332800,65.2
848419200,66.2
848505600,66.8
848592000,69.0
848678400,60.1
848764800,60.9
848851200,60.6
848937600,61.6
849024000,64.8
849110400,63.1
849196800,58.2
849283200,49.9
849369600,49.0
849456000,49.8
849542400,51.6
849628800,52.1
849715200,52.2
849801600,57.7
849888000,62.6
849974400,62.7
850060800,64.8
850147200,67.0
850233600,64.6
850320000,61.2
850406400,61.8
850492800,60.3
850579200,60.7
850665600,51.8
850752000,51.2
850838400,47.2
850924800,46.5
851011200,47.2
851097600,52.2
851184000,52.1
851270400,54.0
851356800,53.3
851443200,54.9
851529600,52.4
851616000,55.2
851702400,59.3
851788800,56.3
851875200,56.9
851961600,60.4
852048000,59.4
852134400,61.1
852220800,63.4
852307200,58.3
852393600,59.1
852480000,51.1
852566400,47.2
852652800,42.8
852739200,45.6
852825600,47.2
852912000,49.9
852998400,52.4
853084800,57.1
853171200,53.0
853257600,48.5
