timestamp,value
788889600,44.1
788976000,25.5
789062400,16.9
789148800,15.7
789235200,7.6
789321600,19.6
789408000,32.7
789494400,26.5
789580800,26.8
789667200,21.4
789753600,32.4
789840000,48.9
789926400,59.8
790012800,56.9
790099200,58.4
790185600,36.0
790272000,32.3
790358400,39.0
790444800,45.2
790531200,40.3
790617600,30.5
790704000,22.8
790790400,20.2
790876800,23.1
790963200,22.8
791049600,22.4
791136000,21.5
791222400,28.5
791308800,25.5
791395200,29.4
791481600,25.1
791568000,32.4
791654400,32.6
791740800,23.1
791827200,25.9
791913600,10.2
792000000,4.2
792086400,11.0
792172800,12.7
792259200,14.9
792345600,29.4
792432000,26.4
792518400,6.3
792604800,10.2
792691200,18.7
792777600,30.8
792864000,37.6
792950400,31.7
793036800,35.7
793123200,41.9
793209600,40.2
793296000,34.6
793382400,25.5
793468800,41.2
793555200,33.0
793641600,26.7
793728000,33.9
793814400,39.4
793900800,44.3
793987200,32.3
794073600,24.9
794160000,28.7
794246400,36.2
794332800,41.1
794419200,46.6
794505600,56.5
794592000,40.5
794678400,21.0
794764800,19.8
794851200,38.2
794937600,50.6
795024000,55.6
795110400,57.4
795196800,58.9
795283200,59.0
795369600,50.5
795456000,41.5
795542400,48.3
795628800,59.6
795715200,49.1
795801600,39.9
795888000,37.6
795974400,38.8
796060800,39.0
796147200,43.8
796233600,45.4
796320000,44.3
796406400,40.8
796492800,41.4
796579200,37.4
796665600,35.3
796752000,38.3
796838400,46.4
796924800,45.4
797011200,27.0
797097600,46.5
797184000,48.4
797270400,50.8
797356800,52.9
797443200,38.9
797529600,53.4
797616000,57.1
797702400,44.5
797788800,39.0
797875200,40.3
797961600,46.3
798048000,53.0
798134400,58.3
798220800,66.0
798307200,49.6
798393600,59.2
798480000,52.2
798566400,44.0
798652800,43.9
798739200,42.9
798825600,48.7
798912000,58.5
798998400,49.9
799084800,53.5
799171200,52.1
799257600,49.2
799344000,48.7
799430400,48.6
799516800,53.5
799603200,53.5
799689600,54.1
799776000,55.3
799862400,57.7
799948800,58.7
800035200,65.2
800121600,59.1
800208000,58.1
800294400,60.2
800380800,67.9
800467200,64.9
800553600,61.5
800640000,64.8
800726400,57.7
800812800,54.9
800899200,62.5
800985600,65.2
801072000,61.7
801158400,63.9
801244800,74.7
801331200,60.8
801417600,61.9
801504000,64.6
801590400,64.8
801676800,69.7
801763200,58.2
801849600,62.5
801936000,66.2
802022400,68.8
802108800,67.5
802195200,64.8
802281600,70.6
802368000,74.2
802454400,75.6
802540800,71.8
802627200,66.3
802713600,72.7
802800000,70.5
802886400,62.3
802972800,61.5
803059200,67.8
803145600,68.4
803232000,68.4
803318400,70.9
803404800,73.7
803491200,77.8
803577600,79.8
803664000,79.4
803750400,74.2
803836800,72.9
803923200,73.7
804009600,71.5
804096000,74.2
804182400,73.9
804268800,73.9
804355200,73.1
804441600,71.4
804528000,72.9
804614400,66.6
804700800,64.6
804787200,72.2
804873600,78.1
804960000,76.7
805046400,73.9
805132800,67.2
805219200,64.5
