timestamp,value
788889600,5.2
788976000,5.4
789062400,6.1
789148800,7.9
789235200,21.1
789321600,26.2
789408000,34.1
789494400,38.6
789580800,42.0
789667200,46.4
789753600,41.7
789840000,35.2
789926400,37.3
790012800,44.2
790099200,37.3
790185600,31.4
790272000,29.4
790358400,30.5
790444800,33.7
790531200,25.4
790617600,22.1
790704000,20.7
790790400,20.3
790876800,27.3
790963200,35.4
791049600,36.2
791136000,34.9
791222400,34.3
791308800,29.1
791395200,33.0
791481600,41.2
791568000,44.8
791654400,43.9
791740800,37.1
791827200,36.1
791913600,37.5
792000000,36.8
792086400,37.7
792172800,38.4
792259200,35.2
792345600,33.6
792432000,24.9
792518400,20.8
792604800,18.9
792691200,25.4
792777600,20.7
792864000,28.8
792950400,39.5
793036800,41.4
793123200,44.3
793209600,43.3
793296000,39.7
793382400,39.3
793468800,40.5
793555200,40.9
793641600,46.0
793728000,45.2
793814400,46.1
793900800,34.7
793987200,29.2
794073600,29.8
794160000,39.7
794246400,35.7
794332800,35.9
794419200,28.4
794505600,29.9
794592000,40.4
794678400,52.1
794764800,51.2
794851200,49.8
794937600,41.3
795024000,40.5
795110400,43.1
795196800,45.8
795283200,38.4
795369600,40.6
795456000,46.2
795542400,42.4
795628800,44.9
795715200,40.6
795801600,35.9
795888000,46.0
795974400,31.9
796060800,30.8
796147200,33.1
796233600,31.1
796320000,31.2
796406400,30.2
796492800,34.0
796579200,43.8
796665600,49.3
796752000,44.0
796838400,45.3
796924800,51.7
797011200,53.7
797097600,53.1
797184000,47.3
797270400,43.9
797356800,37.7
797443200,38.3
797529600,41.7
797616000,49.1
797702400,61.9
797788800,38.0
797875200,34.6
797961600,37.4
798048000,42.8
798134400,43.4
798220800,39.6
798307200,38.8
798393600,39.6
798480000,44.4
798566400,44.2
798652800,46.5
798739200,52.2
798825600,42.5
798912000,51.4
798998400,48.1
799084800,45.2
799171200,43.1
799257600,41.9
799344000,45.8
799430400,45.0
799516800,49.0
799603200,50.3
799689600,44.8
799776000,44.8
799862400,47.7
799948800,50.7
800035200,53.6
