timestamp,value
788889600,32.2
788976000,31.5
789062400,23.9
789148800,23.8
789235200,12.9
789321600,20.1
789408000,33.1
789494400,25.0
789580800,22.4
789667200,14.6
789753600,2.9
789840000,9.4
789926400,30.8
790012800,35.5
790099200,43.5
790185600,49.8
790272000,47.3
790358400,34.6
790444800,32.4
790531200,34.2
790617600,39.6
790704000,35.5
790790400,32.0
790876800,28.1
790963200,26.8
791049600,24.4
791136000,17.9
791222400,14.7
791308800,20.9
791395200,27.2
791481600,28.4
791568000,36.5
791654400,31.4
791740800,16.5
791827200,21.7
791913600,18.0
792000000,-0.4
792086400,-1.2
792172800,9.1
792259200,14.7
792345600,23.5
792432000,31.2
792518400,19.4
792604800,13.0
792691200,18.7
792777600,15.7
792864000,37.5
792950400,29.3
793036800,31.2
793123200,32.0
793209600,34.6
793296000,31.4
793382400,28.2
793468800,31.0
793555200,36.8
793641600,23.3
793728000,13.3
793814400,9.6
793900800,20.2
793987200,24.6
794073600,25.0
794160000,20.3
794246400,23.2
794332800,29.3
794419200,33.7
794505600,34.2
794592000,42.0
794678400,36.8
794764800,23.6
794851200,24.8
794937600,30.6
795024000,37.6
795110400,36.6
795196800,37.9
795283200,37.7
795369600,37.3
795456000,40.5
795542400,38.7
795628800,34.2
795715200,43.5
795801600,45.0
795888000,40.1
795974400,34.1
796060800,34.5
796147200,38.7
796233600,40.1
796320000,37.9
796406400,40.6
796492800,37.8
796579200,40.9
796665600,36.8
796752000,33.6
796838400,34.3
796924800,39.7
797011200,21.9
797097600,27.4
797184000,36.9
797270400,34.9
797356800,41.2
797443200,38.9
797529600,37.5
797616000,38.2
797702400,46.7
797788800,47.7
797875200,43.4
797961600,39.7
798048000,40.9
798134400,44.8
798220800,42.2
798307200,50.5
798393600,45.4
798480000,48.7
798566400,48.3
798652800,42.7
798739200,45.2
798825600,48.9
798912000,47.6
798998400,45.3
799084800,43.6
799171200,41.3
799257600,40.7
799344000,45.8
799430400,47.5
799516800,48.5
799603200,49.5
799689600,48.5
799776000,42.9
799862400,50.5
799948800,51.1
800035200,47.1
800121600,45.7
800208000,47.8
800294400,54.0
800380800,52.4
800467200,47.0
800553600,46.9
800640000,44.2
800726400,50.1
800812800,49.6
800899200,54.5
800985600,53.9
801072000,59.6
801158400,58.3
801244800,64.4
801331200,61.6
801417600,55.5
801504000,53.0
801590400,52.8
801676800,53.7
801763200,64.9
801849600,64.4
801936000,72.5
802022400,70.1
802108800,67.8
802195200,67.0
802281600,64.8
802368000,59.3
802454400,57.4
802540800,64.4
802627200,61.6
802713600,57.4
802800000,57.3
802886400,60.5
802972800,60.0
803059200,59.0
803145600,57.2
803232000,63.6
803318400,67.1
803404800,75.9
803491200,82.8
803577600,79.0
803664000,63.4
803750400,63.5
803836800,64.0
803923200,64.7
804009600,69.0
