timestamp,value
788889600,34.2
788976000,29.1
789062400,26.2
789148800,18.9
789235200,11.6
789321600,16.1
789408000,19.0
789494400,19.7
789580800,22.1
789667200,33.3
789753600,31.2
789840000,29.2
789926400,26.5
790012800,23.6
790099200,29.8
790185600,29.6
790272000,23.7
790358400,23.5
790444800,23.6
790531200,26.7
790617600,27.3
790704000,37.0
790790400,44.0
790876800,37.6
790963200,34.5
791049600,48.6
791136000,34.0
791222400,35.7
791308800,43.0
791395200,39.7
791481600,30.8
791568000,36.2
791654400,38.9
791740800,32.5
791827200,36.7
791913600,39.5
792000000,42.5
792086400,44.5
792172800,43.0
792259200,28.1
792345600,27.3
792432000,39.1
792518400,43.1
792604800,39.9
792691200,38.8
792777600,40.8
792864000,43.7
792950400,41.8
793036800,39.6
793123200,39.4
793209600,44.5
793296000,49.8
793382400,39.7
793468800,34.8
793555200,36.5
793641600,36.9
793728000,36.8
793814400,34.1
793900800,38.4
793987200,44.0
794073600,40.0
794160000,41.9
794246400,35.6
794332800,34.8
794419200,37.4
794505600,34.0
794592000,34.3
794678400,35.4
794764800,36.2
794851200,37.5
794937600,36.5
795024000,34.7
795110400,26.5
795196800,30.4
795283200,34.1
795369600,38.7
795456000,43.5
795542400,39.4
795628800,36.2
795715200,35.5
795801600,35.4
795888000,41.1
795974400,47.9
796060800,44.5
796147200,38.6
796233600,39.0
796320000,30.6
796406400,29.8
796492800,30.6
796579200,34.5
796665600,40.4
796752000,51.0
796838400,56.0
796924800,49.7
797011200,43.7
797097600,48.0
797184000,50.0
797270400,38.0
797356800,35.9
797443200,37.6
797529600,39.6
797616000,40.6
797702400,34.8
797788800,36.4
797875200,38.8
797961600,40.6
798048000,40.2
798134400,48.3
798220800,55.1
798307200,45.8
798393600,50.3
798480000,64.2
798566400,64.3
798652800,60.1
798739200,53.3
798825600,51.5
798912000,52.1
798998400,46.9
799084800,45.6
799171200,52.4
799257600,48.8
799344000,45.9
799430400,49.4
799516800,55.1
799603200,57.7
799689600,60.9
799776000,57.1
799862400,57.3
799948800,49.0
800035200,45.5
800121600,47.2
800208000,50.7
800294400,47.0
800380800,43.6
800467200,46.2
800553600,49.4
800640000,53.8
800726400,54.4
800812800,45.7
800899200,47.1
800985600,50.0
801072000,48.6
801158400,53.9
801244800,59.2
801331200,63.0
801417600,66.2
801504000,64.2
801590400,63.0
801676800,67.5
801763200,62.8
801849600,60.8
801936000,62.0
802022400,49.7
802108800,54.1
802195200,56.7
802281600,56.5
802368000,55.8
802454400,58.5
802540800,59.1
802627200,51.7
802713600,54.0
802800000,51.9
802886400,50.1
802972800,53.0
803059200,55.1
803145600,54.5
803232000,53.8
803318400,55.1
803404800,57.1
803491200,61.7
803577600,66.0
803664000,66.3
803750400,53.9
803836800,51.2
803923200,56.9
804009600,57.9
804096000,61.3
804182400,66.9
804268800,60.7
804355200,65.7
804441600,67.6
804528000,70.1
804614400,65.6
804700800,67.6
804787200,60.5
804873600,59.6
804960000,62.8
805046400,66.3
805132800,70.6
805219200,74.1
805305600,76.0
805392000,74.5
805478400,72.4
805564800,69.6
805651200,69.7
805737600,67.4
805824000,65.2
805910400,64.2
805996800,63.6
806083200,67.6
806169600,70.3
806256000,75.7
806342400,75.0
806428800,60.1
806515200,62.4
806601600,65.6
806688000,68.5
806774400,71.1
806860800,64.6
806947200,68.6
807033600,69.4
807120000,71.8
807206400,70.2
807292800,66.3
807379200,66.0
807465600,67.2
807552000,67.5
807638400,69.1
807724800,70.9
807811200,63.6
807897600,62.9
807984000,64.0
808070400,68.3
808156800,67.4
808243200,69.7
808329600,63.6
808416000,62.5
808502400,58.8
808588800,63.0
808675200,68.3
808761600,69.1
808848000,66.0
808934400,67.8
809020800,70.4
809107200,72.0
809193600,67.6
809280000,64.4
809366400,60.6
809452800,56.6
809539200,51.2
809625600,50.4
809712000,51.0
809798400,49.2
809884800,51.2
809971200,50.6
810057600,53.1
810144000,55.0
810230400,55.5
810316800,55.5
810403200,59.4
810489600,58.4
810576000,59.2
810662400,59.2
810748800,59.4
810835200,61.8
810921600,63.8
811008000,58.2
811094400,52.9
811180800,53.8
811267200,54.1
811353600,54.8
811440000,55.7
811526400,56.7
811612800,51.0
811699200,50.5
811785600,52.7
811872000,55.7
811958400,54.0
812044800,53.5
812131200,53.9
812217600,46.2
812304000,43.8
812390400,43.9
812476800,43.7
812563200,55.3
812649600,57.7
812736000,58.4
812822400,56.8
812908800,57.7
812995200,57.3
813081600,58.2
813168000,55.0
813254400,55.7
813340800,52.0
813427200,51.9
813513600,52.0
813600000,51.5
813686400,49.0
813772800,47.5
813859200,50.5
813945600,53.5
814032000,54.0
814118400,50.0
814204800,42.5
814291200,38.1
814377600,40.4
814464000,38.8
814550400,40.4
814636800,48.5
814723200,47.5
814809600,48.7
814896000,49.4
814982400,50.6
815068800,45.5
815155200,45.7
815241600,38.4
815328000,37.0
815414400,31.3
815500800,29.0
815587200,31.0
815673600,35.3
815760000,31.1
815846400,37.1
815932800,38.5
816019200,35.5
816105600,35.5
816192000,38.0
816278400,39.0
816364800,45.7
816451200,48.9
816537600,40.9
816624000,28.1
816710400,32.9
816796800,28.3
816883200,22.5
816969600,19.1
817056000,28.4
817142400,31.3
817228800,28.2
817315200,25.9
817401600,26.9
817488000,29.6
817574400,30.8
817660800,31.6
817747200,27.9
817833600,29.4
817920000,30.8
818006400,26.4
818092800,22.1
818179200,22.3
818265600,30.1
818352000,32.1
818438400,29.8
818524800,27.9
818611200,30.6
818697600,30.0
818784000,26.2
818870400,23.9
818956800,27.1
819043200,29.7
819129600,28.9
819216000,30.6
819302400,34.0
819388800,32.9
819475200,20.5
819561600,28.3
819648000,45.3
819734400,36.8
819820800,31.3
819907200,29.0
819993600,20.5
820080000,11.3
820166400,7.6
820252800,12.6
820339200,22.4
820425600,24.3
820512000,21.1
820598400,23.3
820684800,23.4
820771200,17.1
820857600,23.0
820944000,26.4
821030400,30.1
821116800,31.5
821203200,32.7
821289600,31.4
821376000,33.8
821462400,33.5
821548800,32.0
821635200,29.2
821721600,25.0
821808000,22.0
821894400,23.0
821980800,23.0
822067200,22.9
822153600,22.8
822240000,18.7
822326400,21.2
822412800,19.8
822499200,11.5
822585600,14.3
822672000,17.9
822758400,18.9
822844800,22.4
822931200,18.5
823017600,15.0
823104000,14.3
823190400,16.7
823276800,24.0
823363200,22.7
823449600,22.6
823536000,17.6
823622400,12.6
823708800,17.8
823795200,11.1
823881600,12.1
823968000,22.8
824054400,29.1
824140800,28.9
824227200,27.3
824313600,26.1
824400000,30.8
824486400,35.0
824572800,34.5
824659200,35.0
824745600,31.6
824832000,23.5
824918400,20.8
825004800,20.3
825091200,24.3
825177600,31.2
825264000,29.2
825350400,29.3
825436800,30.1
825523200,33.9
825609600,29.7
825696000,27.5
825782400,24.3
825868800,22.9
825955200,25.8
826041600,31.9
826128000,32.2
826214400,28.4
826300800,27.0
826387200,25.8
826473600,22.4
826560000,22.2
826646400,24.9
826732800,26.3
826819200,30.7
826905600,35.1
826992000,34.6
827078400,35.9
827164800,35.6
827251200,34.6
827337600,36.2
827424000,36.3
827510400,38.6
827596800,41.8
827683200,37.5
827769600,36.7
827856000,32.1
827942400,34.0
828028800,34.1
828115200,32.5
828201600,29.2
828288000,30.1
828374400,33.0
828460800,30.2
828547200,32.4
828633600,37.1
828720000,44.0
828806400,46.7
828892800,48.7
828979200,46.4
829065600,46.1
829152000,44.9
829238400,28.9
829324800,32.3
829411200,38.6
829497600,42.0
829584000,45.0
829670400,47.7
829756800,52.1
829843200,56.4
829929600,59.7
830016000,61.8
830102400,62.7
830188800,65.0
830275200,54.6
830361600,54.3
830448000,54.7
830534400,54.2
830620800,55.5
830707200,48.5
830793600,49.5
830880000,54.1
830966400,53.6
831052800,51.6
831139200,50.1
831225600,46.9
831312000,49.7
831398400,54.4
831484800,51.4
831571200,44.2
831657600,43.0
831744000,48.0
831830400,50.2
831916800,53.6
832003200,54.9
832089600,53.8
832176000,50.2
832262400,56.6
832348800,61.8
832435200,61.3
832521600,54.4
832608000,54.3
832694400,49.4
832780800,50.6
832867200,58.9
832953600,58.1
833040000,54.4
833126400,55.7
833212800,46.6
833299200,51.4
833385600,60.5
833472000,66.7
833558400,68.2
833644800,61.2
833731200,58.4
833817600,56.3
833904000,60.1
833990400,66.1
834076800,71.8
