timestamp,value
788889600,14.0
788976000,23.5
789062400,20.2
789148800,15.1
789235200,15.5
789321600,34.0
789408000,26.5
789494400,49.3
789580800,40.7
789667200,46.6
789753600,43.2
789840000,42.7
789926400,32.2
790012800,32.1
790099200,37.9
790185600,44.7
790272000,23.5
790358400,23.4
790444800,24.3
790531200,26.6
790617600,26.9
790704000,25.1
790790400,21.4
790876800,28.7
790963200,29.8
791049600,32.4
791136000,41.1
791222400,40.1
791308800,33.9
791395200,28.6
791481600,36.9
791568000,44.0
791654400,49.4
791740800,40.7
791827200,41.0
791913600,35.9
792000000,33.0
792086400,34.3
792172800,30.0
792259200,34.9
792345600,36.4
792432000,18.9
792518400,12.3
792604800,8.5
792691200,17.7
792777600,32.8
792864000,27.8
792950400,31.0
793036800,47.0
793123200,39.2
793209600,45.6
793296000,45.3
793382400,48.2
793468800,43.8
793555200,45.8
793641600,47.8
793728000,54.3
793814400,49.8
793900800,30.5
793987200,17.3
794073600,12.1
794160000,20.1
794246400,36.7
794332800,44.0
794419200,37.4
794505600,26.2
794592000,29.0
794678400,43.9
794764800,57.1
794851200,59.0
794937600,56.6
795024000,47.6
795110400,44.6
795196800,46.0
795283200,50.2
795369600,51.4
795456000,52.2
795542400,54.0
795628800,44.7
795715200,53.0
795801600,63.7
795888000,46.4
795974400,59.1
796060800,48.7
796147200,40.2
796233600,35.3
796320000,32.3
796406400,29.1
796492800,31.2
796579200,34.5
796665600,43.2
796752000,46.7
796838400,48.9
796924800,46.7
797011200,55.4
797097600,56.3
797184000,57.7
797270400,59.8
797356800,47.4
797443200,30.4
797529600,26.4
797616000,36.3
797702400,46.1
797788800,55.6
797875200,45.5
797961600,53.3
798048000,39.6
798134400,39.0
798220800,36.0
798307200,36.5
798393600,36.0
798480000,32.8
798566400,32.4
798652800,42.8
798739200,49.6
798825600,44.8
798912000,43.6
798998400,52.3
799084800,52.0
799171200,50.9
799257600,46.8
799344000,49.7
799430400,54.1
799516800,50.6
799603200,54.7
799689600,54.6
799776000,55.2
799862400,53.5
799948800,53.2
800035200,54.5
800121600,57.2
800208000,58.1
800294400,56.1
800380800,53.8
800467200,61.3
800553600,67.3
800640000,48.8
800726400,48.4
800812800,58.6
800899200,56.4
800985600,59.0
801072000,60.4
801158400,49.0
801244800,44.2
801331200,46.2
801417600,53.3
801504000,53.7
801590400,51.6
801676800,52.1
801763200,51.4
801849600,54.6
801936000,60.0
802022400,63.8
802108800,60.4
802195200,59.6
802281600,61.3
802368000,66.5
802454400,64.1
802540800,58.6
802627200,56.6
802713600,55.6
802800000,59.1
802886400,65.9
802972800,71.2
803059200,72.4
803145600,75.0
803232000,70.3
803318400,70.8
803404800,68.1
803491200,70.0
803577600,71.7
803664000,71.9
803750400,69.6
803836800,70.0
803923200,60.1
804009600,63.1
804096000,65.8
804182400,69.8
804268800,70.6
804355200,57.6
804441600,53.6
804528000,59.2
804614400,61.7
804700800,66.1
804787200,60.0
804873600,62.0
804960000,69.6
805046400,75.8
805132800,76.6
805219200,75.2
805305600,76.7
805392000,77.5
805478400,79.7
805564800,79.0
805651200,68.4
805737600,70.5
805824000,70.9
805910400,69.0
805996800,65.1
806083200,70.4
806169600,69.1
806256000,70.2
806342400,71.2
806428800,69.5
806515200,68.3
806601600,73.2
806688000,76.8
806774400,78.3
806860800,76.3
806947200,80.4
807033600,78.2
807120000,72.0
807206400,62.5
807292800,71.7
807379200,75.7
807465600,74.2
807552000,72.9
807638400,74.6
807724800,81.2
807811200,81.7
807897600,79.9
807984000,76.7
808070400,82.0
808156800,81.0
808243200,79.0
808329600,75.3
808416000,69.7
808502400,76.7
808588800,79.5
808675200,82.7
808761600,71.2
808848000,69.0
808934400,71.3
809020800,82.9
809107200,75.8
809193600,74.8
809280000,76.0
809366400,69.5
809452800,71.0
809539200,72.1
809625600,72.9
809712000,73.0
809798400,75.5
809884800,76.9
809971200,78.9
810057600,73.2
810144000,77.6
810230400,75.7
810316800,76.5
810403200,61.8
810489600,59.8
810576000,60.3
810662400,60.4
810748800,62.8
810835200,64.5
810921600,64.1
811008000,64.6
811094400,63.5
811180800,70.1
811267200,65.2
811353600,67.1
811440000,60.9
811526400,56.9
811612800,37.0
811699200,41.9
811785600,49.0
811872000,51.8
811958400,46.4
812044800,51.1
812131200,62.1
812217600,62.3
812304000,57.7
812390400,57.4
812476800,54.9
812563200,51.3
812649600,52.1
812736000,52.9
812822400,42.0
812908800,44.8
812995200,46.9
813081600,53.9
813168000,52.0
813254400,53.2
813340800,56.4
813427200,61.3
813513600,56.6
813600000,44.3
813686400,53.0
813772800,57.5
813859200,61.9
813945600,54.7
814032000,54.3
814118400,41.4
814204800,48.1
814291200,48.8
814377600,42.1
814464000,35.7
814550400,39.7
814636800,50.6
814723200,48.0
814809600,40.3
814896000,43.2
814982400,39.8
815068800,36.3
815155200,38.8
815241600,24.9
815328000,27.0
815414400,28.3
815500800,37.4
815587200,52.4
815673600,42.7
815760000,41.0
815846400,48.4
815932800,42.4
816019200,29.2
816105600,50.9
816192000,43.4
816278400,40.3
816364800,43.6
816451200,46.8
816537600,48.7
816624000,44.1
816710400,46.3
816796800,38.8
816883200,36.1
816969600,50.6
817056000,40.8
817142400,43.7
817228800,49.4
817315200,51.5
817401600,38.8
817488000,27.1
817574400,37.2
817660800,55.9
817747200,54.8
817833600,53.1
817920000,44.1
818006400,39.2
818092800,44.8
818179200,33.2
818265600,25.6
818352000,25.4
818438400,12.3
818524800,25.7
818611200,42.4
818697600,46.2
818784000,52.4
818870400,39.8
818956800,32.1
819043200,32.0
819129600,35.8
819216000,30.8
819302400,19.3
819388800,20.9
819475200,23.3
819561600,26.1
819648000,17.1
819734400,19.4
819820800,25.8
819907200,30.1
819993600,24.2
820080000,21.8
820166400,27.0
820252800,22.1
820339200,31.2
820425600,31.7
820512000,22.3
820598400,24.5
820684800,38.1
820771200,18.6
820857600,12.0
820944000,18.2
821030400,34.0
821116800,38.2
821203200,38.1
821289600,30.6
821376000,34.9
821462400,41.8
821548800,39.5
821635200,35.4
821721600,53.3
821808000,40.7
821894400,10.9
821980800,13.5
822067200,31.6
822153600,32.3
822240000,32.3
822326400,19.2
822412800,25.5
822499200,41.2
822585600,10.4
822672000,12.4
822758400,33.3
822844800,25.3
822931200,14.5
823017600,8.5
823104000,12.5
823190400,3.8
823276800,-7.3
823363200,7.3
823449600,41.2
823536000,40.9
823622400,56.3
823708800,45.9
823795200,45.8
823881600,42.4
823968000,31.0
824054400,32.1
824140800,35.9
824227200,44.8
824313600,36.6
824400000,30.3
824486400,39.9
824572800,44.4
824659200,40.5
824745600,48.6
824832000,50.3
824918400,60.4
825004800,48.1
825091200,39.6
825177600,52.5
825264000,31.4
