timestamp,value
788889600,24.0
788976000,31.4
789062400,32.5
789148800,24.3
789235200,23.0
789321600,25.2
789408000,33.6
789494400,39.5
789580800,21.4
789667200,17.9
789753600,16.9
789840000,21.3
789926400,18.8
790012800,17.0
790099200,22.4
790185600,22.7
790272000,23.6
790358400,21.7
790444800,20.7
790531200,29.0
790617600,33.7
790704000,33.3
790790400,25.1
790876800,25.0
790963200,26.9
791049600,14.1
791136000,18.5
791222400,18.0
791308800,15.4
791395200,14.5
791481600,23.2
791568000,22.2
791654400,24.7
791740800,23.4
791827200,19.7
791913600,21.5
792000000,22.9
792086400,31.8
792172800,33.9
792259200,31.5
792345600,30.3
792432000,35.6
792518400,33.9
792604800,28.7
792691200,30.3
792777600,25.5
792864000,26.5
792950400,29.4
793036800,34.8
793123200,34.4
793209600,30.9
793296000,27.3
793382400,32.3
793468800,31.2
793555200,35.7
793641600,32.9
793728000,30.2
793814400,35.6
793900800,30.2
793987200,29.5
794073600,32.1
794160000,31.2
794246400,29.7
794332800,37.5
794419200,41.5
794505600,41.5
794592000,44.1
794678400,43.3
794764800,32.9
794851200,38.1
794937600,38.2
795024000,38.5
795110400,40.2
795196800,47.2
795283200,35.6
795369600,28.3
795456000,33.3
795542400,40.7
795628800,49.0
795715200,47.5
795801600,44.5
795888000,44.0
795974400,42.1
796060800,37.1
796147200,40.1
796233600,38.1
796320000,41.0
796406400,38.8
796492800,48.5
796579200,40.8
796665600,38.9
796752000,36.6
796838400,43.2
796924800,46.7
797011200,45.5
797097600,44.1
797184000,50.0
797270400,48.4
797356800,43.9
797443200,42.7
797529600,39.4
797616000,46.0
797702400,54.4
797788800,55.0
797875200,57.1
797961600,48.2
798048000,53.2
798134400,47.4
798220800,49.3
798307200,52.6
798393600,52.4
798480000,53.1
798566400,52.2
798652800,55.4
798739200,51.6
798825600,55.5
798912000,55.0
798998400,57.4
799084800,60.5
799171200,58.1
799257600,66.2
799344000,54.0
799430400,50.6
799516800,54.0
799603200,52.2
799689600,58.0
799776000,63.4
799862400,64.7
799948800,65.2
800035200,52.5
800121600,55.5
800208000,62.2
800294400,58.1
800380800,54.8
800467200,66.3
800553600,64.8
800640000,67.0
800726400,69.1
800812800,64.0
800899200,62.4
800985600,62.8
801072000,61.9
801158400,66.6
801244800,69.1
801331200,61.8
801417600,61.1
801504000,66.0
801590400,58.9
801676800,59.5
801763200,62.8
801849600,66.0
801936000,68.1
802022400,61.0
802108800,63.4
802195200,63.1
802281600,67.0
802368000,69.5
802454400,71.4
802540800,71.3
802627200,72.4
802713600,72.8
802800000,70.7
802886400,69.9
802972800,71.9
803059200,73.5
803145600,71.4
803232000,71.0
803318400,72.5
803404800,63.6
803491200,66.3
803577600,72.6
803664000,73.9
803750400,66.4
803836800,70.2
803923200,69.2
804009600,67.5
804096000,69.8
804182400,70.2
804268800,72.4
804355200,74.0
804441600,68.1
804528000,72.0
804614400,71.1
804700800,70.2
804787200,71.8
804873600,73.9
804960000,74.8
805046400,75.0
805132800,71.2
805219200,71.5
805305600,77.5
805392000,77.8
805478400,76.6
805564800,75.9
805651200,77.8
805737600,74.9
805824000,73.9
805910400,72.2
805996800,71.6
806083200,66.3
806169600,70.9
806256000,72.9
806342400,77.1
806428800,80.5
806515200,80.5
806601600,80.5
806688000,80.0
806774400,78.0
806860800,79.2
806947200,79.0
807033600,81.3
807120000,79.1
807206400,77.9
807292800,77.8
807379200,79.5
807465600,76.1
807552000,78.5
807638400,80.1
807724800,81.2
807811200,73.5
807897600,78.4
807984000,76.8
808070400,80.0
808156800,77.2
808243200,80.2
808329600,81.2
808416000,80.3
808502400,80.4
808588800,80.5
808675200,78.2
808761600,73.1
808848000,75.5
808934400,76.6
809020800,77.2
809107200,73.7
809193600,75.8
809280000,75.0
809366400,73.7
809452800,75.5
809539200,77.2
809625600,74.9
809712000,77.1
809798400,75.6
809884800,76.2
809971200,76.6
810057600,72.1
810144000,68.4
810230400,68.6
810316800,65.6
810403200,66.6
810489600,72.5
810576000,64.8
810662400,61.7
810748800,63.5
810835200,66.9
810921600,66.8
811008000,61.8
811094400,63.2
811180800,66.5
811267200,61.1
811353600,67.6
811440000,61.3
811526400,64.9
811612800,69.0
811699200,61.2
811785600,71.5
811872000,64.6
811958400,60.3
812044800,55.6
812131200,59.2
812217600,63.3
812304000,64.1
812390400,64.2
812476800,62.4
812563200,65.8
812649600,56.3
812736000,56.4
812822400,47.0
812908800,51.9
812995200,56.9
813081600,59.3
813168000,54.2
813254400,57.4
813340800,58.7
813427200,60.1
813513600,61.1
813600000,63.2
813686400,59.6
813772800,53.8
813859200,55.3
813945600,55.6
814032000,56.9
814118400,57.7
814204800,56.6
814291200,56.6
814377600,57.0
814464000,50.9
814550400,52.2
814636800,53.5
814723200,55.4
814809600,53.8
814896000,56.1
814982400,48.9
815068800,40.4
815155200,33.8
815241600,39.2
815328000,43.6
815414400,43.9
815500800,52.1
815587200,57.7
815673600,35.9
815760000,29.9
815846400,35.3
815932800,38.2
816019200,43.5
816105600,52.0
816192000,50.4
816278400,35.7
816364800,37.0
816451200,48.5
816537600,45.6
816624000,45.9
816710400,40.3
816796800,30.8
816883200,37.2
816969600,41.1
817056000,26.4
817142400,29.1
817228800,36.6
817315200,32.8
817401600,30.9
817488000,31.4
817574400,33.2
817660800,34.3
817747200,31.8
817833600,30.9
817920000,29.7
818006400,25.7
818092800,24.4
818179200,24.1
818265600,24.8
818352000,24.6
818438400,32.5
818524800,38.0
818611200,34.8
818697600,30.3
818784000,30.2
818870400,28.5
818956800,23.8
819043200,25.6
819129600,24.2
819216000,25.2
819302400,25.2
819388800,27.2
819475200,24.7
819561600,28.8
819648000,25.0
819734400,17.7
819820800,16.0
819907200,18.1
819993600,27.0
820080000,23.8
820166400,14.8
820252800,19.1
820339200,21.6
820425600,25.1
820512000,31.2
820598400,14.4
