timestamp,value
788889600,18.0
788976000,21.7
789062400,14.5
789148800,13.2
789235200,-1.1
789321600,20.3
789408000,23.5
789494400,7.3
789580800,9.9
789667200,-8.1
789753600,-11.7
789840000,4.1
789926400,17.5
790012800,25.6
790099200,32.4
790185600,37.0
790272000,28.6
790358400,26.6
790444800,29.9
790531200,33.2
790617600,31.3
790704000,26.7
790790400,24.2
790876800,22.4
790963200,18.5
791049600,9.4
791136000,3.6
791222400,7.0
791308800,11.2
791395200,16.9
791481600,11.4
791568000,20.9
791654400,15.5
791740800,3.6
791827200,5.1
791913600,11.9
792000000,-13.0
792086400,-9.9
792172800,-5.7
792259200,7.9
792345600,10.2
792432000,15.0
792518400,6.3
792604800,-0.5
792691200,12.5
792777600,8.3
792864000,24.6
792950400,13.2
793036800,22.7
793123200,23.8
793209600,18.1
793296000,19.8
793382400,14.1
793468800,18.5
793555200,26.4
793641600,6.0
793728000,-3.1
793814400,-3.0
793900800,15.1
793987200,19.1
794073600,14.0
794160000,4.2
794246400,10.5
794332800,14.3
794419200,16.5
794505600,17.0
794592000,28.2
794678400,22.6
794764800,13.3
794851200,10.2
794937600,17.1
795024000,33.4
795110400,33.4
795196800,34.2
795283200,33.4
795369600,34.0
795456000,34.2
795542400,32.1
795628800,32.7
795715200,37.7
795801600,35.9
795888000,31.5
795974400,25.1
796060800,27.2
796147200,32.9
796233600,32.4
796320000,30.4
796406400,34.1
796492800,36.3
796579200,34.6
796665600,28.5
796752000,29.2
796838400,31.0
796924800,35.1
797011200,7.6
797097600,14.7
797184000,26.2
797270400,31.0
797356800,35.8
797443200,28.8
797529600,35.1
797616000,38.4
797702400,40.3
797788800,39.9
797875200,35.0
797961600,31.7
798048000,38.7
798134400,39.8
798220800,38.9
798307200,43.2
798393600,41.4
798480000,43.1
798566400,36.1
798652800,37.1
798739200,39.5
798825600,40.7
798912000,41.4
798998400,42.8
799084800,40.4
799171200,43.6
799257600,51.8
799344000,49.5
799430400,48.9
799516800,50.9
799603200,53.1
799689600,44.3
799776000,36.0
799862400,48.2
799948800,52.0
800035200,51.7
800121600,51.7
800208000,48.7
800294400,51.4
800380800,55.5
800467200,51.5
800553600,47.9
800640000,46.0
800726400,47.7
800812800,51.8
800899200,51.4
800985600,53.2
801072000,51.7
801158400,54.3
801244800,56.5
801331200,56.0
801417600,57.9
801504000,57.2
801590400,58.5
801676800,55.4
801763200,57.8
801849600,62.6
801936000,68.8
802022400,69.3
802108800,58.3
802195200,60.7
802281600,56.4
802368000,54.4
802454400,67.7
802540800,57.5
802627200,58.3
802713600,61.0
802800000,57.5
802886400,62.0
802972800,61.0
803059200,62.9
803145600,63.7
803232000,62.9
803318400,64.7
803404800,69.6
803491200,77.1
803577600,66.6
803664000,62.7
803750400,67.6
803836800,69.4
803923200,74.8
804009600,74.6
804096000,67.8
804182400,67.9
804268800,70.3
804355200,71.1
804441600,67.6
804528000,66.2
804614400,65.8
804700800,66.9
804787200,68.4
804873600,72.1
804960000,79.1
805046400,75.3
805132800,70.3
805219200,65.0
805305600,65.0
805392000,64.5
805478400,67.6
805564800,71.2
805651200,81.0
805737600,75.3
805824000,65.3
805910400,64.5
805996800,60.2
806083200,67.1
806169600,65.1
806256000,67.4
806342400,69.4
806428800,68.2
806515200,69.8
806601600,71.8
806688000,72.2
806774400,71.5
806860800,70.7
806947200,74.1
807033600,70.7
807120000,71.0
807206400,74.5
807292800,63.7
807379200,65.4
807465600,72.3
807552000,68.3
807638400,67.2
807724800,67.7
807811200,68.9
807897600,70.7
807984000,71.7
808070400,71.3
808156800,71.2
808243200,67.5
808329600,68.7
808416000,64.8
808502400,74.5
808588800,72.4
808675200,68.4
808761600,64.7
808848000,67.3
808934400,74.1
809020800,63.2
809107200,60.1
809193600,58.4
809280000,58.7
809366400,57.0
809452800,64.2
809539200,58.8
809625600,63.4
809712000,62.9
809798400,59.9
809884800,61.5
809971200,56.0
810057600,57.2
810144000,61.1
810230400,61.6
810316800,54.2
810403200,53.4
810489600,47.1
810576000,50.9
810662400,52.9
810748800,47.4
810835200,58.8
810921600,63.3
811008000,62.5
811094400,53.4
811180800,49.1
811267200,58.2
811353600,52.6
811440000,48.3
811526400,51.9
811612800,54.2
811699200,52.7
811785600,51.1
811872000,42.7
811958400,46.5
812044800,52.0
812131200,53.7
812217600,47.0
812304000,44.0
812390400,49.6
812476800,54.8
812563200,55.4
812649600,55.4
812736000,49.2
812822400,48.6
812908800,47.9
812995200,47.6
813081600,49.7
813168000,50.5
813254400,49.4
813340800,49.4
813427200,55.9
813513600,58.5
813600000,56.1
813686400,52.2
813772800,44.0
813859200,42.8
813945600,45.4
814032000,45.9
814118400,45.6
814204800,55.6
814291200,53.8
814377600,49.0
814464000,46.9
814550400,48.1
814636800,41.5
814723200,43.8
814809600,50.9
814896000,45.4
814982400,34.9
815068800,30.5
815155200,31.3
815241600,34.9
815328000,40.2
815414400,35.1
815500800,29.8
815587200,37.2
815673600,38.6
815760000,36.5
815846400,24.7
815932800,19.3
816019200,33.9
816105600,45.0
816192000,25.1
816278400,30.1
816364800,34.8
816451200,37.2
816537600,28.4
816624000,21.5
816710400,26.8
816796800,30.8
816883200,32.9
816969600,33.6
817056000,26.4
817142400,21.3
817228800,12.8
817315200,24.3
817401600,13.8
817488000,21.6
817574400,10.8
817660800,6.2
817747200,15.6
817833600,21.4
817920000,7.2
818006400,18.9
818092800,13.9
818179200,22.5
818265600,15.1
818352000,4.0
818438400,4.2
818524800,14.9
818611200,4.7
818697600,-0.7
818784000,4.0
818870400,0.9
818956800,15.4
819043200,17.7
819129600,16.6
819216000,13.9
819302400,7.3
819388800,12.6
819475200,24.9
819561600,35.1
819648000,31.6
819734400,27.2
819820800,18.1
819907200,20.0
819993600,26.4
820080000,24.1
820166400,15.4
820252800,7.0
820339200,15.3
820425600,5.1
820512000,-3.4
820598400,-7.0
820684800,-10.4
820771200,-11.0
820857600,-6.6
820944000,-7.6
821030400,-4.0
821116800,3.3
821203200,12.1
821289600,5.5
821376000,6.9
821462400,17.7
821548800,8.1
821635200,-0.1
821721600,-5.7
821808000,24.9
821894400,34.0
821980800,39.3
822067200,19.4
822153600,5.5
822240000,18.0
822326400,26.6
822412800,28.9
822499200,17.2
822585600,2.5
822672000,22.3
822758400,19.4
822844800,1.1
822931200,16.2
823017600,4.1
823104000,-8.5
823190400,-0.9
823276800,-5.5
823363200,-11.3
823449600,-7.0
823536000,1.4
823622400,3.7
823708800,25.5
823795200,32.1
823881600,23.1
823968000,15.0
824054400,8.3
824140800,-8.4
824227200,-0.3
824313600,4.7
824400000,8.0
824486400,16.9
824572800,8.2
824659200,-0.6
824745600,21.7
824832000,37.1
824918400,36.9
825004800,34.5
825091200,34.3
825177600,35.3
825264000,29.9
825350400,22.5
825436800,25.3
825523200,11.7
825609600,12.5
825696000,22.5
825782400,24.5
825868800,10.5
825955200,9.7
826041600,14.7
826128000,11.0
826214400,13.6
826300800,10.2
826387200,12.4
826473600,23.1
826560000,27.1
826646400,34.5
826732800,37.9
826819200,33.9
826905600,25.1
826992000,24.7
827078400,29.0
827164800,31.4
827251200,32.0
827337600,33.2
827424000,32.7
827510400,29.5
827596800,25.8
827683200,33.1
827769600,36.5
827856000,19.3
827942400,18.1
828028800,25.1
828115200,28.1
828201600,29.8
828288000,36.1
828374400,35.7
828460800,27.8
828547200,26.0
828633600,30.2
828720000,34.0
828806400,35.6
828892800,35.1
828979200,34.3
829065600,32.8
829152000,41.0
829238400,43.2
829324800,34.2
829411200,35.5
829497600,35.5
829584000,38.0
829670400,37.0
829756800,40.2
829843200,40.0
829929600,41.8
830016000,47.5
830102400,49.2
830188800,48.5
830275200,39.8
830361600,38.3
830448000,45.6
830534400,41.1
830620800,37.1
830707200,43.8
830793600,44.9
830880000,48.5
830966400,49.2
831052800,47.7
831139200,50.4
831225600,44.7
831312000,42.5
831398400,49.7
831484800,56.5
831571200,53.0
831657600,57.5
831744000,47.7
831830400,39.8
831916800,40.9
832003200,44.8
832089600,50.2
832176000,53.0
832262400,57.6
832348800,57.3
832435200,53.0
832521600,54.1
832608000,53.5
832694400,54.6
832780800,56.8
832867200,48.5
832953600,44.5
833040000,47.0
833126400,51.3
833212800,56.1
833299200,48.9
833385600,51.8
833472000,58.1
833558400,63.4
833644800,64.1
833731200,70.3
833817600,63.5
833904000,63.9
833990400,63.1
834076800,61.0
834163200,60.4
834249600,62.1
834336000,67.9
834422400,75.2
834508800,74.9
834595200,70.7
834681600,67.4
834768000,64.0
834854400,59.9
834940800,64.5
835027200,63.6
835113600,66.4
835200000,63.5
835286400,55.6
835372800,53.8
835459200,55.6
835545600,56.1
835632000,59.7
835718400,58.6
835804800,64.2
835891200,64.4
835977600,61.2
836064000,62.8
836150400,70.8
836236800,70.7
836323200,66.1
836409600,61.5
836496000,62.6
836582400,64.6
836668800,61.6
836755200,62.4
836841600,63.3
836928000,61.9
837014400,63.7
837100800,65.0
837187200,69.1
837273600,72.5
837360000,69.5
837446400,71.3
837532800,69.8
837619200,71.1
837705600,64.9
837792000,57.5
837878400,62.4
837964800,64.2
838051200,66.1
838137600,68.1
838224000,67.2
838310400,68.3
838396800,65.4
838483200,65.0
838569600,64.8
838656000,67.2
838742400,67.5
838828800,65.0
838915200,66.8
839001600,67.1
839088000,70.1
839174400,71.1
839260800,72.6
839347200,73.5
839433600,72.8
839520000,71.4
839606400,66.9
839692800,60.2
839779200,61.7
839865600,67.6
839952000,63.6
840038400,64.3
840124800,66.2
840211200,67.5
840297600,64.6
840384000,61.2
840470400,63.8
840556800,70.2
840643200,66.1
840729600,67.3
840816000,65.5
840902400,64.1
840988800,59.9
841075200,58.5
841161600,60.7
841248000,62.5
841334400,54.8
841420800,63.5
841507200,67.4
841593600,64.3
841680000,59.3
841766400,64.2
841852800,70.6
841939200,69.2
842025600,61.3
842112000,59.4
842198400,59.5
842284800,62.9
842371200,62.6
842457600,58.3
842544000,59.7
842630400,53.2
842716800,51.5
842803200,54.5
842889600,56.3
842976000,56.4
843062400,53.7
843148800,56.3
843235200,57.5
843321600,50.2
843408000,48.2
843494400,47.6
843580800,51.0
843667200,50.3
843753600,48.5
843840000,56.8
843926400,57.2
844012800,51.9
844099200,46.7
844185600,53.2
844272000,47.4
844358400,36.1
844444800,37.8
844531200,42.0
844617600,47.5
844704000,51.6
844790400,48.2
844876800,46.1
844963200,38.4
845049600,37.1
845136000,43.7
845222400,45.3
845308800,33.9
845395200,35.8
845481600,38.5
845568000,37.8
845654400,43.7
845740800,43.9
845827200,45.4
845913600,43.8
846000000,45.0
846086400,47.1
846172800,48.8
846259200,44.5
846345600,39.7
846432000,44.2
846518400,39.4
846604800,31.2
846691200,38.4
846777600,34.9
846864000,34.1
846950400,25.3
847036800,29.1
847123200,35.2
847209600,36.4
847296000,39.4
847382400,54.7
847468800,58.6
847555200,39.1
847641600,35.7
847728000,29.5
847814400,23.5
847900800,17.7
847987200,16.9
848073600,18.7
848160000,27.1
848246400,34.5
848332800,35.4
848419200,32.9
848505600,32.9
848592000,32.9
848678400,29.1
848764800,11.7
848851200,15.3
848937600,20.1
849024000,20.7
849110400,21.8
849196800,17.1
849283200,22.7
849369600,31.6
849456000,39.5
849542400,34.1
849628800,31.6
849715200,29.1
849801600,25.2
849888000,27.4
849974400,31.8
850060800,30.5
850147200,24.9
850233600,20.8
850320000,27.5
850406400,30.8
850492800,32.2
850579200,33.9
850665600,33.8
850752000,35.1
850838400,37.2
850924800,33.4
851011200,22.1
851097600,12.6
851184000,23.2
851270400,29.5
851356800,31.7
851443200,19.5
851529600,8.8
851616000,18.7
851702400,18.7
851788800,28.3
851875200,12.6
851961600,-9.2
852048000,-10.4
852134400,6.9
852220800,14.7
852307200,19.2
852393600,22.1
852480000,25.2
852566400,17.0
852652800,9.0
852739200,7.6
852825600,18.6
852912000,21.3
852998400,11.6
853084800,16.8
853171200,18.4
853257600,18.9
853344000,27.5
853430400,-4.7
853516800,-17.2
853603200,-14.7
853689600,12.8
853776000,9.2
853862400,13.1
853948800,21.6
854035200,-5.1
854121600,20.2
854208000,10.9
854294400,-7.8
854380800,11.4
854467200,-0.1
854553600,-14.7
854640000,6.3
854726400,20.8
854812800,19.8
854899200,20.7
854985600,14.0
855072000,20.9
855158400,22.1
855244800,17.4
855331200,-0.8
855417600,-1.1
855504000,15.5
855590400,7.2
855676800,14.8
855763200,3.1
855849600,2.5
855936000,24.0
856022400,1.4
856108800,-6.6
856195200,12.7
856281600,31.2
856368000,16.8
856454400,21.8
856540800,20.8
856627200,9.3
856713600,8.0
856800000,0.1
856886400,15.3
856972800,32.4
857059200,25.4
857145600,27.4
857232000,34.9
857318400,18.0
857404800,13.6
857491200,22.6
857577600,23.6
857664000,14.2
857750400,10.9
857836800,5.9
857923200,20.9
858009600,29.1
858096000,17.3
858182400,5.4
858268800,7.4
858355200,22.2
858441600,9.0
858528000,10.5
858614400,18.4
858700800,17.5
858787200,20.0
858873600,20.5
858960000,21.3
859046400,13.7
859132800,13.8
859219200,18.0
859305600,32.1
859392000,30.1
859478400,36.0
859564800,38.0
859651200,33.6
859737600,26.7
859824000,28.7
859910400,28.8
859996800,30.4
860083200,32.8
860169600,35.7
860256000,37.7
860342400,39.4
860428800,30.2
860515200,20.5
860601600,24.2
860688000,28.0
860774400,31.7
860860800,34.3
860947200,31.9
861033600,30.1
861120000,34.5
861206400,39.0
861292800,34.8
861379200,36.0
861465600,37.2
861552000,41.3
861638400,41.3
861724800,41.0
861811200,40.2
861897600,39.4
861984000,40.2
862070400,42.3
862156800,41.2
862243200,40.5
862329600,49.5
862416000,47.8
862502400,43.4
862588800,36.8
862675200,39.2
862761600,42.9
862848000,48.5
862934400,37.9
863020800,41.7
863107200,41.0
863193600,44.8
863280000,45.4
863366400,44.6
863452800,52.7
863539200,49.0
863625600,47.7
863712000,48.7
863798400,43.8
863884800,45.3
863971200,47.5
864057600,49.9
864144000,48.3
864230400,47.7
864316800,50.9
864403200,52.1
864489600,51.2
864576000,44.4
864662400,48.1
864748800,57.6
864835200,61.2
864921600,58.5
865008000,61.2
865094400,57.6
865180800,56.8
865267200,58.5
865353600,57.2
865440000,52.6
865526400,54.4
865612800,58.0
865699200,63.5
865785600,66.7
865872000,75.1
865958400,69.1
866044800,62.6
866131200,63.9
866217600,57.8
866304000,55.2
866390400,66.0
866476800,61.7
866563200,56.2
866649600,60.3
866736000,62.8
866822400,64.7
866908800,69.7
866995200,63.8
867081600,66.1
867168000,59.0
867254400,65.2
867340800,64.9
867427200,68.9
867513600,73.9
867600000,74.0
867686400,75.0
867772800,74.8
867859200,64.0
867945600,63.8
868032000,62.0
868118400,67.0
868204800,66.7
868291200,62.6
868377600,60.4
868464000,60.9
868550400,67.9
868636800,71.9
868723200,67.1
868809600,68.8
868896000,68.7
868982400,70.4
869068800,72.5
869155200,69.4
869241600,55.6
869328000,59.5
869414400,63.5
869500800,61.3
869587200,61.8
869673600,66.9
869760000,68.5
869846400,71.9
869932800,74.7
870019200,69.5
870105600,64.3
870192000,66.2
870278400,66.2
870364800,67.3
870451200,69.3
870537600,63.0
870624000,60.9
870710400,61.5
870796800,62.7
870883200,62.5
870969600,71.0
871056000,72.4
871142400,73.9
871228800,68.1
871315200,61.7
871401600,59.3
871488000,60.9
871574400,59.4
871660800,66.7
871747200,66.4
871833600,58.3
871920000,60.1
872006400,59.0
872092800,60.7
872179200,56.4
872265600,59.0
872352000,60.7
872438400,60.4
872524800,62.3
872611200,61.4
872697600,63.2
872784000,64.2
872870400,61.6
872956800,62.3
873043200,67.1
873129600,65.7
873216000,55.0
873302400,52.4
873388800,57.9
873475200,60.0
873561600,62.5
873648000,59.2
873734400,59.6
873820800,60.7
873907200,62.3
873993600,62.4
874080000,63.0
874166400,61.2
874252800,58.8
874339200,53.5
874425600,51.9
874512000,62.1
874598400,60.3
874684800,57.0
874771200,46.3
874857600,45.6
874944000,53.5
875030400,40.0
875116800,46.8
875203200,47.7
875289600,46.7
875376000,49.9
875462400,49.7
875548800,54.8
875635200,42.7
875721600,42.2
875808000,44.0
875894400,47.3
875980800,56.1
876067200,57.0
876153600,53.6
876240000,45.2
876326400,55.5
876412800,60.8
876499200,44.5
876585600,45.9
876672000,50.7
876758400,51.4
876844800,51.6
876931200,47.7
877017600,45.9
877104000,40.0
877190400,42.2
877276800,45.5
877363200,42.0
877449600,35.8
877536000,29.4
877622400,29.3
877708800,32.6
877795200,31.8
877881600,33.1
877968000,34.6
878054400,34.3
878140800,36.8
878227200,36.1
878313600,45.4
878400000,51.1
878486400,50.1
878572800,43.5
878659200,45.4
878745600,39.7
878832000,41.6
878918400,38.6
879004800,38.8
879091200,39.5
879177600,37.0
879264000,29.0
879350400,23.3
879436800,22.2
879523200,29.3
879609600,26.8
879696000,25.6
879782400,21.6
879868800,28.7
879955200,32.7
880041600,32.1
880128000,22.0
880214400,19.9
880300800,26.5
880387200,15.3
880473600,32.8
880560000,24.0
880646400,13.4
880732800,23.4
