timestamp,value
788889600,59.6
788976000,56.3
789062400,48.7
789148800,49.3
789235200,51.7
789321600,54.5
789408000,52.4
789494400,47.3
789580800,46.8
789667200,50.5
789753600,50.8
789840000,50.9
789926400,52.7
790012800,49.3
790099200,48.9
790185600,50.6
790272000,55.2
790358400,59.1
790444800,58.0
790531200,59.5
790617600,55.3
790704000,51.4
790790400,50.4
790876800,52.6
790963200,53.9
791049600,53.5
791136000,54.8
791222400,53.3
791308800,54.8
791395200,57.9
791481600,56.0
791568000,57.4
791654400,57.3
791740800,55.1
791827200,54.2
791913600,54.8
792000000,50.6
792086400,57.0
792172800,53.9
792259200,56.7
792345600,55.8
792432000,55.3
792518400,55.0
792604800,57.5
792691200,60.3
792777600,59.6
792864000,57.1
792950400,56.7
793036800,57.8
793123200,57.6
793209600,62.7
793296000,60.4
793382400,55.4
793468800,53.4
793555200,54.6
793641600,57.2
793728000,56.9
793814400,49.4
793900800,49.7
793987200,57.8
794073600,56.0
794160000,53.6
794246400,56.0
794332800,56.2
794419200,57.7
794505600,57.6
794592000,56.4
794678400,53.6
794764800,58.9
794851200,53.2
794937600,54.2
795024000,56.1
795110400,54.9
795196800,55.6
795283200,57.5
795369600,56.5
795456000,57.8
795542400,62.4
795628800,64.5
795715200,60.8
795801600,72.5
795888000,69.9
795974400,64.8
796060800,62.6
796147200,60.4
796233600,58.4
796320000,61.7
796406400,61.3
796492800,62.4
796579200,66.3
796665600,68.7
796752000,64.1
796838400,62.6
796924800,62.1
797011200,61.7
797097600,63.5
797184000,68.0
797270400,69.5
797356800,70.1
797443200,65.6
797529600,62.0
797616000,63.6
797702400,64.3
797788800,63.7
797875200,64.6
797961600,64.5
798048000,61.8
798134400,66.1
798220800,63.0
798307200,61.5
798393600,58.5
798480000,55.3
798566400,56.6
798652800,54.8
798739200,54.2
798825600,56.7
798912000,58.5
798998400,63.1
799084800,61.3
799171200,64.0
799257600,68.9
799344000,74.2
799430400,83.6
799516800,71.6
799603200,66.6
799689600,67.3
799776000,64.8
799862400,66.1
799948800,63.9
800035200,65.4
800121600,65.8
800208000,64.4
800294400,62.3
800380800,63.6
800467200,64.9
800553600,65.8
800640000,64.4
800726400,66.0
800812800,66.5
800899200,66.4
800985600,69.4
801072000,68.8
801158400,67.3
801244800,66.7
801331200,65.9
801417600,63.7
801504000,64.2
801590400,69.5
801676800,67.4
801763200,67.0
801849600,66.5
801936000,68.9
802022400,69.1
802108800,68.3
802195200,68.8
802281600,70.8
802368000,70.7
802454400,68.8
802540800,70.2
802627200,70.7
802713600,69.2
802800000,67.0
802886400,66.3
802972800,66.2
803059200,65.3
803145600,67.8
803232000,65.6
803318400,67.5
803404800,68.9
803491200,67.0
803577600,70.2
803664000,71.8
803750400,72.5
803836800,70.3
803923200,70.1
804009600,68.2
804096000,68.5
804182400,68.9
804268800,70.4
804355200,69.3
804441600,70.4
804528000,68.7
804614400,68.3
804700800,68.4
804787200,68.1
804873600,68.1
804960000,70.7
805046400,71.1
805132800,70.2
805219200,71.7
805305600,70.7
805392000,69.6
805478400,71.1
805564800,70.3
805651200,69.5
805737600,70.6
805824000,74.5
805910400,75.5
805996800,81.1
806083200,94.8
806169600,79.6
806256000,77.7
806342400,82.6
806428800,88.7
806515200,78.2
806601600,73.7
806688000,73.8
806774400,75.1
806860800,75.9
806947200,76.5
807033600,74.2
807120000,72.7
807206400,72.6
807292800,72.5
807379200,72.9
807465600,71.3
807552000,71.1
807638400,71.4
807724800,73.2
807811200,70.8
807897600,71.5
807984000,72.3
808070400,72.1
808156800,75.0
808243200,75.0
808329600,75.3
808416000,74.8
808502400,78.3
808588800,75.9
808675200,73.7
808761600,70.2
808848000,73.0
808934400,71.6
809020800,71.7
809107200,71.3
809193600,74.9
809280000,76.6
809366400,77.3
809452800,76.0
809539200,74.5
809625600,72.2
809712000,75.8
809798400,76.4
809884800,78.9
809971200,73.1
810057600,76.7
810144000,74.3
810230400,72.8
810316800,71.3
810403200,73.6
810489600,71.5
810576000,69.3
810662400,69.4
810748800,71.3
810835200,68.2
810921600,66.8
811008000,67.4
811094400,69.2
811180800,67.9
811267200,67.0
811353600,64.3
811440000,64.3
811526400,64.8
811612800,64.5
811699200,66.8
811785600,65.5
811872000,68.8
811958400,68.0
812044800,67.0
812131200,70.3
812217600,69.0
812304000,67.2
812390400,68.0
812476800,65.3
812563200,72.4
812649600,69.1
812736000,67.2
812822400,66.2
812908800,64.2
812995200,67.3
813081600,71.3
813168000,69.2
813254400,66.5
813340800,66.9
813427200,66.4
813513600,68.2
813600000,67.6
813686400,66.6
813772800,65.5
813859200,70.9
813945600,74.1
814032000,64.9
814118400,64.9
814204800,65.2
814291200,65.5
814377600,64.5
814464000,67.6
814550400,74.3
814636800,75.5
814723200,74.1
814809600,70.1
814896000,65.8
814982400,68.0
815068800,75.4
815155200,70.9
815241600,65.5
815328000,64.9
815414400,65.3
815500800,65.5
815587200,74.4
815673600,69.6
815760000,68.1
815846400,71.1
815932800,69.1
816019200,66.7
816105600,61.9
816192000,61.2
816278400,58.4
816364800,62.8
816451200,67.3
816537600,71.0
816624000,73.7
816710400,72.3
816796800,71.0
816883200,68.7
816969600,62.5
817056000,58.4
817142400,57.1
817228800,56.9
817315200,56.3
817401600,56.2
817488000,56.1
817574400,58.5
817660800,58.7
817747200,56.8
817833600,55.8
817920000,54.8
818006400,56.9
818092800,59.4
818179200,59.1
818265600,56.1
818352000,54.6
818438400,55.2
818524800,56.2
818611200,56.5
818697600,57.7
818784000,58.2
818870400,59.8
818956800,60.7
819043200,60.2
819129600,59.1
819216000,61.2
819302400,63.4
819388800,59.6
819475200,59.6
819561600,64.6
819648000,63.9
819734400,60.5
819820800,62.4
819907200,62.6
819993600,64.6
820080000,62.7
820166400,63.4
820252800,64.3
820339200,65.3
820425600,64.2
820512000,62.4
820598400,63.3
820684800,61.9
820771200,62.6
820857600,64.0
820944000,62.6
821030400,64.5
821116800,57.2
821203200,56.7
821289600,59.9
821376000,59.2
821462400,56.1
821548800,55.7
821635200,57.0
821721600,54.6
821808000,55.7
821894400,56.0
821980800,54.7
822067200,55.2
822153600,57.1
822240000,56.1
822326400,57.2
822412800,53.4
822499200,53.1
822585600,54.9
822672000,55.9
822758400,55.1
822844800,55.3
822931200,56.2
823017600,60.8
823104000,57.8
823190400,53.9
823276800,53.3
823363200,54.6
823449600,54.8
823536000,57.1
823622400,58.9
823708800,58.2
823795200,56.2
823881600,56.7
823968000,54.1
824054400,51.5
824140800,52.0
824227200,54.0
824313600,53.5
824400000,54.4
824486400,54.2
824572800,54.7
824659200,55.4
824745600,55.3
824832000,45.9
824918400,49.3
825004800,47.4
825091200,53.9
825177600,54.7
825264000,51.3
825350400,51.1
825436800,53.2
825523200,52.1
825609600,52.9
825696000,52.3
825782400,53.5
825868800,56.1
825955200,60.6
826041600,58.1
826128000,60.6
826214400,59.1
826300800,56.8
826387200,55.0
826473600,54.0
826560000,56.8
826646400,54.9
826732800,50.3
826819200,52.6
826905600,55.2
826992000,53.9
827078400,55.0
827164800,58.7
827251200,57.9
827337600,60.7
827424000,59.7
827510400,66.8
827596800,63.0
827683200,62.2
827769600,60.9
827856000,57.9
827942400,61.5
828028800,63.7
828115200,60.9
828201600,58.7
828288000,60.3
828374400,59.3
828460800,56.9
828547200,60.4
828633600,61.1
828720000,59.0
828806400,57.8
828892800,58.8
828979200,65.3
829065600,60.4
829152000,61.6
829238400,61.1
829324800,61.3
829411200,60.7
829497600,64.8
829584000,62.8
829670400,62.3
829756800,59.6
829843200,63.4
829929600,63.0
830016000,61.7
830102400,59.5
830188800,58.6
830275200,59.2
830361600,61.2
830448000,59.4
830534400,61.0
830620800,62.3
830707200,63.7
830793600,61.4
830880000,61.5
830966400,64.1
831052800,64.7
831139200,64.7
831225600,67.3
831312000,65.9
