timestamp,value
788889600,48.6
788976000,45.5
789062400,31.4
789148800,33.9
789235200,27.4
789321600,27.4
789408000,48.5
789494400,37.9
789580800,39.3
789667200,41.5
789753600,46.9
789840000,54.2
789926400,58.1
790012800,65.2
790099200,63.9
790185600,54.0
790272000,48.7
790358400,45.5
790444800,49.0
790531200,45.6
790617600,42.1
790704000,38.3
790790400,35.6
790876800,32.9
790963200,34.8
791049600,38.6
791136000,34.1
791222400,43.8
791308800,33.2
791395200,32.2
791481600,37.9
791568000,42.4
791654400,47.1
791740800,42.4
791827200,41.9
791913600,31.9
792000000,23.5
792086400,26.4
792172800,29.4
792259200,24.4
792345600,33.6
792432000,40.8
792518400,38.0
792604800,28.8
792691200,36.6
792777600,35.5
792864000,43.8
792950400,43.9
793036800,40.1
793123200,46.1
793209600,51.9
793296000,49.2
793382400,39.2
793468800,53.0
793555200,52.9
793641600,39.3
793728000,50.7
793814400,54.2
793900800,60.3
793987200,51.8
794073600,44.0
794160000,39.1
794246400,35.9
794332800,44.7
794419200,51.1
794505600,59.6
794592000,63.8
794678400,39.3
794764800,35.7
794851200,46.5
794937600,55.9
795024000,58.0
795110400,60.0
795196800,58.1
795283200,61.7
795369600,65.1
795456000,57.0
795542400,48.4
795628800,53.8
795715200,62.2
795801600,63.8
795888000,58.8
795974400,53.3
796060800,51.1
796147200,53.4
796233600,57.2
796320000,56.9
796406400,53.2
796492800,55.1
796579200,53.4
796665600,50.2
796752000,51.0
796838400,50.1
796924800,61.0
797011200,54.7
797097600,49.7
797184000,58.8
797270400,67.2
797356800,70.4
797443200,63.8
797529600,51.9
797616000,63.5
797702400,67.3
797788800,56.6
797875200,54.7
797961600,62.3
798048000,67.0
798134400,64.1
798220800,74.9
798307200,76.1
798393600,73.1
798480000,71.1
798566400,57.9
798652800,48.6
798739200,53.6
798825600,56.7
798912000,61.3
798998400,65.4
799084800,60.9
799171200,64.4
799257600,58.9
799344000,54.2
799430400,54.1
799516800,59.1
799603200,63.9
799689600,62.2
799776000,61.2
799862400,63.2
799948800,64.0
800035200,71.4
800121600,73.8
800208000,69.0
800294400,66.7
800380800,70.1
800467200,72.7
800553600,71.1
800640000,73.4
800726400,80.1
800812800,73.8
800899200,65.4
800985600,66.7
801072000,69.8
801158400,70.6
801244800,72.2
801331200,75.5
