timestamp,value
788889600,12.6
788976000,19.9
789062400,9.2
789148800,6.2
789235200,16.0
789321600,17.8
789408000,19.8
789494400,24.2
789580800,36.3
789667200,45.4
789753600,50.9
789840000,42.8
789926400,36.4
790012800,25.9
790099200,25.4
790185600,24.5
790272000,22.7
790358400,25.8
790444800,33.0
790531200,33.7
790617600,22.7
790704000,24.8
790790400,25.5
790876800,30.3
790963200,25.4
791049600,31.4
791136000,34.6
791222400,34.0
791308800,30.7
791395200,35.2
791481600,44.0
791568000,49.1
791654400,42.1
791740800,36.9
791827200,38.1
791913600,35.3
792000000,30.1
792086400,25.9
792172800,26.8
792259200,33.3
792345600,26.2
792432000,11.5
792518400,7.6
792604800,2.7
792691200,13.3
792777600,8.2
792864000,23.7
792950400,36.9
793036800,46.9
793123200,41.9
793209600,49.6
793296000,52.0
793382400,48.9
793468800,38.0
793555200,43.3
793641600,54.0
793728000,38.1
793814400,20.9
793900800,8.7
793987200,3.7
794073600,9.0
794160000,20.2
794246400,14.0
794332800,1.3
794419200,-1.8
794505600,-2.1
794592000,4.8
794678400,27.5
794764800,49.7
794851200,55.9
794937600,52.9
795024000,49.8
795110400,49.9
795196800,50.1
795283200,52.4
795369600,37.7
795456000,40.5
795542400,52.1
795628800,42.9
795715200,47.0
795801600,47.8
795888000,45.5
795974400,48.8
796060800,44.4
796147200,34.6
796233600,31.5
796320000,29.0
796406400,25.6
796492800,28.3
796579200,33.6
796665600,46.8
796752000,50.8
796838400,45.1
796924800,34.4
797011200,47.2
797097600,49.3
797184000,49.2
797270400,40.4
797356800,28.3
797443200,24.6
797529600,24.4
797616000,36.3
797702400,44.2
797788800,40.4
797875200,44.3
797961600,43.6
798048000,39.7
798134400,35.1
798220800,35.5
798307200,35.4
798393600,37.6
798480000,41.8
798566400,45.7
798652800,40.8
798739200,45.7
798825600,37.0
798912000,39.3
798998400,41.4
799084800,36.6
799171200,39.1
799257600,38.6
799344000,43.0
799430400,44.5
799516800,47.1
799603200,49.1
799689600,49.8
799776000,52.9
799862400,53.1
799948800,45.3
800035200,52.2
800121600,56.7
800208000,59.2
800294400,44.7
800380800,45.2
800467200,58.7
800553600,59.0
800640000,49.0
800726400,53.3
800812800,58.6
800899200,52.8
800985600,57.3
801072000,50.1
801158400,47.8
801244800,48.4
801331200,50.4
801417600,52.6
801504000,52.3
801590400,52.4
801676800,55.5
801763200,59.4
801849600,58.1
801936000,65.2
802022400,66.6
802108800,64.1
802195200,61.8
802281600,63.5
802368000,66.8
802454400,58.4
802540800,44.5
802627200,43.3
802713600,46.9
802800000,55.0
802886400,61.1
802972800,70.6
803059200,72.8
803145600,76.5
803232000,77.1
803318400,72.7
803404800,70.0
803491200,68.8
803577600,71.1
803664000,72.0
803750400,63.7
