timestamp,value
788889600,3.0
788976000,7.8
789062400,-6.9
789148800,-10.9
789235200,-2.6
789321600,2.4
789408000,6.3
789494400,5.2
789580800,2.0
789667200,9.5
789753600,17.4
789840000,12.7
789926400,9.6
790012800,11.4
790099200,11.9
790185600,11.2
790272000,9.1
790358400,5.7
790444800,0.0
790531200,9.3
790617600,14.6
790704000,9.7
790790400,8.9
790876800,8.2
790963200,-3.3
791049600,7.1
791136000,4.8
791222400,0.2
791308800,1.1
791395200,29.2
791481600,24.8
791568000,26.2
791654400,31.2
791740800,18.5
791827200,22.2
791913600,18.7
792000000,14.4
792086400,4.2
792172800,21.0
792259200,22.0
792345600,0.8
792432000,-6.3
792518400,-8.9
792604800,-5.7
792691200,-1.9
792777600,-7.5
792864000,1.7
792950400,1.9
793036800,11.9
793123200,23.5
793209600,28.5
793296000,33.5
793382400,31.5
793468800,25.2
793555200,28.2
793641600,16.7
793728000,15.1
793814400,-2.2
793900800,-2.9
793987200,-4.2
794073600,16.0
794160000,12.4
794246400,-2.8
794332800,-8.2
794419200,-7.6
794505600,-8.4
794592000,-8.6
794678400,9.8
794764800,30.6
794851200,39.1
794937600,37.7
795024000,37.8
795110400,33.5
795196800,33.8
795283200,33.9
795369600,38.3
795456000,32.0
795542400,27.6
795628800,31.9
795715200,35.0
795801600,36.3
795888000,35.1
795974400,37.3
796060800,36.6
796147200,34.6
796233600,29.3
796320000,21.5
796406400,22.0
796492800,26.3
796579200,33.3
796665600,34.7
796752000,40.4
796838400,17.8
796924800,12.9
797011200,27.8
797097600,27.4
797184000,36.0
797270400,23.3
797356800,23.2
797443200,25.7
797529600,33.2
797616000,40.5
797702400,39.1
797788800,46.6
797875200,38.7
797961600,37.5
798048000,38.8
798134400,38.2
798220800,38.8
798307200,43.9
798393600,44.0
798480000,45.5
798566400,39.5
798652800,38.7
798739200,35.8
798825600,36.8
798912000,35.9
798998400,34.4
799084800,35.5
799171200,39.8
799257600,44.3
799344000,45.0
799430400,45.3
799516800,45.1
799603200,47.3
799689600,52.1
799776000,49.2
799862400,49.7
799948800,56.3
800035200,58.0
800121600,62.3
800208000,42.7
800294400,40.2
800380800,50.1
800467200,49.8
800553600,40.4
800640000,51.1
800726400,57.1
800812800,48.9
800899200,47.2
800985600,48.8
801072000,44.4
801158400,45.6
801244800,45.9
801331200,49.0
801417600,51.8
801504000,50.9
801590400,57.4
801676800,66.7
801763200,70.0
801849600,70.3
801936000,70.7
802022400,68.9
802108800,69.8
802195200,72.6
802281600,74.1
802368000,63.3
802454400,48.7
802540800,50.3
802627200,58.0
802713600,61.9
802800000,62.4
802886400,66.7
802972800,68.1
803059200,69.2
803145600,74.8
803232000,79.3
803318400,80.0
803404800,75.4
803491200,66.5
803577600,66.8
803664000,66.1
803750400,65.5
803836800,61.1
803923200,61.1
804009600,62.3
804096000,68.5
804182400,63.3
804268800,52.7
804355200,53.0
804441600,53.2
804528000,60.2
804614400,65.2
804700800,59.9
804787200,59.5
804873600,63.7
804960000,64.5
805046400,67.0
805132800,67.2
805219200,72.0
805305600,74.1
805392000,77.1
805478400,70.1
805564800,67.1
805651200,69.0
805737600,67.4
805824000,66.2
805910400,63.6
805996800,64.1
806083200,59.3
806169600,64.9
806256000,63.2
806342400,61.2
806428800,65.0
806515200,59.0
806601600,64.4
806688000,75.4
806774400,69.6
806860800,63.6
806947200,67.1
807033600,63.2
807120000,56.4
807206400,64.3
807292800,63.6
807379200,59.0
807465600,65.6
807552000,75.3
807638400,79.9
807724800,73.4
807811200,67.7
807897600,56.0
807984000,54.8
808070400,55.8
808156800,64.0
808243200,63.2
808329600,58.7
808416000,64.9
808502400,68.3
808588800,67.2
808675200,63.8
808761600,60.3
808848000,60.3
808934400,64.3
809020800,68.1
809107200,60.9
809193600,61.0
809280000,64.8
809366400,60.9
809452800,61.8
809539200,59.5
809625600,62.5
809712000,62.5
809798400,59.5
809884800,62.4
809971200,64.8
810057600,66.3
810144000,68.9
810230400,61.3
810316800,55.7
810403200,49.0
810489600,51.2
810576000,55.0
810662400,57.4
810748800,64.3
810835200,65.2
810921600,61.2
811008000,58.0
811094400,58.2
811180800,51.5
811267200,52.3
811353600,46.9
811440000,39.9
811526400,34.8
811612800,31.6
811699200,39.4
811785600,46.2
811872000,49.4
811958400,51.8
812044800,56.7
812131200,59.2
812217600,58.7
812304000,52.8
812390400,50.1
812476800,50.5
812563200,49.8
812649600,48.8
812736000,50.3
812822400,45.5
812908800,45.3
812995200,44.3
813081600,44.6
813168000,47.7
813254400,48.0
813340800,49.9
813427200,51.3
813513600,42.6
813600000,41.5
813686400,45.0
813772800,47.4
813859200,43.6
813945600,40.5
814032000,39.9
814118400,33.8
814204800,43.2
814291200,38.7
814377600,35.9
814464000,36.7
814550400,36.2
814636800,37.7
814723200,38.2
814809600,32.3
814896000,31.2
814982400,24.2
815068800,24.7
815155200,19.2
815241600,11.6
815328000,10.5
815414400,18.6
815500800,31.9
815587200,25.9
815673600,17.3
815760000,13.2
815846400,14.1
815932800,3.3
816019200,-4.3
816105600,13.4
816192000,17.4
816278400,22.5
816364800,20.6
816451200,27.9
816537600,26.1
816624000,29.7
816710400,36.8
816796800,30.2
816883200,22.5
816969600,22.1
817056000,14.1
817142400,23.8
817228800,15.6
817315200,9.6
817401600,5.2
817488000,4.7
817574400,9.2
817660800,15.8
817747200,0.9
817833600,16.0
817920000,9.6
818006400,21.7
818092800,-3.3
818179200,-10.2
818265600,-4.8
818352000,-17.3
818438400,-21.4
818524800,-18.3
818611200,-11.5
818697600,-12.5
818784000,0.7
818870400,4.2
818956800,-4.8
819043200,0.1
819129600,-0.1
819216000,7.4
819302400,16.6
819388800,19.6
819475200,17.2
819561600,11.5
819648000,17.5
819734400,25.1
819820800,15.9
819907200,13.0
819993600,8.3
820080000,3.5
820166400,6.0
820252800,6.9
820339200,10.1
820425600,10.9
820512000,3.2
820598400,10.7
820684800,-10.6
820771200,-27.2
820857600,-22.7
820944000,6.4
821030400,24.0
821116800,15.8
821203200,17.4
821289600,26.7
821376000,35.1
821462400,22.4
821548800,-5.2
821635200,-4.7
821721600,1.0
821808000,-13.0
821894400,-26.5
821980800,-24.5
822067200,-20.3
822153600,-17.9
822240000,-13.3
822326400,-12.5
822412800,-19.1
822499200,-19.6
