timestamp,value
788889600,29.3
788976000,27.1
789062400,29.9
789148800,27.5
789235200,30.2
789321600,34.0
789408000,37.9
789494400,43.9
789580800,50.8
789667200,45.3
789753600,39.9
789840000,39.6
789926400,44.6
790012800,45.1
790099200,36.7
790185600,32.4
790272000,29.4
790358400,35.7
790444800,34.7
790531200,33.7
790617600,36.3
790704000,35.9
790790400,38.5
790876800,40.1
790963200,39.6
791049600,38.7
791136000,34.0
791222400,34.4
791308800,37.9
791395200,42.9
791481600,52.3
791568000,49.5
791654400,45.4
791740800,44.1
791827200,44.5
791913600,45.2
792000000,44.1
792086400,46.3
792172800,45.9
792259200,44.5
792345600,41.2
792432000,42.4
792518400,45.9
792604800,42.4
792691200,31.6
792777600,28.9
792864000,35.1
792950400,42.1
793036800,44.5
793123200,46.3
793209600,47.1
793296000,49.5
793382400,48.3
793468800,48.9
793555200,50.2
793641600,50.2
793728000,48.2
793814400,49.4
793900800,49.7
793987200,45.3
794073600,45.9
794160000,43.5
794246400,37.2
794332800,46.0
794419200,37.6
794505600,40.6
794592000,51.0
794678400,51.5
794764800,45.3
794851200,41.5
794937600,43.2
795024000,47.8
795110400,51.3
795196800,51.2
795283200,46.3
795369600,47.7
795456000,54.7
795542400,44.3
795628800,48.3
795715200,37.5
795801600,34.6
795888000,32.9
795974400,32.1
796060800,31.9
796147200,33.0
796233600,36.9
796320000,38.9
796406400,39.5
796492800,42.9
796579200,47.8
796665600,52.5
796752000,44.2
796838400,48.8
796924800,54.7
797011200,56.0
797097600,53.8
797184000,51.1
797270400,45.0
797356800,36.3
797443200,40.9
797529600,52.8
797616000,53.4
797702400,48.4
797788800,38.4
797875200,38.6
797961600,35.8
798048000,39.3
798134400,40.1
798220800,39.4
798307200,41.6
798393600,38.2
798480000,46.6
798566400,51.6
798652800,55.7
798739200,58.4
798825600,57.2
798912000,54.5
798998400,50.5
799084800,54.9
799171200,50.2
799257600,52.7
799344000,47.8
799430400,51.6
799516800,55.4
799603200,49.1
799689600,45.6
799776000,49.9
799862400,52.1
799948800,52.4
800035200,52.1
800121600,54.3
800208000,45.4
800294400,40.8
800380800,46.6
800467200,46.2
800553600,49.9
800640000,58.7
800726400,59.5
800812800,62.4
800899200,62.6
800985600,62.5
801072000,57.1
801158400,53.7
801244800,56.7
801331200,54.7
801417600,61.6
801504000,62.3
801590400,59.3
801676800,63.9
801763200,67.9
801849600,69.2
801936000,70.2
802022400,58.6
802108800,60.4
802195200,67.5
802281600,60.3
802368000,48.0
802454400,43.7
802540800,49.9
802627200,57.9
802713600,64.8
802800000,67.8
802886400,68.1
802972800,66.4
803059200,62.4
803145600,54.1
803232000,46.6
803318400,58.0
803404800,59.6
803491200,55.1
803577600,56.2
803664000,57.6
803750400,64.8
803836800,70.1
803923200,74.1
804009600,76.8
804096000,77.8
804182400,69.9
804268800,74.7
804355200,73.0
804441600,71.4
804528000,65.4
804614400,66.8
804700800,73.4
804787200,72.4
804873600,76.4
804960000,75.3
805046400,72.3
805132800,70.1
805219200,72.9
805305600,70.2
805392000,68.6
805478400,64.2
805564800,61.8
805651200,69.5
805737600,76.6
805824000,79.7
805910400,81.3
805996800,70.1
806083200,69.1
806169600,74.1
806256000,72.8
806342400,68.9
806428800,70.2
806515200,72.9
806601600,74.4
806688000,73.2
806774400,76.1
806860800,81.1
806947200,80.7
807033600,72.5
807120000,74.1
807206400,78.3
807292800,78.3
807379200,78.5
807465600,79.9
807552000,81.2
807638400,77.9
807724800,76.8
807811200,67.3
807897600,72.1
807984000,76.9
808070400,68.3
808156800,72.3
808243200,71.1
808329600,73.7
808416000,77.1
808502400,74.6
808588800,70.0
