timestamp,value
788889600,23.9
788976000,37.3
789062400,37.4
789148800,33.5
789235200,32.2
789321600,26.6
789408000,33.5
789494400,31.6
789580800,29.5
789667200,19.7
789753600,21.7
789840000,36.3
789926400,27.7
790012800,24.9
790099200,24.4
790185600,23.5
790272000,21.7
790358400,30.6
790444800,32.4
790531200,35.1
790617600,35.0
790704000,34.3
790790400,30.2
790876800,25.9
790963200,22.8
791049600,19.7
791136000,26.2
791222400,17.7
791308800,26.1
791395200,37.2
791481600,26.3
791568000,19.8
791654400,32.8
791740800,36.9
791827200,30.8
791913600,30.8
792000000,25.5
792086400,15.6
792172800,15.2
792259200,28.7
792345600,29.2
792432000,25.6
792518400,32.8
792604800,32.0
792691200,27.2
792777600,25.8
792864000,25.7
792950400,26.2
793036800,32.1
793123200,36.1
793209600,35.0
793296000,33.4
793382400,30.9
793468800,25.5
793555200,26.7
793641600,25.6
793728000,26.7
793814400,31.0
793900800,29.5
793987200,27.4
794073600,27.1
794160000,19.1
794246400,25.3
794332800,26.8
794419200,27.2
794505600,25.9
794592000,27.4
794678400,28.3
794764800,27.9
794851200,27.7
794937600,32.8
795024000,27.8
795110400,24.0
795196800,23.5
795283200,29.8
795369600,23.9
795456000,22.0
795542400,19.0
795628800,32.7
795715200,40.9
795801600,39.6
795888000,32.0
795974400,31.0
796060800,28.8
796147200,23.3
796233600,21.3
796320000,28.4
796406400,38.5
796492800,40.2
796579200,28.7
796665600,27.1
796752000,28.1
796838400,24.6
796924800,26.8
797011200,35.9
797097600,33.0
797184000,36.9
797270400,41.8
797356800,38.4
797443200,37.3
797529600,38.9
797616000,38.2
797702400,35.9
797788800,37.3
797875200,39.1
797961600,34.6
798048000,28.5
798134400,25.6
798220800,28.5
798307200,30.2
798393600,33.0
798480000,38.0
798566400,40.5
798652800,41.2
798739200,37.6
798825600,36.6
798912000,30.6
798998400,34.4
799084800,37.8
799171200,40.3
799257600,44.9
799344000,48.3
799430400,47.7
799516800,47.4
799603200,40.0
799689600,41.3
799776000,42.6
799862400,41.0
799948800,40.1
800035200,40.6
800121600,38.9
800208000,40.1
800294400,38.8
800380800,36.1
800467200,38.9
800553600,40.1
800640000,43.3
800726400,41.8
800812800,43.9
800899200,44.1
800985600,45.2
801072000,49.4
801158400,46.8
801244800,46.3
801331200,44.8
801417600,44.8
801504000,50.1
801590400,46.6
801676800,49.1
801763200,49.3
801849600,50.1
801936000,47.2
802022400,45.6
802108800,41.3
802195200,41.1
802281600,43.9
802368000,47.2
802454400,50.5
802540800,52.6
802627200,46.9
802713600,46.6
802800000,48.4
802886400,51.7
802972800,50.9
803059200,50.2
803145600,47.8
803232000,47.4
803318400,49.4
803404800,49.7
803491200,49.3
803577600,46.2
803664000,49.0
803750400,51.2
803836800,48.9
