timestamp,value
788889600,39.0
788976000,36.2
789062400,27.3
789148800,31.6
789235200,20.2
789321600,28.3
789408000,47.0
789494400,33.5
789580800,28.4
789667200,25.4
789753600,21.9
789840000,25.3
789926400,44.2
790012800,50.5
790099200,57.6
790185600,57.2
790272000,53.1
790358400,41.0
790444800,38.2
790531200,42.1
790617600,43.1
790704000,38.7
790790400,34.9
790876800,31.7
790963200,32.7
791049600,29.8
791136000,29.6
791222400,22.0
791308800,25.1
791395200,28.9
791481600,32.1
791568000,39.2
791654400,38.8
791740800,22.2
791827200,29.0
791913600,25.4
792000000,8.3
792086400,9.5
792172800,18.7
792259200,20.4
792345600,28.2
792432000,37.6
792518400,23.8
792604800,20.1
792691200,24.1
792777600,24.3
792864000,43.8
792950400,38.2
793036800,36.2
793123200,36.0
793209600,39.3
793296000,36.4
793382400,33.0
793468800,35.4
793555200,41.2
793641600,28.3
793728000,25.6
793814400,24.7
793900800,31.0
793987200,32.1
794073600,32.2
794160000,30.0
794246400,32.0
794332800,34.1
794419200,39.7
794505600,39.6
794592000,50.8
794678400,42.7
794764800,27.7
794851200,30.2
794937600,34.1
795024000,45.7
795110400,42.6
795196800,44.1
795283200,43.3
795369600,43.2
795456000,45.0
795542400,43.6
795628800,39.0
795715200,49.1
795801600,47.6
795888000,44.7
795974400,39.8
796060800,38.2
796147200,45.2
796233600,42.4
796320000,38.5
796406400,42.2
796492800,40.0
796579200,44.9
796665600,42.6
796752000,40.4
796838400,39.6
796924800,47.0
797011200,28.3
797097600,32.0
797184000,43.9
797270400,37.4
797356800,46.5
797443200,43.8
797529600,43.5
797616000,43.6
797702400,59.0
797788800,50.5
797875200,47.8
797961600,45.0
798048000,44.0
798134400,48.6
798220800,48.8
798307200,57.6
798393600,50.9
798480000,54.9
798566400,50.9
798652800,50.0
798739200,50.7
798825600,55.2
798912000,56.4
798998400,54.1
799084800,50.8
799171200,48.1
799257600,44.4
799344000,46.3
799430400,53.4
799516800,58.0
799603200,56.0
799689600,57.0
799776000,51.8
799862400,52.9
799948800,54.3
800035200,52.1
800121600,49.9
800208000,53.0
800294400,53.8
800380800,55.7
800467200,49.5
800553600,54.2
800640000,51.8
800726400,60.8
800812800,55.9
800899200,59.3
800985600,59.4
801072000,63.9
801158400,64.2
801244800,67.4
801331200,63.8
801417600,60.7
801504000,57.8
801590400,56.5
801676800,59.3
801763200,67.0
801849600,71.5
801936000,75.2
802022400,70.2
802108800,69.2
802195200,69.5
802281600,67.1
802368000,69.1
802454400,66.7
802540800,71.1
802627200,64.3
802713600,63.0
802800000,61.8
802886400,65.2
802972800,58.8
803059200,61.2
803145600,64.3
803232000,66.6
803318400,72.8
803404800,76.9
803491200,80.2
803577600,80.8
803664000,69.1
803750400,67.3
803836800,66.6
803923200,68.0
804009600,70.2
804096000,71.6
804182400,66.6
804268800,60.6
804355200,63.2
804441600,67.7
804528000,71.8
804614400,72.7
804700800,69.0
804787200,73.0
804873600,70.6
804960000,70.7
805046400,74.6
805132800,72.6
805219200,68.9
805305600,69.2
805392000,67.0
805478400,67.4
805564800,73.3
805651200,82.6
805737600,86.8
805824000,78.1
805910400,69.9
805996800,68.3
806083200,77.0
806169600,76.8
806256000,77.0
806342400,76.4
806428800,75.1
806515200,79.3
806601600,78.9
806688000,80.8
806774400,82.9
806860800,79.9
806947200,82.4
807033600,83.3
807120000,77.8
807206400,80.3
807292800,82.4
807379200,72.3
807465600,79.8
807552000,74.0
807638400,66.1
807724800,67.2
807811200,68.4
807897600,72.6
807984000,75.0
808070400,75.7
808156800,76.8
808243200,77.8
808329600,75.8
808416000,75.8
808502400,79.1
808588800,80.3
808675200,76.4
808761600,66.5
808848000,64.1
808934400,72.5
809020800,80.0
809107200,71.8
809193600,72.6
809280000,67.4
809366400,66.0
809452800,70.1
809539200,65.7
809625600,63.1
809712000,66.3
809798400,68.3
809884800,77.5
809971200,72.0
810057600,65.3
810144000,64.4
810230400,66.2
810316800,70.7
810403200,69.7
810489600,64.8
810576000,62.2
810662400,65.0
810748800,56.9
810835200,60.7
810921600,67.3
811008000,73.3
811094400,63.3
811180800,56.8
811267200,60.0
811353600,64.6
811440000,60.4
811526400,57.1
811612800,58.4
811699200,67.1
811785600,59.1
811872000,53.9
811958400,54.7
812044800,58.3
812131200,60.9
812217600,63.2
812304000,53.4
812390400,53.5
812476800,53.9
812563200,57.5
812649600,65.2
812736000,65.8
812822400,64.0
812908800,59.2
812995200,55.8
813081600,60.5
813168000,56.3
813254400,54.6
813340800,57.4
813427200,63.4
813513600,65.8
813600000,63.2
813686400,60.7
813772800,51.0
813859200,50.2
813945600,50.3
814032000,56.5
814118400,58.6
814204800,66.9
814291200,55.4
814377600,55.9
814464000,58.2
814550400,60.1
814636800,50.4
814723200,49.5
814809600,64.1
814896000,52.0
814982400,45.1
815068800,43.0
815155200,47.7
815241600,52.8
815328000,54.0
815414400,47.3
815500800,38.4
815587200,37.6
815673600,49.3
815760000,47.8
815846400,35.1
815932800,33.4
816019200,54.2
816105600,51.2
816192000,32.8
816278400,38.6
816364800,47.7
816451200,38.7
816537600,36.1
816624000,34.5
816710400,39.8
816796800,39.9
816883200,44.2
816969600,39.1
817056000,35.7
817142400,37.5
817228800,32.7
817315200,38.5
817401600,40.9
817488000,54.6
817574400,34.0
817660800,27.5
817747200,33.6
817833600,39.2
817920000,32.5
818006400,45.5
818092800,34.4
818179200,42.3
818265600,34.6
818352000,28.9
818438400,26.7
818524800,29.1
818611200,18.9
818697600,19.5
818784000,20.5
818870400,21.1
818956800,29.8
819043200,29.6
819129600,31.1
819216000,29.5
819302400,25.0
819388800,24.7
819475200,22.2
819561600,29.4
819648000,31.1
819734400,31.8
819820800,27.1
819907200,29.7
819993600,28.5
820080000,31.1
820166400,28.9
820252800,30.7
820339200,32.1
820425600,32.8
820512000,31.4
820598400,24.2
820684800,18.1
820771200,13.8
820857600,7.4
820944000,11.6
821030400,20.7
821116800,19.4
821203200,24.5
821289600,21.1
821376000,23.3
821462400,36.4
821548800,33.2
821635200,35.6
821721600,19.7
821808000,41.6
821894400,35.8
821980800,47.2
822067200,32.4
822153600,26.6
822240000,30.6
822326400,35.5
822412800,44.7
822499200,36.9
822585600,25.9
822672000,43.4
822758400,34.8
822844800,25.1
822931200,33.8
823017600,27.5
823104000,15.8
823190400,23.5
823276800,18.0
823363200,10.1
823449600,7.6
823536000,14.4
823622400,18.7
823708800,33.0
823795200,39.8
823881600,38.0
823968000,38.2
824054400,30.4
824140800,11.5
824227200,21.6
824313600,24.0
824400000,23.3
824486400,25.8
824572800,24.3
824659200,18.4
824745600,37.8
824832000,44.8
824918400,45.3
825004800,45.5
825091200,42.6
825177600,46.6
825264000,45.6
825350400,45.1
825436800,45.3
825523200,31.6
825609600,24.9
825696000,28.3
825782400,31.1
825868800,23.2
825955200,30.8
826041600,35.2
826128000,31.2
826214400,25.3
826300800,16.3
826387200,19.9
826473600,24.3
826560000,32.2
826646400,39.2
826732800,41.5
826819200,43.1
826905600,39.3
826992000,37.4
827078400,39.5
827164800,40.4
827251200,43.3
827337600,40.9
827424000,39.1
827510400,34.2
827596800,36.8
827683200,43.7
827769600,54.9
827856000,37.5
827942400,32.5
828028800,37.4
828115200,38.6
828201600,41.0
828288000,42.5
828374400,45.4
828460800,42.5
828547200,44.4
828633600,44.6
828720000,44.7
828806400,38.3
828892800,34.9
828979200,36.5
829065600,34.3
829152000,43.9
829238400,52.3
829324800,46.5
829411200,40.5
829497600,42.2
829584000,44.1
829670400,45.6
829756800,48.1
829843200,48.3
829929600,54.5
830016000,62.7
830102400,62.1
830188800,58.1
830275200,54.3
830361600,54.0
830448000,58.4
830534400,55.7
830620800,50.9
830707200,50.3
830793600,51.9
830880000,58.5
830966400,56.3
831052800,51.0
831139200,54.6
831225600,56.1
831312000,47.3
831398400,48.7
831484800,51.2
831571200,51.5
831657600,53.0
831744000,60.6
831830400,49.8
831916800,47.5
832003200,48.7
832089600,54.6
832176000,52.6
832262400,55.0
832348800,54.8
832435200,58.4
832521600,71.3
832608000,80.9
832694400,74.8
832780800,65.7
832867200,68.8
832953600,65.2
833040000,56.0
833126400,56.0
833212800,55.0
833299200,55.0
833385600,50.8
833472000,65.9
833558400,65.9
833644800,65.9
833731200,60.0
833817600,64.2
833904000,64.2
833990400,64.2
834076800,64.8
834163200,64.8
834249600,68.4
834336000,64.3
834422400,71.5
834508800,72.6
834595200,70.3
834681600,79.0
834768000,79.0
834854400,74.8
834940800,68.0
835027200,72.1
835113600,72.1
835200000,62.4
835286400,64.8
835372800,64.4
835459200,62.4
835545600,64.5
835632000,70.9
835718400,67.2
835804800,67.9
835891200,68.3
835977600,64.6
836064000,64.8
836150400,68.6
836236800,73.3
836323200,64.2
836409600,68.3
836496000,70.4
836582400,74.3
836668800,73.3
836755200,72.3
836841600,74.0
836928000,71.7
837014400,70.6
837100800,70.8
837187200,69.6
837273600,67.6
837360000,72.0
837446400,76.1
837532800,78.6
837619200,77.7
837705600,71.6
837792000,69.6
837878400,70.9
837964800,70.4
838051200,65.8
838137600,66.6
838224000,68.3
838310400,66.8
838396800,71.5
838483200,72.3
838569600,69.0
838656000,67.2
838742400,64.3
838828800,64.7
838915200,68.5
839001600,68.1
839088000,69.1
839174400,71.4
839260800,74.1
839347200,71.8
839433600,70.5
839520000,71.8
839606400,75.6
839692800,71.9
839779200,67.1
839865600,62.0
839952000,67.7
840038400,71.7
840124800,65.6
840211200,70.1
840297600,74.4
840384000,72.8
840470400,67.2
840556800,71.1
840643200,75.9
840729600,76.6
840816000,71.6
840902400,69.2
840988800,73.9
841075200,71.4
841161600,64.6
841248000,69.1
841334400,68.5
841420800,68.2
841507200,66.3
841593600,68.3
841680000,75.7
841766400,72.1
841852800,73.7
841939200,74.5
842025600,68.7
842112000,63.3
842198400,67.9
842284800,71.3
842371200,69.9
842457600,63.2
842544000,61.1
842630400,61.1
842716800,62.1
842803200,63.5
842889600,60.0
842976000,56.6
843062400,63.4
843148800,62.9
843235200,63.9
843321600,62.1
843408000,56.5
843494400,53.4
843580800,58.4
843667200,54.3
843753600,54.2
843840000,64.0
843926400,64.1
844012800,59.4
844099200,56.1
844185600,58.1
844272000,62.1
844358400,44.6
844444800,44.3
844531200,45.4
844617600,50.5
844704000,52.0
844790400,57.1
844876800,54.7
844963200,50.9
845049600,44.4
845136000,49.8
845222400,60.1
845308800,47.8
845395200,53.4
845481600,61.8
845568000,50.3
845654400,50.5
845740800,54.6
845827200,51.5
845913600,51.8
846000000,52.4
846086400,62.0
846172800,55.3
846259200,53.3
846345600,52.6
846432000,56.3
846518400,48.3
846604800,46.5
846691200,52.8
846777600,43.9
846864000,38.3
846950400,39.4
847036800,40.9
847123200,47.0
847209600,48.6
847296000,50.9
847382400,62.4
847468800,58.9
847555200,45.1
847641600,39.9
847728000,36.1
847814400,33.1
847900800,31.1
847987200,28.6
848073600,30.6
848160000,42.1
848246400,43.6
848332800,42.2
848419200,39.3
848505600,34.7
848592000,35.9
848678400,36.6
848764800,39.4
848851200,40.8
848937600,44.0
849024000,31.4
849110400,23.7
849196800,29.5
849283200,31.2
849369600,48.0
849456000,51.7
849542400,36.9
849628800,35.4
849715200,38.3
849801600,36.3
849888000,32.5
849974400,38.5
850060800,33.3
850147200,34.1
850233600,39.3
850320000,40.6
850406400,42.7
850492800,41.3
850579200,39.7
850665600,40.3
850752000,47.1
850838400,51.9
850924800,47.3
851011200,33.8
851097600,25.7
851184000,29.6
851270400,37.4
851356800,47.0
851443200,39.4
851529600,27.6
851616000,39.8
851702400,35.9
851788800,48.6
851875200,45.0
851961600,24.6
852048000,12.3
852134400,29.3
852220800,40.5
852307200,38.0
852393600,41.9
852480000,45.6
852566400,32.3
852652800,27.8
852739200,28.1
852825600,37.1
852912000,30.6
852998400,21.7
853084800,27.4
853171200,25.9
853257600,25.9
853344000,39.4
853430400,21.6
853516800,11.2
853603200,8.9
853689600,23.0
853776000,30.0
853862400,35.3
853948800,47.2
854035200,25.1
854121600,44.1
854208000,33.3
854294400,20.6
854380800,38.8
854467200,25.9
854553600,20.5
854640000,25.3
854726400,36.5
854812800,37.6
854899200,37.8
854985600,34.0
855072000,42.3
855158400,38.9
855244800,32.1
855331200,30.5
855417600,29.5
855504000,29.8
855590400,31.5
855676800,30.1
855763200,30.7
855849600,32.5
855936000,40.4
856022400,32.1
856108800,25.5
856195200,36.5
856281600,52.1
856368000,44.2
856454400,42.3
856540800,56.4
856627200,36.6
856713600,36.6
856800000,24.1
856886400,35.6
856972800,49.3
857059200,49.9
857145600,38.0
857232000,46.5
857318400,39.5
857404800,32.8
857491200,38.8
857577600,40.6
857664000,34.3
857750400,33.3
857836800,27.5
857923200,35.2
858009600,36.3
858096000,34.9
858182400,27.9
858268800,27.4
858355200,40.2
858441600,27.8
858528000,28.1
858614400,41.3
858700800,33.4
858787200,34.7
858873600,37.0
858960000,42.8
859046400,31.6
859132800,30.8
859219200,34.8
859305600,48.5
859392000,43.9
859478400,46.7
859564800,47.6
859651200,54.0
859737600,43.7
859824000,32.6
859910400,40.5
859996800,43.9
860083200,51.4
860169600,47.5
860256000,46.3
860342400,56.8
860428800,48.2
860515200,35.3
860601600,34.1
860688000,40.3
860774400,44.0
860860800,50.2
860947200,48.2
861033600,43.5
861120000,48.4
861206400,49.3
861292800,47.7
861379200,42.0
861465600,48.8
861552000,50.4
861638400,50.8
861724800,52.4
861811200,45.1
861897600,47.9
861984000,50.5
862070400,53.6
862156800,48.4
862243200,53.5
862329600,56.1
862416000,55.5
862502400,55.2
862588800,52.8
862675200,55.9
862761600,51.5
862848000,51.4
862934400,48.3
863020800,50.1
863107200,49.6
863193600,50.1
863280000,53.7
863366400,57.8
863452800,55.3
863539200,58.3
863625600,56.6
863712000,55.0
863798400,54.8
863884800,55.5
863971200,52.9
864057600,56.2
864144000,54.3
864230400,53.7
864316800,54.1
864403200,56.7
864489600,55.5
864576000,60.9
864662400,54.5
864748800,56.6
864835200,61.1
864921600,56.6
865008000,62.7
865094400,62.7
865180800,56.3
865267200,54.1
865353600,53.8
865440000,53.8
865526400,56.6
865612800,55.7
865699200,57.9
865785600,57.7
865872000,70.2
865958400,80.7
866044800,76.7
866131200,67.4
866217600,70.9
866304000,64.7
866390400,60.3
866476800,66.5
866563200,66.3
866649600,69.6
866736000,73.2
866822400,76.3
866908800,77.0
866995200,74.4
867081600,71.7
867168000,71.3
867254400,78.6
867340800,73.1
867427200,73.1
867513600,75.3
867600000,78.0
867686400,75.0
867772800,71.7
867859200,74.0
867945600,76.0
868032000,71.8
