timestamp,value
788889600,45.2
788976000,46.7
789062400,28.0
789148800,34.2
789235200,23.7
789321600,25.2
789408000,41.7
789494400,37.5
789580800,36.6
789667200,36.2
789753600,41.7
789840000,51.3
789926400,56.9
790012800,64.2
790099200,65.8
790185600,55.9
790272000,45.8
790358400,47.6
790444800,44.7
790531200,46.6
790617600,42.7
790704000,36.0
790790400,33.2
790876800,35.2
790963200,36.0
791049600,32.7
791136000,30.3
791222400,35.8
791308800,29.8
791395200,31.3
791481600,34.1
791568000,40.7
791654400,45.9
791740800,38.8
791827200,35.1
791913600,30.3
792000000,20.0
792086400,23.4
792172800,26.7
792259200,24.9
792345600,37.8
792432000,42.4
792518400,33.9
792604800,25.4
792691200,27.9
792777600,32.4
792864000,40.2
792950400,42.0
793036800,38.4
793123200,45.9
793209600,51.5
793296000,47.9
793382400,37.6
793468800,50.3
793555200,54.8
793641600,36.9
793728000,47.5
793814400,40.6
793900800,55.1
793987200,47.1
794073600,40.4
794160000,33.0
794246400,35.9
794332800,46.0
794419200,48.5
794505600,55.5
794592000,62.5
794678400,36.2
794764800,33.1
794851200,44.7
794937600,55.2
795024000,58.4
795110400,59.2
795196800,56.2
795283200,61.7
795369600,64.9
795456000,53.4
795542400,48.5
795628800,51.8
795715200,61.9
795801600,59.0
795888000,45.8
795974400,48.6
796060800,47.7
796147200,52.8
796233600,56.2
796320000,48.2
796406400,49.5
796492800,51.9
796579200,51.8
796665600,48.1
796752000,47.8
796838400,48.4
796924800,60.7
797011200,45.9
797097600,47.5
797184000,57.9
797270400,63.2
797356800,71.8
797443200,57.8
797529600,51.8
797616000,60.8
797702400,62.8
797788800,52.5
797875200,50.4
797961600,58.2
798048000,56.3
798134400,56.4
798220800,72.5
798307200,69.8
798393600,68.4
798480000,74.8
798566400,57.8
798652800,47.2
798739200,53.7
798825600,57.3
798912000,62.5
798998400,64.4
799084800,59.9
799171200,56.0
799257600,52.7
799344000,50.1
799430400,53.6
799516800,57.6
799603200,61.8
799689600,61.7
799776000,58.2
799862400,59.1
799948800,60.2
800035200,70.2
800121600,72.7
800208000,67.0
800294400,64.4
800380800,64.3
800467200,68.8
800553600,66.3
800640000,71.0
800726400,78.8
800812800,72.1
800899200,64.9
800985600,68.3
801072000,71.2
801158400,68.4
801244800,72.2
801331200,76.1
801417600,70.9
801504000,66.8
801590400,60.3
801676800,71.5
801763200,73.9
801849600,67.4
801936000,69.1
802022400,75.2
802108800,73.3
802195200,74.4
802281600,71.6
802368000,70.0
802454400,76.4
802540800,80.5
802627200,77.9
802713600,72.9
802800000,77.4
802886400,73.1
802972800,63.0
803059200,66.3
803145600,71.3
803232000,68.9
803318400,67.9
803404800,70.5
803491200,72.5
803577600,77.8
803664000,76.4
803750400,75.6
803836800,74.6
803923200,74.9
804009600,77.4
804096000,75.8
804182400,76.4
804268800,73.6
804355200,73.8
804441600,75.3
804528000,76.1
804614400,74.7
804700800,71.9
804787200,76.4
804873600,78.1
804960000,78.6
805046400,74.8
805132800,78.9
805219200,73.3
805305600,73.4
805392000,78.1
805478400,78.7
805564800,80.5
805651200,81.7
805737600,86.4
805824000,85.7
805910400,79.3
805996800,82.9
806083200,81.8
806169600,79.6
806256000,82.3
806342400,79.5
806428800,83.3
806515200,85.3
806601600,82.8
806688000,83.8
806774400,83.2
806860800,80.4
806947200,85.3
807033600,84.5
807120000,82.2
807206400,82.0
807292800,84.5
807379200,84.6
807465600,84.3
807552000,85.6
807638400,81.4
807724800,73.2
807811200,69.9
807897600,70.2
807984000,71.9
808070400,75.3
808156800,80.7
808243200,85.2
808329600,83.5
808416000,79.7
808502400,78.2
808588800,84.0
808675200,84.0
808761600,75.0
808848000,70.3
808934400,73.4
809020800,80.7
809107200,77.4
809193600,76.4
809280000,77.7
809366400,72.4
809452800,73.9
809539200,76.3
809625600,71.9
809712000,74.2
809798400,76.0
809884800,79.7
809971200,70.5
810057600,69.0
810144000,70.9
810230400,71.3
810316800,73.2
810403200,72.4
810489600,73.2
810576000,75.1
810662400,73.9
810748800,65.4
810835200,69.2
810921600,73.8
811008000,78.0
811094400,74.0
811180800,66.9
811267200,66.2
811353600,66.0
811440000,65.0
811526400,67.2
811612800,70.1
811699200,73.1
811785600,56.5
811872000,56.2
811958400,59.9
812044800,61.8
812131200,62.0
812217600,64.4
812304000,63.6
812390400,62.2
812476800,61.9
