timestamp,value
788889600,35.8
788976000,33.0
789062400,26.4
789148800,18.7
789235200,15.2
789321600,15.4
789408000,19.1
789494400,23.8
789580800,28.4
789667200,28.6
789753600,30.7
789840000,29.2
789926400,27.3
790012800,25.2
790099200,34.8
790185600,28.4
790272000,24.5
790358400,21.4
790444800,17.2
790531200,16.6
790617600,18.7
790704000,22.0
790790400,30.5
790876800,35.3
790963200,32.7
791049600,33.7
791136000,32.7
791222400,31.5
791308800,33.8
791395200,30.5
791481600,23.5
791568000,26.8
791654400,37.7
791740800,32.2
791827200,34.6
791913600,34.0
792000000,34.0
792086400,34.0
792172800,26.8
792259200,26.6
792345600,30.2
792432000,26.8
792518400,31.3
792604800,39.3
792691200,38.7
792777600,39.5
792864000,40.9
792950400,39.4
793036800,37.1
793123200,37.2
793209600,38.4
793296000,37.9
793382400,39.3
793468800,41.6
793555200,36.9
793641600,33.9
793728000,31.2
793814400,30.7
793900800,35.2
793987200,43.5
794073600,41.5
794160000,37.5
794246400,36.6
794332800,34.4
794419200,35.1
794505600,35.1
794592000,33.8
794678400,36.7
794764800,34.3
794851200,38.6
794937600,36.4
795024000,31.5
795110400,28.6
795196800,32.3
795283200,32.0
795369600,32.0
795456000,35.3
795542400,37.3
795628800,35.6
795715200,34.0
795801600,35.3
795888000,35.9
795974400,43.3
796060800,39.8
796147200,34.8
796233600,33.6
796320000,30.2
796406400,31.3
796492800,32.2
796579200,33.7
796665600,32.7
796752000,36.4
796838400,34.7
796924800,32.8
797011200,34.2
797097600,32.1
797184000,34.7
797270400,35.9
797356800,35.2
797443200,34.2
797529600,35.9
797616000,38.2
797702400,40.4
797788800,44.5
797875200,48.7
797961600,45.2
798048000,39.1
798134400,42.4
798220800,48.4
798307200,58.0
798393600,41.8
798480000,57.5
798566400,64.5
798652800,65.7
798739200,61.0
798825600,55.6
798912000,46.2
798998400,43.6
799084800,38.8
799171200,38.1
799257600,38.4
799344000,38.4
799430400,48.9
799516800,50.9
799603200,50.8
799689600,51.3
799776000,46.3
799862400,44.2
799948800,43.2
800035200,42.8
800121600,41.5
800208000,48.0
800294400,50.0
800380800,54.4
800467200,43.1
800553600,43.9
800640000,52.9
800726400,56.0
800812800,56.4
800899200,46.3
800985600,50.8
801072000,49.2
801158400,51.1
801244800,56.6
801331200,58.3
801417600,63.5
801504000,59.7
801590400,71.5
801676800,74.6
801763200,74.9
801849600,74.1
801936000,70.3
802022400,75.6
802108800,66.5
802195200,59.4
802281600,58.4
802368000,57.2
802454400,65.8
802540800,67.3
802627200,63.5
802713600,65.0
802800000,63.5
802886400,67.5
802972800,72.6
803059200,74.2
803145600,61.8
803232000,64.9
803318400,62.1
