timestamp,value
788889600,84.7
788976000,83.5
789062400,83.5
789148800,83.5
789235200,84.7
789321600,87.8
789408000,84.7
789494400,80.3
789580800,85.1
789667200,85.5
789753600,82.5
789840000,80.6
789926400,82.4
790012800,83.7
790099200,83.7
790185600,86.5
790272000,86.2
790358400,84.3
790444800,81.0
790531200,81.3
790617600,81.6
790704000,80.2
790790400,81.2
790876800,80.1
790963200,81.5
791049600,85.6
791136000,84.1
791222400,83.9
791308800,76.3
791395200,79.2
791481600,78.9
791568000,80.7
791654400,85.8
791740800,86.5
791827200,80.3
791913600,81.7
792000000,82.5
792086400,76.9
792172800,76.4
792259200,79.5
792345600,84.4
792432000,80.2
792518400,78.6
792604800,80.5
792691200,80.7
792777600,80.1
792864000,83.1
792950400,84.1
793036800,83.1
793123200,78.7
793209600,79.3
793296000,82.0
793382400,84.0
793468800,85.1
793555200,84.4
793641600,86.6
793728000,84.1
793814400,83.2
793900800,84.1
793987200,86.3
794073600,84.6
794160000,85.3
794246400,83.0
794332800,85.5
794419200,80.6
794505600,80.8
794592000,84.7
794678400,88.3
794764800,84.9
794851200,81.4
794937600,80.7
795024000,78.6
795110400,75.0
795196800,78.1
795283200,77.4
795369600,79.5
795456000,80.2
795542400,80.8
795628800,81.1
795715200,79.9
795801600,78.7
795888000,80.5
795974400,82.1
796060800,78.0
796147200,77.6
796233600,76.4
796320000,77.6
796406400,80.9
796492800,80.5
796579200,80.3
796665600,83.1
796752000,83.7
796838400,79.0
796924800,76.2
797011200,77.4
797097600,77.5
797184000,78.9
797270400,79.0
797356800,79.4
797443200,80.0
797529600,84.4
797616000,75.9
797702400,72.7
797788800,72.2
797875200,73.6
797961600,74.0
798048000,75.6
798134400,75.1
798220800,77.6
798307200,79.4
798393600,75.8
798480000,74.7
798566400,76.5
798652800,77.5
798739200,77.4
798825600,75.7
798912000,74.8
798998400,74.5
799084800,75.8
799171200,77.6
799257600,77.0
799344000,79.3
799430400,77.0
799516800,76.5
799603200,77.3
799689600,78.5
799776000,81.9
799862400,74.7
799948800,74.7
800035200,74.2
800121600,70.0
800208000,74.0
800294400,75.4
800380800,76.3
800467200,76.6
800553600,78.3
800640000,78.0
800726400,74.2
800812800,68.8
800899200,70.1
800985600,70.7
801072000,71.4
801158400,72.2
801244800,74.2
801331200,74.4
801417600,68.2
801504000,69.9
801590400,71.0
801676800,71.3
801763200,71.5
801849600,69.6
801936000,72.2
802022400,74.4
802108800,72.1
802195200,68.9
802281600,68.2
802368000,69.3
802454400,71.0
802540800,72.1
802627200,72.1
802713600,72.9
802800000,73.5
802886400,72.5
802972800,73.3
803059200,73.7
803145600,73.2
803232000,74.9
803318400,77.4
803404800,73.6
803491200,72.7
803577600,68.8
803664000,68.7
803750400,69.9
803836800,71.2
803923200,73.4
804009600,74.6
804096000,72.4
804182400,73.6
804268800,75.1
804355200,74.4
804441600,71.3
804528000,70.2
804614400,72.6
804700800,74.7
804787200,73.8
804873600,73.6
804960000,76.9
805046400,76.9
805132800,72.9
805219200,68.2
805305600,69.5
805392000,70.3
805478400,71.8
